# c0 + a0 * (O - NBI) + a1 * (face-area-avg - SBI) + a2 * (AAV - E_T)
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.19651929286866; Max AE: 0.818192923233123
# Coefficients
# Task   a0                      a1                      a2                      c0
# all , -2.369967438202719e-01,  2.167074740752892e-01,  1.782824109175493e-02,  8.568093796460622e-16, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         12|5|sub; (O - NBI); $\left(O - NBI\right)$; (O - NBI); (newdata$O - newdata$NBI); O,NBI
# 1;  1; Unitless;                                         33|6|sub; (face-area-avg - SBI); $\left(face-area-avg - SBI\right)$; (face_sub_area_sub_avg - SBI); (newdata$face_sub_area_sub_avg - newdata$SBI); face-area-avg,SBI
# 2;  1; Unitless;                                         2|0|sub; (AAV - E_T); $\left(AAV - E_{T}\right)$; (AAV - E_T); (newdata$AAV - newdata$E_T); AAV,E_T
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
s1          , -1.176056511198248e+00, -9.917381626402799e-01,  6.771011419179580e-01, -1.582640011264584e+00, -2.738898778875757e+01
s2          , -1.455476726264239e+00, -1.363013320584177e+00,  3.526237973783930e-03,  1.177567846265869e-02, -7.654874556485392e+01
s3          ,  1.360540424298584e+00,  1.244254777956088e+00, -3.893086028757597e-01,  1.206896115432807e+00,  4.994584117994668e+01
s4          ,  5.214207269978391e-01,  4.835221349903047e-01,  3.738125043128819e-01,  1.952479413756057e+00,  8.357391994299929e+00
s5          ,  9.232192651096478e-02,  1.049827750818113e-01, -3.521929928688239e-01,  8.768228366367881e-01, -9.451290157918711e+00
s6          , -8.371953399684261e-01, -6.231059635405751e-01,  4.545815720629116e-01, -1.711534648812994e+00, -8.103393928814302e+00
s7          , -7.203728580649982e-01, -6.460776097462950e-01,  8.346125789566309e-01, -2.545731535167567e+00,  5.799893772227334e+00
s8          , -2.733255709368181e-01, -5.144366655617714e-01,  3.029828671541472e-01,  1.897828652068606e+00, -4.789616438524128e+01
s9          , -1.521729831673386e+00, -1.124151562048981e+00, -3.745022806556939e-01, -1.652148719594627e+00, -4.795057475933102e+01
s10         ,  3.230218919710685e-01,  5.662523117328293e-01, -2.669436894858681e-01,  1.083522545167470e+00,  1.504243134778243e+01
s11         ,  4.593978616455925e-01,  1.609156159664115e-01, -7.214896219785819e-01,  5.400529887577156e-01, -7.129620558132988e+00
s12         ,  2.356762313996669e-01,  3.940133216089361e-01,  1.107811850553975e+00,  1.365653527583807e-01,  3.516703566473655e+01
s13         ,  1.907045033118390e+00,  1.722514534448499e+00,  3.866859357281260e-02,  1.826974602612325e+00,  7.492381368453077e+01
s14         ,  1.054844414236797e+00,  9.641328973179653e-01, -2.773967692930105e-01,  2.451077748303628e+00,  2.059787596332552e+01
s15         , -6.375331890789701e-01, -6.887227689152318e-01, -8.961064749814802e-01, -1.008341907565017e+00, -3.828655077617876e+01
s16         , -1.315170182182296e+00, -1.032303242294942e+00,  4.118975937842673e-02, -2.314523846802884e+00, -2.922143492645348e+01
s17         ,  8.942625882950092e-01,  6.509556147453146e-01, -5.646490520765064e-01, -2.668930294443895e-01,  3.225070489578937e+01
s18         , -4.582075442603601e-01, -7.676909224710800e-01,  8.190703191687289e-01, -5.586640251626935e-01, -2.538148613705881e+01
s19         , -7.693791289946220e-01, -7.512222776473239e-01, -1.176372160922948e+00, -2.464134190905612e+00, -2.782228210064790e+01
s20         ,  3.128393520635399e-01,  2.972285774515993e-01,  4.285282448525507e-01,  2.180030955308510e+00, -4.130560341605126e+00
s21         , -1.098688503016758e+00, -1.469670366995633e+00,  6.959100072016592e-01, -2.162973388135784e+00, -4.689242520107909e+01
s22         ,  1.599324596570011e+00,  1.814144639126559e+00,  2.051701605372631e-01,  3.120966335333810e+00,  6.654793155380102e+01
s23         , -1.314277649873613e+00, -1.112675030738841e+00, -1.672968435191875e+00, -1.502360278660310e+00, -6.638851220164764e+01
s24         ,  1.052755589569482e-01,  1.859508269103317e-01, -5.334876286296116e-01,  1.331965546676531e-01,  1.719255813369699e+00
s25         , -1.088909426848386e+00, -1.370906568220196e+00,  4.884913901274324e-03, -3.770794701663969e+00, -3.099517566728597e+01
s26         ,  1.095156312501731e+00,  1.070721714886117e+00,  4.657268837279624e-01,  2.843635733744078e+00,  3.168345939917356e+01
s27         ,  2.628094430707173e-03,  8.591575130878887e-02, -7.256750212940022e-02,  7.353987162584841e-01, -5.084568251859656e+00
s28         ,  1.859558668493155e+00,  1.662007374082943e+00, -5.908136736038818e-01,  1.953587873767589e+00,  6.162298109341395e+01
s29         , -1.265074927670763e+00, -1.474661388125595e+00, -4.936949341677624e-01, -3.035664087538105e+00, -5.237837981921459e+01
s30         ,  1.657227749413040e+00,  1.523907176207189e+00, -2.518075632023571e-01,  1.603664730830598e+00,  6.263677189632742e+01
s31         ,  2.746080273692961e-01,  3.066493482115465e-01,  6.109609940890991e-01, -3.639010605072972e-02,  2.576424224977931e+01
s32         , -6.897019771020165e-01, -6.821489460366823e-01, -1.346625601165517e+00, -1.036295705162720e+00, -4.356693405701449e+01
s33         , -1.405625106938475e+00, -1.787898123292105e+00,  2.073291006563499e-01, -2.397038544536784e+00, -6.839180752685618e+01
s34         , -1.474210819660272e+00, -1.258658766393527e+00,  2.811799983203311e-01,  2.638739906890110e-01, -7.006880162386430e+01
s35         , -1.171464689733801e+00, -1.075929500976884e+00,  4.357814756176404e-02, -2.913015634264689e+00, -2.436187392936736e+01
s36         , -1.148641161041122e+00, -7.974368432405161e-01,  5.701541119950904e-01,  7.823104427792693e-02, -3.810052958818383e+01
s37         , -1.078435221245579e+00, -8.709272266012383e-01,  3.009091284362093e-01, -6.854324030608913e-03, -4.476758843574348e+01
s38         , -4.378262290801383e-01, -4.763691155509610e-01,  1.831719783347543e-01, -1.201637555330741e+00, -9.678695327750461e+00
s39         , -6.410161109102297e-01, -4.585738318239387e-01,  1.532446785815520e+00, -3.484521853370946e+00,  3.700494021260749e+01
s40         ,  1.431814259493607e-01,  2.915281180848835e-01,  6.286290457753483e-01,  4.583138012864642e-02,  2.415152174392304e+01
s41         ,  3.398432822287206e-01,  4.553564528750692e-01,  5.391824368044018e-01,  5.590096886493278e-01,  2.591390562502788e+01
s42         ,  8.067612274639525e-01,  4.446993527786810e-01,  1.677422926183827e-01,  1.810886174023744e+00,  5.161538978861530e+00
s43         , -1.242741757202650e+00, -1.303959840479065e+00,  7.239603594897858e-01, -3.845777868684480e+00, -1.676972973997070e+01
s44         ,  1.711958335245295e-01,  4.435741375054528e-01, -1.042775957843105e-01,  1.826622371219463e+00,  1.291095771944891e+00
s45         ,  4.644113787063103e-01,  4.884331207847080e-01, -2.764256140352523e-01,  1.140835756740121e+00,  9.854786810862894e+00
s46         ,  5.605068277705415e-02, -1.654234987504551e-01,  4.008753732898298e-01,  1.010440340082480e+00, -1.623196101717036e+01
s47         ,  9.066999267258494e-01,  6.175315910991817e-01, -1.153526498970985e+00, -2.967216689792274e-01,  2.291035712487920e+01
s48         ,  1.579727584566370e+00,  1.763317352197850e+00, -5.779387051813067e-02,  3.617324791996822e+00,  5.416793891885097e+01
s49         , -6.435089824614265e-01, -5.998577744312252e-01, -9.335049720036894e-01,  6.809973884333760e-01, -5.433360655434395e+01
s50         , -2.217827055817793e-02, -1.392704761805408e-01,  2.532695283949011e-01,  1.601587546906516e+00, -2.391275798035771e+01
s51         , -9.869737286665018e-01, -1.080668645464129e+00, -1.019498454371124e-01, -1.917010450203905e+00, -3.866898203126236e+01
s52         , -6.291725742859308e-02,  2.222013775089668e-01, -5.714515551220436e-01,  8.840456935637617e-01, -5.878879973964493e+00
s53         ,  7.061953554227811e-01,  8.017098606275984e-01,  4.701822200991296e-01, -1.692095421477176e+00,  7.178673621750856e+01
s54         , -1.923256326608463e+00, -1.993496803683906e+00, -1.126561508774055e+00, -2.470033674840475e+00, -9.676857327327095e+01
s55         ,  1.449677165676465e-01,  1.101531730318852e-01,  3.371476175625945e-01,  1.518647962040196e+00, -7.799216006038868e+00
s56         , -1.428251212735210e+00, -1.545423143667521e+00, -3.344571542117003e-01, -3.399121642984703e+00, -4.981272859541581e+01
s57         , -7.632144013758455e-01, -7.369835949451020e-01, -2.715916514520232e-01, -2.457448947389274e+00, -1.507733581495084e+01
s58         , -2.465293161402924e+00, -2.742851847598514e+00,  4.803580528028757e-01, -3.582257645729811e+00, -1.039197606644558e+02
s59         , -8.768884797438996e-03,  1.312448653452739e-01,  2.695135491983160e-01,  9.460027830447706e-01, -5.545793670963990e-01
s60         ,  1.714446572989188e+00,  1.592683961153446e+00, -3.526583800614702e-01,  2.530844153601158e+00,  5.388373562196775e+01
s61         ,  1.653657662090557e+00,  1.300512550659536e+00, -9.282483139142694e-02,  2.064192439226812e+00,  4.662195412806876e+01
s62         ,  2.913807026429409e-01,  4.080088460937932e-01, -4.927940422748091e-01,  1.463393171059105e+00, -1.453310780646543e+00
s63         , -1.790911115854549e+00, -1.288828674910683e+00, -4.548420026311273e-01, -1.166153604943881e+00, -6.416283807743652e+01
s64         , -5.454632126173593e-01, -5.682088475312057e-01, -5.393058155592612e-01, -3.333293924534856e+00,  1.476709724693158e+00
s65         , -1.096531543219279e+00, -8.427039586185019e-01,  2.322442986438916e-01, -1.485544298171096e+00, -2.612339945306553e+01
s66         , -9.925198589409868e-01, -6.199865124907979e-01, -7.638177072689105e-01, -1.617224117795251e-01, -4.296342879174592e+01
s67         , -4.301391331597769e-01, -3.734276004328654e-01,  4.209459219250875e-01, -2.036322897428025e+00,  9.402026987879568e+00
s68         , -1.496017763262518e+00, -1.236474226854209e+00, -6.433780658110536e-01, -1.138560997290165e+00, -6.406790495006628e+01
s69         , -5.130334975012112e-01, -5.032132559429218e-01, -7.567822754981549e-01, -2.094461471899010e+00, -1.282699368472160e+01
s70         , -1.298331351434060e+00, -8.073052805366454e-01,  4.838900894585221e-01, -1.707546643705505e+00, -1.809414531050437e+01
s71         ,  8.978734253548585e-01,  5.119192626877698e-01,  5.103266617615287e-02,  2.258301539518788e+00,  1.942032076655217e+00
s72         , -8.703072211857277e-01, -6.064384848945756e-01, -5.433711297340562e-01, -2.228745715841153e+00, -1.414776800433113e+01
s73         ,  1.052659824554331e+00,  8.100109952578749e-01, -1.036892526965335e+00, -5.616331623823717e-01,  3.847720833041482e+01
s74         , -1.304189005820537e+00, -1.763192035303426e+00, -1.808411567227888e-01, -3.321348869452999e+00, -6.093083838067576e+01
s75         , -7.491961797362119e-01, -8.184629519183807e-01,  1.058759165563330e+00, -1.854893540942606e+00, -9.287017289121984e+00
s76         ,  1.130323653742102e+00,  9.393657317422421e-01, -4.742141785738135e-01,  1.917590755069982e+00,  2.307699702893135e+01
s77         ,  1.083046725976420e+00,  1.274904645905465e+00, -1.925234905213198e-01,  1.783781888992347e+00,  4.726873132021716e+01
s78         ,  1.592651226510811e+00,  1.537649667139708e+00, -1.619551673597364e-01,  2.257225376474225e+00,  5.665781637557934e+01
s79         , -5.815008980639539e-01, -3.465294952929348e-01, -8.376958117949120e-01, -1.016102283136788e+00, -1.822186014579654e+01
s80         , -2.983814549448998e-01, -4.074510626536855e-01,  1.089925995406102e-01,  2.593273229644152e-01, -2.455757347722086e+01
