# c0 + a0 * (VPA - E_T)
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.650960994883984; Max AE: 2.60945202697696
# Coefficients
# Task   a0                      c0
# all ,  7.486591496473450e-01, -1.051654303495703e+01, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         4|0|sub; (VPA - E_T); $\left(VPA - E_{T}\right)$; (VPA - E_T); (newdata$VPA - newdata$E_T); VPA,E_T
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
s1          , -2.244947812336508e+01, -2.231013393196084e+01, -1.575295099586931e+01
s2          , -2.298888400764099e+01, -2.345766889298219e+01, -1.728573792776200e+01
s3          , -1.755271246623431e+01, -1.789791730846589e+01, -9.859459110311876e+00
s4          , -1.917258847351942e+01, -1.954673213694753e+01, -1.206181625676272e+01
s5          , -2.000094091703784e+01, -2.077525386051071e+01, -1.370277893536203e+01
s6          , -2.179532463031582e+01, -2.164614467997561e+01, -1.486604638474153e+01
s7          , -2.156980503382011e+01, -2.085568679139185e+01, -1.381021491730258e+01
s8          , -2.070680399014268e+01, -2.161666270210207e+01, -1.482666667785165e+01
s9          , -2.311678210871720e+01, -2.263514938524111e+01, -1.618708107152974e+01
s10         , -1.955558688693647e+01, -1.877343538290213e+01, -1.102890728288635e+01
s11         , -1.929232032084748e+01, -2.038110815559252e+01, -1.317631010758659e+01
s12         , -1.972420304545977e+01, -1.878019746680025e+01, -1.103793954262873e+01
s13         , -1.649771434553038e+01, -1.715577330706360e+01, -8.868161532833700e+00
s14         , -1.814284237715737e+01, -1.889239861190819e+01, -1.118780900613664e+01
s15         , -2.140988745272463e+01, -2.100015024814408e+01, -1.400317783884074e+01
s16         , -2.271802967642396e+01, -2.227760942079123e+01, -1.570950731233866e+01
s17         , -1.845283706311921e+01, -1.894390991968931e+01, -1.125661375901434e+01
s18         , -2.106370881996578e+01, -2.157478525541981e+01, -1.477073007879721e+01
s19         , -2.166440903696862e+01, -2.234399664914500e+01, -1.579818214972632e+01
s20         , -1.957524373940041e+01, -1.975994258206227e+01, -1.234660599748142e+01
s21         , -2.230012329283520e+01, -2.192293315366848e+01, -1.523575865476889e+01
s22         , -1.709175230426198e+01, -1.680986592415663e+01, -8.406125661008833e+00
s23         , -2.271630669020732e+01, -2.360758651325965e+01, -1.748598609189394e+01
s24         , -1.997593461761007e+01, -2.048017413763723e+01, -1.330863465353166e+01
s25         , -2.228124530569044e+01, -2.187424418090342e+01, -1.517072375499108e+01
s26         , -1.806502239865187e+01, -1.777231012113616e+01, -9.691682910169408e+00
s27         , -2.017409009594002e+01, -2.035172783988757e+01, -1.313706619302441e+01
s28         , -1.658938425028538e+01, -1.757097200115768e+01, -9.422751287449890e+00
s29         , -2.262132344831001e+01, -2.263498825579108e+01, -1.618686584748538e+01
s30         , -1.697997334312175e+01, -1.760483926547894e+01, -9.467988515014943e+00
s31         , -1.964904728113367e+01, -1.845551417301759e+01, -1.060425313949640e+01
s32         , -2.151059652715050e+01, -2.174967125338581e+01, -1.500432903774719e+01
s33         , -2.289264810431292e+01, -2.324574956433180e+01, -1.700267275885274e+01
s34         , -2.302504917991390e+01, -2.153551660427615e+01, -1.471827810360642e+01
s35         , -2.244061385591441e+01, -2.196315483723346e+01, -1.528948361569928e+01
s36         , -2.239655424600443e+01, -2.242501941674459e+01, -1.590640598915680e+01
s37         , -2.226102540809307e+01, -2.259481539696243e+01, -1.613320610279706e+01
s38         , -2.102436377352775e+01, -1.994633490493342e+01, -1.259557420011268e+01
s39         , -2.141661104833067e+01, -1.988497043849738e+01, -1.251360837298702e+01
s40         , -1.990275935468409e+01, -1.842521404494264e+01, -1.056378061192598e+01
s41         , -1.952311408648237e+01, -1.847633870048582e+01, -1.063206890515963e+01
s42         , -1.862175379272403e+01, -1.984417331493173e+01, -1.245911478456982e+01
s43         , -2.257821044890805e+01, -2.174616312866714e+01, -1.499964316070914e+01
s44         , -1.984867902879579e+01, -1.875566357206975e+01, -1.100516909596811e+01
s45         , -1.928264199244582e+01, -1.909734070048383e+01, -1.146155452660770e+01
s46         , -2.007096062658339e+01, -2.064425553818206e+01, -1.352780168117317e+01
s47         , -1.842882744186564e+01, -1.961738685885999e+01, -1.215619127635039e+01
s48         , -1.712958329507449e+01, -1.724936248070113e+01, -8.993170588933012e+00
s49         , -2.142142340445580e+01, -2.240682717932855e+01, -1.588210622948031e+01
s50         , -2.022197746600499e+01, -2.073333353977431e+01, -1.364678506851869e+01
s51         , -2.208446385448407e+01, -2.225645428628432e+01, -1.568124994779982e+01
s52         , -2.030062191637932e+01, -2.118685687757595e+01, -1.425256586745138e+01
s53         , -1.881589086732163e+01, -1.851556027718707e+01, -1.068445800201330e+01
s54         , -2.389190768082197e+01, -2.442499260400157e+01, -1.857781284793768e+01
s55         , -1.989931101552115e+01, -2.023025847899412e+01, -1.297481697593988e+01
s56         , -2.293632659980805e+01, -2.259379420552862e+01, -1.613184207561020e+01
s57         , -2.165250835772914e+01, -2.206999913808828e+01, -1.543219782804163e+01
s58         , -2.493828100106786e+01, -2.477961147784336e+01, -1.905148484407749e+01
s59         , -2.019609135900962e+01, -1.956838408412589e+01, -1.209073722458708e+01
s60         , -1.686951544328429e+01, -1.764458707682308e+01, -9.521080514709144e+00
s61         , -1.698686520707895e+01, -1.831726167041073e+01, -1.041958632193064e+01
s62         , -1.961666852236879e+01, -1.927327783240640e+01, -1.169655750761107e+01
s63         , -2.363642228074260e+01, -2.312863448803284e+01, -1.684623965260657e+01
s64         , -2.123215125329894e+01, -2.086772801036336e+01, -1.382629863040110e+01
s65         , -2.229595939650926e+01, -2.191637423948135e+01, -1.522699777314442e+01
s66         , -2.209517036440609e+01, -2.159316745108396e+01, -1.479528356975877e+01
s67         , -2.100952424313996e+01, -2.094420611540347e+01, -1.392845206708337e+01
s68         , -2.306714632630091e+01, -2.259879011104059e+01, -1.613851521319802e+01
s69         , -2.116954741071400e+01, -2.171092840025081e+01, -1.495257938217531e+01
s70         , -2.268552320802911e+01, -2.165241428040924e+01, -1.487442082381248e+01
s71         , -1.844586653395837e+01, -1.994809535196065e+01, -1.259792566676885e+01
s72         , -2.185924535832699e+01, -2.175112368046295e+01, -1.500626907558394e+01
s73         , -1.814705961150877e+01, -1.914850705239893e+01, -1.152989851457500e+01
s74         , -2.269683109870329e+01, -2.299426798230185e+01, -1.666676344398174e+01
s75         , -2.162544692540680e+01, -2.079125718363830e+01, -1.372415491551952e+01
s76         , -1.799713371423827e+01, -1.911268663076766e+01, -1.148205241311728e+01
s77         , -1.808839931225978e+01, -1.772467402111079e+01, -9.628054354974678e+00
s78         , -1.710463489071706e+01, -1.774029024355737e+01, -9.648913276493158e+00
s79         , -2.130172009097587e+01, -2.201783579211325e+01, -1.536252213383606e+01
s80         , -2.075517304342145e+01, -2.082541392742456e+01, -1.376977880698247e+01
s81         , -1.679587307458704e+01, -1.750268792989821e+01, -9.331542796520951e+00
s82         , -1.961963418382102e+01, -1.877052468042943e+01, -1.102501939548916e+01
s83         , -1.732943596118787e+01, -1.758286783034187e+01, -9.438640800307363e+00
s84         , -2.091958911511147e+01, -2.218203162945311e+01, -1.558184201714638e+01
s85         , -1.931803893900067e+01, -1.921527261451198e+01, -1.161907870043728e+01
s86         , -2.124992178205270e+01, -2.015094062460413e+01, -1.286887042546047e+01
s87         , -2.000999990609716e+01, -1.990727357684897e+01, -1.254339915075564e+01
s88         , -1.933594922663024e+01, -1.886071290686980e+01, -1.114548573385270e+01
s89         , -2.128477820873118e+01, -2.145860956905519e+01, -1.461555173572969e+01
s90         , -2.009844325702736e+01, -2.073205927428231e+01, -1.364508300491258e+01
s91         , -2.185233402642529e+01, -2.173389856548278e+01, -1.498326112198010e+01
s92         , -1.852873985612102e+01, -1.803918715539422e+01, -1.004815625906759e+01
s93         , -2.244477787769646e+01, -2.197842687828446e+01, -1.530988280678402e+01
s94         , -2.069748145715988e+01, -2.030523642807313e+01, -1.307496662229675e+01
s95         , -1.839144268754908e+01, -1.851102578031112e+01, -1.067840117778549e+01
s96         , -2.061908691885885e+01, -2.037045820851041e+01, -1.316208474603571e+01
s97         , -2.336181657728519e+01, -2.400347666648231e+01, -1.801478501649020e+01
s98         , -1.913590175727989e+01, -1.818673626982519e+01, -1.024524075940459e+01
s99         , -1.764848235022367e+01, -1.789248321434378e+01, -9.852200674848067e+00
s100        , -2.003395952271198e+01, -1.888572617352349e+01, -1.117889648781927e+01
s101        , -2.047737186068138e+01, -2.107114524317105e+01, -1.409800736848773e+01
s102        , -1.813404261594337e+01, -1.828461161599214e+01, -1.037597494760366e+01
s103        , -2.094885731266024e+01, -1.986708464070067e+01, -1.248971793124842e+01
s104        , -1.695125455205811e+01, -1.646526068209447e+01, -7.945829086493609e+00
s105        , -2.089913046364001e+01, -2.160473242884402e+01, -1.481073115730980e+01
