# c0 + a0 * (Na-Na-avg - E_T)
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.722071575509379; Max AE: 3.78642650608071
# Coefficients
# Task   a0                      c0
# all ,  7.122564930009884e-01, -1.098637640971935e+01, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         25|0|sub; (Na-Na-avg - E_T); $\left(Na-Na-avg - E_{T}\right)$; (Na_sub_Na_sub_avg - E_T); (newdata$Na_sub_Na_sub_avg - newdata$E_T); Na-Na-avg,E_T
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
s1          , -2.244947812336508e+01, -2.138335036763427e+01, -1.459723296323884e+01
s2          , -2.298888400764099e+01, -2.311288801849014e+01, -1.702548411693308e+01
s3          , -1.755271246623431e+01, -1.813350081807496e+01, -1.003448122774177e+01
s4          , -1.917258847351942e+01, -1.859331355130314e+01, -1.068005306562117e+01
s5          , -2.000094091703784e+01, -2.077449388825458e+01, -1.374240540411844e+01
s6          , -2.179532463031582e+01, -2.085085414759993e+01, -1.384961433811301e+01
s7          , -2.156980503382011e+01, -2.033701681165880e+01, -1.312819257363580e+01
s8          , -2.070680399014268e+01, -2.016649566353214e+01, -1.288878282475700e+01
s9          , -2.311678210871720e+01, -2.267183027904515e+01, -1.640624407661186e+01
s10         , -1.955558688693647e+01, -2.007345740505917e+01, -1.275815817003330e+01
s11         , -1.929232032084748e+01, -1.896846757398768e+01, -1.120676503858457e+01
s12         , -1.972420304545977e+01, -1.796470494868935e+01, -9.797493750555832e+00
s13         , -1.649771434553038e+01, -1.670423089467686e+01, -8.027802541843000e+00
s14         , -1.814284237715737e+01, -1.894689095241765e+01, -1.117647170776616e+01
s15         , -2.140988745272463e+01, -2.211074675102079e+01, -1.561848919682085e+01
s16         , -2.271802967642396e+01, -2.192165666166431e+01, -1.535300886604875e+01
s17         , -1.845283706311921e+01, -1.865063834330173e+01, -1.076053642037032e+01
s18         , -2.106370881996578e+01, -2.066634204457667e+01, -1.359056144798653e+01
s19         , -2.166440903696862e+01, -2.191556348762594e+01, -1.534445411913068e+01
