# c0 + a0 * (S - E_T)
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.783790070821207; Max AE: 4.25006189231613
# Coefficients
# Task   a0                      c0
# all ,  9.400634944926313e-01, -8.291219063864784e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         11|0|sub; (S - E_T); $\left(S - E_{T}\right)$; (S - E_T); (newdata$S - newdata$E_T); S,E_T
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
s1          , -2.244947812336508e+01, -2.156793275282625e+01, -1.412320951376496e+01
s2          , -2.298888400764099e+01, -2.374648747809049e+01, -1.644066438572554e+01
s3          , -1.755271246623431e+01, -1.799185401575508e+01, -1.031912738737493e+01
s4          , -1.917258847351942e+01, -1.951526319959341e+01, -1.193966599222794e+01
s5          , -2.000094091703784e+01, -2.083869049140819e+01, -1.334747227293992e+01
s6          , -2.179532463031582e+01, -2.072334761998149e+01, -1.322477537841903e+01
s7          , -2.156980503382011e+01, -2.012242809018159e+01, -1.258554246136568e+01
s8          , -2.070680399014268e+01, -2.196138796233589e+01, -1.454175061424882e+01
s9          , -2.311678210871720e+01, -2.246361789313515e+01, -1.507600168743864e+01
s10         , -1.955558688693647e+01, -1.940446933423498e+01, -1.182180813900046e+01
s11         , -1.929232032084748e+01, -2.038447438854760e+01, -1.286429629012427e+01
s12         , -1.972420304545977e+01, -1.842129070583163e+01, -1.077594407326095e+01
s13         , -1.649771434553038e+01, -1.678240410848263e+01, -9.032565453677877e+00
s14         , -1.814284237715737e+01, -1.918178371151433e+01, -1.158492454121663e+01
s15         , -2.140988745272463e+01, -2.175034285848468e+01, -1.431724971075919e+01
s16         , -2.271802967642396e+01, -2.163924187035164e+01, -1.419906515324374e+01
s17         , -1.845283706311921e+01, -1.861941915855745e+01, -1.098670478664527e+01
s18         , -2.106370881996578e+01, -2.128267803913040e+01, -1.381976754908170e+01
s19         , -2.166440903696862e+01, -2.156922223718428e+01, -1.412458121298059e+01
s20         , -1.957524373940041e+01, -2.015192824766200e+01, -1.261692348791679e+01
s21         , -2.230012329283520e+01, -2.229734367381728e+01, -1.489912616754876e+01
s22         , -1.709175230426198e+01, -1.718877997774120e+01, -9.464851008472127e+00
s23         , -2.271630669020732e+01, -2.326430763685579e+01, -1.592774175437186e+01
s24         , -1.997593461761007e+01, -2.033397725184660e+01, -1.281057956035353e+01
s25         , -2.228124530569044e+01, -2.171242572344588e+01, -1.427691505755657e+01
s26         , -1.806502239865187e+01, -1.879974127910969e+01, -1.117852387291832e+01
s27         , -2.017409009594002e+01, -2.021798384375343e+01, -1.268719065229283e+01
s28         , -1.658938425028538e+01, -1.743167180342629e+01, -9.723229114959693e+00
s29         , -2.262132344831001e+01, -2.264494628446287e+01, -1.526889120223208e+01
s30         , -1.697997334312175e+01, -1.736570378936188e+01, -9.653055116659704e+00
s31         , -1.964904728113367e+01, -1.900694386436654e+01, -1.139893726676964e+01
s32         , -2.151059652715050e+01, -2.196572328353215e+01, -1.454636234656440e+01
s33         , -2.289264810431292e+01, -2.329524307778509e+01, -1.596064957507816e+01
s34         , -2.302504917991390e+01, -2.308266026311727e+01, -1.573451291950837e+01
s35         , -2.244061385591441e+01, -2.142604264461678e+01, -1.397227278551125e+01
s36         , -2.239655424600443e+01, -2.206226281010206e+01, -1.464905703382275e+01
s37         , -2.226102540809307e+01, -2.235382337753920e+01, -1.495920690044905e+01
s38         , -2.102436377352775e+01, -2.061098911371852e+01, -1.310525312601669e+01
s39         , -2.141661104833067e+01, -1.869354886019218e+01, -1.106556084484668e+01
s40         , -1.990275935468409e+01, -1.894667337264509e+01, -1.133482405306169e+01
s41         , -1.952311408648237e+01, -1.891947138659370e+01, -1.130588772460010e+01
s42         , -1.862175379272403e+01, -1.963350551190124e+01, -1.206544718998804e+01
s43         , -2.257821044890805e+01, -2.109740547789053e+01, -1.362268239225422e+01
s44         , -1.984867902879579e+01, -2.006654692964300e+01, -1.252609843352503e+01
s45         , -1.928264199244582e+01, -1.971563010992767e+01, -1.215280788265142e+01
s46         , -2.007096062658339e+01, -2.068528333183899e+01, -1.318428418993496e+01
s47         , -1.842882744186564e+01, -1.904654304652250e+01, -1.144106121093719e+01
s48         , -1.712958329507449e+01, -1.778643239711776e+01, -1.010060851089395e+01
s49         , -2.142142340445580e+01, -2.278807398513941e+01, -1.542114442929074e+01
s50         , -2.022197746600499e+01, -2.094448745589407e+01, -1.346001463322270e+01
s51         , -2.208446385448407e+01, -2.205567042674034e+01, -1.464204433372288e+01
s52         , -2.030062191637932e+01, -2.067244452906166e+01, -1.317062681162748e+01
s53         , -1.881589086732163e+01, -1.725190202808101e+01, -9.531997590282408e+00
s54         , -2.389190768082197e+01, -2.458133308713668e+01, -1.732873802536493e+01
s55         , -1.989931101552115e+01, -2.023200643378636e+01, -1.270210729368470e+01
s56         , -2.293632659980805e+01, -2.253597615610030e+01, -1.515297336370206e+01
s57         , -2.165250835772914e+01, -2.101018522316672e+01, -1.352990115435403e+01
s58         , -2.493828100106786e+01, -2.489961281256415e+01, -1.766731060827248e+01
s59         , -2.019609135900962e+01, -1.998396960723987e+01, -1.243825615171438e+01
s60         , -1.686951544328429e+01, -1.774238184012797e+01, -1.005374938143316e+01
s61         , -1.698686520707895e+01, -1.787826862353099e+01, -1.019830002529830e+01
s62         , -1.961666852236879e+01, -2.019759249681311e+01, -1.266549919521596e+01
s63         , -2.363642228074260e+01, -2.317738614135594e+01, -1.583527832396628e+01
s64         , -2.123215125329894e+01, -2.030018410775937e+01, -1.277463183524219e+01
s65         , -2.229595939650926e+01, -2.142715502545171e+01, -1.397345608944918e+01
s66         , -2.209517036440609e+01, -2.228552486170381e+01, -1.488655381240179e+01
s67         , -2.100952424313996e+01, -1.997019819402176e+01, -1.242360670165191e+01
s68         , -2.306714632630091e+01, -2.318415928792904e+01, -1.584248331236630e+01
s69         , -2.116954741071400e+01, -2.093211058994500e+01, -1.344684864388094e+01
s70         , -2.268552320802911e+01, -2.117182979161082e+01, -1.370185184639888e+01
s71         , -1.844586653395837e+01, -1.976248795017538e+01, -1.220265328194862e+01
s72         , -2.185924535832699e+01, -2.098485676608151e+01, -1.350295780719333e+01
s73         , -1.814705961150877e+01, -1.843090039493190e+01, -1.078616645627716e+01
s74         , -2.269683109870329e+01, -2.301631972226489e+01, -1.566394264288233e+01
s75         , -2.162544692540680e+01, -2.060141574804076e+01, -1.309506938232934e+01
s76         , -1.799713371423827e+01, -1.898173809991454e+01, -1.137212443487088e+01
s77         , -1.808839931225978e+01, -1.803774540736034e+01, -1.036794471926168e+01
s78         , -1.710463489071706e+01, -1.756989804366569e+01, -9.870268374593964e+00
s79         , -2.130172009097587e+01, -2.116857520402466e+01, -1.369838975303473e+01
s80         , -2.075517304342145e+01, -2.104752597048811e+01, -1.356962267054964e+01
s81         , -1.679587307458704e+01, -1.727622154363623e+01, -9.557867667886423e+00
s82         , -1.961963418382102e+01, -1.978067964329951e+01, -1.222200483982818e+01
s83         , -1.732943596118787e+01, -1.788697614823528e+01, -1.020756272378122e+01
s84         , -2.091958911511147e+01, -2.234618179599522e+01, -1.495107810745927e+01
s85         , -1.931803893900067e+01, -1.887468452360273e+01, -1.125824534378928e+01
s86         , -2.124992178205270e+01, -1.968763448956536e+01, -1.212302731939551e+01
s87         , -2.000999990609716e+01, -1.996870410306856e+01, -1.242201735054750e+01
s88         , -1.933594922663024e+01, -2.003719265453337e+01, -1.249487259050315e+01
s89         , -2.128477820873118e+01, -2.091439002146521e+01, -1.342799824857934e+01
s90         , -2.009844325702736e+01, -2.064709605722820e+01, -1.314366217361955e+01
s91         , -2.185233402642529e+01, -2.125345597511949e+01, -1.378868234666495e+01
s92         , -1.852873985612102e+01, -1.860018150459614e+01, -1.096624057962732e+01
s93         , -2.244477787769646e+01, -2.174119250277178e+01, -1.430751594727778e+01
s94         , -2.069748145715988e+01, -2.049526288859730e+01, -1.298214843596203e+01
s95         , -1.839144268754908e+01, -1.864848210178747e+01, -1.101762072306901e+01
s96         , -2.061908691885885e+01, -2.088840414011804e+01, -1.340035556114449e+01
s97         , -2.336181657728519e+01, -2.385238515934629e+01, -1.655331388427134e+01
s98         , -1.913590175727989e+01, -1.849232922870761e+01, -1.085151186553473e+01
s99         , -1.764848235022367e+01, -1.856808137779524e+01, -1.093209381508539e+01
s100        , -2.003395952271198e+01, -1.913177209616279e+01, -1.153172428863313e+01
s101        , -2.047737186068138e+01, -2.007939551751434e+01, -1.253976622080388e+01
s102        , -1.813404261594337e+01, -1.916125023435868e+01, -1.156308189199565e+01
s103        , -2.094885731266024e+01, -2.035583470484803e+01, -1.283383059938386e+01
s104        , -1.695125455205811e+01, -1.716672067422724e+01, -9.441385249357774e+00
s105        , -2.089913046364001e+01, -2.131009505929335e+01, -1.384893262178538e+01
s106        , -2.193421435204462e+01, -2.131864340957802e+01, -1.385802599721667e+01
s107        , -1.938858975045087e+01, -2.044318666790453e+01, -1.292675194306782e+01
s108        , -2.184761912256448e+01, -2.116816581737945e+01, -1.369795426474313e+01
s109        , -1.765266017099491e+01, -1.873760927427241e+01, -1.111243045986561e+01
s110        , -2.222643790681205e+01, -2.227187218010955e+01, -1.487203066404612e+01
s111        , -2.198367498730207e+01, -2.100698810371572e+01, -1.352650019317457e+01
s112        , -2.341727175416096e+01, -2.183652572967372e+01, -1.440892742369447e+01
s113        , -2.064750776227555e+01, -1.985904815914506e+01, -1.230536997027380e+01
s114        , -2.335281852671257e+01, -2.274826729990115e+01, -1.537879975207323e+01
s115        , -2.467653405274963e+01, -2.524306008319625e+01, -1.803265536705121e+01
s116        , -2.119630992652875e+01, -1.974363073114292e+01, -1.218259376560432e+01
s117        , -1.681518237222159e+01, -1.745266148592739e+01, -9.745557056236077e+00
s118        , -1.725426000439147e+01, -1.774398304025635e+01, -1.005545267077240e+01
s119        , -2.026224064054247e+01, -2.062001252792292e+01, -1.311485185446139e+01
s120        , -2.061376236446881e+01, -1.985786418729061e+01, -1.230411051082092e+01
s121        , -2.090204853596659e+01, -2.096399339758693e+01, -1.348076423344347e+01
s122        , -1.679179791839329e+01, -1.749556083029219e+01, -9.791191574134203e+00
s123        , -1.729435756680531e+01, -1.800512827309839e+01, -1.033324798393152e+01
s124        , -1.927065840811719e+01, -1.950797261182611e+01, -1.193191057165262e+01
s125        , -2.074667074869674e+01, -2.168668733499547e+01, -1.424953564265407e+01
s126        , -1.981090987888966e+01, -1.957516737682337e+01, -1.200338953598952e+01
s127        , -1.791042209268825e+01, -1.832434983842612e+01, -1.067282245650480e+01
s128        , -2.199486439730610e+01, -2.116236816185362e+01, -1.369178696268343e+01
s129        , -1.847106084369403e+01, -1.835630343973593e+01, -1.070681335339316e+01
s130        , -2.183307419908922e+01, -1.920642201526023e+01, -1.161113373228750e+01
s131        , -1.937195493711046e+01, -1.971336166413057e+01, -1.215039480543867e+01
s132        , -1.756898825137140e+01, -1.791825847902229e+01, -1.024083955132561e+01
s133        , -1.952720456066259e+01, -1.950234886264512e+01, -1.192592826384688e+01
s134        , -1.792604080418195e+01, -1.839168287842213e+01, -1.074444851196860e+01
s135        , -2.163690184151209e+01, -2.204778701276268e+01, -1.463365828956326e+01
s136        , -2.266590946104735e+01, -2.241195811504491e+01, -1.502104818866660e+01
s137        , -1.871948299194560e+01, -1.804092084728203e+01, -1.037132261866985e+01
s138        , -2.098569970792443e+01, -2.084872062793675e+01, -1.335814191024349e+01
s139        , -1.946420871832499e+01, -1.972306665634600e+01, -1.216071856789969e+01
s140        , -1.890485827097119e+01, -1.995372341479813e+01, -1.240608152455469e+01
s141        , -2.048387804329865e+01, -2.122840912521632e+01, -1.376203856137821e+01
s142        , -1.712146112463541e+01, -1.784906690850264e+01, -1.016723646927317e+01
s143        , -2.146398341435241e+01, -2.051441961801225e+01, -1.300252655885180e+01
s144        , -2.296743054539722e+01, -2.069100645759598e+01, -1.319037221036179e+01
s145        , -2.169591974109321e+01, -2.173931036185017e+01, -1.430551380494097e+01
s146        , -2.268369172314783e+01, -2.193774677985249e+01, -1.451660211883132e+01
s147        , -2.121406114253308e+01, -2.158045320785038e+01, -1.413652824712444e+01
s148        , -2.139826235530006e+01, -2.069884355362570e+01, -1.319870898343684e+01
s149        , -1.818204101397333e+01, -1.828270211125504e+01, -1.062851935632586e+01
s150        , -2.236615053154114e+01, -2.103048281215362e+01, -1.355149287566415e+01
s151        , -2.007280490017163e+01, -2.002570622493966e+01, -1.248265380989843e+01
s152        , -2.043501428229088e+01, -2.104735735571561e+01, -1.356944330524773e+01
s153        , -2.294208833005412e+01, -2.217043835151498e+01, -1.476412962418146e+01
s154        , -1.941555486932839e+01, -2.004478617931052e+01, -1.250295026272597e+01
s155        , -2.030625886040805e+01, -2.173289588614293e+01, -1.429869035551992e+01
s156        , -1.755225478861601e+01, -1.772455398546918e+01, -1.003478485960752e+01
s157        , -1.981494689568535e+01, -1.913915969050129e+01, -1.153958290071813e+01
s158        , -2.120666701656112e+01, -2.087458242244194e+01, -1.338565259931577e+01
s159        , -2.199339551508707e+01, -2.139764058099629e+01, -1.394205986501505e+01
s160        , -1.822712376873660e+01, -1.872044613666835e+01, -1.109417303608029e+01
s161        , -1.850131544535105e+01, -1.960688104655454e+01, -1.203712520375766e+01
s162        , -2.165239460618542e+01, -2.166277177564457e+01, -1.422409527666708e+01
s163        , -2.054863013411503e+01, -2.088517413882961e+01, -1.339691962164960e+01
s164        , -2.244259094688993e+01, -2.276450461871889e+01, -1.539607232877987e+01
s165        , -2.169401378729562e+01, -2.024479968898508e+01, -1.271571622039409e+01
s166        , -1.893544650248816e+01, -1.850971970935863e+01, -1.087001112728981e+01
