# c0 + a0 * (Al + O) + a1 * (face-area-avg - E_T)
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.352047094641855; Max AE: 1.53771843020953
# Coefficients
# Task   a0                      a1                      c0
# all , -1.920587267931106e+00,  6.463275785139989e-01, -1.137961912763014e+01, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         15|12|add; (Al + O); $\left(Al + O\right)$; (Al + O); (newdata$Al + newdata$O); Al,O
# 1;  1; Unitless;                                         33|0|sub; (face-area-avg - E_T); $\left(face-area-avg - E_{T}\right)$; (face_sub_area_sub_avg - E_T); (newdata$face_sub_area_sub_avg - newdata$E_T); face-area-avg,E_T
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
s1          , -2.244947812336508e+01, -2.212830932281061e+01,  6.313868613138686e-01, -1.475421588867808e+01
s2          , -2.298888400764099e+01, -2.295738579762330e+01,  4.679245283018868e-01, -1.652270015018798e+01
s3          , -1.755271246623431e+01, -1.789532125660768e+01,  1.086956521739130e-01, -9.758120886367621e+00
s4          , -1.917258847351942e+01, -1.887075382501745e+01,  0.000000000000000e+00, -1.159030644276470e+01
s5          , -2.000094091703784e+01, -2.047420285562295e+01,  4.076923076923077e-01, -1.285969429266044e+01
s6          , -2.179532463031582e+01, -2.159276842378305e+01,  6.183206106870229e-01, -1.396445224342619e+01
s7          , -2.156980503382011e+01, -2.146945110953094e+01,  6.607929515418502e-01, -1.364744712381148e+01
s8          , -2.070680399014268e+01, -2.069472916137972e+01,  0.000000000000000e+00, -1.441236664411934e+01
s9          , -2.311678210871720e+01, -2.287692846860056e+01,  4.682926829268293e-01, -1.639712233979246e+01
s10         , -1.955558688693647e+01, -1.923819798187564e+01,  0.000000000000000e+00, -1.215881716251923e+01
s11         , -1.929232032084748e+01, -1.927319726399400e+01,  0.000000000000000e+00, -1.221296815851855e+01
s12         , -1.972420304545977e+01, -1.921278146987290e+01,  3.947368421052632e-01, -1.094651694327913e+01
s13         , -1.649771434553038e+01, -1.701946937531809e+01,  0.000000000000000e+00, -8.725993497994907e+00
s14         , -1.814284237715737e+01, -1.819729035690094e+01,  0.000000000000000e+00, -1.054832171163982e+01
