# c0 + a0 * (F - SBI) + a1 * (AAV - E_T)
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.397526522644314; Max AE: 1.75529029756542
# Coefficients
# Task   a0                      a1                      c0
# all ,  3.114132441532618e+00,  6.785774172278122e-01, -1.085647116689146e+01, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         13|6|sub; (F - SBI); $\left(F - SBI\right)$; (F - SBI); (newdata$F - newdata$SBI); F,SBI
# 1;  1; Unitless;                                         2|0|sub; (AAV - E_T); $\left(AAV - E_{T}\right)$; (AAV - E_T); (newdata$AAV - newdata$E_T); AAV,E_T
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
s1          , -2.244947812336508e+01, -2.224314289411074e+01, -3.210203698704857e-01, -1.530698121585983e+01
s2          , -2.298888400764099e+01, -2.292518019821971e+01, -1.997599651142347e-01, -1.686856908709021e+01
s3          , -1.755271246623431e+01, -1.807518753320679e+01, -1.710259048075695e-01, -9.853141112662380e+00
s4          , -1.917258847351942e+01, -1.905578411369633e+01, -9.680956800127805e-02, -1.163881221203367e+01
s5          , -2.000094091703784e+01, -2.039844110021725e+01, -1.655160589349337e-01, -1.330213882076700e+01
s6          , -2.179532463031582e+01, -2.168541759779041e+01, -3.233661538382711e-01, -1.447431221755518e+01
s7          , -2.156980503382011e+01, -2.134506206458653e+01, -3.827490713872201e-01, -1.370021954974751e+01
s8          , -2.070680399014268e+01, -2.085795900580905e+01, -7.801377879468985e-02, -1.438088322973229e+01
s9          , -2.311678210871720e+01, -2.269226316644119e+01, -2.490367869964645e-01, -1.629918441319988e+01
s10         , -1.955558688693647e+01, -1.915331627964159e+01, -9.299531316994382e-02, -1.180004696267240e+01
s11         , -1.929232032084748e+01, -1.964740360206223e+01, -1.062100635279546e-01, -1.246752399347954e+01
s12         , -1.972420304545977e+01, -1.908404403567096e+01, -2.340284304589662e-01, -1.105073223904352e+01
s13         , -1.649771434553038e+01, -1.697726961543735e+01, -8.466054159187654e-02, -8.631519647949819e+00
s14         , -1.814284237715737e+01, -1.838418276587630e+01, -9.628686559777500e-02, -1.065149143433222e+01
s15         , -2.140988745272463e+01, -2.137328601079270e+01, -1.734540275076467e-01, -1.470231071125643e+01
s16         , -2.271802967642396e+01, -2.243668309176035e+01, -3.233661538382711e-01, -1.558143054318275e+01
s17         , -1.845283706311921e+01, -1.879063444867440e+01, -1.456024010873357e-01, -1.102414835959740e+01
s18         , -2.106370881996578e+01, -2.152939863604748e+01, -2.578545817902791e-01, -1.454503775136913e+01
s19         , -2.166440903696862e+01, -2.176530186000825e+01, -7.930072178055680e-02, -1.571210221869732e+01
s20         , -1.957524373940041e+01, -1.929307526827830e+01, -8.850733749321589e-02, -1.202660201060852e+01
s21         , -2.230012329283520e+01, -2.270357123139159e+01, -3.581990065132454e-01, -1.581488072744051e+01
s22         , -1.709175230426198e+01, -1.662371508912272e+01, -7.056713486347356e-02, -8.175174088330298e+00
s23         , -2.271630669020732e+01, -2.250490950114792e+01,  1.683898463636946e-02, -1.724324574548409e+01
s24         , -1.997593461761007e+01, -2.041467834561609e+01, -2.019587755985993e-01, -1.315882400015543e+01
s25         , -2.228124530569044e+01, -2.293566869637996e+01, -4.455131661377713e-01, -1.575621329894552e+01
s26         , -1.806502239865187e+01, -1.769739274573843e+01, -1.071322881154807e-01, -9.589616865640993e+00
s27         , -2.017409009594002e+01, -2.012906738561807e+01, -1.169018300097772e-01, -1.312827130883999e+01
s28         , -1.658938425028538e+01, -1.719838279914037e+01, -1.333668470045617e-01, -8.733844447077159e+00
s29         , -2.262132344831001e+01, -2.324512307795017e+01, -3.250158005215584e-01, -1.676523470103118e+01
s30         , -1.697997334312175e+01, -1.755034764687685e+01, -1.054367765467256e-01, -9.380701791721386e+00
s31         , -1.964904728113367e+01, -1.927407484346281e+01, -2.177801474649559e-01, -1.140534190755525e+01
s32         , -2.151059652715050e+01, -2.146689017542248e+01, -1.211989890839976e-01, -1.508006167748456e+01
s33         , -2.289264810431292e+01, -2.362051236793222e+01, -3.126341148260656e-01, -1.737525721073736e+01
s34         , -2.302504917991390e+01, -2.220918852721710e+01, -1.540615570000477e-01, -1.602315224709062e+01
s35         , -2.244061385591441e+01, -2.243309346419040e+01, -3.661156107763149e-01, -1.537995449224499e+01
s36         , -2.239655424600443e+01, -2.197116854841826e+01, -2.530416474644647e-01, -1.521814890375577e+01
s37         , -2.226102540809307e+01, -2.206699419512528e+01, -2.191185732903392e-01, -1.551504441986685e+01
s38         , -2.102436377352775e+01, -2.110250232214263e+01, -2.787260399366495e-01, -1.382014949789603e+01
s39         , -2.141661104833067e+01, -2.076504909707353e+01, -4.744559790352056e-01, -1.242460913042577e+01
s40         , -1.990275935468409e+01, -1.928452695282670e+01, -1.934644134394298e-01, -1.153233482442023e+01
s41         , -1.952311408648237e+01, -1.902729762400492e+01, -1.869027143303417e-01, -1.118337636700211e+01
s42         , -1.862175379272403e+01, -1.919786613640663e+01, -8.040472989721238e-02, -1.192347960052033e+01
s43         , -2.257821044890805e+01, -2.227045535871526e+01, -4.036465796046416e-01, -1.496804200301497e+01
s44         , -1.984867902879579e+01, -1.919342794185648e+01, -4.506009085614168e-02, -1.207914303676234e+01
s45         , -1.928264199244582e+01, -1.937087004377198e+01, -9.709047366113982e-02, -1.210185613991873e+01
s46         , -2.007096062658339e+01, -2.026656096180862e+01, -1.442669496961432e-01, -1.320530742569512e+01
s47         , -1.842882744186564e+01, -1.893593125595599e+01, -6.572181673272656e-02, -1.160485664204907e+01
s48         , -1.712958329507449e+01, -1.687002128005450e+01, -5.737566097635470e-02, -8.598686837825184e+00
s49         , -2.142142340445580e+01, -2.187422994987740e+01, -1.401590874479529e-01, -1.559333475171678e+01
s50         , -2.022197746600499e+01, -2.024395882837911e+01, -8.684588243334662e-02, -1.343551649395320e+01
s51         , -2.208446385448407e+01, -2.252253967870293e+01, -2.748435772528992e-01, -1.593063508612480e+01
s52         , -2.030062191637932e+01, -2.012537404664317e+01, -6.479559812604921e-02, -1.336195484164609e+01
s53         , -1.881589086732163e+01, -1.884706320829408e+01, -2.931698552844396e-01, -1.043008815868953e+01
s54         , -2.389190768082197e+01, -2.411786600945422e+01, -1.513703071203442e-01, -1.884826599553735e+01
s55         , -1.989931101552115e+01, -1.986185985311269e+01, -1.061499044069088e-01, -1.278383807802105e+01
s56         , -2.293632659980805e+01, -2.339244533023908e+01, -4.125954321610042e-01, -1.658041817658905e+01
s57         , -2.165250835772914e+01, -2.164223289622961e+01, -1.554486300481831e-01, -1.518128049353406e+01
s58         , -2.493828100106786e+01, -2.517321117342853e+01, -4.472779356966061e-01, -1.904551632354680e+01
s59         , -2.019609135900962e+01, -1.972089979549535e+01, -1.091685153656913e-01, -1.256225626861349e+01
s60         , -1.686951544328429e+01, -1.713560371368905e+01, -8.670889727560709e-02, -8.855451720411025e+00
s61         , -1.698686520707895e+01, -1.766760539485866e+01, -8.647244871692022e-02, -9.640532390312138e+00
s62         , -1.961666852236879e+01, -1.952040422150904e+01, -6.600767004920979e-02, -1.246486578124321e+01
s63         , -2.363642228074260e+01, -2.300750551743474e+01, -2.157132531154462e-01, -1.691667659357740e+01
s64         , -2.123215125329894e+01, -2.132775335782168e+01, -2.814270733035537e-01, -1.413969986096494e+01
s65         , -2.229595939650926e+01, -2.192442539040837e+01, -2.560749708076304e-01, -1.513534430812385e+01
s66         , -2.209517036440609e+01, -2.175514407158895e+01, -1.869505866934291e-01, -1.520310543173952e+01
s67         , -2.100952424313996e+01, -2.076065618988146e+01, -2.552575618254916e-01, -1.342408240754135e+01
s68         , -2.306714632630091e+01, -2.286971326986779e+01, -2.243979350099490e-01, -1.667376032048298e+01
s69         , -2.116954741071400e+01, -2.114247461781968e+01, -1.136219105275393e-01, -1.463675259613165e+01
s70         , -2.268552320802911e+01, -2.181524197639741e+01, -3.231990860256531e-01, -1.466639737481654e+01
s71         , -1.844586653395837e+01, -1.910032300379376e+01, -5.003686046409431e-02, -1.191909754306385e+01
s72         , -2.185924535832699e+01, -2.137485573534482e+01, -1.515596786104541e-01, -1.480510167507020e+01
s73         , -1.814705961150877e+01, -1.883410808743478e+01, -8.506960529045707e-02, -1.136601175799315e+01
s74         , -2.269683109870329e+01, -2.373687184982724e+01, -3.873736058155839e-01, -1.720373781043877e+01
s75         , -2.162544692540680e+01, -2.140896316401108e+01, -3.395432434283051e-01, -1.399266926130055e+01
s76         , -1.799713371423827e+01, -1.850832271820897e+01, -7.561702016098139e-02, -1.092929111316468e+01
s77         , -1.808839931225978e+01, -1.783969880434552e+01, -1.021826166271081e-01, -9.822044275041518e+00
s78         , -1.710463489071706e+01, -1.734472926033824e+01, -7.009693379121262e-02, -9.239869760904003e+00
s79         , -2.130172009097587e+01, -2.109471532274837e+01, -4.850195099009291e-02, -1.486522009236650e+01
s80         , -2.075517304342145e+01, -2.083921277004091e+01, -1.130746601209223e-01, -1.419235578910876e+01
s81         , -1.679587307458704e+01, -1.752012198603666e+01, -1.297290907891958e-01, -9.224676639668576e+00
s82         , -1.961963418382102e+01, -1.908036834374552e+01, -6.880852873821222e-02, -1.180354385794019e+01
s83         , -1.732943596118787e+01, -1.742424796758830e+01, -5.617344959862618e-02, -9.420951945417817e+00
s84         , -2.091958911511147e+01, -2.139085277626415e+01, -1.199790903733165e-01, -1.497360591993353e+01
s85         , -1.931803893900067e+01, -1.932546888153569e+01, -1.975968168101563e-01, -1.157370531008330e+01
s86         , -2.124992178205270e+01, -2.065739958336296e+01, -3.283882660809846e-01, -1.293630415747096e+01
s87         , -2.000999990609716e+01, -1.981578593661236e+01, -1.247468366244763e-01, -1.263059509676056e+01
s88         , -1.933594922663024e+01, -1.926211521525964e+01, -7.725782711942207e-02, -1.203260340718368e+01
s89         , -2.128477820873118e+01, -2.131209257214568e+01, -2.329336964751568e-01, -1.433916717135340e+01
s90         , -2.009844325702736e+01, -2.042086825153890e+01, -1.379620875230949e-01, -1.346163995481665e+01
s91         , -2.185233402642529e+01, -2.223829581434020e+01, -3.284217007480571e-01, -1.526587197222944e+01
s92         , -1.852873985612102e+01, -1.834454084000518e+01, -1.839743059162698e-01, -1.019065642782784e+01
s93         , -2.244477787769646e+01, -2.215984366794215e+01, -3.094520979973749e-01, -1.523731474268247e+01
s94         , -2.069748145715988e+01, -2.058256997414711e+01, -1.761543166707028e-01, -1.352466307011557e+01
s95         , -1.839144268754908e+01, -1.801313615959805e+01, -1.084385939083101e-01, -1.004892393466326e+01
s96         , -2.061908691885885e+01, -2.039942832561102e+01, -1.000103724423102e-01, -1.360421284150691e+01
s97         , -2.336181657728519e+01, -2.286627512687982e+01,  3.829603205519660e-02, -1.787425070133368e+01
s98         , -1.913590175727989e+01, -1.875395424731764e+01, -2.015895150768779e-01, -1.071315733045071e+01
s99         , -1.764848235022367e+01, -1.769189362909816e+01, -1.734259846828382e-01, -9.277277459098908e+00
s100        , -2.003395952271198e+01, -1.945428242927676e+01, -2.096070088026071e-01, -1.170841686532749e+01
s101        , -2.047737186068138e+01, -2.025499915633807e+01, -7.841509405624031e-02, -1.349047694298223e+01
s102        , -1.813404261594337e+01, -1.783007894349366e+01, -1.072083109124198e-01, -9.784803810172804e+00
s103        , -2.094885731266024e+01, -2.052635737534205e+01, -1.838399788166139e-01, -1.340655308502983e+01
s104        , -1.695125455205811e+01, -1.669897172029364e+01, -1.278056168159491e-01, -8.023398359037522e+00
s105        , -2.089913046364001e+01, -2.168805285108004e+01, -2.695533016756740e-01, -1.472515404880261e+01
s106        , -2.193421435204462e+01, -2.188525185297981e+01, -1.988638824381747e-01, -1.534016893881369e+01
s107        , -1.938858975045087e+01, -1.895462245293833e+01, -4.018138774315307e-02, -1.174961164416913e+01
s108        , -2.184761912256448e+01, -2.183089985220291e+01, -2.369954303900212e-01, -1.508507838185593e+01
