# c0 + a0 * (O - NBI) + a1 * (AAV - E_T)
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.405998932624755; Max AE: 1.84810915656294
# Coefficients
# Task   a0                      a1                      c0
# all , -2.391517154872979e+00,  6.708499592959343e-01, -1.232629252412623e+01, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         12|5|sub; (O - NBI); $\left(O - NBI\right)$; (O - NBI); (newdata$O - newdata$NBI); O,NBI
# 1;  1; Unitless;                                         2|0|sub; (AAV - E_T); $\left(AAV - E_{T}\right)$; (AAV - E_T); (newdata$AAV - newdata$E_T); AAV,E_T
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
s1          , -2.244947812336508e+01, -2.253003914436977e+01, -2.715477295545710e-02, -1.530698121585983e+01
s2          , -2.298888400764099e+01, -2.320840520238538e+01, -1.815442579248565e-01, -1.686856908709021e+01
s3          , -1.755271246623431e+01, -1.778538363487998e+01, -4.812376951876953e-01, -9.853141112662380e+00
s4          , -1.917258847351942e+01, -1.915240199136391e+01, -4.105290357033963e-01, -1.163881221203367e+01
s5          , -2.000094091703784e+01, -2.065598847851547e+01, -2.483960154167160e-01, -1.330213882076700e+01
s6          , -2.179532463031582e+01, -2.190455189184814e+01, -5.512500464109538e-02, -1.447431221755518e+01
s7          , -2.156980503382011e+01, -2.131913471249722e+01, -8.277153208754540e-02, -1.370021954974751e+01
s8          , -2.070680399014268e+01, -2.097622499301441e+01, -4.170919110426776e-01, -1.438088322973229e+01
s9          , -2.311678210871720e+01, -2.274316111470323e+01, -2.163641638617279e-01, -1.629918441319988e+01
s10         , -1.955558688693647e+01, -1.911858034116847e+01, -4.698997058276752e-01, -1.180004696267240e+01
s11         , -1.929232032084748e+01, -1.946563387153886e+01, -5.120166558868949e-01, -1.246752399347954e+01
s12         , -1.972420304545977e+01, -1.899136128452872e+01, -3.129036774105314e-01, -1.105073223904352e+01
s13         , -1.649771434553038e+01, -1.706069493372746e+01, -4.415825296239856e-01, -8.631519647949819e+00
s14         , -1.814284237715737e+01, -1.834575560054563e+01, -4.708682588577026e-01, -1.065149143433222e+01
s15         , -2.140988745272463e+01, -2.092614688069527e+01, -5.281961632847288e-01, -1.470231071125643e+01
s16         , -2.271802967642396e+01, -2.247384330133968e+01, -1.276391715740530e-01, -1.558143054318275e+01
s17         , -1.845283706311921e+01, -1.853209988672480e+01, -4.974842489778722e-01, -1.102414835959740e+01
s18         , -2.106370881996578e+01, -2.166587930177250e+01, -1.747640425517821e-01, -1.454503775136913e+01
s19         , -2.166440903696862e+01, -2.195315084173593e+01, -3.820189265192572e-01, -1.571210221869732e+01
s20         , -1.957524373940041e+01, -1.942467529216248e+01, -4.054592287883396e-01, -1.202660201060852e+01
s21         , -2.230012329283520e+01, -2.245476136398759e+01, -2.011038270966132e-01, -1.581488072744051e+01
s22         , -1.709175230426198e+01, -1.679145082662497e+01, -4.261549618484539e-01, -8.175174088330298e+00
s23         , -2.271630669020732e+01, -2.288471688334688e+01, -4.219941910978016e-01, -1.724324574548409e+01
s24         , -1.997593461761007e+01, -2.043837769106732e+01, -2.991872236783314e-01, -1.315882400015543e+01
s25         , -2.228124530569044e+01, -2.241821481493746e+01, -1.999286346201568e-01, -1.575621329894552e+01
s26         , -1.806502239865187e+01, -1.779806680033330e+01, -4.020125073377813e-01, -9.589616865640993e+00
s27         , -2.017409009594002e+01, -2.019434140479434e+01, -3.926592751299136e-01, -1.312827130883999e+01
s28         , -1.658938425028538e+01, -1.698985174863000e+01, -4.999085893567283e-01, -8.733844447077159e+00
s29         , -2.262132344831001e+01, -2.293901982070961e+01, -2.651997368690651e-01, -1.676523470103118e+01
s30         , -1.697997334312175e+01, -1.749891676509671e+01, -4.684972348578511e-01, -9.380701791721386e+00
s31         , -1.964904728113367e+01, -1.917581325584343e+01, -3.352484514228936e-01, -1.140534190755525e+01
s32         , -2.151059652715050e+01, -2.107972999754321e+01, -5.699400007758290e-01, -1.508006167748456e+01
s33         , -2.289264810431292e+01, -2.351916157206965e+01, -1.937354050302555e-01, -1.737525721073736e+01
s34         , -2.302504917991390e+01, -2.207310977115771e+01, -4.191121036616849e-01, -1.602315224709062e+01
s35         , -2.244061385591441e+01, -2.228140357356668e+01, -1.515902969446522e-01, -1.537995449224499e+01
s36         , -2.239655424600443e+01, -2.241826869908344e+01, -4.897242633120003e-02, -1.521814890375577e+01
s37         , -2.226102540809307e+01, -2.246191219394606e+01, -1.140059761507076e-01, -1.551504441986685e+01
s38         , -2.102436377352775e+01, -2.082532952247666e+01, -3.228953337020325e-01, -1.382014949789603e+01
s39         , -2.141661104833067e+01, -2.059404735411043e+01, -2.813849747751401e-02, -1.242460913042577e+01
s40         , -1.990275935468409e+01, -1.913743676020502e+01, -3.869184503172652e-01, -1.153233482442023e+01
s41         , -1.952311408648237e+01, -1.888351740594036e+01, -3.952063220012920e-01, -1.118337636700211e+01
s42         , -1.862175379272403e+01, -1.929770773827538e+01, -4.296229230186659e-01, -1.192347960052033e+01
s43         , -2.257821044890805e+01, -2.207732974339699e+01, -1.213761517872470e-01, -1.496804200301497e+01
s44         , -1.984867902879579e+01, -1.934185731672897e+01, -4.548275222373696e-01, -1.207914303676234e+01
s45         , -1.928264199244582e+01, -1.935972586200867e+01, -4.537271910328103e-01, -1.210185613991873e+01
s46         , -2.007096062658339e+01, -2.035704226809019e+01, -3.462363643792843e-01, -1.320530742569512e+01
s47         , -1.842882744186564e+01, -1.879117791547012e+01, -5.520479800530659e-01, -1.160485664204907e+01
s48         , -1.712958329507449e+01, -1.701729380486483e+01, -4.505204707478404e-01, -8.598686837825184e+00
s49         , -2.142142340445580e+01, -2.196770659164917e+01, -3.426167837786894e-01, -1.559333475171678e+01
s50         , -2.022197746600499e+01, -2.033100971513094e+01, -4.216982094519892e-01, -1.343551649395320e+01
s51         , -2.208446385448407e+01, -2.247388250266571e+01, -2.255789465889808e-01, -1.593063508612480e+01
s52         , -2.030062191637932e+01, -2.069070429704551e+01, -2.506589122689975e-01, -1.336195484164609e+01
s53         , -1.881589086732163e+01, -1.893093452470079e+01, -1.640725074188992e-01, -1.043008815868953e+01
