# c0 + a0 * (O - NBI) + a1 * (cub_root_V - E_T)
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.417487909898579; Max AE: 1.75257287855666
# Coefficients
# Task   a0                      a1                      c0
# all , -2.485514600676031e+00,  6.689183796895574e-01, -1.238288237759564e+01, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         12|5|sub; (O - NBI); $\left(O - NBI\right)$; (O - NBI); (newdata$O - newdata$NBI); O,NBI
# 1;  1; Unitless;                                         22|0|sub; (cub_root_V - E_T); $\left(cub_{root, V} - E_{T}\right)$; (cub_root_V - E_T); (newdata$cub_root_V - newdata$E_T); cub_root_V,E_T
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
s1          , -2.244947812336508e+01, -2.254603619009323e+01, -2.715477295545710e-02, -1.529431348844747e+01
s2          , -2.298888400764099e+01, -2.323675504264290e+01, -1.815442579248565e-01, -1.690057249441262e+01
s3          , -1.755271246623431e+01, -1.767912835496278e+01, -4.812376951876953e-01, -9.705772022836216e+00
s4          , -1.917258847351942e+01, -1.925553407740416e+01, -4.105290357033963e-01, -1.179968715422932e+01
s5          , -2.000094091703784e+01, -2.074534340822598e+01, -2.483960154167160e-01, -1.342443745956847e+01
s6          , -2.179532463031582e+01, -2.202007393724320e+01, -5.512500464109538e-02, -1.461195544975384e+01
s7          , -2.156980503382011e+01, -2.125087180067102e+01, -8.277153208754540e-02, -1.356476298171144e+01
s8          , -2.070680399014268e+01, -2.119797906394469e+01, -4.170919110426776e-01, -1.472793246560465e+01
s9          , -2.311678210871720e+01, -2.288184236966129e+01, -2.163641638617279e-01, -1.649937662877367e+01
s10         , -1.955558688693647e+01, -1.897205233939285e+01, -4.698997058276752e-01, -1.159650082433872e+01
s11         , -1.929232032084748e+01, -1.927212058962558e+01, -5.120166558868949e-01, -1.220158293424981e+01
s12         , -1.972420304545977e+01, -1.912492060218235e+01, -3.129036774105314e-01, -1.124167777672024e+01
s13         , -1.649771434553038e+01, -1.730784837101791e+01, -4.415825296239856e-01, -9.003379188057556e+00
s14         , -1.814284237715737e+01, -1.852192236199753e+01, -4.708682588577026e-01, -1.092717757311418e+01
s15         , -2.140988745272463e+01, -2.071699985532544e+01, -5.281961632847288e-01, -1.442172475223684e+01
s16         , -2.271802967642396e+01, -2.265899606081834e+01, -1.276391715740530e-01, -1.583655499599897e+01
s17         , -1.845283706311921e+01, -1.820797920323897e+01, -4.974842489778722e-01, -1.055674564266188e+01
s18         , -2.106370881996578e+01, -2.138802779113166e+01, -1.747640425517821e-01, -1.411162300152747e+01
s19         , -2.166440903696862e+01, -2.200584353867368e+01, -3.820189265192572e-01, -1.580532857474014e+01
