# c0 + a0 * (poly_dist_std + B) + a1 * (Al + O) + a2 * (face-area-avg - E_T)
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.312313584193608; Max AE: 1.37155816697834
# Coefficients
# Task   a0                      a1                      a2                      c0
# all ,  1.913644976928027e+00, -2.003325514851651e+00,  6.573922065623284e-01, -1.150464566886615e+01, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         29|9|add; (poly_dist_std + B); $\left(poly_{dist, std} + B\right)$; (poly_dist_std + B); (newdata$poly_dist_std + newdata$B); poly_dist_std,B
# 1;  1; Unitless;                                         15|12|add; (Al + O); $\left(Al + O\right)$; (Al + O); (newdata$Al + newdata$O); Al,O
# 2;  1; Unitless;                                         33|0|sub; (face-area-avg - E_T); $\left(face-area-avg - E_{T}\right)$; (face_sub_area_sub_avg - E_T); (newdata$face_sub_area_sub_avg - newdata$E_T); face-area-avg,E_T
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
s1          , -2.244947812336508e+01, -2.232523661646009e+01,  7.503429439863338e-02,  6.313868613138686e-01, -1.475421588867808e+01
s2          , -2.298888400764099e+01, -2.305987360400874e+01,  1.275427388423458e-01,  4.679245283018868e-01, -1.652270015018798e+01
s3          , -1.755271246623431e+01, -1.776431718744320e+01,  1.949127872016858e-01,  1.086956521739130e-01, -9.758120886367621e+00
s4          , -1.917258847351942e+01, -1.901340619728096e+01,  5.780413820823727e-02,  0.000000000000000e+00, -1.159030644276470e+01
s5          , -2.000094091703784e+01, -2.041039972243974e+01,  1.906566577411240e-01,  4.076923076923077e-01, -1.285969429266044e+01
s6          , -2.179532463031582e+01, -2.176205293617523e+01,  8.434807089358930e-02,  6.183206106870229e-01, -1.396445224342619e+01
s7          , -2.156980503382011e+01, -2.159108008486501e+01,  1.092545090886243e-01,  6.607929515418502e-01, -1.364744712381148e+01
s8          , -2.070680399014268e+01, -2.088240218411677e+01,  5.059506642016903e-02,  0.000000000000000e+00, -1.441236664411934e+01
s9          , -2.311678210871720e+01, -2.303811057457656e+01,  9.616110243147595e-02,  4.682926829268293e-01, -1.639712233979246e+01
s10         , -1.955558688693647e+01, -1.936009084506105e+01,  7.193939791409239e-02,  0.000000000000000e+00, -1.215881716251923e+01
s11         , -1.929232032084748e+01, -1.939395030920525e+01,  7.284812373539344e-02,  0.000000000000000e+00, -1.221296815851855e+01
s12         , -1.972420304545977e+01, -1.940580356633792e+01,  4.482723729746356e-02,  3.947368421052632e-01, -1.094651694327913e+01
s13         , -1.649771434553038e+01, -1.651570243714929e+01,  3.790375751810868e-01,  0.000000000000000e+00, -8.725993497994907e+00
s14         , -1.814284237715737e+01, -1.829022402520023e+01,  7.776057262670263e-02,  0.000000000000000e+00, -1.054832171163982e+01
s15         , -2.140988745272463e+01, -2.124353838322727e+01,  7.559400311566079e-02,  0.000000000000000e+00, -1.503448428510114e+01
