# c0 + a0 * (Na - B) + a1 * (O - NBI) + a2 * (face-area-avg - E_T)
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.320228822148448; Max AE: 1.61752377048519
# Coefficients
# Task   a0                      a1                      a2                      c0
# all , -1.347068238209824e+00, -3.324877843950506e+00,  6.225762709373963e-01, -1.301143331304170e+01, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         14|9|sub; (Na - B); $\left(Na - B\right)$; (Na - B); (newdata$Na - newdata$B); Na,B
# 1;  1; Unitless;                                         12|5|sub; (O - NBI); $\left(O - NBI\right)$; (O - NBI); (newdata$O - newdata$NBI); O,NBI
# 2;  1; Unitless;                                         33|0|sub; (face-area-avg - E_T); $\left(face-area-avg - E_{T}\right)$; (face_sub_area_sub_avg - E_T); (newdata$face_sub_area_sub_avg - newdata$E_T); face-area-avg,E_T
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
s1          , -2.244947812336508e+01, -2.227884247901834e+01,  1.277372262773723e-01, -2.715477295545710e-02, -1.475421588867808e+01
s2          , -2.298888400764099e+01, -2.294354241965124e+01,  1.849056603773585e-01, -1.815442579248565e-01, -1.652270015018798e+01
s3          , -1.755271246623431e+01, -1.761540128082338e+01,  9.565217391304347e-02, -4.812376951876953e-01, -9.758120886367621e+00
s4          , -1.917258847351942e+01, -1.899854456573043e+01,  1.011235955056180e-01, -4.105290357033963e-01, -1.159030644276470e+01
s5          , -2.000094091703784e+01, -2.048700622904560e+01,  2.192307692307692e-01, -2.483960154167160e-01, -1.285969429266044e+01
s6          , -2.179532463031582e+01, -2.174831121016853e+01,  1.679389312977099e-01, -5.512500464109538e-02, -1.396445224342619e+01
s7          , -2.156980503382011e+01, -2.147610789191351e+01,  1.806167400881057e-01, -8.277153208754540e-02, -1.364744712381148e+01
s8          , -2.070680399014268e+01, -2.070970682632074e+01,  8.333333333333333e-02, -4.170919110426776e-01, -1.441236664411934e+01
s9          , -2.311678210871720e+01, -2.296705376374619e+01,  3.463414634146341e-01, -2.163641638617279e-01, -1.639712233979246e+01
s10         , -1.955558688693647e+01, -1.954506377085795e+01,  3.906250000000000e-01, -4.698997058276752e-01, -1.215881716251923e+01
s11         , -1.929232032084748e+01, -1.903500540028553e+01,  9.090909090909091e-02, -5.120166558868949e-01, -1.221296815851855e+01
s12         , -1.972420304545977e+01, -1.891608877562773e+01,  9.649122807017543e-02, -3.129036774105314e-01, -1.094651694327913e+01
s13         , -1.649771434553038e+01, -1.666991390961951e+01, -2.270916334661355e-01, -4.415825296239856e-01, -8.725993497994907e+00
s14         , -1.814284237715737e+01, -1.819023448844394e+01,  1.315789473684210e-01, -4.708682588577026e-01, -1.054832171163982e+01
