# c0 + a0 * (Al + Na) + a1 * (O - NBI) + a2 * (face-area-avg - E_T)
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.322341351036673; Max AE: 1.46533413071949
# Coefficients
# Task   a0                      a1                      a2                      c0
# all , -1.369774459422472e+00, -3.112829338074462e+00,  6.293756892903571e-01, -1.272576060615979e+01, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         15|14|add; (Al + Na); $\left(Al + Na\right)$; (Al + Na); (newdata$Al + newdata$Na); Al,Na
# 1;  1; Unitless;                                         12|5|sub; (O - NBI); $\left(O - NBI\right)$; (O - NBI); (newdata$O - newdata$NBI); O,NBI
# 2;  1; Unitless;                                         33|0|sub; (face-area-avg - E_T); $\left(face-area-avg - E_{T}\right)$; (face_sub_area_sub_avg - E_T); (newdata$face_sub_area_sub_avg - newdata$E_T); face-area-avg,E_T
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
s1          , -2.244947812336508e+01, -2.210214841718301e+01,  1.277372262773723e-01, -2.715477295545710e-02, -1.475421588867808e+01
s2          , -2.298888400764099e+01, -2.281290916088233e+01,  1.849056603773585e-01, -1.815442579248565e-01, -1.652270015018798e+01
s3          , -1.755271246623431e+01, -1.780402835136688e+01,  3.173913043478261e-01, -4.812376951876953e-01, -9.758120886367621e+00
s4          , -1.917258847351942e+01, -1.888102740456090e+01,  1.011235955056180e-01, -4.105290357033963e-01, -1.159030644276470e+01
s5          , -2.000094091703784e+01, -2.034642186982812e+01,  2.192307692307692e-01, -2.483960154167160e-01, -1.285969429266044e+01
s6          , -2.179532463031582e+01, -2.157309108955444e+01,  1.679389312977099e-01, -5.512500464109538e-02, -1.396445224342619e+01
s7          , -2.156980503382011e+01, -2.151608129603699e+01,  3.348017621145374e-01, -8.277153208754540e-02, -1.364744712381148e+01
s8          , -2.070680399014268e+01, -2.061236573135910e+01,  8.333333333333333e-02, -4.170919110426776e-01, -1.441236664411934e+01
s9          , -2.311678210871720e+01, -2.284661575499261e+01,  3.463414634146341e-01, -2.163641638617279e-01, -1.639712233979246e+01
s10         , -1.955558688693647e+01, -1.945057509673471e+01,  3.906250000000000e-01, -4.698997058276752e-01, -1.215881716251923e+01
s11         , -1.929232032084748e+01, -1.894301034203767e+01,  9.090909090909091e-02, -5.120166558868949e-01, -1.221296815851855e+01
s12         , -1.972420304545977e+01, -1.924199477730630e+01,  4.385964912280702e-01, -3.129036774105314e-01, -1.094651694327913e+01
s13         , -1.649771434553038e+01, -1.696317763808689e+01,  8.764940239043825e-02, -4.415825296239856e-01, -8.725993497994907e+00
s14         , -1.814284237715737e+01, -1.807911880524220e+01,  1.315789473684210e-01, -4.708682588577026e-01, -1.054832171163982e+01
s15         , -2.140988745272463e+01, -2.110877045007381e+01,  4.123711340206185e-01, -5.281961632847288e-01, -1.503448428510114e+01
s16         , -2.271802967642396e+01, -2.248580827918441e+01,  2.743362831858407e-01, -1.276391715740530e-01, -1.554173121624078e+01
s17         , -1.845283706311921e+01, -1.832196652963889e+01,  1.943319838056680e-01, -4.974842489778722e-01, -1.092924086187268e+01
s18         , -2.106370881996578e+01, -2.151675719804386e+01,  2.839506172839507e-01, -1.747640425517821e-01, -1.421417935219890e+01
s19         , -2.166440903696862e+01, -2.175792281546555e+01,  2.602739726027397e-01, -3.820189265192572e-01, -1.567395350537589e+01
s20         , -1.957524373940041e+01, -1.923123389168819e+01,  1.462450592885375e-01, -4.054592287883396e-01, -1.202346396600733e+01
s21         , -2.230012329283520e+01, -2.285989751196337e+01,  5.319148936170213e-01, -2.011038270966132e-01, -1.593886693373374e+01
s22         , -1.709175230426198e+01, -1.667041235471845e+01,  1.800000000000000e-01, -4.261549618484539e-01, -7.983530503594674e+00
s23         , -2.271630669020732e+01, -2.254630262858213e+01,  2.750000000000000e-01, -4.219941910978016e-01, -1.709225527404275e+01
