# c0 + a0 * (P + B) + a1 * (O - NBI) + a2 * (AAV - E_T)
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.324408018397261; Max AE: 1.79987340788611
# Coefficients
# Task   a0                      a1                      a2                      c0
# all ,  2.783983941822258e+00, -2.379821352025230e+00,  6.792588351395807e-01, -1.243851140224130e+01, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         17|9|add; (P + B); $\left(P + B\right)$; (P + B); (newdata$P + newdata$B); P,B
# 1;  1; Unitless;                                         12|5|sub; (O - NBI); $\left(O - NBI\right)$; (O - NBI); (newdata$O - newdata$NBI); O,NBI
# 2;  1; Unitless;                                         2|0|sub; (AAV - E_T); $\left(AAV - E_{T}\right)$; (AAV - E_T); (newdata$AAV - newdata$E_T); AAV,E_T
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
s1          , -2.244947812336508e+01, -2.229374543319037e+01,  1.715328467153285e-01, -2.715477295545710e-02, -1.530698121585983e+01
s2          , -2.298888400764099e+01, -2.308639149736598e+01,  1.358490566037736e-01, -1.815442579248565e-01, -1.686856908709021e+01
s3          , -1.755271246623431e+01, -1.767137358628118e+01,  1.130434782608696e-01, -4.812376951876953e-01, -9.853141112662380e+00
s4          , -1.917258847351942e+01, -1.927344950766003e+01,  3.370786516853932e-02, -4.105290357033963e-01, -1.163881221203367e+01
s5          , -2.000094091703784e+01, -2.043324809834405e+01,  1.615384615384615e-01, -2.483960154167160e-01, -1.330213882076700e+01
s6          , -2.179532463031582e+01, -2.154407819267683e+01,  2.137404580152672e-01, -5.512500464109538e-02, -1.447431221755518e+01
s7          , -2.156980503382011e+01, -2.154752511535752e+01,  0.000000000000000e+00, -8.277153208754540e-02, -1.370021954974751e+01
s8          , -2.070680399014268e+01, -2.121424915749122e+01,  0.000000000000000e+00, -4.170919110426776e-01, -1.438088322973229e+01
s9          , -2.311678210871720e+01, -2.273694058353166e+01,  9.268292682926829e-02, -2.163641638617279e-01, -1.629918441319988e+01
s10         , -1.955558688693647e+01, -1.933552020345942e+01,  0.000000000000000e+00, -4.698997058276752e-01, -1.180004696267240e+01
s11         , -1.929232032084748e+01, -1.968867905685480e+01,  0.000000000000000e+00, -5.120166558868949e-01, -1.246752399347954e+01
s12         , -1.972420304545977e+01, -1.920016405774462e+01,  0.000000000000000e+00, -3.129036774105314e-01, -1.105073223904352e+01
s13         , -1.649771434553038e+01, -1.637442586145442e+01,  3.147410358565737e-01, -4.415825296239856e-01, -8.631519647949819e+00
s14         , -1.814284237715737e+01, -1.855304873000452e+01,  0.000000000000000e+00, -4.708682588577026e-01, -1.065149143433222e+01
s15         , -2.140988745272463e+01, -2.116817334238672e+01,  0.000000000000000e+00, -5.281961632847288e-01, -1.470231071125643e+01
s16         , -2.271802967642396e+01, -2.225047384230248e+01,  1.681415929203540e-01, -1.276391715740530e-01, -1.558143054318275e+01
s17         , -1.845283706311921e+01, -1.874283793737357e+01,  0.000000000000000e+00, -4.974842489778722e-01, -1.102414835959740e+01
s18         , -2.106370881996578e+01, -2.163894494933686e+01,  9.465020576131687e-02, -1.747640425517821e-01, -1.454503775136913e+01
s19         , -2.166440903696862e+01, -2.165533187068862e+01,  1.963470319634703e-01, -3.820189265192572e-01, -1.571210221869732e+01
s20         , -1.957524373940041e+01, -1.946670431903863e+01,  6.324110671936758e-02, -4.054592287883396e-01, -1.202660201060852e+01
s21         , -2.230012329283520e+01, -2.270231768133543e+01,  0.000000000000000e+00, -2.011038270966132e-01, -1.581488072744051e+01
s22         , -1.709175230426198e+01, -1.689944640269435e+01,  2.800000000000000e-02, -4.261549618484539e-01, -8.175174088330298e+00
s23         , -2.271630669020732e+01, -2.275246990984770e+01,  1.416666666666667e-01, -4.219941910978016e-01, -1.724324574548409e+01
s24         , -1.997593461761007e+01, -2.066474672123080e+01,  0.000000000000000e+00, -2.991872236783314e-01, -1.315882400015543e+01
s25         , -2.228124530569044e+01, -2.246079066348651e+01,  7.344632768361582e-02, -1.999286346201568e-01, -1.575621329894552e+01
s26         , -1.806502239865187e+01, -1.773427184054941e+01,  9.387755102040816e-02, -4.020125073377813e-01, -9.589616865640993e+00
s27         , -2.017409009594002e+01, -1.994533897233318e+01,  1.710526315789474e-01, -3.926592751299136e-01, -1.312827130883999e+01
s28         , -1.658938425028538e+01, -1.686456109995115e+01,  1.137931034482759e-01, -4.999085893567283e-01, -8.733844447077159e+00
s29         , -2.262132344831001e+01, -2.289647146588502e+01,  1.073446327683616e-01, -2.651997368690651e-01, -1.676523470103118e+01
s30         , -1.697997334312175e+01, -1.695544988691639e+01,  2.658227848101266e-01, -4.684972348578511e-01, -9.380701791721386e+00
s31         , -1.964904728113367e+01, -1.938785923780632e+01,  0.000000000000000e+00, -3.352484514228936e-01, -1.140534190755525e+01
s32         , -2.151059652715050e+01, -2.099789362533558e+01,  1.176470588235294e-01, -5.699400007758290e-01, -1.508006167748456e+01
s33         , -2.289264810431292e+01, -2.320527984503914e+01,  2.063492063492063e-01, -1.937354050302555e-01, -1.737525721073736e+01
s34         , -2.302504917991390e+01, -2.232496719967794e+01,  0.000000000000000e+00, -4.191121036616849e-01, -1.602315224709062e+01
s35         , -2.244061385591441e+01, -2.234903524270646e+01,  6.310679611650485e-02, -1.515902969446522e-01, -1.537995449224499e+01
s36         , -2.239655424600443e+01, -2.198304455240662e+01,  2.428115015974441e-01, -4.897242633120003e-02, -1.521814890375577e+01
s37         , -2.226102540809307e+01, -2.202644771923832e+01,  2.440677966101695e-01, -1.140059761507076e-01, -1.551504441986685e+01
s38         , -2.102436377352775e+01, -2.105753684202361e+01,  0.000000000000000e+00, -3.228953337020325e-01, -1.382014949789603e+01
s39         , -2.141661104833067e+01, -2.081107233012801e+01,  0.000000000000000e+00, -2.813849747751401e-02, -1.242460913042577e+01
s40         , -1.990275935468409e+01, -1.935115493195907e+01,  0.000000000000000e+00, -3.869184503172652e-01, -1.153233482442023e+01
s41         , -1.952311408648237e+01, -1.909439816266464e+01,  0.000000000000000e+00, -3.952063220012920e-01, -1.118337636700211e+01
s42         , -1.862175379272403e+01, -1.897052195062545e+01,  1.956521739130435e-01, -4.296229230186659e-01, -1.192347960052033e+01
s43         , -2.257821044890805e+01, -2.231683261987962e+01,  0.000000000000000e+00, -1.213761517872470e-01, -1.496804200301497e+01
s44         , -1.984867902879579e+01, -1.945839995253208e+01,  3.684210526315789e-02, -4.548275222373696e-01, -1.207914303676234e+01
s45         , -1.928264199244582e+01, -1.911501712601792e+01,  1.666666666666667e-01, -4.537271910328103e-01, -1.210185613991873e+01
s46         , -2.007096062658339e+01, -2.058435244908161e+01,  0.000000000000000e+00, -3.462363643792843e-01, -1.320530742569512e+01
s47         , -1.842882744186564e+01, -1.877133965850363e+01,  8.480565371024736e-02, -5.520479800530659e-01, -1.160485664204907e+01
s48         , -1.712958329507449e+01, -1.720708717162231e+01,  0.000000000000000e+00, -4.505204707478404e-01, -8.598686837825184e+00
s49         , -2.142142340445580e+01, -2.184092283469945e+01,  1.343873517786561e-01, -3.426167837786894e-01, -1.559333475171678e+01
s50         , -2.022197746600499e+01, -2.056113828245792e+01,  0.000000000000000e+00, -4.216982094519892e-01, -1.343551649395320e+01
s51         , -2.208446385448407e+01, -2.217709354709541e+01,  1.959798994974874e-01, -2.255789465889808e-01, -1.593063508612480e+01
s52         , -2.030062191637932e+01, -2.030994845261873e+01,  2.184873949579832e-01, -2.506589122689975e-01, -1.336195484164609e+01
s53         , -1.881589086732163e+01, -1.913277767888007e+01,  0.000000000000000e+00, -1.640725074188992e-01, -1.043008815868953e+01
s54         , -2.389190768082197e+01, -2.397389921603015e+01,  1.458333333333333e-01, -3.619875634048325e-01, -1.884826599553735e+01
s55         , -1.989931101552115e+01, -1.982891191717587e+01,  1.106557377049180e-01, -4.139263011804414e-01, -1.278383807802105e+01
s56         , -2.293632659980805e+01, -2.299750259376280e+01,  6.521739130434782e-02, -2.192770371912895e-01, -1.658041817658905e+01
s57         , -2.165250835772914e+01, -2.138602323918004e+01,  2.796610169491525e-01, -2.462097779682870e-01, -1.518128049353406e+01
s58         , -2.493828100106786e+01, -2.513603713492738e+01,  0.000000000000000e+00, -1.005577581168140e-01, -1.904551632354680e+01
s59         , -2.019609135900962e+01, -1.997155048850307e+01,  0.000000000000000e+00, -4.201930840861400e-01, -1.256225626861349e+01
s60         , -1.686951544328429e+01, -1.688817190966854e+01,  1.538461538461539e-01, -4.778417884297937e-01, -8.855451720411025e+00
s61         , -1.698686520707895e+01, -1.731900916396263e+01,  2.112211221122112e-01, -4.537663412400392e-01, -9.640532390312138e+00
s62         , -1.961666852236879e+01, -1.940893521152670e+01,  1.179487179487179e-01, -4.908263654880198e-01, -1.246486578124321e+01
s63         , -2.363642228074260e+01, -2.302142017800595e+01,  1.273584905660377e-01, -2.325087421206198e-01, -1.691667659357740e+01
s64         , -2.123215125329894e+01, -2.133406449581816e+01,  0.000000000000000e+00, -2.979059594545378e-01, -1.413969986096494e+01
s65         , -2.229595939650926e+01, -2.188329048082049e+01,  1.491228070175439e-01, -1.768543530122671e-01, -1.513534430812385e+01
s66         , -2.209517036440609e+01, -2.188556473391290e+01,  1.477832512315271e-02, -3.523994495857614e-01, -1.520310543173952e+01
s67         , -2.100952424313996e+01, -2.129086669918972e+01,  0.000000000000000e+00, -1.118030484890913e-01, -1.342408240754135e+01
s68         , -2.306714632630091e+01, -2.295699533988058e+01,  2.645502645502645e-02, -3.082856221929966e-01, -1.667376032048298e+01
s69         , -2.116954741071400e+01, -2.166247824709072e+01,  0.000000000000000e+00, -3.017775570481522e-01, -1.463675259613165e+01
s70         , -2.268552320802911e+01, -2.215166905502358e+01,  0.000000000000000e+00, -1.046811112598034e-01, -1.466639737481654e+01
s71         , -1.844586653395837e+01, -1.891814597084964e+01,  2.041522491349481e-01, -4.404369093661873e-01, -1.191909754306385e+01
s72         , -2.185924535832699e+01, -2.170355330496530e+01,  5.106382978723404e-02, -2.728328042435130e-01, -1.480510167507020e+01
s73         , -1.814705961150877e+01, -1.819851551091769e+01,  2.415254237288136e-01, -5.412410036332536e-01, -1.136601175799315e+01
s74         , -2.269683109870329e+01, -2.317387408662977e+01,  1.573033707865168e-01, -2.153515271541801e-01, -1.720373781043877e+01
s75         , -2.162544692540680e+01, -2.151762041438874e+01,  0.000000000000000e+00, -1.788097288961880e-01, -1.399266926130055e+01
s76         , -1.799713371423827e+01, -1.815149289988748e+01,  1.964285714285714e-01, -4.891048074766862e-01, -1.092929111316468e+01
s77         , -1.808839931225978e+01, -1.800835461886240e+01,  0.000000000000000e+00, -4.630041391112415e-01, -9.822044275041518e+00
s78         , -1.710463489071706e+01, -1.699510405695440e+01,  2.243346007604563e-01, -4.601717641014593e-01, -9.239869760904003e+00
s79         , -2.130172009097587e+01, -2.144306460513763e+01,  1.459074733096085e-01, -2.884984697981398e-01, -1.486522009236650e+01
s80         , -2.075517304342145e+01, -2.043093743891652e+01,  2.200000000000000e-01, -4.350665046513994e-01, -1.419235578910876e+01
s81         , -1.679587307458704e+01, -1.685396104523884e+01,  2.415254237288136e-01, -4.950331938141695e-01, -9.224676639668576e+00
s82         , -1.961963418382102e+01, -1.932780421506332e+01,  3.045685279187817e-02, -4.385107515159761e-01, -1.180354385794019e+01
s83         , -1.732943596118787e+01, -1.727355144016186e+01,  1.181434599156118e-01, -5.190790099190720e-01, -9.420951945417817e+00
s84         , -2.091958911511147e+01, -2.119885276896826e+01,  2.041522491349481e-01, -3.539157106439386e-01, -1.497360591993353e+01
s85         , -1.931803893900067e+01, -1.958056597542985e+01,  0.000000000000000e+00, -3.023281614710812e-01, -1.157370531008330e+01
s86         , -2.124992178205270e+01, -2.082465641307957e+01,  0.000000000000000e+00, -1.684806642463159e-01, -1.293630415747096e+01
s87         , -2.000999990609716e+01, -1.970084421861487e+01,  1.116071428571429e-01, -4.228880465369009e-01, -1.263059509676056e+01
s88         , -1.933594922663024e+01, -1.916442883052375e+01,  9.844559585492228e-02, -4.930049840825274e-01, -1.203260340718368e+01
s89         , -2.128477820873118e+01, -2.132142013633057e+01,  1.767068273092370e-01, -1.534351667388586e-01, -1.433916717135340e+01
s90         , -2.009844325702736e+01, -2.023576919569819e+01,  1.715481171548117e-01, -3.651924868948131e-01, -1.346163995481665e+01
s91         , -2.185233402642529e+01, -2.193592483577481e+01,  1.406250000000000e-01, -2.019341651361008e-01, -1.526587197222944e+01
s92         , -1.852873985612102e+01, -1.835422062210015e+01,  0.000000000000000e+00, -4.228822443998729e-01, -1.019065642782784e+01
s93         , -2.244477787769646e+01, -2.246866895293500e+01,  0.000000000000000e+00, -1.344315663878274e-01, -1.523731474268247e+01
s94         , -2.069748145715988e+01, -2.069754436953591e+01,  5.500000000000000e-02, -3.254844309670541e-01, -1.352466307011557e+01
s95         , -1.839144268754908e+01, -1.823564843776218e+01,  0.000000000000000e+00, -4.322523326674624e-01, -1.004892393466326e+01
s96         , -2.061908691885885e+01, -2.036882697258586e+01,  9.268292682926829e-02, -4.422342107734066e-01, -1.360421284150691e+01
s97         , -2.336181657728519e+01, -2.318150264682072e+01,  1.052631578947368e-01, -4.644048275373078e-01, -1.787425070133368e+01
s98         , -1.913590175727989e+01, -1.881339417430158e+01,  0.000000000000000e+00, -3.790721501515332e-01, -1.071315733045071e+01
s99         , -1.764848235022367e+01, -1.770120852627277e+01,  0.000000000000000e+00, -4.365771217316718e-01, -9.277277459098908e+00
s100        , -2.003395952271198e+01, -1.952564020831105e+01,  0.000000000000000e+00, -3.638578981839677e-01, -1.170841686532749e+01
s101        , -2.047737186068138e+01, -2.095544540111787e+01,  0.000000000000000e+00, -2.716975601301618e-01, -1.349047694298223e+01
s102        , -1.813404261594337e+01, -1.789036034506693e+01,  8.029197080291971e-02, -4.080280804030690e-01, -9.784803810172804e+00
s103        , -2.094885731266024e+01, -2.067522518018048e+01,  0.000000000000000e+00, -3.654920790986833e-01, -1.340655308502983e+01
s104        , -1.695125455205811e+01, -1.680873557065659e+01,  0.000000000000000e+00, -4.537063481199944e-01, -8.023398359037522e+00
s105        , -2.089913046364001e+01, -2.148050873368786e+01,  1.806167400881057e-01, -1.921823041780821e-01, -1.472515404880261e+01
s106        , -2.193421435204462e+01, -2.191148221529291e+01,  9.852216748768473e-02, -2.826642169588321e-01, -1.534016893881369e+01
s107        , -1.938858975045087e+01, -1.899235502027195e+01,  1.167512690355330e-01, -4.631231002318315e-01, -1.174961164416913e+01
s108        , -2.184761912256448e+01, -2.190660722547695e+01,  7.547169811320754e-02, -2.388687496731988e-01, -1.508507838185593e+01
s109        , -1.765266017099491e+01, -1.811523619878396e+01,  2.323232323232323e-01, -4.735777176993480e-01, -1.096863069515475e+01
s110        , -2.222643790681205e+01, -2.165512085720713e+01,  2.286585365853659e-01, -1.383561547192186e-01, -1.499053608639862e+01
s111        , -2.198367498730207e+01, -2.190350070487074e+01,  0.000000000000000e+00, -1.913098581443651e-01, -1.460455436822666e+01
s112        , -2.341727175416096e+01, -2.288198640062873e+01,  8.212560386473430e-02, -5.458104442118528e-02, -1.590263377798977e+01
s113        , -2.064750776227555e+01, -2.022698916545799e+01,  3.589743589743589e-02, -3.291394598502473e-01, -1.276642763265858e+01
s114        , -2.335281852671257e+01, -2.321912763390710e+01,  1.629955947136564e-01, -8.458159599913950e-02, -1.683552991362063e+01
s115        , -2.467653405274963e+01, -2.454577589643578e+01,  2.232558139534884e-01, -1.804540021588620e-01, -1.937148654069641e+01
s116        , -2.119630992652875e+01, -2.156948155266125e+01,  0.000000000000000e+00, -2.522382830176995e-02, -1.353092205816309e+01
s117        , -1.681518237222159e+01, -1.671864858721899e+01,  2.738095238095238e-01, -4.517432432665496e-01, -9.006120203181734e+00
s118        , -1.725426000439147e+01, -1.738484737805833e+01,  2.127659574468085e-02, -4.864346105548946e-01, -9.073414772739770e+00
s119        , -2.026224064054247e+01, -2.073755609747680e+01,  1.209964412811388e-01, -1.708826236432294e-01, -1.331240242073248e+01
s120        , -2.061376236446881e+01, -2.035179060395452e+01,  3.783783783783784e-02, -3.120369639678299e-01, -1.289819272254068e+01
s121        , -2.090204853596659e+01, -2.107744926877124e+01,  5.699481865284974e-02, -3.487935552527325e-01, -1.417379705438413e+01
s122        , -1.679179791839329e+01, -1.674003355325770e+01,  1.766666666666667e-01, -5.536085502424309e-01, -8.996347852209563e+00
s123        , -1.729435756680531e+01, -1.764180443744649e+01,  0.000000000000000e+00, -4.681560529280563e-01, -9.300461737453984e+00
s124        , -1.927065840811719e+01, -1.956035982200159e+01,  1.231527093596059e-01, -2.572202207934699e-01, -1.189066868297204e+01
s125        , -2.074667074869674e+01, -2.061846422206640e+01,  0.000000000000000e+00, -4.461861094296336e-01, -1.360570606067084e+01
