# c0 + a0 * (P + B) + a1 * (poly_dist_avg_fixed - NBI) + a2 * (face-area-avg - O)
# Property Label: $ln_{D, 700}$; Unit of the Property: Unitless
# RMSE: 0.373392708275084; Max AE: 1.74221173806883
# Coefficients
# Task   a0                      a1                      a2                      c0
# all ,  2.661770859700893e+00, -4.346249156710553e+00,  1.460929854035220e+00, -1.858542978215206e+01, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         17|9|add; (P + B); $\left(P + B\right)$; (P + B); (newdata$P + newdata$B); P,B
# 1;  1; Unitless;                                         31|5|sub; (poly_dist_avg_fixed - NBI); $\left(poly_{dist, avg, fixed} - NBI\right)$; (poly_dist_avg_fixed - NBI); (newdata$poly_dist_avg_fixed - newdata$NBI); poly_dist_avg_fixed,NBI
# 2;  1; Unitless;                                         33|12|sub; (face-area-avg - O); $\left(face-area-avg - O\right)$; (face_sub_area_sub_avg - O); (newdata$face_sub_area_sub_avg - newdata$O); face-area-avg,O
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
s1          , -1.479291144873637e+01, -1.417968000361972e+01,  1.715328467153285e-01, -2.733445324275395e-01,  1.889991634083438e+00
s2          , -1.379235187650760e+01, -1.357316802900235e+01,  1.358490566037736e-01, -2.734949098882034e-01,  2.369713824339599e+00
s3          , -1.146544782088717e+01, -1.160097381294973e+01,  1.130434782608696e-01, -4.004859851472701e-01,  3.383426140560227e+00
s4          , -1.211259319980414e+01, -1.218372066997220e+01,  3.370786516853932e-02, -2.945191678607162e-01,  3.444335674353652e+00
s5          , -1.254805085471047e+01, -1.285572518240518e+01,  1.615384615384615e-01, -2.922450284908473e-01,  2.758213551692226e+00
s6          , -1.445522834026088e+01, -1.404326429267653e+01,  2.137404580152672e-01, -2.955339758367886e-01,  1.840453233332714e+00
s7          , -1.459794509677780e+01, -1.494213896406568e+01,  0.000000000000000e+00, -2.444664013271263e-01,  1.766531719744074e+00
s8          , -1.252323543804931e+01, -1.232593016716828e+01,  0.000000000000000e+00, -3.244057028467022e-01,  3.319496544724104e+00
s9          , -1.521645099673147e+01, -1.458838253541951e+01,  9.268292682926829e-02, -3.064153012895160e-01,  1.655513631536436e+00
s10         , -1.288075647471878e+01, -1.266724283959975e+01,  0.000000000000000e+00, -3.785508693087064e-01,  2.924788301262471e+00
s11         , -1.154469869125380e+01, -1.168071795345753e+01,  0.000000000000000e+00, -4.132697209907581e-01,  3.496772030658555e+00
s12         , -1.342515552160951e+01, -1.297878798265912e+01,  0.000000000000000e+00, -2.724780451998594e-01,  3.027102439659155e+00
s13         , -1.112763687396219e+01, -1.138160515895150e+01,  3.147410358565737e-01, -3.515463174845685e-01,  3.311690979775689e+00
s14         , -1.124542408726570e+01, -1.145238602388795e+01,  0.000000000000000e+00, -3.877516797588378e-01,  3.728980095828633e+00
s15         , -1.323502075759720e+01, -1.278224730650262e+01,  0.000000000000000e+00, -4.335178691046795e-01,  2.682542075384130e+00
s16         , -1.507939272282353e+01, -1.452471783865690e+01,  1.681415929203540e-01, -3.090157889164381e-01,  1.553871962365295e+00
s17         , -1.201513018677904e+01, -1.228320703067916e+01,  0.000000000000000e+00, -3.837363867847350e-01,  3.172232254142754e+00
s18         , -1.300115363252726e+01, -1.324383037364075e+01,  9.465020576131687e-02, -3.468838275151391e-01,  2.451875903721922e+00
s19         , -1.384230763900041e+01, -1.392741055518251e+01,  1.963470319634703e-01, -3.846333391097261e-01,  1.686375349471519e+00
s20         , -1.214474610449596e+01, -1.194335720399289e+01,  6.324110671936758e-02, -3.015319803111981e-01,  3.534191675081644e+00
s21         , -1.361919737432093e+01, -1.404830072060597e+01,  0.000000000000000e+00, -3.539791786674769e-01,  2.052560803304100e+00
s22         , -1.146341062637473e+01, -1.121053653793401e+01,  2.800000000000000e-02, -3.394672541777687e-01,  3.987155424920918e+00
s23         , -1.397016269891184e+01, -1.371832264364004e+01,  1.416666666666667e-01, -3.953092420358914e-01,  1.897360414596960e+00
s24         , -1.270636122921018e+01, -1.318777213021526e+01,  0.000000000000000e+00, -3.776295648241594e-01,  2.571229182493158e+00
s25         , -1.473562325520944e+01, -1.506977985489768e+01,  7.344632768361582e-02, -2.785004079954949e-01,  1.444094296008045e+00
s26         , -1.144242487790698e+01, -1.104391510362929e+01,  9.387755102040816e-02, -3.301165495789156e-01,  4.008998349534590e+00
s27         , -1.306883627310902e+01, -1.254801462047976e+01,  1.710526315789474e-01, -3.641088945052262e-01,  2.737711372465204e+00
s28         , -1.073133282934675e+01, -1.120592824676357e+01,  1.137931034482759e-01, -4.091986651180588e-01,  3.626547161566029e+00
s29         , -1.437162483052667e+01, -1.477992136505319e+01,  1.073446327683616e-01, -3.152607683589675e-01,  1.471377798933561e+00
s30         , -1.118777088866078e+01, -1.142855935763481e+01,  2.658227848101266e-01, -3.792587275624338e-01,  3.286234547101008e+00
s31         , -1.313447039954996e+01, -1.304111252193344e+01,  0.000000000000000e+00, -3.329103626147117e-01,  2.804656134671232e+00
s32         , -1.333436857613453e+01, -1.234891921816766e+01,  1.176470588235294e-01, -4.560831736502798e-01,  2.697672260803835e+00
s33         , -1.376654716173873e+01, -1.400903305807151e+01,  2.063492063492063e-01, -3.894824756460000e-01,  1.597855319281867e+00
s34         , -1.394796794999383e+01, -1.315671123339579e+01,  0.000000000000000e+00, -3.227030048160777e-01,  2.755896099382036e+00
s35         , -1.461269132820449e+01, -1.497654023907786e+01,  6.310679611650485e-02, -2.994700044061031e-01,  1.464370415939557e+00
