# c0 + a0 * (AAV / E_T) + a1 * (O + E_T)
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.490841944662043; Max AE: 2.20283290084713
# Coefficients
# Task   a0                      a1                      c0
# all ,  1.662182019129080e+00, -4.623805918239927e-01, -1.697787173181985e+01, 
# Feature Rung, Units, and Expressions
# 0;  1; A^3;                                              2|0|div; (AAV / E_T); $\left(\frac{ AAV }{ E_{T} } \right)$; (AAV ./ E_T); (newdata$AAV / newdata$E_T); AAV,E_T
# 1;  1; Unitless;                                         12|0|add; (O + E_T); $\left(O + E_{T}\right)$; (O + E_T); (newdata$O + newdata$E_T); O,E_T
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
s1          , -2.244947812336508e+01, -2.207783093003556e+01,  1.036155960055312e+00,  1.475459637507883e+01
s2          , -2.298888400764099e+01, -2.288962510131830e+01,  1.146956204277227e+00,  1.690858891402743e+01
s3          , -1.755271246623431e+01, -1.789216564606716e+01,  2.405148651695441e+00,  1.062347521346189e+01
s4          , -1.917258847351942e+01, -1.929243231137467e+01,  2.101804607194077e+00,  1.256138883866988e+01
s5          , -2.000094091703784e+01, -2.066048800370465e+01,  1.610837343161285e+00,  1.375516458063223e+01
s6          , -2.179532463031582e+01, -2.158554604077264e+01,  1.078765494109917e+00,  1.384309598910606e+01
s7          , -2.156980503382011e+01, -2.104774313330960e+01,  1.193422153329478e+00,  1.309215039088110e+01
s8          , -2.070680399014268e+01, -2.118093660476769e+01,  1.690396250097580e+00,  1.516675061424882e+01
s9          , -2.311678210871720e+01, -2.257609453127207e+01,  9.560669124771134e-01,  1.554429437036547e+01
s10         , -1.955558688693647e+01, -1.941865785764623e+01,  1.933140051067598e+00,  1.222805813900046e+01
s11         , -1.929232032084748e+01, -1.989071015155379e+01,  1.940399180315321e+00,  1.327507070089868e+01
s12         , -1.972420304545977e+01, -1.889786812208082e+01,  1.998681886941838e+00,  1.133734758203288e+01
s13         , -1.649771434553038e+01, -1.680517296284148e+01,  2.737351526953811e+00,  9.466828401885049e+00
s14         , -1.814284237715737e+01, -1.854009556036781e+01,  2.402013438895067e+00,  1.201349596978806e+01
s15         , -2.140988745272463e+01, -2.137392262851307e+01,  1.439787720781966e+00,  1.468322909220248e+01
s16         , -2.271802967642396e+01, -2.221783383967440e+01,  9.524813963997988e-01,  1.475658727713754e+01
s17         , -1.845283706311921e+01, -1.884340452779024e+01,  2.056665709362223e+00,  1.142800033320397e+01
s18         , -2.106370881996578e+01, -2.144715142591966e+01,  1.319237659752585e+00,  1.440824491533685e+01
s19         , -2.166440903696862e+01, -2.219359714457933e+01,  8.763575189251922e-01,  1.443051728603995e+01
s20         , -1.957524373940041e+01, -1.957916669407052e+01,  2.093182556888432e+00,  1.315052032586146e+01
s21         , -2.230012329283520e+01, -2.220963837944541e+01,  1.127273411898110e+00,  1.536721127393174e+01
s22         , -1.709175230426198e+01, -1.637002135450777e+01,  3.118769270840444e+00,  9.896851008472128e+00
s23         , -2.271630669020732e+01, -2.303861987156081e+01,  8.725584942673178e-01,  1.624440842103852e+01
s24         , -1.997593461761007e+01, -2.055739238622820e+01,  1.506705259829999e+00,  1.315785989508156e+01
s25         , -2.228124530569044e+01, -2.226887324034503e+01,  9.093562118081087e-01,  1.471194330614414e+01
s26         , -1.806502239865187e+01, -1.768302263533328e+01,  2.781885066555508e+00,  1.152546264842853e+01
s27         , -2.017409009594002e+01, -2.040606243969825e+01,  1.622988379193338e+00,  1.324859416106476e+01
s28         , -1.658938425028538e+01, -1.689523204024815e+01,  2.861928863887989e+00,  1.010943601151142e+01
s29         , -2.262132344831001e+01, -2.282043530165843e+01,  8.440411851861376e-01,  1.567002114573491e+01
s30         , -1.697997334312175e+01, -1.749334016754573e+01,  2.479604187836506e+00,  1.002858254282004e+01
s31         , -1.964904728113367e+01, -1.917779853273334e+01,  1.964530410062725e+00,  1.181998989834859e+01
s32         , -2.151059652715050e+01, -2.160911047424318e+01,  1.364694787682733e+00,  1.492192795742413e+01
s33         , -2.289264810431292e+01, -2.315711068179785e+01,  8.533303850978228e-01,  1.643154904597763e+01
s34         , -2.302504917991390e+01, -2.218602607828255e+01,  1.363775669393310e+00,  1.616633110132655e+01
s35         , -2.244061385591441e+01, -2.208423396900762e+01,  9.578189981795995e-01,  1.448683589230736e+01
s36         , -2.239655424600443e+01, -2.198335534588676e+01,  1.233385749643939e+00,  1.525928067599527e+01
s37         , -2.226102540809307e+01, -2.212809946626143e+01,  1.212763995904474e+00,  1.549818995129651e+01
s38         , -2.102436377352775e+01, -2.091975652670977e+01,  1.389566521505559e+00,  1.352045780437927e+01
s39         , -2.141661104833067e+01, -2.025750100296645e+01,  1.258530240392281e+00,  1.161713035157313e+01
s40         , -1.990275935468409e+01, -1.923048461655926e+01,  1.926602339311937e+00,  1.179759001050850e+01
s41         , -1.952311408648237e+01, -1.895807316759213e+01,  2.071346978201281e+00,  1.172877329673941e+01
s42         , -1.862175379272403e+01, -1.950143422250258e+01,  2.015493775638456e+00,  1.270312834940833e+01
s43         , -2.257821044890805e+01, -2.181227415685363e+01,  1.007957810908817e+00,  1.407890359041090e+01
s44         , -1.984867902879579e+01, -1.961392722169363e+01,  1.998128279017881e+00,  1.288399317036714e+01
s45         , -1.928264199244582e+01, -1.965159946068562e+01,  1.867600606601592e+00,  1.249624222608577e+01
s46         , -2.007096062658339e+01, -2.045012075467517e+01,  1.747680422343079e+00,  1.379212732718986e+01
s47         , -1.842882744186564e+01, -1.928440248969515e+01,  1.909992251218413e+00,  1.185448877277465e+01
s48         , -1.712958329507449e+01, -1.678660403687503e+01,  3.030082022642366e+00,  1.047898688927233e+01
s49         , -2.142142340445580e+01, -2.207718049292018e+01,  1.315424159134331e+00,  1.575711280873738e+01
s50         , -2.022197746600499e+01, -2.055447331894942e+01,  1.755264668041759e+00,  1.404507687388660e+01
