# c0 + a0 * (cub_root_V * WE) + a1 * (O / RBI) + a2 * (O + E_T)
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.377030060534036; Max AE: 1.47746082341753
# Coefficients
# Task   a0                      a1                      a2                      c0
# all ,  4.454950806590404e-02, -5.333311693790940e+00, -7.332102583986209e-01, -1.295730709051845e+01, 
# Feature Rung, Units, and Expressions
# 0;  1; A;                                                22|8|mult; (cub_root_V * WE); $\left(cub_{root, V} WE\right)$; (cub_root_V .* WE); (newdata$cub_root_V * newdata$WE); cub_root_V,WE
# 1;  1; Unitless;                                         12|7|div; (O / RBI); $\left(\frac{ O }{ RBI } \right)$; (O ./ RBI); (newdata$O / newdata$RBI); O,RBI
# 2;  1; Unitless;                                         12|0|add; (O + E_T); $\left(O + E_{T}\right)$; (O + E_T); (newdata$O + newdata$E_T); O,E_T
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
s1          , -2.244947812336508e+01, -2.226476440056717e+01,  7.075875636483805e+01,  3.077831881885986e-01,  1.475459637507883e+01
s2          , -2.298888400764099e+01, -2.291748350301401e+01,  7.194138230782384e+01,  1.439216009020738e-01,  1.690858891402743e+01
s3          , -1.755271246623431e+01, -1.769056346198205e+01,  6.859749450811627e+01,  0.000000000000000e+00,  1.062347521346189e+01
s4          , -1.917258847351942e+01, -1.913763678387171e+01,  6.800994207189228e+01,  0.000000000000000e+00,  1.256138883866988e+01
s5          , -2.000094091703784e+01, -2.034530240035675e+01,  7.286211131058030e+01,  1.028514327271541e-01,  1.375516458063223e+01
s6          , -2.179532463031582e+01, -2.167112092312782e+01,  6.777920404892839e+01,  2.968969626736321e-01,  1.384309598910606e+01
s7          , -2.156980503382011e+01, -2.140070065047759e+01,  6.533283589001906e+01,  3.289963889343198e-01,  1.309215039088110e+01
s8          , -2.070680399014268e+01, -2.107964293582784e+01,  6.729774181111560e+01,  0.000000000000000e+00,  1.516675061424882e+01
s9          , -2.311678210871720e+01, -2.266308831758000e+01,  5.836008177989474e+01,  1.703365790864108e-01,  1.554429437036547e+01
s10         , -1.955558688693647e+01, -1.936929249039779e+01,  5.732391621816939e+01,  0.000000000000000e+00,  1.222805813900046e+01
s11         , -1.929232032084748e+01, -1.914493731077706e+01,  7.959207525618098e+01,  0.000000000000000e+00,  1.327507070089868e+01
s12         , -1.972420304545977e+01, -1.874027514399288e+01,  6.081786189025320e+01,  3.369657399495768e-02,  1.133734758203288e+01
s13         , -1.649771434553038e+01, -1.682601734335174e+01,  6.896743823485122e+01,  0.000000000000000e+00,  9.466828401885049e+00
s14         , -1.814284237715737e+01, -1.852320813081628e+01,  7.278458471829732e+01,  0.000000000000000e+00,  1.201349596978806e+01
s15         , -2.140988745272463e+01, -2.113596704848400e+01,  5.807548390942884e+01,  0.000000000000000e+00,  1.468322909220248e+01
s16         , -2.271802967642396e+01, -2.246783563769193e+01,  6.088699914735089e+01,  2.631260494073562e-01,  1.475658727713754e+01
s17         , -1.845283706311921e+01, -1.814421029540983e+01,  7.165564808648891e+01,  0.000000000000000e+00,  1.142800033320397e+01
s18         , -2.106370881996578e+01, -2.135509861570490e+01,  6.913440559225835e+01,  1.712673775224714e-01,  1.440824491533685e+01
s19         , -2.166440903696862e+01, -2.148492959701048e+01,  6.294604442666145e+01,  1.408570425662181e-01,  1.443051728603995e+01
s20         , -1.957524373940041e+01, -1.960973022296787e+01,  6.710900756365291e+01,  0.000000000000000e+00,  1.315052032586146e+01
s21         , -2.230012329283520e+01, -2.294938721790027e+01,  5.493311500988126e+01,  2.197370969220548e-01,  1.536721127393174e+01
s22         , -1.709175230426198e+01, -1.720819979184109e+01,  6.746606448460832e+01,  0.000000000000000e+00,  9.896851008472128e+00
s23         , -2.271630669020732e+01, -2.246054467221744e+01,  6.685905436738145e+01,  1.071020597314770e-01,  1.624440842103852e+01
s24         , -1.997593461761007e+01, -2.001864502058253e+01,  7.103915787728310e+01,  1.084916176830921e-01,  1.315785989508156e+01
s25         , -2.228124530569044e+01, -2.306769818275214e+01,  5.172824662339696e+01,  3.052346033458345e-01,  1.471194330614414e+01
s26         , -1.806502239865187e+01, -1.817167662765490e+01,  7.264317946438378e+01,  0.000000000000000e+00,  1.152546264842853e+01
s27         , -2.017409009594002e+01, -2.001219467275914e+01,  6.264767038999123e+01,  2.471359989899002e-02,  1.324859416106476e+01
s28         , -1.658938425028538e+01, -1.693461889810860e+01,  7.710591052078209e+01,  0.000000000000000e+00,  1.010943601151142e+01
s29         , -2.262132344831001e+01, -2.327749739493459e+01,  5.211229985886649e+01,  2.160660092821783e-01,  1.567002114573491e+01
s30         , -1.697997334312175e+01, -1.716916369677564e+01,  7.051038558470431e+01,  0.000000000000000e+00,  1.002858254282004e+01
s31         , -1.964904728113367e+01, -1.931723604041222e+01,  5.752061156826657e+01,  4.798257929883692e-02,  1.181998989834859e+01
s32         , -2.151059652715050e+01, -2.110312088913986e+01,  6.274136295090469e+01,  0.000000000000000e+00,  1.492192795742413e+01
s33         , -2.289264810431292e+01, -2.359503556567334e+01,  5.712198195253624e+01,  2.127579286843442e-01,  1.643154904597763e+01
s34         , -2.302504917991390e+01, -2.258997350751475e+01,  4.984686663385579e+01,  0.000000000000000e+00,  1.616633110132655e+01
s35         , -2.244061385591441e+01, -2.252781754600073e+01,  5.745648218417710e+01,  2.828021069467199e-01,  1.448683589230736e+01
s36         , -2.239655424600443e+01, -2.172809322183499e+01,  8.230765116472564e+01,  2.342428954219850e-01,  1.525928067599527e+01
s37         , -2.226102540809307e+01, -2.174516130136920e+01,  7.946605106723652e+01,  1.808624528842214e-01,  1.549818995129651e+01
s38         , -2.102436377352775e+01, -2.120517164326313e+01,  4.962784291391433e+01,  1.022670737864309e-01,  1.352045780437927e+01
s39         , -2.141661104833067e+01, -2.110285384813641e+01,  6.206427185975345e+01,  4.486293934961046e-01,  1.161713035157313e+01
s40         , -1.990275935468409e+01, -1.920801256454046e+01,  5.385937242032760e+01,  0.000000000000000e+00,  1.179759001050850e+01
s41         , -1.952311408648237e+01, -1.903895197449202e+01,  5.652165702711184e+01,  0.000000000000000e+00,  1.172877329673941e+01
s42         , -1.862175379272403e+01, -1.918673174998166e+01,  6.924070531854295e+01,  0.000000000000000e+00,  1.270312834940833e+01
s43         , -2.257821044890805e+01, -2.257862543480834e+01,  6.175821118835562e+01,  3.843427592378118e-01,  1.407890359041090e+01
s44         , -1.984867902879579e+01, -1.988624126586290e+01,  5.651559120657173e+01,  0.000000000000000e+00,  1.288399317036714e+01
s45         , -1.928264199244582e+01, -1.943696111332584e+01,  6.094651001849996e+01,  6.078412949855269e-03,  1.249624222608577e+01
s46         , -2.007096062658339e+01, -2.025277433792731e+01,  6.739290192174691e+01,  3.473613476154554e-02,  1.379212732718986e+01
s47         , -1.842882744186564e+01, -1.830825655620650e+01,  7.499259712675797e+01,  0.000000000000000e+00,  1.185448877277465e+01
s48         , -1.712958329507449e+01, -1.749381905730293e+01,  7.063576804034417e+01,  0.000000000000000e+00,  1.047898688927233e+01
s49         , -2.142142340445580e+01, -2.179066581704858e+01,  6.936130959665726e+01,  6.939294288544944e-02,  1.575711280873738e+01
s50         , -2.022197746600499e+01, -2.023140237498405e+01,  6.787727386331414e+01,  0.000000000000000e+00,  1.404507687388660e+01
s51         , -2.208446385448407e+01, -2.224361926611249e+01,  6.040394676658693e+01,  1.768392450202509e-01,  1.504907950960228e+01
s52         , -2.030062191637932e+01, -1.987721087450771e+01,  8.493533175582320e+01,  1.358338263387395e-01,  1.361040272199163e+01
s53         , -1.881589086732163e+01, -1.846491923597856e+01,  7.077289411168358e+01,  2.553836221740045e-01,  9.954128737823392e+00
s54         , -2.389190768082197e+01, -2.419006199625813e+01,  5.560412004888601e+01,  1.424779272649006e-01,  1.766207135869826e+01
s55         , -1.989931101552115e+01, -1.974454670854363e+01,  6.641577275029645e+01,  0.000000000000000e+00,  1.329227122811093e+01
s56         , -2.293632659980805e+01, -2.356439228233940e+01,  5.217697479837105e+01,  2.787202209400626e-01,  1.560949510283250e+01
s57         , -2.165250835772914e+01, -2.126734332362886e+01,  6.768087650417159e+01,  2.086662762531644e-01,  1.392820623909980e+01
s58         , -2.493828100106786e+01, -2.568951947483633e+01,  5.880509336023670e+01,  3.763236864960485e-01,  1.820064394160582e+01
s59         , -2.019609135900962e+01, -1.994084373847868e+01,  5.638178273276321e+01,  0.000000000000000e+00,  1.295033344640037e+01
s60         , -1.686951544328429e+01, -1.741747647925437e+01,  7.237141206259736e+01,  0.000000000000000e+00,  1.048032280800659e+01
s61         , -1.698686520707895e+01, -1.745935287016419e+01,  7.662133324683114e+01,  0.000000000000000e+00,  1.079565976127190e+01
s62         , -1.961666852236879e+01, -1.986836542263048e+01,  5.880691255109689e+01,  0.000000000000000e+00,  1.299883252854930e+01
s63         , -2.363642228074260e+01, -2.298146141243249e+01,  6.012662897425651e+01,  1.425301682408096e-01,  1.628810851264553e+01
s64         , -2.123215125329894e+01, -2.118064374528292e+01,  5.798126241320318e+01,  2.217910366935844e-01,  1.312514729915971e+01
s65         , -2.229595939650926e+01, -2.172996216884187e+01,  6.371414403143661e+01,  1.824899335806225e-01,  1.450854380874742e+01
