# c0 + a0 * (poly_dist_avg / RBI) + a1 * (O + E_T)
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.478154090664917; Max AE: 1.81461800126032
# Coefficients
# Task   a0                      a1                      c0
# all , -8.760726202365145e+00, -7.808199276467653e-01, -9.222688978712867e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         30|7|div; (poly_dist_avg / RBI); $\left(\frac{ poly_{dist, avg} }{ RBI } \right)$; (poly_dist_avg ./ RBI); (newdata$poly_dist_avg / newdata$RBI); poly_dist_avg,RBI
# 1;  1; Unitless;                                         12|0|add; (O + E_T); $\left(O + E_{T}\right)$; (O + E_T); (newdata$O + newdata$E_T); O,E_T
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
s1          , -2.244947812336508e+01, -2.238839673817441e+01,  1.877726626099958e-01,  1.475459637507883e+01
s2          , -2.298888400764099e+01, -2.343834196243052e+01,  1.156399353040344e-01,  1.690858891402743e+01
s3          , -1.755271246623431e+01, -1.775865111511719e+01,  2.750239915119815e-02,  1.062347521346189e+01
s4          , -1.917258847351942e+01, -1.927053936674841e+01,  2.735705446629948e-02,  1.256138883866988e+01
s5          , -2.000094091703784e+01, -2.068249034599466e+01,  8.212729607608832e-02,  1.375516458063223e+01
s6          , -2.179532463031582e+01, -2.162138066341125e+01,  1.814605820745986e-01,  1.384309598910606e+01
s7          , -2.156980503382011e+01, -2.140761667410836e+01,  2.239900813151057e-01,  1.309215039088110e+01
s8          , -2.070680399014268e+01, -2.121706806127200e+01,  1.733623010200149e-02,  1.516675061424882e+01
s9          , -2.311678210871720e+01, -2.256529690993645e+01,  1.375814170872505e-01,  1.554429437036547e+01
s10         , -1.955558688693647e+01, -1.892897996773024e+01,  1.807835492220302e-02,  1.222805813900046e+01
s11         , -1.929232032084748e+01, -2.004208968352081e+01,  5.181773178848872e-02,  1.327507070089868e+01
s12         , -1.972420304545977e+01, -1.811118254267546e+01,  4.116855660174914e-03,  1.133734758203288e+01
s13         , -1.649771434553038e+01, -1.676580325270108e+01,  1.726181171409753e-02,  9.466828401885049e+00
s14         , -1.814284237715737e+01, -1.874983912765007e+01,  1.675353065856111e-02,  1.201349596978806e+01
s15         , -2.140988745272463e+01, -2.113811010365546e+01,  5.141848257129104e-02,  1.468322909220248e+01
s16         , -2.271802967642396e+01, -2.230016748962035e+01,  1.775242217294612e-01,  1.475658727713754e+01
s17         , -1.845283706311921e+01, -1.874572668512939e+01,  6.846776160349086e-02,  1.142800033320397e+01
s18         , -2.106370881996578e+01, -2.140537736060108e+01,  1.064345133085300e-01,  1.440824491533685e+01
s19         , -2.166440903696862e+01, -2.170949619020157e+01,  1.391633204982995e-01,  1.443051728603995e+01
s20         , -1.957524373940041e+01, -1.968962478463682e+01,  2.268618742060853e-02,  1.315052032586146e+01
s21         , -2.230012329283520e+01, -2.271336967776569e+01,  1.702662392994516e-01,  1.536721127393174e+01
s22         , -1.709175230426198e+01, -1.707051537589346e+01,  1.371666070127036e-02,  9.896851008472128e+00
