# c0 + a0 * (E_T / cub_root_V) + a1 * (AAV / E_T)
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.484200731254277; Max AE: 1.93264151084686
# Coefficients
# Task   a0                      a1                      c0
# all , -1.295308378624326e+01,  1.008465070755144e+00, -1.592085342769083e+01, 
# Feature Rung, Units, and Expressions
# 0;  1; A^-1;                                             0|22|div; (E_T / cub_root_V); $\left(\frac{ E_{T} }{ cub_{root, V} } \right)$; (E_T ./ cub_root_V); (newdata$E_T / newdata$cub_root_V); E_T,cub_root_V
# 1;  1; A^3;                                              2|0|div; (AAV / E_T); $\left(\frac{ AAV }{ E_{T} } \right)$; (AAV ./ E_T); (newdata$AAV / newdata$E_T); AAV,E_T
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
s1          , -2.244947812336508e+01, -2.213002649963026e+01,  5.600288151624674e-01,  1.036155960055312e+00
s2          , -2.298888400764099e+01, -2.261115559836544e+01,  6.057991726038179e-01,  1.146956204277227e+00
s3          , -1.755271246623431e+01, -1.795468919777942e+01,  3.442689207363340e-01,  2.405148651695441e+00
s4          , -1.917258847351942e+01, -1.914702871091057e+01,  4.127026353990429e-01,  2.101804607194077e+00
s5          , -2.000094091703784e+01, -2.043321151449564e+01,  4.737737656393893e-01,  1.610837343161285e+00
s6          , -2.179532463031582e+01, -2.178644237411461e+01,  5.368209131909156e-01,  1.078765494109917e+00
s7          , -2.156980503382011e+01, -2.105151978007145e+01,  4.890102629773755e-01,  1.193422153329478e+00
s8          , -2.070680399014268e+01, -2.086099794531349e+01,  5.129936778945775e-01,  1.690396250097580e+00
s9          , -2.311678210871720e+01, -2.291510821141035e+01,  6.144031028896449e-01,  9.560669124771134e-01
s10         , -1.955558688693647e+01, -1.923604044174579e+01,  4.064430771323952e-01,  1.933140051067598e+00
s11         , -1.929232032084748e+01, -1.946148632016876e+01,  4.244130417025775e-01,  1.940399180315321e+00
s12         , -1.972420304545977e+01, -1.903469213209790e+01,  3.960014201704300e-01,  1.998681886941838e+00
s13         , -1.649771434553038e+01, -1.729862474106985e+01,  3.194833587879088e-01,  2.737351526953811e+00
s14         , -1.814284237715737e+01, -1.846801895249106e+01,  3.836547542978292e-01,  2.402013438895067e+00
s15         , -2.140988745272463e+01, -2.100776345377198e+01,  5.048130437275874e-01,  1.439787720781966e+00
s16         , -2.271802967642396e+01, -2.263664312054192e+01,  5.926259752767892e-01,  9.524813963997988e-01
s17         , -1.845283706311921e+01, -1.866340600948692e+01,  3.718518455831509e-01,  2.056665709362223e+00
s18         , -2.106370881996578e+01, -2.103881585739304e+01,  4.978248914313283e-01,  1.319237659752585e+00
s19         , -2.166440903696862e+01, -2.271054659321917e+01,  5.924048079583639e-01,  8.763575189251922e-01
s20         , -1.957524373940041e+01, -1.942912738692754e+01,  4.338098592815747e-01,  2.093182556888432e+00
s21         , -2.230012329283520e+01, -2.228603587116634e+01,  5.791669712299075e-01,  1.127273411898110e+00
s22         , -1.709175230426198e+01, -1.686242141020568e+01,  3.155030819952101e-01,  3.118769270840444e+00
s23         , -2.271630669020732e+01, -2.340470039426863e+01,  6.456988828497973e-01,  8.725584942673178e-01
s24         , -1.997593461761007e+01, -2.023074593024294e+01,  4.500358544121166e-01,  1.506705259829999e+00
s25         , -2.228124530569044e+01, -2.271596908640207e+01,  5.953925538090468e-01,  9.093562118081087e-01
s26         , -1.806502239865187e+01, -1.750733183972497e+01,  3.390630683000078e-01,  2.781885066555508e+00
s27         , -2.017409009594002e+01, -2.016041855609438e+01,  4.536597088411039e-01,  1.622988379193338e+00
s28         , -1.658938425028538e+01, -1.709431939668311e+01,  3.134096351264836e-01,  2.861928863887989e+00
