# c0 + a0 * (cub_root_V * WE) + a1 * (poly_dist_avg_fixed / RBI) + a2 * (O + E_T)
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.384994951451187; Max AE: 2.14657961101214
# Coefficients
# Task   a0                      a1                      a2                      c0
# all ,  4.383846853888108e-02, -9.107249385315695e+00, -7.201646078075432e-01, -1.285310169599604e+01, 
# Feature Rung, Units, and Expressions
# 0;  1; A;                                                22|8|mult; (cub_root_V * WE); $\left(cub_{root, V} WE\right)$; (cub_root_V .* WE); (newdata$cub_root_V * newdata$WE); cub_root_V,WE
# 1;  1; Unitless;                                         31|7|div; (poly_dist_avg_fixed / RBI); $\left(\frac{ poly_{dist, avg, fixed} }{ RBI } \right)$; (poly_dist_avg_fixed ./ RBI); (newdata$poly_dist_avg_fixed / newdata$RBI); poly_dist_avg_fixed,RBI
# 2;  1; Unitless;                                         12|0|add; (O + E_T); $\left(O + E_{T}\right)$; (O + E_T); (newdata$O + newdata$E_T); O,E_T
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
s1          , -2.244947812336508e+01, -2.208697675919696e+01,  7.075875636483805e+01,  1.877726626099958e-01,  1.475459637507883e+01
s2          , -2.298888400764099e+01, -2.292943070461604e+01,  7.194138230782384e+01,  1.156399353040344e-01,  1.690858891402743e+01
s3          , -1.755271246623431e+01, -1.775790471208781e+01,  6.859749450811627e+01,  2.869815563603285e-02,  1.062347521346189e+01
s4          , -1.917258847351942e+01, -1.916706517413727e+01,  6.800994207189228e+01,  2.735705446629948e-02,  1.256138883866988e+01
s5          , -2.000094091703784e+01, -2.040086935466555e+01,  7.286211131058030e+01,  9.178933090856929e-02,  1.375516458063223e+01
s6          , -2.179532463031582e+01, -2.150367976010135e+01,  6.777920404892839e+01,  1.814605820745986e-01,  1.384309598910606e+01
s7          , -2.156980503382011e+01, -2.145744710725563e+01,  6.533283589001906e+01,  2.239900813151057e-01,  1.309215039088110e+01
s8          , -2.070680399014268e+01, -2.098331413763717e+01,  6.729774181111560e+01,  1.733623010200149e-02,  1.516675061424882e+01
s9          , -2.311678210871720e+01, -2.274212402203958e+01,  5.836008177989474e+01,  1.375814170872505e-01,  1.554429437036547e+01
s10         , -1.955558688693647e+01, -1.931096777901422e+01,  5.732391621816939e+01,  1.807835492220302e-02,  1.222805813900046e+01
s11         , -1.929232032084748e+01, -1.940047053915119e+01,  7.959207525618098e+01,  5.230200965567086e-02,  1.327507070089868e+01
s12         , -1.972420304545977e+01, -1.889429227417946e+01,  6.081786189025320e+01,  5.957847482947491e-02,  1.133734758203288e+01
s13         , -1.649771434553038e+01, -1.680455721207780e+01,  6.896743823485122e+01,  1.726181171409753e-02,  9.466828401885049e+00
s14         , -1.814284237715737e+01, -1.846882144777350e+01,  7.278458471829732e+01,  1.699633545071417e-02,  1.201349596978806e+01
s15         , -2.140988745272463e+01, -2.134978428607782e+01,  5.807548390942884e+01,  5.141848257129104e-02,  1.468322909220248e+01
s16         , -2.271802967642396e+01, -2.242783814768984e+01,  6.088699914735089e+01,  1.775242217294612e-01,  1.475658727713754e+01
s17         , -1.845283706311921e+01, -1.856542217948701e+01,  7.165564808648891e+01,  6.846776160349086e-02,  1.142800033320397e+01
s18         , -2.106370881996578e+01, -2.098179816942118e+01,  6.913440559225835e+01,  8.599027611451159e-02,  1.440824491533685e+01
s19         , -2.166440903696862e+01, -2.175784905325821e+01,  6.294604442666145e+01,  1.396533321901950e-01,  1.443051728603995e+01
s20         , -1.957524373940041e+01, -1.958829365862195e+01,  6.710900756365291e+01,  2.268618742060853e-02,  1.315052032586146e+01
s21         , -2.230012329283520e+01, -2.255444634270383e+01,  5.493311500988126e+01,  1.144809542940119e-01,  1.536721127393174e+01
s22         , -1.709175230426198e+01, -1.715358590681494e+01,  6.746606448460832e+01,  1.435464491993410e-02,  9.896851008472128e+00
s23         , -2.271630669020732e+01, -2.267835202829459e+01,  6.685905436738145e+01,  1.161273639684037e-01,  1.624440842103852e+01
s24         , -1.997593461761007e+01, -1.997955981054150e+01,  7.103915787728310e+01,  8.398594997108480e-02,  1.315785989508156e+01
s25         , -2.228124530569044e+01, -2.345820639015994e+01,  5.172824662339696e+01,  2.501052544856939e-01,  1.471194330614414e+01
s26         , -1.806502239865187e+01, -1.814325704024152e+01,  7.264317946438378e+01,  1.915954931842331e-02,  1.152546264842853e+01
s27         , -2.017409009594002e+01, -1.993401151995864e+01,  6.264767038999123e+01,  3.141663539435281e-02,  1.324859416106476e+01
s28         , -1.658938425028538e+01, -1.697374845615228e+01,  7.710591052078209e+01,  2.419981741722235e-02,  1.010943601151142e+01
