# c0 + a0 * (AAV - E_T)
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.504806348611568; Max AE: 2.79606603292344
# Coefficients
# Task   a0                      c0
# all ,  7.377466830259483e-01, -1.065738553086385e+01, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         2|0|sub; (AAV - E_T); $\left(AAV - E_{T}\right)$; (AAV - E_T); (newdata$AAV - newdata$E_T); AAV,E_T
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
s1          , -2.244947812336508e+01, -2.195006015000494e+01, -1.530698121585983e+01
s2          , -2.298888400764099e+01, -2.310211642225870e+01, -1.686856908709021e+01
s3          , -1.755271246623431e+01, -1.792650770411712e+01, -9.853141112662380e+00
s4          , -1.917258847351942e+01, -1.924388063465359e+01, -1.163881221203367e+01
s5          , -2.000094091703784e+01, -2.047099432303540e+01, -1.330213882076700e+01
s6          , -2.179532463031582e+01, -2.133576135844714e+01, -1.447431221755518e+01
s7          , -2.156980503382011e+01, -2.076467706041732e+01, -1.370021954974751e+01
s8          , -2.070680399014268e+01, -2.126683443258234e+01, -1.438088322973229e+01
s9          , -2.311678210871720e+01, -2.268205476773030e+01, -1.629918441319988e+01
s10         , -1.955558688693647e+01, -1.936283103712582e+01, -1.180004696267240e+01
s11         , -1.929232032084748e+01, -1.985526000259981e+01, -1.246752399347954e+01
s12         , -1.972420304545977e+01, -1.881002658522612e+01, -1.105073223904352e+01
s13         , -1.649771434553038e+01, -1.702526052061213e+01, -8.631519647949819e+00
s14         , -1.814284237715737e+01, -1.851548800582174e+01, -1.065149143433222e+01
s15         , -2.140988745272463e+01, -2.150396649091015e+01, -1.470231071125643e+01
s16         , -2.271802967642396e+01, -2.215253423089612e+01, -1.558143054318275e+01
s17         , -1.845283706311921e+01, -1.879041441634278e+01, -1.102414835959740e+01
s18         , -2.106370881996578e+01, -2.138793888642362e+01, -1.454503775136913e+01
s19         , -2.166440903696862e+01, -2.224893682607244e+01, -1.571210221869732e+01
s20         , -1.957524373940041e+01, -1.952997127226349e+01, -1.202660201060852e+01
s21         , -2.230012329283520e+01, -2.232476132998408e+01, -1.581488072744051e+01
s22         , -1.709175230426198e+01, -1.668859309768921e+01, -8.175174088330298e+00
s23         , -2.271630669020732e+01, -2.337853288419603e+01, -1.724324574548409e+01
s24         , -1.997593461761007e+01, -2.036526428950076e+01, -1.315882400015543e+01
s25         , -2.228124530569044e+01, -2.228147962921024e+01, -1.575621329894552e+01
s26         , -1.806502239865187e+01, -1.773209356498018e+01, -9.589616865640993e+00
s27         , -2.017409009594002e+01, -2.034272414282528e+01, -1.312827130883999e+01
s28         , -1.658938425028538e+01, -1.710075030175962e+01, -8.733844447077159e+00
s29         , -2.262132344831001e+01, -2.302588182170113e+01, -1.676523470103118e+01
s30         , -1.697997334312175e+01, -1.757796716216187e+01, -9.380701791721386e+00
s31         , -1.964904728113367e+01, -1.907163869193957e+01, -1.140534190755525e+01
s32         , -2.151059652715050e+01, -2.178265101325480e+01, -1.508006167748456e+01
s33         , -2.289264810431292e+01, -2.347592390480802e+01, -1.737525721073736e+01
