# c0 + a0 * (cub_root_V - E_T)
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.521694701051432; Max AE: 2.73093189054741
# Coefficients
# Task   a0                      c0
# all ,  7.378787232351625e-01, -1.065568134488363e+01, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         22|0|sub; (cub_root_V - E_T); $\left(cub_{root, V} - E_{T}\right)$; (cub_root_V - E_T); (newdata$cub_root_V - newdata$E_T); cub_root_V,E_T
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
s1          , -2.244947812336508e+01, -2.194102985449757e+01, -1.529431348844747e+01
s2          , -2.298888400764099e+01, -2.312625419900412e+01, -1.690057249441262e+01
s3          , -1.755271246623431e+01, -1.781736401310557e+01, -9.705772022836216e+00
s4          , -1.917258847351942e+01, -1.936241943682071e+01, -1.179968715422932e+01
s5          , -2.000094091703784e+01, -2.056128811770029e+01, -1.342443745956847e+01
s6          , -2.179532463031582e+01, -2.143753237611706e+01, -1.461195544975384e+01
s7          , -2.156980503382011e+01, -2.066483133481645e+01, -1.356476298171144e+01
s8          , -2.070680399014268e+01, -2.152310934849768e+01, -1.472793246560465e+01
s9          , -2.311678210871720e+01, -2.283022030589922e+01, -1.649937662877367e+01
s10         , -1.955558688693647e+01, -1.921249256714219e+01, -1.159650082433872e+01
s11         , -1.929232032084748e+01, -1.965896978185582e+01, -1.220158293424981e+01
s12         , -1.972420304545977e+01, -1.895067618979105e+01, -1.124167777672024e+01
s13         , -1.649771434553038e+01, -1.729908328496957e+01, -9.003379188057556e+00
s14         , -1.814284237715737e+01, -1.871861318109702e+01, -1.092717757311418e+01
s15         , -2.140988745272463e+01, -2.129716519191309e+01, -1.442172475223684e+01
s16         , -2.271802967642396e+01, -2.234113832577478e+01, -1.583655499599897e+01
s17         , -1.845283706311921e+01, -1.844527934120934e+01, -1.055674564266188e+01
s18         , -2.106370881996578e+01, -2.106834770802667e+01, -1.411162300152747e+01
s19         , -2.166440903696862e+01, -2.231809701392511e+01, -1.580532857474014e+01
s20         , -1.957524373940041e+01, -1.983071151103015e+01, -1.243433355270014e+01
s21         , -2.230012329283520e+01, -2.241477859786703e+01, -1.593635496281381e+01
s22         , -1.709175230426198e+01, -1.714170534583933e+01, -8.790094898682423e+00
s23         , -2.271630669020732e+01, -2.342322405422021e+01, -1.730303680984111e+01
s24         , -1.997593461761007e+01, -2.008504251215885e+01, -1.277901214705452e+01
s25         , -2.228124530569044e+01, -2.239327383561775e+01, -1.590721092928619e+01
s26         , -1.806502239865187e+01, -1.762636556293900e+01, -9.446923997880083e+00
s27         , -2.017409009594002e+01, -2.019225174162436e+01, -1.292430598205692e+01
s28         , -1.658938425028538e+01, -1.705591636895698e+01, -8.673830566643929e+00
s29         , -2.262132344831001e+01, -2.314129492434677e+01, -1.692095623074901e+01
s30         , -1.697997334312175e+01, -1.737041438600217e+01, -9.100049682525617e+00
s31         , -1.964904728113367e+01, -1.894051868264190e+01, -1.122791195473717e+01
s32         , -2.151059652715050e+01, -2.170684317205663e+01, -1.497693520517868e+01
s33         , -2.289264810431292e+01, -2.341767401436347e+01, -1.729551519459192e+01
s34         , -2.302504917991390e+01, -2.253693871831578e+01, -1.610191078737148e+01
s35         , -2.244061385591441e+01, -2.216901394659818e+01, -1.560328579639129e+01
s36         , -2.239655424600443e+01, -2.149192252122382e+01, -1.468566694649992e+01
s37         , -2.226102540809307e+01, -2.186154283510374e+01, -1.518658979769606e+01
s38         , -2.102436377352775e+01, -2.095652655541655e+01, -1.396007892105874e+01
s39         , -2.141661104833067e+01, -1.979227474891552e+01, -1.238224265902847e+01
s40         , -1.990275935468409e+01, -1.905842804653606e+01, -1.138770699988659e+01
s41         , -1.952311408648237e+01, -1.913786251465018e+01, -1.149535947123831e+01
s42         , -1.862175379272403e+01, -1.946023553714323e+01, -1.193225108003769e+01
s43         , -2.257821044890805e+01, -2.173910309173771e+01, -1.502065501802224e+01
s44         , -1.984867902879579e+01, -1.948876711933359e+01, -1.197091811473043e+01
s45         , -1.928264199244582e+01, -1.934529565909574e+01, -1.177648038977637e+01
s46         , -2.007096062658339e+01, -2.058208037712210e+01, -1.345261588343011e+01
s47         , -1.842882744186564e+01, -1.910123891009348e+01, -1.144572583443126e+01
s48         , -1.712958329507449e+01, -1.738734173103214e+01, -9.122990234267977e+00
s49         , -2.142142340445580e+01, -2.230769122244090e+01, -1.579122626882382e+01
s50         , -2.022197746600499e+01, -2.031130423732450e+01, -1.308565024087789e+01
s51         , -2.208446385448407e+01, -2.222016161625022e+01, -1.567260297283431e+01
s52         , -2.030062191637932e+01, -2.051781096050858e+01, -1.336551563973188e+01
s53         , -1.881589086732163e+01, -1.805178153456825e+01, -1.002346314751710e+01
s54         , -2.389190768082197e+01, -2.479554906709577e+01, -1.916286142554317e+01
s55         , -1.989931101552115e+01, -1.978627845339579e+01, -1.237411626192430e+01
s56         , -2.293632659980805e+01, -2.309659163229033e+01, -1.686037270848610e+01
s57         , -2.165250835772914e+01, -2.177967692160712e+01, -1.507564214340175e+01
s58         , -2.493828100106786e+01, -2.492240665501203e+01, -1.933478342833526e+01
s59         , -2.019609135900962e+01, -2.005885027812598e+01, -1.274351548180575e+01
s60         , -1.686951544328429e+01, -1.761976585608822e+01, -9.437979835861363e+00
s61         , -1.698686520707895e+01, -1.756124343078781e+01, -9.358668123167138e+00
s62         , -1.961666852236879e+01, -1.967020111304911e+01, -1.221680404151259e+01
s63         , -2.363642228074260e+01, -2.319296855423339e+01, -1.699098620757238e+01
s64         , -2.123215125329894e+01, -2.097238381933056e+01, -1.398156926007336e+01
s65         , -2.229595939650926e+01, -2.170704660924989e+01, -1.497721091063929e+01
s66         , -2.209517036440609e+01, -2.200646277402337e+01, -1.538299055347912e+01
s67         , -2.100952424313996e+01, -2.047023739321885e+01, -1.330104221640134e+01
s68         , -2.306714632630091e+01, -2.283124165876157e+01, -1.650076080320531e+01
s69         , -2.116954741071400e+01, -2.162798566035679e+01, -1.487006464607908e+01
s70         , -2.268552320802911e+01, -2.126652514829131e+01, -1.438020025416291e+01
s71         , -1.844586653395837e+01, -1.934926941451444e+01, -1.178186576720163e+01
s72         , -2.185924535832699e+01, -2.142948759991506e+01, -1.460105287735449e+01
s73         , -1.814705961150877e+01, -1.879456800455454e+01, -1.103011430386107e+01
s74         , -2.269683109870329e+01, -2.346189270358300e+01, -1.735544196551935e+01
s75         , -2.162544692540680e+01, -2.109988619422921e+01, -1.415436510156291e+01
s76         , -1.799713371423827e+01, -1.870991790865453e+01, -1.091539342462381e+01
s77         , -1.808839931225978e+01, -1.791575971773351e+01, -9.839121449414780e+00
s78         , -1.710463489071706e+01, -1.766040946462020e+01, -9.493061527814456e+00
s79         , -2.130172009097587e+01, -2.155440902289044e+01, -1.477035091921654e+01
s80         , -2.075517304342145e+01, -2.130470202757595e+01, -1.443193894520045e+01
s81         , -1.679587307458704e+01, -1.726796181423602e+01, -8.961202242505994e+00
s82         , -1.961963418382102e+01, -1.918305078973298e+01, -1.155660026008323e+01
s83         , -1.732943596118787e+01, -1.745873565078984e+01, -9.219745862949999e+00
s84         , -2.091958911511147e+01, -2.155071259543525e+01, -1.476534138670288e+01
s85         , -1.931803893900067e+01, -1.901359841341932e+01, -1.132695225563785e+01
s86         , -2.124992178205270e+01, -2.015681815513084e+01, -1.287628510087719e+01
s87         , -2.000999990609716e+01, -1.989378048366910e+01, -1.251980691119791e+01
s88         , -1.933594922663024e+01, -1.940262482167783e+01, -1.185417494956898e+01
s89         , -2.128477820873118e+01, -2.088758107349336e+01, -1.386664150410639e+01
s90         , -2.009844325702736e+01, -2.031280320968827e+01, -1.308768170257555e+01
s91         , -2.185233402642529e+01, -2.185084567799958e+01, -1.517209262252714e+01
s92         , -1.852873985612102e+01, -1.813951074107696e+01, -1.014235694909479e+01
s93         , -2.244477787769646e+01, -2.176339542225329e+01, -1.505357686513699e+01
s94         , -2.069748145715988e+01, -2.080818859391811e+01, -1.375904593714497e+01
s95         , -1.839144268754908e+01, -1.811665691789273e+01, -1.011138461927337e+01
s96         , -2.061908691885885e+01, -2.083888262715664e+01, -1.380064360390511e+01
s97         , -2.336181657728519e+01, -2.400393914657879e+01, -1.809004295878180e+01
s98         , -1.913590175727989e+01, -1.871923225894847e+01, -1.092801656986521e+01
s99         , -1.764848235022367e+01, -1.772147541796640e+01, -9.575820321940487e+00
s100        , -2.003395952271198e+01, -1.948638412579812e+01, -1.196768859548773e+01
s101        , -2.047737186068138e+01, -2.065912590639085e+01, -1.355703077823958e+01
s102        , -1.813404261594337e+01, -1.816696743119836e+01, -1.017956725108183e+01
s103        , -2.094885731266024e+01, -2.066957894116375e+01, -1.357119710997370e+01
s104        , -1.695125455205811e+01, -1.659200836430295e+01, -8.045125618193774e+00
s105        , -2.089913046364001e+01, -2.139495704502368e+01, -1.455425581734444e+01
s106        , -2.193421435204462e+01, -2.218496221737280e+01, -1.562489947120319e+01
s107        , -1.938858975045087e+01, -1.923428502136273e+01, -1.162603474845703e+01
s108        , -2.184761912256448e+01, -2.188471266772952e+01, -1.521799039497063e+01
s109        , -1.765266017099491e+01, -1.854659139377821e+01, -1.069404740971199e+01
s110        , -2.222643790681205e+01, -2.118600428362370e+01, -1.427107545881093e+01
s111        , -2.198367498730207e+01, -2.156721788802132e+01, -1.478770995767034e+01
s112        , -2.341727175416096e+01, -2.256015667537233e+01, -1.613337660461954e+01
s113        , -2.064750776227555e+01, -1.985276473483858e+01, -1.246422088121903e+01
s114        , -2.335281852671257e+01, -2.303786235989060e+01, -1.678078066910294e+01
s115        , -2.467653405274963e+01, -2.500792206729326e+01, -1.945067701570732e+01
s116        , -2.119630992652875e+01, -2.050804921165815e+01, -1.335228616374477e+01
s117        , -1.681518237222159e+01, -1.761226441040825e+01, -9.427813604685758e+00
s118        , -1.725426000439147e+01, -1.738582744718246e+01, -9.120938021889444e+00
s119        , -2.026224064054247e+01, -2.035754012353253e+01, -1.314831079030438e+01
s120        , -2.061376236446881e+01, -2.008243672365032e+01, -1.277548068798616e+01
s121        , -2.090204853596659e+01, -2.092582751700769e+01, -1.391847447111028e+01
s122        , -1.679179791839329e+01, -1.711604935613020e+01, -8.755324971184528e+00
s123        , -1.729435756680531e+01, -1.761038344846945e+01, -9.425264456865698e+00
s124        , -1.927065840811719e+01, -1.958168148562885e+01, -1.209683903285622e+01
s125        , -2.074667074869674e+01, -2.094763079681793e+01, -1.394802306646027e+01
s126        , -1.981090987888966e+01, -1.968709119535519e+01, -1.223969409346047e+01
s127        , -1.791042209268825e+01, -1.745201089187274e+01, -9.210632225836816e+00
s128        , -2.199486439730610e+01, -2.195138533027890e+01, -1.530834760469889e+01
s129        , -1.847106084369403e+01, -1.846555505834370e+01, -1.058422402968660e+01
s130        , -2.183307419908922e+01, -2.034889776266177e+01, -1.313659834949449e+01
s131        , -1.937195493711046e+01, -1.983705413771179e+01, -1.244292931035233e+01
s132        , -1.756898825137140e+01, -1.781795942766355e+01, -9.706578950233942e+00
s133        , -1.952720456066259e+01, -1.961430664293125e+01, -1.214105382896711e+01
s134        , -1.792604080418195e+01, -1.882345316232750e+01, -1.106926051700341e+01
s135        , -2.163690184151209e+01, -2.198337396764991e+01, -1.535169976591958e+01
s136        , -2.266590946104735e+01, -2.213804876104342e+01, -1.556132065418067e+01
s137        , -1.871948299194560e+01, -1.839919570084018e+01, -1.049429142231642e+01
s138        , -2.098569970792443e+01, -2.072031705197626e+01, -1.363995923742745e+01
s139        , -1.946420871832499e+01, -1.938489005065701e+01, -1.183014014484787e+01
s140        , -1.890485827097119e+01, -1.974461506728043e+01, -1.231765253041475e+01
s141        , -2.048387804329865e+01, -2.139547534991016e+01, -1.455495824291949e+01
s142        , -1.712146112463541e+01, -1.729562805562305e+01, -8.998696535966209e+00
s143        , -2.146398341435241e+01, -2.167426645736888e+01, -1.493278606025563e+01
s144        , -2.296743054539722e+01, -2.150228320138300e+01, -1.469970811591291e+01
s145        , -2.169591974109321e+01, -2.144447594069221e+01, -1.462136562022833e+01
s146        , -2.268369172314783e+01, -2.251462913687735e+01, -1.607167603369729e+01
s147        , -2.121406114253308e+01, -2.135448791905617e+01, -1.449941059048918e+01
s148        , -2.139826235530006e+01, -2.048508271131845e+01, -1.332116112975680e+01
s149        , -1.818204101397333e+01, -1.857900263769992e+01, -1.073797230265321e+01
s150        , -2.236615053154114e+01, -2.155947943939582e+01, -1.477722253150962e+01
s151        , -2.007280490017163e+01, -1.984433459884529e+01, -1.245279605525803e+01
