# c0 + a0 * (Na-Na - E_T)
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.699814235188885; Max AE: 3.61864198845502
# Coefficients
# Task   a0                      c0
# all ,  7.170792388813121e-01, -1.092413131056118e+01, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         23|0|sub; (Na-Na - E_T); $\left(Na-Na - E_{T}\right)$; (Na_sub_Na - E_T); (newdata$Na_sub_Na - newdata$E_T); Na-Na,E_T
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
s1          , -2.244947812336508e+01, -2.167577794939830e+01, -1.499366604952940e+01
s2          , -2.298888400764099e+01, -2.304581896760194e+01, -1.690425130136432e+01
s3          , -1.755271246623431e+01, -1.852517457621303e+01, -1.060000464873302e+01
s4          , -1.917258847351942e+01, -1.816805293069837e+01, -1.010198207863074e+01
s5          , -2.000094091703784e+01, -2.059598026303304e+01, -1.348783848150526e+01
s6          , -2.179532463031582e+01, -2.061262899006822e+01, -1.351105589756257e+01
s7          , -2.156980503382011e+01, -2.042409890204461e+01, -1.324814201329264e+01
s8          , -2.070680399014268e+01, -2.039921409693788e+01, -1.321343900732422e+01
s9          , -2.311678210871720e+01, -2.259593940967730e+01, -1.627687355350695e+01
s10         , -1.955558688693647e+01, -2.001648470541229e+01, -1.267970525689147e+01
s11         , -1.929232032084748e+01, -1.910737239224510e+01, -1.141190629706457e+01
s12         , -1.972420304545977e+01, -1.771908189264550e+01, -9.475871303546398e+00
s13         , -1.649771434553038e+01, -1.659484338059328e+01, -7.908068958848612e+00
s14         , -1.814284237715737e+01, -1.911127528512827e+01, -1.141734906080886e+01
s15         , -2.140988745272463e+01, -2.240362054341449e+01, -1.600867604361551e+01
s16         , -2.271802967642396e+01, -2.193579426290894e+01, -1.535627076517601e+01
s17         , -1.845283706311921e+01, -1.858972846541473e+01, -1.069002801812021e+01
s18         , -2.106370881996578e+01, -2.096409998553935e+01, -1.400119837612526e+01
s19         , -2.166440903696862e+01, -2.187413987970269e+01, -1.527029089034036e+01
s20         , -1.957524373940041e+01, -1.926360877991697e+01, -1.162978512997516e+01
s21         , -2.230012329283520e+01, -2.246921402170575e+01, -1.610014916783200e+01
