# c0 + a0 * (O - NBI) + a1 * (face-area-avg - E_T)
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.358988775639945; Max AE: 1.68032434997422
# Coefficients
# Task   a0                      a1                      c0
# all , -2.912593009965979e+00,  6.545314067037020e-01, -1.271241542168896e+01, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         12|5|sub; (O - NBI); $\left(O - NBI\right)$; (O - NBI); (newdata$O - newdata$NBI); O,NBI
# 1;  1; Unitless;                                         33|0|sub; (face-area-avg - E_T); $\left(face-area-avg - E_{T}\right)$; (face_sub_area_sub_avg - E_T); (newdata$face_sub_area_sub_avg - newdata$E_T); face-area-avg,E_T
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
s1          , -2.244947812336508e+01, -2.229042230021825e+01, -2.715477295545710e-02, -1.475421588867808e+01
s2          , -2.298888400764099e+01, -2.299827705690357e+01, -1.815442579248565e-01, -1.652270015018798e+01
s3          , -1.755271246623431e+01, -1.769776246509211e+01, -4.812376951876953e-01, -9.758120886367621e+00
s4          , -1.917258847351942e+01, -1.910293100202093e+01, -4.105290357033963e-01, -1.159030644276470e+01
s5          , -2.000094091703784e+01, -2.040601271863743e+01, -2.483960154167160e-01, -1.285969429266044e+01
s6          , -2.179532463031582e+01, -2.169203128923337e+01, -5.512500464109538e-02, -1.396445224342619e+01
s7          , -2.156980503382011e+01, -2.140401839976932e+01, -8.277153208754540e-02, -1.364744712381148e+01
s8          , -2.070680399014268e+01, -2.093094305057765e+01, -4.170919110426776e-01, -1.441236664411934e+01
s9          , -2.311678210871720e+01, -2.281466622137521e+01, -2.163641638617279e-01, -1.639712233979246e+01
s10         , -1.955558688693647e+01, -1.930211652434703e+01, -4.698997058276752e-01, -1.215881716251923e+01
s11         , -1.929232032084748e+01, -1.921489051758930e+01, -5.120166558868949e-01, -1.221296815851855e+01
s12         , -1.972420304545977e+01, -1.896589349146079e+01, -3.129036774105314e-01, -1.094651694327913e+01
s13         , -1.649771434553038e+01, -1.713770203171300e+01, -4.415825296239856e-01, -8.725993497994907e+00
s14         , -1.814284237715737e+01, -1.824517567060797e+01, -4.708682588577026e-01, -1.054832171163982e+01
s15         , -2.140988745272463e+01, -2.101453711680696e+01, -5.281961632847288e-01, -1.503448428510114e+01
s16         , -2.271802967642396e+01, -2.251320565834144e+01, -1.276391715740530e-01, -1.554173121624078e+01
s17         , -1.845283706311921e+01, -1.841697767107294e+01, -4.974842489778722e-01, -1.092924086187268e+01
s18         , -2.106370881996578e+01, -2.150702569949270e+01, -1.747640425517821e-01, -1.421417935219890e+01
s19         , -2.166440903696862e+01, -2.185884460311636e+01, -3.820189265192572e-01, -1.567395350537589e+01
s20         , -1.957524373940041e+01, -1.940121248921589e+01, -4.054592287883396e-01, -1.202346396600733e+01
s21         , -2.230012329283520e+01, -2.255917081600982e+01, -2.011038270966132e-01, -1.593886693373374e+01
s22         , -1.709175230426198e+01, -1.669667090962657e+01, -4.261549618484539e-01, -7.983530503594674e+00
s23         , -2.271630669020732e+01, -2.267073597870922e+01, -4.219941910978016e-01, -1.709225527404275e+01
s24         , -1.997593461761007e+01, -2.018774470981192e+01, -2.991872236783314e-01, -1.275223743122545e+01
s25         , -2.228124530569044e+01, -2.261750629687668e+01, -1.999286346201568e-01, -1.602276302017382e+01
s26         , -1.806502239865187e+01, -1.780814869179417e+01, -4.020125073377813e-01, -9.574226728791565e+00
s27         , -2.017409009594002e+01, -2.021911398013214e+01, -3.926592751299136e-01, -1.321610411645347e+01
s28         , -1.658938425028538e+01, -1.703070509991239e+01, -4.999085893567283e-01, -8.822067026983406e+00
s29         , -2.262132344831001e+01, -2.308419308683983e+01, -2.651997368690651e-01, -1.702622127962357e+01
s30         , -1.697997334312175e+01, -1.745591849291742e+01, -4.684972348578511e-01, -9.331935458108376e+00
s31         , -1.964904728113367e+01, -1.939405199599751e+01, -3.352484514228936e-01, -1.170009382604234e+01
s32         , -2.151059652715050e+01, -2.103200005765163e+01, -5.699400007758290e-01, -1.524691985153279e+01
s33         , -2.289264810431292e+01, -2.362637070771105e+01, -1.937354050302555e-01, -1.753655753556864e+01
s34         , -2.302504917991390e+01, -2.221965028667931e+01, -4.191121036616849e-01, -1.639025681370232e+01
s35         , -2.244061385591441e+01, -2.244549806494182e+01, -1.515902969446522e-01, -1.554486672190878e+01
s36         , -2.239655424600443e+01, -2.186757407485142e+01, -4.897242633120003e-02, -1.420527006733045e+01
s37         , -2.226102540809307e+01, -2.212828076188464e+01, -1.140059761507076e-01, -1.489297266653445e+01
s38         , -2.102436377352775e+01, -2.090133536288401e+01, -3.228953337020325e-01, -1.394796726266030e+01
s39         , -2.141661104833067e+01, -2.070632065743365e+01, -2.813849747751401e-02, -1.233838612493730e+01
s40         , -1.990275935468409e+01, -1.937430310597783e+01, -3.869184503172652e-01, -1.189984709417575e+01
s41         , -1.952311408648237e+01, -1.900625778216547e+01, -3.952063220012920e-01, -1.137442367956846e+01
s42         , -1.862175379272403e+01, -1.932534152917412e+01, -4.296229230186659e-01, -1.201507330197605e+01
s43         , -2.257821044890805e+01, -2.223532950459329e+01, -1.213761517872470e-01, -1.508931934055744e+01
s44         , -1.984867902879579e+01, -1.955946367490031e+01, -4.548275222373696e-01, -1.248492529391996e+01
s45         , -1.928264199244582e+01, -1.944429867199690e+01, -4.537271910328103e-01, -1.230407863222257e+01
s46         , -2.007096062658339e+01, -2.037266678750092e+01, -3.462363643792843e-01, -1.324412685428754e+01
s47         , -1.842882744186564e+01, -1.861943440752094e+01, -5.520479800530659e-01, -1.148135902530081e+01
s48         , -1.712958329507449e+01, -1.675628805806101e+01, -4.505204707478404e-01, -8.183038056634327e+00
s49         , -2.142142340445580e+01, -2.176013368993481e+01, -3.426167837786894e-01, -1.534780671315320e+01
s50         , -2.022197746600499e+01, -2.028058516809904e+01, -4.216982094519892e-01, -1.343924052151272e+01
s51         , -2.208446385448407e+01, -2.253152030775279e+01, -2.255789465889808e-01, -1.600553379379211e+01
s52         , -2.030062191637932e+01, -2.000955094025056e+01, -2.506589122689975e-01, -1.226404544091765e+01
s53         , -1.881589086732163e+01, -1.876843982732896e+01, -1.640725074188992e-01, -9.982562757043823e+00
s54         , -2.389190768082197e+01, -2.412853538807308e+01, -3.619875634048325e-01, -1.905247370184157e+01
s55         , -1.989931101552115e+01, -1.980267009932565e+01, -4.139263011804414e-01, -1.267449268916647e+01
s56         , -2.293632659980805e+01, -2.307704416634663e+01, -2.192770371912895e-01, -1.681094810383655e+01
s57         , -2.165250835772914e+01, -2.174280221875136e+01, -2.462097779682870e-01, -1.489232690062600e+01
s58         , -2.493828100106786e+01, -2.499269150645836e+01, -1.005577581168140e-01, -1.920940657603920e+01
s59         , -2.019609135900962e+01, -1.991838862296672e+01, -4.201930840861400e-01, -1.287917516941884e+01
s60         , -1.686951544328429e+01, -1.722319381831215e+01, -4.778417884297937e-01, -9.017958479944200e+00
s61         , -1.698686520707895e+01, -1.780648622752167e+01, -4.537663412400392e-01, -9.801985685907047e+00
s62         , -1.961666852236879e+01, -1.964931667117757e+01, -4.908263654880198e-01, -1.278239455742943e+01
s63         , -2.363642228074260e+01, -2.313456082336686e+01, -2.325087421206198e-01, -1.695770229671949e+01
s64         , -2.123215125329894e+01, -2.126123698822120e+01, -2.979059594545378e-01, -1.438662879309237e+01
s65         , -2.229595939650926e+01, -2.212248349846687e+01, -1.768543530122671e-01, -1.516378393380364e+01
s66         , -2.209517036440609e+01, -2.166927495267682e+01, -3.523994495857614e-01, -1.525252356467365e+01
s67         , -2.100952424313996e+01, -2.091669730907865e+01, -1.118030484890913e-01, -1.303209987717716e+01
s68         , -2.306714632630091e+01, -2.285150131614491e+01, -3.082856221929966e-01, -1.686243979996607e+01
s69         , -2.116954741071400e+01, -2.130416723564537e+01, -3.017775570481522e-01, -1.446944626366377e+01
s70         , -2.268552320802911e+01, -2.185828854601156e+01, -1.046811112598034e-01, -1.443898107937794e+01
s71         , -1.844586653395837e+01, -1.927510242790887e+01, -4.404369093661873e-01, -1.198643852597045e+01
s72         , -2.185924535832699e+01, -2.153951462897272e+01, -2.728328042435130e-01, -1.470021152119974e+01
s73         , -1.814705961150877e+01, -1.835905273766490e+01, -5.412410036332536e-01, -1.103545529807542e+01
s74         , -2.269683109870329e+01, -2.351434593197894e+01, -2.153515271541801e-01, -1.746159427325782e+01
s75         , -2.162544692540680e+01, -2.138740135510777e+01, -1.788097288961880e-01, -1.404941887544684e+01
s76         , -1.799713371423827e+01, -1.857002778277943e+01, -4.891048074766862e-01, -1.112578484378881e+01
s77         , -1.808839931225978e+01, -1.784806905907259e+01, -4.630041391112415e-01, -9.906623563259599e+00
s78         , -1.710463489071706e+01, -1.744683909484623e+01, -4.601717641014593e-01, -9.281016425561447e+00
s79         , -2.130172009097587e+01, -2.113294440830099e+01, -2.884984697981398e-01, -1.414875973602322e+01
s80         , -2.075517304342145e+01, -2.081794435103998e+01, -4.350665046513994e-01, -1.431971100801877e+01
s81         , -1.679587307458704e+01, -1.740484091877618e+01, -4.950331938141695e-01, -9.371980709045502e+00
s82         , -1.961963418382102e+01, -1.938499038676898e+01, -4.385107515159761e-01, -1.214575531948331e+01
s83         , -1.732943596118787e+01, -1.743786835837813e+01, -5.190790099190720e-01, -9.529441626050314e+00
s84         , -2.091958911511147e+01, -2.152680006476564e+01, -3.539157106439386e-01, -1.504159612079876e+01
s85         , -1.931803893900067e+01, -1.936714370806025e+01, -3.023281614710812e-01, -1.151249137781858e+01
s86         , -2.124992178205270e+01, -2.063251595129584e+01, -1.684806642463159e-01, -1.285013377274438e+01
s87         , -2.000999990609716e+01, -1.979785013965469e+01, -4.228880465369009e-01, -1.270700748829358e+01
s88         , -1.933594922663024e+01, -1.938057249968697e+01, -4.930049840825274e-01, -1.238149898616521e+01
s89         , -2.128477820873118e+01, -2.137028329192043e+01, -1.534351667388586e-01, -1.391035169757659e+01
s90         , -2.009844325702736e+01, -2.036775836567497e+01, -3.651924868948131e-01, -1.332098038277164e+01
s91         , -2.185233402642529e+01, -2.226001551147134e+01, -2.019341651361008e-01, -1.548550921135467e+01
s92         , -1.852873985612102e+01, -1.816887538516078e+01, -4.228822443998729e-01, -1.021821682512059e+01
s93         , -2.244477787769646e+01, -2.224102178079142e+01, -1.344315663878274e-01, -1.515611122412213e+01
s94         , -2.069748145715988e+01, -2.078801593413877e+01, -3.254844309670541e-01, -1.378635784091881e+01
s95         , -1.839144268754908e+01, -1.803736416138304e+01, -4.322523326674624e-01, -1.005898845331233e+01
s96         , -2.061908691885885e+01, -2.047256708336794e+01, -4.422342107734066e-01, -1.382393547517183e+01
s97         , -2.336181657728519e+01, -2.306323686083331e+01, -4.644048275373078e-01, -1.788064495264468e+01
s98         , -1.913590175727989e+01, -1.872122492065101e+01, -3.790721501515332e-01, -1.086715216552794e+01
s99         , -1.764848235022367e+01, -1.763654535055203e+01, -4.365771217316718e-01, -9.465858075675998e+00
s100        , -2.003395952271198e+01, -1.953725587179691e+01, -3.638578981839677e-01, -1.204619112272599e+01
s101        , -2.047737186068138e+01, -2.025686547212872e+01, -2.716975601301618e-01, -1.273551487296804e+01
s102        , -1.813404261594337e+01, -1.797410540665113e+01, -4.080280804030690e-01, -9.854545792229441e+00
s103        , -2.094885731266024e+01, -2.058852851390118e+01, -3.654920790986833e-01, -1.365960850071216e+01
s104        , -1.695125455205811e+01, -1.662516871165610e+01, -4.537063481199944e-01, -7.996889338647259e+00
s105        , -2.089913046364001e+01, -2.155682341957333e+01, -1.921823041780821e-01, -1.436777019002505e+01
s106        , -2.193421435204462e+01, -2.203762424120530e+01, -2.826642169588321e-01, -1.550497735946265e+01
s107        , -1.938858975045087e+01, -1.930308205956558e+01, -4.631231002318315e-01, -1.213013716538092e+01
s108        , -2.184761912256448e+01, -2.192793313676428e+01, -2.388687496731988e-01, -1.514250510237088e+01
s109        , -1.765266017099491e+01, -1.850418693085935e+01, -4.735777176993480e-01, -1.095609864701791e+01
s110        , -2.222643790681205e+01, -2.161954777586508e+01, -1.383561547192186e-01, -1.422408065975612e+01
s111        , -2.198367498730207e+01, -2.185098091916670e+01, -1.913098581443651e-01, -1.481330483723565e+01
s112        , -2.341727175416096e+01, -2.311142458076235e+01, -5.458104442118528e-02, -1.613059575048114e+01
s113        , -2.064750776227555e+01, -2.027196207852169e+01, -3.291394598502473e-01, -1.301418978471208e+01
s114        , -2.335281852671257e+01, -2.344759000881913e+01, -8.458159599913950e-02, -1.677769200978957e+01
s115        , -2.467653405274963e+01, -2.478995331647047e+01, -1.804540021588620e-01, -1.925519055466054e+01
s116        , -2.119630992652875e+01, -2.118384622190853e+01, -2.522382830176995e-02, -1.305498477032449e+01
s117        , -1.681518237222159e+01, -1.727032639668779e+01, -4.517432432665496e-01, -8.973832466216974e+00
s118        , -1.725426000439147e+01, -1.738950400306421e+01, -4.864346105548946e-01, -9.310286054220747e+00
s119        , -2.026224064054247e+01, -2.056193890292327e+01, -1.708826236432294e-01, -1.275299386842244e+01
s120        , -2.061376236446881e+01, -2.039661726555371e+01, -3.120369639678299e-01, -1.312853506487033e+01
s121        , -2.090204853596659e+01, -2.107510249721707e+01, -3.487935552527325e-01, -1.432869477373141e+01
s122        , -1.679179791839329e+01, -1.724329759795949e+01, -5.536085502424309e-01, -9.385827031436909e+00
s123        , -1.729435756680531e+01, -1.731643885455744e+01, -4.681560529280563e-01, -9.117318770467254e+00
s124        , -1.927065840811719e+01, -1.971416975730524e+01, -2.572202207934699e-01, -1.184195605182013e+01
s125        , -2.074667074869674e+01, -2.052594299879618e+01, -4.461861094296336e-01, -1.392306927863168e+01
s126        , -1.981090987888966e+01, -1.948686375132687e+01, -3.914703452925113e-01, -1.209207387129814e+01
s127        , -1.791042209268825e+01, -1.753483367444018e+01, -4.233848103790502e-01, -9.251757562686819e+00
s128        , -2.199486439730610e+01, -2.214621351320769e+01, -1.734023505119165e-01, -1.518467786837707e+01
s129        , -1.847106084369403e+01, -1.822871975696936e+01, -4.304302401214376e-01, -1.034323544233037e+01
s130        , -2.183307419908922e+01, -2.123410320912102e+01, -3.269116825450114e-02, -1.316499677070271e+01
s131        , -1.937195493711046e+01, -1.942045987048645e+01, -4.640892144926056e-01, -1.231376732786454e+01
s132        , -1.756898825137140e+01, -1.794032096490140e+01, -4.472653051565088e-01, -9.977530914063394e+00
s133        , -1.952720456066259e+01, -1.932004326973577e+01, -4.749361453168910e-01, -1.220861743719865e+01
s134        , -1.792604080418195e+01, -1.800264523024283e+01, -5.596073194757074e-01, -1.057266023403713e+01
s135        , -2.163690184151209e+01, -2.186985974381450e+01, -1.751712384378950e-01, -1.477033301646174e+01
s136        , -2.266590946104735e+01, -2.225923861361493e+01, -2.997173566356202e-01, -1.591944674175927e+01
s137        , -1.871948299194560e+01, -1.854380396722544e+01, -3.689555353461447e-01, -1.055106873106882e+01
s138        , -2.098569970792443e+01, -2.099839911011787e+01, -1.902462854910700e-01, -1.350598855789359e+01
s139        , -1.946420871832499e+01, -1.951218964698794e+01, -4.771964632946327e-01, -1.251223887011853e+01
s140        , -1.890485827097119e+01, -1.927154023099787e+01, -5.330357087089432e-01, -1.239305067026200e+01
s141        , -2.048387804329865e+01, -2.083254059633261e+01, -3.741087191690469e-01, -1.407075584263274e+01
s142        , -1.712146112463541e+01, -1.720533483348838e+01, -4.532789681927573e-01, -8.881371476730022e+00
s143        , -2.146398341435241e+01, -2.207842833327133e+01, -9.844953200717099e-02, -1.474758312813943e+01
s144        , -2.296743054539722e+01, -2.236685167392682e+01,  3.947315178294053e-03, -1.473258461072848e+01
s145        , -2.169591974109321e+01, -2.159220057953352e+01, -3.747362517042553e-01, -1.523416484375529e+01
s146        , -2.268369172314783e+01, -2.276841185478620e+01, -1.401521352187209e-01, -1.598731925663593e+01
s147        , -2.121406114253308e+01, -2.149395695331206e+01, -3.404968002130324e-01, -1.493170538761266e+01
s148        , -2.139826235530006e+01, -2.118014326743897e+01, -1.878551957196978e-01, -1.377301911468079e+01
s149        , -1.818204101397333e+01, -1.836299005349131e+01, -4.340131895953617e-01, -1.056431875266915e+01
s150        , -2.236615053154114e+01, -2.210077850059043e+01, -9.738544549525485e-02, -1.477699488162494e+01
s151        , -2.007280490017163e+01, -1.971336886306054e+01, -4.443734180456252e-01, -1.267354364913021e+01
s152        , -2.043501428229088e+01, -2.030295324292234e+01, -4.456776301758392e-01, -1.358012049619721e+01
s153        , -2.294208833005412e+01, -2.287890340676554e+01, -3.904993032811577e-02, -1.570623568846351e+01
s154        , -1.941555486932839e+01, -1.949698343785629e+01, -5.196301584846013e-01, -1.267783195511887e+01
s155        , -2.030625886040805e+01, -2.075221648222638e+01, -4.315035610644496e-01, -1.420343656706701e+01
s156        , -1.755225478861601e+01, -1.759787575378198e+01, -4.190620928530158e-01, -9.328838298576166e+00
s157        , -1.981494689568535e+01, -1.925544309707161e+01, -4.088647865668529e-01, -1.181591030705045e+01
s158        , -2.120666701656112e+01, -2.123659165205627e+01, -2.836102548059826e-01, -1.428536106946906e+01
s159        , -2.199339551508707e+01, -2.186879433866133e+01, -1.696016135983993e-01, -1.474392105921759e+01
s160        , -1.822712376873660e+01, -1.802502165055860e+01, -4.790284310521741e-01, -1.024827994505039e+01
s161        , -1.850131544535105e+01, -1.902798502704156e+01, -5.602711900017743e-01, -1.214213936205322e+01
s162        , -2.165239460618542e+01, -2.147646701113297e+01, -1.016314015943821e-01, -1.384205922974485e+01
s163        , -2.054863013411503e+01, -2.034908914129252e+01, -4.392463001827612e-01, -1.362198869580823e+01
s164        , -2.244259094688993e+01, -2.288497725731983e+01, -2.789757652032452e-01, -1.678315904600215e+01
s165        , -2.169401378729562e+01, -2.150544189561739e+01, -4.062518893625233e-02, -1.361485640564038e+01
s166        , -1.893544650248816e+01, -1.904239096082991e+01, -4.104965415961588e-01, -1.149766813285380e+01
s167        , -1.990371422830687e+01, -1.997615484601351e+01, -5.133599358478331e-01, -1.338201329281147e+01
s168        , -2.358382467591309e+01, -2.358975797693931e+01, -4.297134170570778e-01, -1.853069650414804e+01
s169        , -2.234616115486217e+01, -2.300553611871266e+01, -2.655246989626662e-01, -1.690749437819619e+01
s170        , -1.980105726485419e+01, -2.011362592649637e+01, -3.183653742630459e-01, -1.272433863860616e+01
s171        , -2.225344967355102e+01, -2.225426955465633e+01, -1.220243261761259e-01, -1.512114045417246e+01
s172        , -2.076076397080535e+01, -2.051531511564207e+01, -4.823775660727934e-01, -1.406787990118466e+01
s173        , -2.167162181633835e+01, -2.150591098794868e+01, -2.979359035498834e-01, -1.476057756343928e+01
s174        , -2.217746151284670e+01, -2.233588103200504e+01, -1.633926052520534e-01, -1.542991163879352e+01
s175        , -1.912249737452136e+01, -1.965586512069674e+01, -3.346271669576921e-01, -1.209733003693417e+01
s176        , -2.262880123350610e+01, -2.227242117166402e+01, -3.135700037613162e-01, -1.600122995443428e+01
s177        , -1.998504477748202e+01, -2.058941052883151e+01, -1.630768926425015e-01, -1.276023066150728e+01
s178        , -1.778030448780716e+01, -1.855100188395272e+01, -4.706196995511808e-01, -1.101446017057571e+01
s179        , -2.322340610724453e+01, -2.342825117769668e+01, -1.186783409097044e-01, -1.689987271639524e+01
s180        , -1.682543251402466e+01, -1.678336838385756e+01, -4.730920374663181e-01, -8.324852662158358e+00
s181        , -1.586682207916231e+01, -1.614270937132937e+01, -4.919449452379848e-01, -7.429940425502214e+00
s182        , -2.348293513803748e+01, -2.314593223400271e+01, -2.454257567716102e-01, -1.703255495728880e+01
s183        , -2.155098810628208e+01, -2.128052531997356e+01, -3.935622743266494e-01, -1.484175782549162e+01
s184        , -2.324937775466465e+01, -2.302568120262212e+01, -2.193455545605112e-01, -1.673278011985620e+01
s185        , -2.378592453308165e+01, -2.373625723784085e+01, -2.322446019101390e-01, -1.787580504226937e+01
s186        , -2.071202883303041e+01, -2.124226623188194e+01, -2.461746037357350e-01, -1.412744620893458e+01
s187        , -2.027503475690737e+01, -2.016336831862389e+01, -4.284643710414602e-01, -1.329026405754680e+01
s188        , -2.214013663755619e+01, -2.221003904383576e+01, -3.022569110737441e-01, -1.585557985799156e+01
s189        , -2.074030596943589e+01, -2.094967091137357e+01, -1.542074852336362e-01, -1.327117239034605e+01
s190        , -1.914542963593283e+01, -1.908655781266692e+01, -4.434444610252894e-01, -1.171176134553085e+01
s191        , -1.679323473828856e+01, -1.682087790609561e+01, -4.444930604668443e-01, -8.254897793997962e+00
s192        , -1.690928184419942e+01, -1.708316355277424e+01, -5.067240432828634e-01, -8.932541628486508e+00
s193        , -2.273712334380998e+01, -2.278623020952114e+01, -2.696261459771656e-01, -1.659068748220531e+01
s194        , -2.090019731082972e+01, -2.156284380823836e+01, -2.020003934362203e-01, -1.442065762438642e+01
s195        , -1.910778599576077e+01, -1.916458663190044e+01, -4.295271983008834e-01, -1.176904430662417e+01
s196        , -1.918378235513936e+01, -1.897467557404848e+01, -4.923243700073853e-01, -1.175833671578559e+01
s197        , -2.010118773573690e+01, -2.054084104465624e+01, -3.923119746979537e-01, -1.370609667667114e+01
s198        , -2.040069724820686e+01, -2.031393891491382e+01, -3.073885899611197e-01, -1.298153345227531e+01
s199        , -2.033728659050214e+01, -2.022882898854158e+01, -1.484312044050353e-01, -1.214415866657083e+01
