# c0 + a0 * (Al + O) + a1 * (AAV - E_T)
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.404521357988649; Max AE: 1.73796094496613
# Coefficients
# Task   a0                      a1                      c0
# all , -1.566289431231740e+00,  6.640882435336742e-01, -1.123481858147169e+01, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         15|12|add; (Al + O); $\left(Al + O\right)$; (Al + O); (newdata$Al + newdata$O); Al,O
# 1;  1; Unitless;                                         2|0|sub; (AAV - E_T); $\left(AAV - E_{T}\right)$; (AAV - E_T); (newdata$AAV - newdata$E_T); AAV,E_T
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
s1          , -2.244947812336508e+01, -2.238893941880949e+01,  6.313868613138686e-01, -1.530698121585983e+01
s2          , -2.298888400764099e+01, -2.316994224073721e+01,  4.679245283018868e-01, -1.686856908709021e+01
s3          , -1.755271246623431e+01, -1.794842260748992e+01,  1.086956521739130e-01, -9.853141112662380e+00
s4          , -1.917258847351942e+01, -1.896401694017941e+01,  0.000000000000000e+00, -1.163881221203367e+01
s5          , -2.000094091703784e+01, -2.070717673892889e+01,  4.076923076923077e-01, -1.330213882076700e+01
s6          , -2.179532463031582e+01, -2.181550819601775e+01,  6.183206106870229e-01, -1.447431221755518e+01
s7          , -2.156980503382011e+01, -2.136796633452165e+01,  6.607929515418502e-01, -1.370021954974751e+01
s8          , -2.070680399014268e+01, -2.078499406596748e+01,  0.000000000000000e+00, -1.438088322973229e+01
s9          , -2.311678210871720e+01, -2.279239720945649e+01,  4.682926829268293e-01, -1.629918441319988e+01
s10         , -1.955558688693647e+01, -1.907109104252767e+01,  0.000000000000000e+00, -1.180004696267240e+01
s11         , -1.929232032084748e+01, -1.951435469151546e+01,  0.000000000000000e+00, -1.246752399347954e+01
s12         , -1.972420304545977e+01, -1.919175208776631e+01,  3.947368421052632e-01, -1.105073223904352e+01
s13         , -1.649771434553038e+01, -1.696690930350508e+01,  0.000000000000000e+00, -8.631519647949819e+00
s14         , -1.814284237715737e+01, -1.830834881911135e+01,  0.000000000000000e+00, -1.065149143433222e+01
s15         , -2.140988745272463e+01, -2.099845027759630e+01,  0.000000000000000e+00, -1.470231071125643e+01
s16         , -2.271802967642396e+01, -2.245550443296861e+01,  5.575221238938053e-01, -1.558143054318275e+01
s17         , -1.845283706311921e+01, -1.855582590205136e+01,  0.000000000000000e+00, -1.102414835959740e+01
s18         , -2.106370881996578e+01, -2.166103778072658e+01,  4.897119341563786e-01, -1.454503775136913e+01
s19         , -2.166440903696862e+01, -2.214822538397336e+01,  3.059360730593607e-01, -1.571210221869732e+01
s20         , -1.957524373940041e+01, -1.928345225954647e+01,  3.952569169960474e-02, -1.202660201060852e+01
s21         , -2.230012329283520e+01, -2.255376496811557e+01,  5.212765957446809e-01, -1.581488072744051e+01
s22         , -1.709175230426198e+01, -1.666385558237296e+01,  0.000000000000000e+00, -8.175174088330298e+00
s23         , -2.271630669020732e+01, -2.318184701463310e+01,  3.166666666666667e-01, -1.724324574548409e+01
s24         , -1.997593461761007e+01, -2.051738041666281e+01,  3.472803347280335e-01, -1.315882400015543e+01
s25         , -2.228124530569044e+01, -2.250360204360575e+01,  5.141242937853108e-01, -1.575621329894552e+01
s26         , -1.806502239865187e+01, -1.786528414348918e+01,  1.673469387755102e-01, -9.589616865640993e+00
s27         , -2.017409009594002e+01, -2.011802178730137e+01,  1.052631578947368e-01, -1.312827130883999e+01
s28         , -1.658938425028538e+01, -1.712667896628590e+01,  5.862068965517241e-02, -8.733844447077159e+00
s29         , -2.262132344831001e+01, -2.304094490172744e+01,  4.293785310734464e-01, -1.676523470103118e+01
s30         , -1.697997334312175e+01, -1.746443235744913e+01,  0.000000000000000e+00, -9.380701791721386e+00
s31         , -1.964904728113367e+01, -1.925412799937429e+01,  2.842105263157895e-01, -1.140534190755525e+01
s32         , -2.151059652715050e+01, -2.124931025325188e+01,  0.000000000000000e+00, -1.508006167748456e+01
s33         , -2.289264810431292e+01, -2.341992778559170e+01,  4.126984126984127e-01, -1.737525721073736e+01
s34         , -2.302504917991390e+01, -2.200019681787182e+01,  7.954545454545454e-02, -1.602315224709062e+01
s35         , -2.244061385591441e+01, -2.225442030173103e+01,  5.145631067961165e-01, -1.537995449224499e+01
s36         , -2.239655424600443e+01, -2.229679919822333e+01,  6.102236421725240e-01, -1.521814890375577e+01
s37         , -2.226102540809307e+01, -2.238238063476341e+01,  5.389830508474577e-01, -1.551504441986685e+01
s38         , -2.102436377352775e+01, -2.089807551471092e+01,  3.099415204678362e-01, -1.382014949789603e+01
s39         , -2.141661104833067e+01, -2.076417237039521e+01,  8.161434977578476e-01, -1.242460913042577e+01
s40         , -1.990275935468409e+01, -1.915990901524301e+01,  1.702127659574468e-01, -1.153233482442023e+01
s41         , -1.952311408648237e+01, -1.900443667803995e+01,  2.189054726368159e-01, -1.118337636700211e+01
s42         , -1.862175379272403e+01, -1.925521051692333e+01,  6.521739130434782e-02, -1.192347960052033e+01
s43         , -2.257821044890805e+01, -2.230813331685015e+01,  7.235023041474655e-01, -1.496804200301497e+01
s44         , -1.984867902879579e+01, -1.925643546414720e+01,  0.000000000000000e+00, -1.207914303676234e+01
s45         , -1.928264199244582e+01, -1.931898228502546e+01,  3.030303030303030e-02, -1.210185613991873e+01
s46         , -2.007096062658339e+01, -2.017629271698448e+01,  1.098039215686274e-01, -1.320530742569512e+01
s47         , -1.842882744186564e+01, -1.894146744535015e+01,  0.000000000000000e+00, -1.160485664204907e+01
s48         , -1.712958329507449e+01, -1.694510542029914e+01,  0.000000000000000e+00, -8.598686837825184e+00
s49         , -2.142142340445580e+01, -2.211639258952722e+01,  3.359683794466403e-01, -1.559333475171678e+01
s50         , -2.022197746600499e+01, -2.015718713090877e+01,  0.000000000000000e+00, -1.343551649395320e+01
s51         , -2.208446385448407e+01, -2.245170094831169e+01,  4.070351758793970e-01, -1.593063508612480e+01
s52         , -2.030062191637932e+01, -2.079715206295040e+01,  4.397759103641457e-01, -1.336195484164609e+01
s53         , -1.881589086732163e+01, -1.913061957272635e+01,  6.188524590163935e-01, -1.043008815868953e+01
s54         , -2.389190768082197e+01, -2.427382691718082e+01,  3.333333333333333e-01, -1.884826599553735e+01
s55         , -1.989931101552115e+01, -1.986563797389367e+01,  9.016393442622951e-02, -1.278383807802105e+01
s56         , -2.293632659980805e+01, -2.304584896615447e+01,  5.108695652173912e-01, -1.658041817658905e+01
s57         , -2.165250835772914e+01, -2.194038952365791e+01,  3.983050847457627e-01, -1.518128049353406e+01
s58         , -2.493828100106786e+01, -2.471807642729139e+01,  5.333333333333333e-01, -1.904551632354680e+01
s59         , -2.019609135900962e+01, -1.957726528171511e+01,  0.000000000000000e+00, -1.256225626861349e+01
