# c0 + a0 * (Al + O) + a1 * (cub_root_V - E_T)
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.414134592899619; Max AE: 1.63203229154326
# Coefficients
# Task   a0                      a1                      c0
# all , -1.638111157115187e+00,  6.615717701255737e-01, -1.125018259831553e+01, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         15|12|add; (Al + O); $\left(Al + O\right)$; (Al + O); (newdata$Al + newdata$O); Al,O
# 1;  1; Unitless;                                         22|0|sub; (cub_root_V - E_T); $\left(cub_{root, V} - E_{T}\right)$; (cub_root_V - E_T); (newdata$cub_root_V - newdata$E_T); cub_root_V,E_T
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
s1          , -2.244947812336508e+01, -2.240275050769735e+01,  6.313868613138686e-01, -1.529431348844747e+01
s2          , -2.298888400764099e+01, -2.319763665007885e+01,  4.679245283018868e-01, -1.690057249441262e+01
s3          , -1.755271246623431e+01, -1.784930293645456e+01,  1.086956521739130e-01, -9.705772022836216e+00
s4          , -1.917258847351942e+01, -1.905652251586702e+01,  0.000000000000000e+00, -1.179968715422932e+01
s5          , -2.000094091703784e+01, -2.079925676928311e+01,  4.076923076923077e-01, -1.342443745956847e+01
s6          , -2.179532463031582e+01, -2.192991772124589e+01,  6.183206106870229e-01, -1.461195544975384e+01
s7          , -2.156980503382011e+01, -2.130669916192400e+01,  6.607929515418502e-01, -1.356476298171144e+01
s8          , -2.070680399014268e+01, -2.099376694987551e+01,  0.000000000000000e+00, -1.472793246560465e+01
s9          , -2.311678210871720e+01, -2.293281986927969e+01,  4.682926829268293e-01, -1.649937662877367e+01
s10         , -1.955558688693647e+01, -1.892210017593597e+01,  0.000000000000000e+00, -1.159650082433872e+01
s11         , -1.929232032084748e+01, -1.932240541846117e+01,  0.000000000000000e+00, -1.220158293424981e+01
s12         , -1.972420304545977e+01, -1.933398208941871e+01,  3.947368421052632e-01, -1.124167777672024e+01
s13         , -1.649771434553038e+01, -1.720656410487052e+01,  0.000000000000000e+00, -9.003379188057556e+00
s14         , -1.814284237715737e+01, -1.847929480783715e+01,  0.000000000000000e+00, -1.092717757311418e+01
s15         , -2.140988745272463e+01, -2.079118857091666e+01,  0.000000000000000e+00, -1.442172475223684e+01
s16         , -2.271802967642396e+01, -2.264048353119857e+01,  5.575221238938053e-01, -1.583655499599897e+01
s17         , -1.845283706311921e+01, -1.823422749989679e+01,  0.000000000000000e+00, -1.055674564266188e+01
s18         , -2.106370881996578e+01, -2.138823658989484e+01,  4.897119341563786e-01, -1.411162300152747e+01
s19         , -2.166440903696862e+01, -2.220769909556522e+01,  3.059360730593607e-01, -1.580532857474014e+01
s20         , -1.957524373940041e+01, -1.954113413367300e+01,  3.952569169960474e-02, -1.243433355270014e+01
s21         , -2.230012329283520e+01, -2.264713416784612e+01,  5.212765957446809e-01, -1.593635496281381e+01
s22         , -1.709175230426198e+01, -1.706546124000864e+01,  0.000000000000000e+00, -8.790094898682423e+00
s23         , -2.271630669020732e+01, -2.321611848890322e+01,  3.166666666666667e-01, -1.730303680984111e+01
s24         , -1.997593461761007e+01, -2.027330007586329e+01,  3.472803347280335e-01, -1.277901214705452e+01
s25         , -2.228124530569044e+01, -2.261613703235795e+01,  5.141242937853108e-01, -1.590721092928619e+01
s26         , -1.806502239865187e+01, -1.777413371735205e+01,  1.673469387755102e-01, -9.446923997880083e+00
s27         , -2.017409009594002e+01, -1.997297133789002e+01,  1.052631578947368e-01, -1.292430598205692e+01
s28         , -1.658938425028538e+01, -1.708457124582139e+01,  5.862068965517241e-02, -8.673830566643929e+00
s29         , -2.262132344831001e+01, -2.314797932648665e+01,  4.293785310734464e-01, -1.692095623074901e+01
s30         , -1.697997334312175e+01, -1.727051857501467e+01,  0.000000000000000e+00, -9.100049682525617e+00
s31         , -1.964904728113367e+01, -1.914382061915256e+01,  2.842105263157895e-01, -1.122791195473717e+01
s32         , -2.151059652715050e+01, -2.115850013306162e+01,  0.000000000000000e+00, -1.497693520517868e+01
s33         , -2.289264810431292e+01, -2.336845307520046e+01,  4.126984126984127e-01, -1.729551519459192e+01
s34         , -2.302504917991390e+01, -2.203305651690966e+01,  7.954545454545454e-02, -1.610191078737148e+01
s35         , -2.244061385591441e+01, -2.241578756869191e+01,  5.145631067961165e-01, -1.560328579639129e+01
s36         , -2.239655424600443e+01, -2.196541943216439e+01,  6.102236421725240e-01, -1.468566694649992e+01
s37         , -2.226102540809307e+01, -2.218011584203749e+01,  5.389830508474577e-01, -1.518658979769606e+01
s38         , -2.102436377352775e+01, -2.099349538394468e+01,  3.099415204678362e-01, -1.396007892105874e+01
s39         , -2.141661104833067e+01, -2.077885856185753e+01,  8.161434977578476e-01, -1.238224265902847e+01
s40         , -1.990275935468409e+01, -1.906279550690022e+01,  1.702127659574468e-01, -1.138770699988659e+01
s41         , -1.952311408648237e+01, -1.921377940901238e+01,  2.189054726368159e-01, -1.149535947123831e+01
s42         , -1.862175379272403e+01, -1.925105640325246e+01,  6.521739130434782e-02, -1.193225108003769e+01
s43         , -2.257821044890805e+01, -2.237260112365659e+01,  7.235023041474655e-01, -1.502065501802224e+01
s44         , -1.984867902879579e+01, -1.916980408550604e+01,  0.000000000000000e+00, -1.197091811473043e+01
s45         , -1.928264199244582e+01, -1.909080930766278e+01,  3.030303030303030e-02, -1.177648038977637e+01
