# c0 + a0 * (O - WE) + a1 * (VPA - E_T)
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.419688400401638; Max AE: 2.45219429213061
# Coefficients
# Task   a0                      a1                      c0
# all , -2.635974147737929e+00,  7.006969636829455e-01, -1.669506031347599e+01, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         12|8|sub; (O - WE); $\left(O - WE\right)$; (O - WE); (newdata$O - newdata$WE); O,WE
# 1;  1; Unitless;                                         4|0|sub; (VPA - E_T); $\left(VPA - E_{T}\right)$; (VPA - E_T); (newdata$VPA - newdata$E_T); VPA,E_T
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
s1          , -2.244947812336508e+01, -2.200140072897463e+01, -2.174416058394161e+00, -1.575295099586931e+01
s2          , -2.298888400764099e+01, -2.305294203604989e+01, -2.182943396226415e+00, -1.728573792776200e+01
s3          , -1.755271246623431e+01, -1.774378284520626e+01, -2.223000000000000e+00, -9.859459110311876e+00
s4          , -1.917258847351942e+01, -1.925676764243785e+01, -2.234456928838951e+00, -1.206181625676272e+01
s5          , -2.000094091703784e+01, -2.055388345941358e+01, -2.178576923076923e+00, -1.370277893536203e+01
s6          , -2.179532463031582e+01, -2.148918138592938e+01, -2.132977099236641e+00, -1.486604638474153e+01
s7          , -2.156980503382011e+01, -2.101581519893732e+01, -2.031894273127753e+00, -1.381021491730258e+01
s8          , -2.070680399014268e+01, -2.108392448239729e+01, -2.276250000000000e+00, -1.482666667785165e+01
s9          , -2.311678210871720e+01, -2.300233108079757e+01, -1.910097560975610e+00, -1.618708107152974e+01
s10         , -1.955558688693647e+01, -1.940049037565306e+01, -1.905364583333333e+00, -1.102890728288635e+01
s11         , -1.929232032084748e+01, -1.922012725580433e+01, -2.544612794612795e+00, -1.317631010758659e+01
s12         , -1.972420304545977e+01, -1.894232274457318e+01, -2.081578947368421e+00, -1.103793954262873e+01
s13         , -1.649771434553038e+01, -1.677375059884502e+01, -2.327490039840638e+00, -8.868161532833700e+00
s14         , -1.814284237715737e+01, -1.840726976920950e+01, -2.324398496240601e+00, -1.118780900613664e+01
s15         , -2.140988745272463e+01, -2.124392808373264e+01, -1.996649484536082e+00, -1.400317783884074e+01
s16         , -2.271802967642396e+01, -2.247363814962978e+01, -1.983716814159292e+00, -1.570950731233866e+01
s17         , -1.845283706311921e+01, -1.843655356709584e+01, -2.331578947368421e+00, -1.125661375901434e+01
s18         , -2.106370881996578e+01, -2.150476431612011e+01, -2.101728395061729e+00, -1.477073007879721e+01
s19         , -2.166440903696862e+01, -2.161214604279980e+01, -2.334109589041096e+00, -1.579818214972632e+01
s20         , -1.957524373940041e+01, -1.951078466585685e+01, -2.213794466403162e+00, -1.234660599748142e+01
s21         , -2.230012329283520e+01, -2.263885612430745e+01, -1.795106382978724e+00, -1.523575865476889e+01
s22         , -1.709175230426198e+01, -1.691585928249335e+01, -2.150760000000000e+00, -8.406125661008833e+00
s23         , -2.271630669020732e+01, -2.263757455892063e+01, -2.393750000000000e+00, -1.748598609189394e+01
s24         , -1.997593461761007e+01, -2.035744746054850e+01, -2.148326359832636e+00, -1.330863465353166e+01
s25         , -2.228124530569044e+01, -2.278545677273112e+01, -1.722203389830509e+00, -1.517072375499108e+01
s26         , -1.806502239865187e+01, -1.785275496172132e+01, -2.137061224489796e+00, -9.691682910169408e+00
s27         , -2.017409009594002e+01, -2.047768641377023e+01, -2.057105263157895e+00, -1.313706619302441e+01
s28         , -1.658938425028538e+01, -1.699648456911484e+01, -2.390413793103448e+00, -9.422751287449890e+00
s29         , -2.262132344831001e+01, -2.335181571056782e+01, -1.777457627118644e+00, -1.618686584748538e+01
s30         , -1.697997334312175e+01, -1.731177815125157e+01, -2.282827004219409e+00, -9.467988515014943e+00
s31         , -1.964904728113367e+01, -1.927398723927553e+01, -1.840473684210526e+00, -1.060425313949640e+01
s32         , -2.151059652715050e+01, -2.135048321223477e+01, -2.222352941176470e+00, -1.500432903774719e+01
s33         , -2.289264810431292e+01, -2.365775258689520e+01, -1.878253968253969e+00, -1.700267275885274e+01
s34         , -2.302504917991390e+01, -2.240654094841078e+01, -1.745681818181818e+00, -1.471827810360642e+01
s35         , -2.244061385591441e+01, -2.244811710476628e+01, -1.881747572815534e+00, -1.528948361569928e+01
s36         , -2.239655424600443e+01, -2.177772172053626e+01, -2.300063897763578e+00, -1.590640598915680e+01
s37         , -2.226102540809307e+01, -2.187631493156564e+01, -2.322949152542372e+00, -1.613320610279706e+01
s38         , -2.102436377352775e+01, -2.111234391268268e+01, -1.672397660818714e+00, -1.259557420011268e+01
s39         , -2.141661104833067e+01, -2.020648966486740e+01, -1.994260089686098e+00, -1.251360837298702e+01
s40         , -1.990275935468409e+01, -1.928235036330929e+01, -1.826542553191489e+00, -1.056378061192598e+01
s41         , -1.952311408648237e+01, -1.900922798664268e+01, -1.948308457711443e+00, -1.063206890515963e+01
s42         , -1.862175379272403e+01, -1.943344036782140e+01, -2.273043478260869e+00, -1.245911478456982e+01
s43         , -2.257821044890805e+01, -2.179192132607047e+01, -2.053640552995392e+00, -1.499964316070914e+01
s44         , -1.984867902879579e+01, -1.957668930325650e+01, -1.832210526315790e+00, -1.100516909596811e+01
s45         , -1.928264199244582e+01, -1.949372808609674e+01, -1.985000000000000e+00, -1.146155452660770e+01
s46         , -2.007096062658339e+01, -2.033779974215210e+01, -2.214039215686274e+00, -1.352780168117317e+01
s47         , -1.842882744186564e+01, -1.850827104319054e+01, -2.543498233215547e+00, -1.215619127635039e+01
s48         , -1.712958329507449e+01, -1.718549683155722e+01, -2.204517374517375e+00, -8.993170588933012e+00
s49         , -2.142142340445580e+01, -2.203185819814530e+01, -2.197193675889328e+00, -1.588210622948031e+01
s50         , -2.022197746600499e+01, -2.048016273064861e+01, -2.191659751037345e+00, -1.364678506851869e+01
s51         , -2.208446385448407e+01, -2.253569451690391e+01, -1.952663316582915e+00, -1.568124994779982e+01
s52         , -2.030062191637932e+01, -1.980322647848986e+01, -2.609495798319328e+00, -1.425256586745138e+01
s53         , -1.881589086732163e+01, -1.839858119643880e+01, -2.193893442622951e+00, -1.068445800201330e+01
s54         , -2.389190768082197e+01, -2.433509010651056e+01, -2.040000000000000e+00, -1.857781284793768e+01
s55         , -1.989931101552115e+01, -2.011329704194467e+01, -2.152213114754098e+00, -1.297481697593988e+01
s56         , -2.293632659980805e+01, -2.341600932241227e+01, -1.738478260869565e+00, -1.613184207561020e+01
s57         , -2.165250835772914e+01, -2.118838306769798e+01, -2.397584745762712e+00, -1.543219782804163e+01
s58         , -2.493828100106786e+01, -2.495870510833703e+01, -1.929333333333334e+00, -1.905148484407749e+01
s59         , -2.019609135900962e+01, -2.003131054846293e+01, -1.948309178743961e+00, -1.209073722458708e+01
s60         , -1.686951544328429e+01, -1.725099249836155e+01, -2.320000000000000e+00, -9.521080514709144e+00
s61         , -1.698686520707895e+01, -1.773528972574495e+01, -2.375115511551155e+00, -1.041958632193064e+01
s62         , -1.961666852236879e+01, -1.980702234982623e+01, -1.928615384615385e+00, -1.169655750761107e+01
s63         , -2.363642228074260e+01, -2.341845345617099e+01, -1.927452830188680e+00, -1.684623965260657e+01
s64         , -2.123215125329894e+01, -2.122325432605275e+01, -1.957474226804123e+00, -1.382629863040110e+01
s65         , -2.229595939650926e+01, -2.204395009223722e+01, -2.018464912280702e+00, -1.522699777314442e+01
s66         , -2.209517036440609e+01, -2.204748686165663e+01, -1.902364532019704e+00, -1.479528356975877e+01
s67         , -2.100952424313996e+01, -2.025667428286125e+01, -2.351316725978648e+00, -1.392845206708337e+01
s68         , -2.306714632630091e+01, -2.322755321976555e+01, -1.811746031746032e+00, -1.613851521319802e+01
s69         , -2.116954741071400e+01, -2.093575999190919e+01, -2.365928853754940e+00, -1.495257938217531e+01
s70         , -2.268552320802911e+01, -2.162855243387881e+01, -2.082330508474576e+00, -1.487442082381248e+01
s71         , -1.844586653395837e+01, -1.940072626202005e+01, -2.322352941176471e+00, -1.259792566676885e+01
s72         , -2.185924535832699e+01, -2.126359849010085e+01, -2.255829787234043e+00, -1.500626907558394e+01
s73         , -1.814705961150877e+01, -1.826540292569490e+01, -2.469152542372881e+00, -1.152989851457500e+01
s74         , -2.269683109870329e+01, -2.371751044832734e+01, -1.766292134831461e+00, -1.666676344398174e+01
s75         , -2.162544692540680e+01, -2.127863237158154e+01, -1.909313725490196e+00, -1.372415491551952e+01
s76         , -1.799713371423827e+01, -1.865412941100268e+01, -2.308964285714286e+00, -1.148205241311728e+01
s77         , -1.808839931225978e+01, -1.802270082896633e+01, -2.055675675675676e+00, -9.628054354974678e+00
s78         , -1.710463489071706e+01, -1.738767128873881e+01, -2.302129277566540e+00, -9.648913276493158e+00
s79         , -2.130172009097587e+01, -2.092325510986862e+01, -2.479644128113879e+00, -1.536252213383606e+01
s80         , -2.075517304342145e+01, -2.088690422958948e+01, -2.070050000000000e+00, -1.376977880698247e+01
s81         , -1.679587307458704e+01, -1.715548973054337e+01, -2.305847457627119e+00, -9.331542796520951e+00
s82         , -1.961963418382102e+01, -1.945084453388048e+01, -1.885228426395939e+00, -1.102501939548916e+01
s83         , -1.732943596118787e+01, -1.771964351257576e+01, -2.120295358649789e+00, -9.438640800307363e+00
s84         , -2.091958911511147e+01, -2.157609922373297e+01, -2.290276816608996e+00, -1.558184201714638e+01
s85         , -1.931803893900067e+01, -1.938472556268171e+01, -2.068225108225108e+00, -1.161907870043728e+01
s86         , -2.124992178205270e+01, -2.045238207568045e+01, -1.995412844036697e+00, -1.286887042546047e+01
s87         , -2.000999990609716e+01, -2.003736507507559e+01, -2.066339285714286e+00, -1.254339915075564e+01
s88         , -1.933594922663024e+01, -1.944591980481489e+01, -1.919119170984456e+00, -1.114548573385270e+01
s89         , -2.128477820873118e+01, -2.142737051814280e+01, -2.089839357429719e+00, -1.461555173572969e+01
s90         , -2.009844325702736e+01, -2.064635644897337e+01, -2.128158995815900e+00, -1.364508300491258e+01
s91         , -2.185233402642529e+01, -2.239274339050808e+01, -1.821354166666666e+00, -1.498326112198010e+01
s92         , -1.852873985612102e+01, -1.823757015165974e+01, -2.085833333333334e+00, -1.004815625906759e+01
s93         , -2.244477787769646e+01, -2.208474300025740e+01, -2.025022026431718e+00, -1.530988280678402e+01
s94         , -2.069748145715988e+01, -2.076776983505972e+01, -1.930550000000000e+00, -1.307496662229675e+01
s95         , -1.839144268754908e+01, -1.809228850486521e+01, -2.308480565371025e+00, -1.067840117778549e+01
s96         , -2.061908691885885e+01, -2.062838598114133e+01, -2.006585365853658e+00, -1.316208474603571e+01
s97         , -2.336181657728519e+01, -2.321406674330136e+01, -2.315614035087719e+00, -1.801478501649020e+01
s98         , -1.913590175727989e+01, -1.870096208072098e+01, -1.962427184466019e+00, -1.024524075940459e+01
s99         , -1.764848235022367e+01, -1.752913693677051e+01, -2.302500000000000e+00, -9.852200674848067e+00
s100        , -2.003395952271198e+01, -1.941898706891416e+01, -1.938217821782178e+00, -1.117889648781927e+01
s101        , -2.047737186068138e+01, -1.973095625937079e+01, -2.595827814569537e+00, -1.409800736848773e+01
s102        , -1.813404261594337e+01, -1.808888756346943e+01, -2.229379562043796e+00, -1.037597494760366e+01
s103        , -2.094885731266024e+01, -2.076727430389876e+01, -1.775166666666666e+00, -1.248971793124842e+01
s104        , -1.695125455205811e+01, -1.675133388762209e+01, -2.090818965517242e+00, -7.945829086493609e+00
s105        , -2.089913046364001e+01, -2.145025729821413e+01, -2.133039647577093e+00, -1.481073115730980e+01
s106        , -2.193421435204462e+01, -2.186569973147230e+01, -2.092807881773399e+00, -1.525228086384141e+01
s107        , -1.938858975045087e+01, -1.928643781007256e+01, -1.891522842639594e+00, -1.081406542683257e+01
s108        , -2.184761912256448e+01, -2.161111456923270e+01, -2.146462264150944e+00, -1.509079365432819e+01
s109        , -1.765266017099491e+01, -1.857983186900619e+01, -2.382323232323233e+00, -1.165198999090285e+01
s110        , -2.222643790681205e+01, -2.145815673163805e+01, -2.390670731707317e+00, -1.579119538999876e+01
s111        , -2.198367498730207e+01, -2.177176672045429e+01, -1.902058823529412e+00, -1.440063938659285e+01
s112        , -2.341727175416096e+01, -2.269978632410454e+01, -1.933091787439614e+00, -1.584180689064122e+01
s113        , -2.064750776227555e+01, -2.028770958430145e+01, -1.870666666666666e+00, -1.216457139815823e+01
s114        , -2.335281852671257e+01, -2.324724733875896e+01, -2.028105726872246e+00, -1.698055208867897e+01
s115        , -2.467653405274963e+01, -2.486695386233538e+01, -2.051348837209302e+00, -1.937955600715253e+01
s116        , -2.119630992652875e+01, -2.087944970680900e+01, -2.061538461538462e+00, -1.372712025460989e+01
s117        , -1.681518237222159e+01, -1.705840879958931e+01, -2.337857142857143e+00, -9.313411951278356e+00
s118        , -1.725426000439147e+01, -1.722096555230026e+01, -2.375709219858156e+00, -9.687801826960071e+00
s119        , -2.026224064054247e+01, -2.038168177299625e+01, -2.283274021352313e+00, -1.385088455499296e+01
s120        , -2.061376236446881e+01, -2.037976713868899e+01, -1.812594594594595e+00, -1.207748820890151e+01
s121        , -2.090204853596659e+01, -2.125018816815728e+01, -1.921865284974093e+00, -1.373077886728419e+01
s122        , -1.679179791839329e+01, -1.697060874166360e+01, -2.494166666666667e+00, -9.776133816344320e+00
s123        , -1.729435756680531e+01, -1.739494568684517e+01, -2.357184115523466e+00, -9.866407479504534e+00
s124        , -1.927065840811719e+01, -1.968446521695464e+01, -1.920788177339902e+00, -1.149220461853027e+01
s125        , -2.074667074869674e+01, -2.070241157249385e+01, -1.950195121951219e+00, -1.305559415505792e+01
s126        , -1.981090987888966e+01, -1.965584296646533e+01, -2.110427350427351e+00, -1.216476598470289e+01
s127        , -1.791042209268825e+01, -1.759952955290078e+01, -2.094358974358975e+00, -9.169649199201116e+00
s128        , -2.199486439730610e+01, -2.220286666621522e+01, -1.850200000000000e+00, -1.482079452192823e+01
s129        , -1.847106084369403e+01, -1.828648228830028e+01, -2.224787644787645e+00, -1.064069787244712e+01
s130        , -2.183307419908922e+01, -2.069107043061054e+01, -1.935497630331753e+00, -1.298411767888543e+01
s131        , -1.937195493711046e+01, -1.950278507910912e+01, -1.992300000000000e+00, -1.150194232012991e+01
s132        , -1.756898825137140e+01, -1.787474661797877e+01, -2.281028806584362e+00, -1.026466452930016e+01
s133        , -1.952720456066259e+01, -1.933205080761457e+01, -2.267389380530973e+00, -1.229314629650849e+01
s134        , -1.792604080418195e+01, -1.803265917392234e+01, -2.478871595330739e+00, -1.123430057399527e+01
s135        , -2.163690184151209e+01, -2.185008778826758e+01, -2.199961389961389e+00, -1.563310445527770e+01
s136        , -2.266590946104735e+01, -2.257598907643727e+01, -1.814867724867725e+00, -1.522037873722291e+01
s137        , -1.871948299194560e+01, -1.843724624890242e+01, -2.009099526066351e+00, -1.004445674971484e+01
s138        , -2.098569970792443e+01, -2.100508981012152e+01, -2.099396551724138e+00, -1.404884713799725e+01
s139        , -1.946420871832499e+01, -1.958959319751949e+01, -1.945404040404041e+00, -1.144941116811169e+01
s140        , -1.890485827097119e+01, -1.925071739020566e+01, -2.507859649122807e+00, -1.308170400766874e+01
s141        , -2.048387804329865e+01, -2.058425785840593e+01, -2.605841924398625e+00, -1.535346954293961e+01
s142        , -1.712146112463541e+01, -1.733755425851415e+01, -2.362406779661017e+00, -9.804148581659700e+00
s143        , -2.146398341435241e+01, -2.169860853643581e+01, -1.989323671497584e+00, -1.462451605134587e+01
