# c0 + a0 * (Al - B) + a1 * (O - NBI) + a2 * (face-area-avg - E_T)
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.295819679652407; Max AE: 1.34425742492335
# Coefficients
# Task   a0                      a1                      a2                      c0
# all , -1.666026618431460e+00, -2.693136793038668e+00,  6.703062542964711e-01, -1.243117231782367e+01, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         15|9|sub; (Al - B); $\left(Al - B\right)$; (Al - B); (newdata$Al - newdata$B); Al,B
# 1;  1; Unitless;                                         12|5|sub; (O - NBI); $\left(O - NBI\right)$; (O - NBI); (newdata$O - newdata$NBI); O,NBI
# 2;  1; Unitless;                                         33|0|sub; (face-area-avg - E_T); $\left(face-area-avg - E_{T}\right)$; (face_sub_area_sub_avg - E_T); (newdata$face_sub_area_sub_avg - newdata$E_T); face-area-avg,E_T
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
s1          , -2.244947812336508e+01, -2.224788398709200e+01,  0.000000000000000e+00, -2.715477295545710e-02, -1.475421588867808e+01
s2          , -2.298888400764099e+01, -2.301751804577759e+01,  0.000000000000000e+00, -1.815442579248565e-01, -1.652270015018798e+01
s3          , -1.755271246623431e+01, -1.766881924103662e+01, -4.347826086956524e-03, -4.812376951876953e-01, -9.758120886367621e+00
s4          , -1.917258847351942e+01, -1.909461636495804e+01,  0.000000000000000e+00, -4.105290357033963e-01, -1.159030644276470e+01
s5          , -2.000094091703784e+01, -2.038214138217164e+01,  0.000000000000000e+00, -2.483960154167160e-01, -1.285969429266044e+01
s6          , -2.179532463031582e+01, -2.164317281620127e+01,  0.000000000000000e+00, -5.512500464109538e-02, -1.396445224342619e+01
s7          , -2.156980503382011e+01, -2.161310277247322e+01,  1.541850220264317e-01, -8.277153208754540e-02, -1.364744712381148e+01
s8          , -2.070680399014268e+01, -2.096858624688286e+01,  0.000000000000000e+00, -4.170919110426776e-01, -1.441236664411934e+01
s9          , -2.311678210871720e+01, -2.283956768425988e+01,  0.000000000000000e+00, -2.163641638617279e-01, -1.639712233979246e+01
s10         , -1.955558688693647e+01, -1.931579931990503e+01,  0.000000000000000e+00, -4.698997058276752e-01, -1.215881716251923e+01
s11         , -1.929232032084748e+01, -1.923867036338470e+01,  0.000000000000000e+00, -5.120166558868949e-01, -1.221296815851855e+01
s12         , -1.972420304545977e+01, -1.949595515608111e+01,  3.421052631578947e-01, -3.129036774105314e-01, -1.094651694327913e+01
s13         , -1.649771434553038e+01, -1.656665123313682e+01, -3.147410358565737e-01, -4.415825296239856e-01, -8.725993497994907e+00
s14         , -1.814284237715737e+01, -1.823366570086337e+01,  0.000000000000000e+00, -4.708682588577026e-01, -1.054832171163982e+01
s15         , -2.140988745272463e+01, -2.108637664296501e+01,  0.000000000000000e+00, -5.281961632847288e-01, -1.503448428510114e+01
s16         , -2.271802967642396e+01, -2.250514220546551e+01,  0.000000000000000e+00, -1.276391715740530e-01, -1.554173121624078e+01
s17         , -1.845283706311921e+01, -1.841731768736997e+01,  0.000000000000000e+00, -4.974842489778722e-01, -1.092924086187268e+01
s18         , -2.106370881996578e+01, -2.172832484586506e+01,  1.440329218106996e-01, -1.747640425517821e-01, -1.421417935219890e+01
s19         , -2.166440903696862e+01, -2.158157277368193e+01, -1.963470319634703e-01, -3.820189265192572e-01, -1.567395350537589e+01
s20         , -1.957524373940041e+01, -1.935910773272960e+01, -2.371541501976284e-02, -4.054592287883396e-01, -1.202346396600733e+01
s21         , -2.230012329283520e+01, -2.291024445510216e+01,  2.021276595744681e-01, -2.011038270966132e-01, -1.593886693373374e+01
s22         , -1.709175230426198e+01, -1.658824039314370e+01, -2.800000000000000e-02, -4.261549618484539e-01, -7.983530503594674e+00
s23         , -2.271630669020732e+01, -2.268231206978432e+01, -4.166666666666666e-02, -4.219941910978016e-01, -1.709225527404275e+01
s24         , -1.997593461761007e+01, -2.017332470415245e+01,  0.000000000000000e+00, -2.991872236783314e-01, -1.275223743122545e+01
s25         , -2.228124530569044e+01, -2.264230799924402e+01,  5.649717514124297e-03, -1.999286346201568e-01, -1.602276302017382e+01
s26         , -1.806502239865187e+01, -1.788856365505186e+01,  7.346938775510205e-02, -4.020125073377813e-01, -9.574226728791565e+00
s27         , -2.017409009594002e+01, -2.023252442353550e+01,  0.000000000000000e+00, -3.926592751299136e-01, -1.321610411645347e+01
s28         , -1.658938425028538e+01, -1.709600043603699e+01,  5.862068965517241e-02, -4.999085893567283e-01, -8.822067026983406e+00
s29         , -2.262132344831001e+01, -2.299795964301267e+01, -7.909604519774011e-02, -2.651997368690651e-01, -1.702622127962357e+01
s30         , -1.697997334312175e+01, -1.698183204417292e+01, -2.658227848101266e-01, -4.684972348578511e-01, -9.331935458108376e+00
s31         , -1.964904728113367e+01, -1.968661664732616e+01,  1.894736842105263e-01, -3.352484514228936e-01, -1.170009382604234e+01
s32         , -2.151059652715050e+01, -2.111635166714925e+01,  0.000000000000000e+00, -5.699400007758290e-01, -1.524691985153279e+01
s33         , -2.289264810431292e+01, -2.332049729487403e+01, -2.063492063492063e-01, -1.937354050302555e-01, -1.753655753556864e+01
s34         , -2.302504917991390e+01, -2.242146258744253e+01,  7.954545454545454e-02, -4.191121036616849e-01, -1.639025681370232e+01
s35         , -2.244061385591441e+01, -2.244274029755491e+01,  0.000000000000000e+00, -1.515902969446522e-01, -1.554486672190878e+01
s36         , -2.239655424600443e+01, -2.182116424472879e+01,  0.000000000000000e+00, -4.897242633120003e-02, -1.420527006733045e+01
s37         , -2.226102540809307e+01, -2.201663058652492e+01, -5.423728813559322e-02, -1.140059761507076e-01, -1.489297266653445e+01
s38         , -2.102436377352775e+01, -2.111558046537210e+01,  1.228070175438596e-01, -3.228953337020325e-01, -1.394796726266030e+01
s39         , -2.141661104833067e+01, -2.117126979340278e+01,  3.273542600896861e-01, -2.813849747751401e-02, -1.233838612493730e+01
