# c0 + a0 * (B + WE) + a1 * (Al + O) + a2 * (AAV - E_T)
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.318748522550709; Max AE: 1.58320995195976
# Coefficients
# Task   a0                      a1                      a2                      c0
# all ,  1.099500411753981e+00, -2.354757186729628e+00,  6.545162329976008e-01, -1.374895729689581e+01, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         9|8|add; (B + WE); $\left(B + WE\right)$; (B + WE); (newdata$B + newdata$WE); B,WE
# 1;  1; Unitless;                                         15|12|add; (Al + O); $\left(Al + O\right)$; (Al + O); (newdata$Al + newdata$O); Al,O
# 2;  1; Unitless;                                         2|0|sub; (AAV - E_T); $\left(AAV - E_{T}\right)$; (AAV - E_T); (newdata$AAV - newdata$E_T); AAV,E_T
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
s1          , -2.244947812336508e+01, -2.216940626463142e+01,  2.805802919708029e+00,  6.313868613138686e-01, -1.530698121585983e+01
s2          , -2.298888400764099e+01, -2.297692786317953e+01,  2.650867924528302e+00,  4.679245283018868e-01, -1.686856908709021e+01
s3          , -1.755271246623431e+01, -1.788546920304914e+01,  2.336043478260870e+00,  1.086956521739130e-01, -9.853141112662380e+00
s4          , -1.917258847351942e+01, -1.890996250917760e+01,  2.234456928838951e+00,  0.000000000000000e+00, -1.163881221203367e+01
s5          , -2.000094091703784e+01, -2.057183539605080e+01,  2.586269230769231e+00,  4.076923076923077e-01, -1.330213882076700e+01
s6          , -2.179532463031582e+01, -2.165357154156064e+01,  2.751297709923664e+00,  6.183206106870229e-01, -1.447431221755518e+01
s7          , -2.156980503382011e+01, -2.148089612237554e+01,  2.538502202643172e+00,  6.607929515418502e-01, -1.370021954974751e+01
s8          , -2.070680399014268e+01, -2.065874100334356e+01,  2.276250000000000e+00,  0.000000000000000e+00, -1.438088322973229e+01
s9          , -2.311678210871720e+01, -2.290471258808908e+01,  2.378390243902439e+00,  4.682926829268293e-01, -1.629918441319988e+01
s10         , -1.955558688693647e+01, -1.937733044018248e+01,  1.905364583333333e+00,  0.000000000000000e+00, -1.180004696267240e+01
s11         , -1.929232032084748e+01, -1.911135132048403e+01,  2.544612794612795e+00,  0.000000000000000e+00, -1.246752399347954e+01
s12         , -1.972420304545977e+01, -1.956478499722016e+01,  2.134210526315789e+00,  3.947368421052632e-01, -1.105073223904352e+01
s13         , -1.649771434553038e+01, -1.649329286623846e+01,  2.642231075697211e+00,  0.000000000000000e+00, -8.631519647949819e+00
s14         , -1.814284237715737e+01, -1.816485424260427e+01,  2.324398496240601e+00,  0.000000000000000e+00, -1.065149143433222e+01
s15         , -2.140988745272463e+01, -2.117654138961185e+01,  1.996649484536082e+00,  0.000000000000000e+00, -1.470231071125643e+01
s16         , -2.271802967642396e+01, -2.246599248997862e+01,  2.541238938053097e+00,  5.575221238938053e-01, -1.558143054318275e+01
s17         , -1.845283706311921e+01, -1.840086934055769e+01,  2.331578947368421e+00,  0.000000000000000e+00, -1.102414835959740e+01
s18         , -2.106370881996578e+01, -2.173114785893764e+01,  2.447407407407408e+00,  4.897119341563786e-01, -1.454503775136913e+01
s19         , -2.166440903696862e+01, -2.163457348524793e+01,  2.836392694063927e+00,  3.059360730593607e-01, -1.571210221869732e+01
s20         , -1.957524373940041e+01, -1.921003539700409e+01,  2.277035573122530e+00,  3.952569169960474e-02, -1.202660201060852e+01
s21         , -2.230012329283520e+01, -2.300290867207297e+01,  2.114255319148937e+00,  5.212765957446809e-01, -1.581488072744051e+01
s22         , -1.709175230426198e+01, -1.670419392817625e+01,  2.178760000000000e+00,  0.000000000000000e+00, -8.175174088330298e+00
s23         , -2.271630669020732e+01, -2.275469789783174e+01,  2.752083333333333e+00,  3.166666666666667e-01, -1.724324574548409e+01
s24         , -1.997593461761007e+01, -2.043546148792122e+01,  2.495606694560669e+00,  3.472803347280335e-01, -1.315882400015543e+01
s25         , -2.228124530569044e+01, -2.281966120507224e+01,  2.230677966101695e+00,  5.141242937853108e-01, -1.575621329894552e+01
s26         , -1.806502239865187e+01, -1.796666050817286e+01,  2.230938775510204e+00,  1.673469387755102e-01, -9.589616865640993e+00
s27         , -2.017409009594002e+01, -2.021196818796756e+01,  2.162368421052632e+00,  1.052631578947368e-01, -1.312827130883999e+01
s28         , -1.658938425028538e+01, -1.697517680446069e+01,  2.390413793103448e+00,  5.862068965517241e-02, -8.733844447077159e+00
s29         , -2.262132344831001e+01, -2.321977434173920e+01,  2.285932203389831e+00,  4.293785310734464e-01, -1.676523470103118e+01
s30         , -1.697997334312175e+01, -1.708653740403247e+01,  2.548649789029536e+00,  0.000000000000000e+00, -9.380701791721386e+00
s31         , -1.964904728113367e+01, -1.975542072715001e+01,  1.935210526315789e+00,  2.842105263157895e-01, -1.140534190755525e+01
s32         , -2.151059652715050e+01, -2.117562448552829e+01,  2.222352941176470e+00,  0.000000000000000e+00, -1.508006167748456e+01
s33         , -2.289264810431292e+01, -2.334736562357356e+01,  2.497301587301588e+00,  4.126984126984127e-01, -1.737525721073736e+01
s34         , -2.302504917991390e+01, -2.250430289928885e+01,  1.745681818181818e+00,  7.954545454545454e-02, -1.602315224709062e+01
s35         , -2.244061385591441e+01, -2.239231376966514e+01,  2.396310679611650e+00,  5.145631067961165e-01, -1.537995449224499e+01
s36         , -2.239655424600443e+01, -2.194654894901446e+01,  2.910287539936102e+00,  6.102236421725240e-01, -1.521814890375577e+01
s37         , -2.226102540809307e+01, -2.196665038120942e+01,  2.916169491525423e+00,  5.389830508474577e-01, -1.551504441986685e+01
s38         , -2.102436377352775e+01, -2.147975012880509e+01,  1.859532163742690e+00,  3.099415204678362e-01, -1.382014949789603e+01
s39         , -2.141661104833067e+01, -2.107277167032618e+01,  2.483049327354260e+00,  8.161434977578476e-01, -1.242460913042577e+01
s40         , -1.990275935468409e+01, -1.968958308843360e+01,  1.826542553191489e+00,  1.702127659574468e-01, -1.153233482442023e+01
s41         , -1.952311408648237e+01, -1.944196195224892e+01,  1.948308457711443e+00,  2.189054726368159e-01, -1.118337636700211e+01
s42         , -1.862175379272403e+01, -1.920742712984326e+01,  2.273043478260869e+00,  6.521739130434782e-02, -1.192347960052033e+01
s43         , -2.257821044890805e+01, -2.248986198552845e+01,  2.509861751152074e+00,  7.235023041474655e-01, -1.496804200301497e+01
s44         , -1.984867902879579e+01, -1.959992835714579e+01,  1.869052631578948e+00,  0.000000000000000e+00, -1.207914303676234e+01
s45         , -1.928264199244582e+01, -1.934209828800716e+01,  2.181969696969697e+00,  3.030303030303030e-02, -1.210185613991873e+01
s46         , -2.007096062658339e+01, -2.009554045591842e+01,  2.323843137254902e+00,  1.098039215686274e-01, -1.320530742569512e+01
s47         , -1.842882744186564e+01, -1.854794699601094e+01,  2.543498233215547e+00,  0.000000000000000e+00, -1.160485664204907e+01
s48         , -1.712958329507449e+01, -1.695306965371454e+01,  2.204517374517375e+00,  0.000000000000000e+00, -8.598686837825184e+00
s49         , -2.142142340445580e+01, -2.196095925159448e+01,  2.533162055335968e+00,  3.359683794466403e-01, -1.559333475171678e+01
s50         , -2.022197746600499e+01, -2.013299014220500e+01,  2.191659751037345e+00,  0.000000000000000e+00, -1.343551649395320e+01
s51         , -2.208446385448407e+01, -2.232431612410884e+01,  2.555678391959799e+00,  4.070351758793970e-01, -1.593063508612480e+01
s52         , -2.030062191637932e+01, -2.017746363156736e+01,  3.049271708683473e+00,  4.397759103641457e-01, -1.336195484164609e+01
s53         , -1.881589086732163e+01, -1.915654646970454e+01,  2.616024590163935e+00,  6.188524590163935e-01, -1.043008815868953e+01
s54         , -2.389190768082197e+01, -2.410054762979800e+01,  2.519166666666667e+00,  3.333333333333333e-01, -1.884826599553735e+01
s55         , -1.989931101552115e+01, -1.996214180569297e+01,  2.152213114754098e+00,  9.016393442622951e-02, -1.278383807802105e+01
s56         , -2.293632659980805e+01, -2.339068051973893e+01,  2.195000000000000e+00,  5.108695652173912e-01, -1.658041817658905e+01
s57         , -2.165250835772914e+01, -2.124169415526975e+01,  3.075550847457627e+00,  3.983050847457627e-01, -1.518128049353406e+01
s58         , -2.493828100106786e+01, -2.476272438205431e+01,  2.462666666666667e+00,  5.333333333333333e-01, -1.904551632354680e+01
s59         , -2.019609135900962e+01, -1.982899120352617e+01,  1.948309178743961e+00,  0.000000000000000e+00, -1.256225626861349e+01
s60         , -1.686951544328429e+01, -1.712588791095119e+01,  2.320000000000000e+00,  5.594405594405594e-02, -8.855451720411025e+00
s61         , -1.698686520707895e+01, -1.755620242027362e+01,  2.375115511551155e+00,  4.620462046204620e-02, -9.640532390312138e+00
s62         , -1.961666852236879e+01, -1.969668546495581e+01,  2.010666666666667e+00,  0.000000000000000e+00, -1.246486578124321e+01
s63         , -2.363642228074260e+01, -2.327037971758707e+01,  2.380283018867925e+00,  4.528301886792453e-01, -1.691667659357740e+01
s64         , -2.123215125329894e+01, -2.165550128734663e+01,  2.307989690721649e+00,  5.051546391752577e-01, -1.413969986096494e+01
s65         , -2.229595939650926e+01, -2.210014075987901e+01,  2.457061403508772e+00,  4.868421052631579e-01, -1.513534430812385e+01
s66         , -2.209517036440609e+01, -2.195656555688495e+01,  2.207783251231527e+00,  2.906403940886699e-01, -1.520310543173952e+01
s67         , -2.100952424313996e+01, -2.060662801358441e+01,  2.874448398576512e+00,  5.231316725978647e-01, -1.342408240754135e+01
s68         , -2.306714632630091e+01, -2.307944490709032e+01,  2.187407407407408e+00,  3.492063492063492e-01, -1.667376032048298e+01
s69         , -2.116954741071400e+01, -2.120391268654824e+01,  2.745375494071146e+00,  3.794466403162055e-01, -1.463675259613165e+01
s70         , -2.268552320802911e+01, -2.171837090215715e+01,  2.607754237288136e+00,  5.254237288135594e-01, -1.466639737481654e+01
s71         , -1.844586653395837e+01, -1.899677210645132e+01,  2.322352941176471e+00,  0.000000000000000e+00, -1.191909754306385e+01
s72         , -2.185924535832699e+01, -2.167605743994866e+01,  2.651574468085107e+00,  4.893617021276596e-01, -1.480510167507020e+01
s73         , -1.814705961150877e+01, -1.820780495708266e+01,  2.710677966101695e+00,  0.000000000000000e+00, -1.136601175799315e+01
s74         , -2.269683109870329e+01, -2.344414525118358e+01,  2.361797752808989e+00,  4.382022471910113e-01, -1.720373781043877e+01
s75         , -2.162544692540680e+01, -2.180675971147542e+01,  2.208333333333333e+00,  5.637254901960784e-01, -1.399266926130055e+01
s76         , -1.799713371423827e+01, -1.836364856275042e+01,  2.308964285714286e+00,  0.000000000000000e+00, -1.092929111316468e+01
s77         , -1.808839931225978e+01, -1.791742846429359e+01,  2.055675675675676e+00,  0.000000000000000e+00, -9.822044275041518e+00
s78         , -1.710463489071706e+01, -1.711072739016277e+01,  2.442813688212928e+00,  0.000000000000000e+00, -9.239869760904003e+00
s79         , -2.130172009097587e+01, -2.134180616248889e+01,  2.896014234875445e+00,  4.448398576512456e-01, -1.486522009236650e+01
s80         , -2.075517304342145e+01, -2.056726877114236e+01,  2.290050000000000e+00,  2.000000000000000e-02, -1.419235578910876e+01
s81         , -1.679587307458704e+01, -1.698582036977088e+01,  2.547372881355932e+00,  0.000000000000000e+00, -9.224676639668576e+00
s82         , -1.961963418382102e+01, -1.939217776989103e+01,  1.915685279187817e+00,  1.015228426395939e-02, -1.180354385794019e+01
s83         , -1.732943596118787e+01, -1.758385765558660e+01,  2.120295358649789e+00,  0.000000000000000e+00, -9.420951945417817e+00
s84         , -2.091958911511147e+01, -2.120065964799508e+01,  2.425224913494810e+00,  1.349480968858132e-01, -1.497360591993353e+01
s85         , -1.931803893900067e+01, -1.926748142069770e+01,  2.241385281385281e+00,  1.731601731601732e-01, -1.157370531008330e+01
s86         , -2.124992178205270e+01, -2.111353216861144e+01,  2.279816513761468e+00,  5.963302752293578e-01, -1.293630415747096e+01
s87         , -2.000999990609716e+01, -1.998572902867377e+01,  2.066339285714286e+00,  1.026785714285714e-01, -1.263059509676056e+01
s88         , -1.933594922663024e+01, -1.940617826023955e+01,  2.017564766839378e+00,  0.000000000000000e+00, -1.203260340718368e+01
s89         , -2.128477820873118e+01, -2.148670949511025e+01,  2.607911646586346e+00,  5.180722891566265e-01, -1.433916717135340e+01
s90         , -2.009844325702736e+01, -2.045100077539993e+01,  2.312259414225941e+00,  1.841004184100418e-01, -1.346163995481665e+01
s91         , -2.185233402642529e+01, -2.227089708632446e+01,  2.363020833333333e+00,  4.791666666666667e-01, -1.526587197222944e+01
s92         , -1.852873985612102e+01, -1.866258262965302e+01,  2.085833333333334e+00,  2.280701754385965e-01, -1.019065642782784e+01
s93         , -2.244477787769646e+01, -2.236526285459039e+01,  2.403876651982379e+00,  5.462555066079295e-01, -1.523731474268247e+01
s94         , -2.069748145715988e+01, -2.065017828292200e+01,  2.170550000000000e+00,  1.850000000000000e-01, -1.352466307011557e+01
s95         , -1.839144268754908e+01, -1.778796580413953e+01,  2.308480565371025e+00,  0.000000000000000e+00, -1.004892393466326e+01
s96         , -2.061908691885885e+01, -2.034498908662955e+01,  2.099268292682927e+00,  0.000000000000000e+00, -1.360421284150691e+01
s97         , -2.336181657728519e+01, -2.327630077616953e+01,  2.613859649122807e+00,  2.982456140350877e-01, -1.787425070133368e+01
s98         , -1.913590175727989e+01, -1.916100234009625e+01,  2.006116504854369e+00,  2.572815533980582e-01, -1.071315733045071e+01
s99         , -1.764848235022367e+01, -1.780139003008081e+01,  2.302500000000000e+00,  2.173913043478261e-01, -9.277277459098908e+00
s100        , -2.003395952271198e+01, -1.988741002221307e+01,  1.938217821782178e+00,  2.574257425742574e-01, -1.170841686532749e+01
s101        , -2.047737186068138e+01, -2.022335722247628e+01,  2.993178807947020e+00,  3.973509933774834e-01, -1.349047694298223e+01
s102        , -1.813404261594337e+01, -1.814036070181525e+01,  2.229379562043796e+00,  1.861313868613139e-01, -9.784803810172804e+00
s103        , -2.094885731266024e+01, -2.078117690115590e+01,  1.941833333333333e+00,  1.666666666666667e-01, -1.340655308502983e+01
s104        , -1.695125455205811e+01, -1.694514102424394e+01,  2.090818965517242e+00,  1.034482758620690e-01, -8.023398359037522e+00
s105        , -2.089913046364001e+01, -2.153771661576702e+01,  2.710132158590308e+00,  4.801762114537445e-01, -1.472515404880261e+01
s106        , -2.193421435204462e+01, -2.200072420033896e+01,  2.565714285714285e+00,  4.384236453201971e-01, -1.534016893881369e+01
s107        , -1.938858975045087e+01, -1.923117063672047e+01,  2.008274111675127e+00,  0.000000000000000e+00, -1.174961164416913e+01
s108        , -2.184761912256448e+01, -2.202032756144018e+01,  2.608726415094340e+00,  5.377358490566038e-01, -1.508507838185593e+01
s109        , -1.765266017099491e+01, -1.830873876575988e+01,  2.382323232323233e+00,  0.000000000000000e+00, -1.096863069515475e+01
s110        , -2.222643790681205e+01, -2.159020745928931e+01,  2.915060975609756e+00,  5.243902439024390e-01, -1.499053608639862e+01
s111        , -2.198367498730207e+01, -2.175189084215550e+01,  2.328529411764706e+00,  4.264705882352941e-01, -1.460455436822666e+01
s112        , -2.341727175416096e+01, -2.304563497967954e+01,  2.532125603864734e+00,  7.101449275362318e-01, -1.590263377798977e+01
s113        , -2.064750776227555e+01, -2.057039459121096e+01,  1.988615384615384e+00,  2.769230769230769e-01, -1.276642763265858e+01
s114        , -2.335281852671257e+01, -2.315327700214698e+01,  2.666872246696035e+00,  5.594713656387665e-01, -1.683552991362063e+01
s115        , -2.467653405274963e+01, -2.453421773741337e+01,  2.688558139534884e+00,  4.511627906976744e-01, -1.937148654069641e+01
s116        , -2.119630992652875e+01, -2.175708046448774e+01,  2.574358974358975e+00,  8.418803418803418e-01, -1.353092205816309e+01
s117        , -1.681518237222159e+01, -1.682814623814485e+01,  2.611666666666666e+00,  2.380952380952381e-02, -9.006120203181734e+00
s118        , -1.725426000439147e+01, -1.705216766315046e+01,  2.396985815602837e+00,  0.000000000000000e+00, -9.073414772739770e+00
s119        , -2.026224064054247e+01, -2.080336545842312e+01,  2.728113879003559e+00,  5.693950177935944e-01, -1.331240242073248e+01
s120        , -2.061376236446881e+01, -2.069607790849254e+01,  1.996378378378379e+00,  2.972972972972973e-01, -1.289819272254068e+01
s121        , -2.090204853596659e+01, -2.137301022354599e+01,  2.269015544041451e+00,  3.575129533678756e-01, -1.417379705438413e+01
s122        , -1.679179791839329e+01, -1.689487572687702e+01,  2.494166666666667e+00,  0.000000000000000e+00, -8.996347852209563e+00
s123        , -1.729435756680531e+01, -1.753356714088076e+01,  2.357184115523466e+00,  1.227436823104693e-01, -9.300461737453984e+00
s124        , -1.927065840811719e+01, -1.971094275744381e+01,  2.383842364532020e+00,  3.399014778325123e-01, -1.189066868297204e+01
s125        , -2.074667074869674e+01, -2.050987243541275e+01,  1.950195121951219e+00,  0.000000000000000e+00, -1.360570606067084e+01
s126        , -1.981090987888966e+01, -1.979649492058878e+01,  2.110427350427351e+00,  1.880341880341880e-01, -1.210845218084818e+01
s127        , -1.791042209268825e+01, -1.798896973311240e+01,  2.094358974358975e+00,  2.179487179487180e-01, -9.212215644128683e+00
s128        , -2.199486439730610e+01, -2.230054153956541e+01,  2.320200000000000e+00,  5.400000000000000e-01, -1.502037034614422e+01
s129        , -1.847106084369403e+01, -1.804928656997795e+01,  2.224787644787645e+00,  0.000000000000000e+00, -1.030758881822271e+01
s130        , -2.183307419908922e+01, -2.145303834528360e+01,  2.452085308056872e+00,  8.056872037914692e-01, -1.299120127536901e+01
s131        , -1.937195493711046e+01, -1.931355312186366e+01,  2.167300000000000e+00,  0.000000000000000e+00, -1.214262178183651e+01
s132        , -1.756898825137140e+01, -1.770120664883529e+01,  2.482674897119342e+00,  3.292181069958848e-02, -1.009054966135983e+01
s133        , -1.952720456066259e+01, -1.957026797661032e+01,  2.329336283185841e+00,  1.371681415929203e-01, -1.231355130502026e+01
s134        , -1.792604080418195e+01, -1.814954294544020e+01,  2.478871595330739e+00,  0.000000000000000e+00, -1.088759243702654e+01
s135        , -2.163690184151209e+01, -2.208341434520849e+01,  2.659420849420849e+00,  5.444015444015444e-01, -1.524264397911174e+01
s136        , -2.266590946104735e+01, -2.266451976525745e+01,  2.158783068783069e+00,  4.179894179894180e-01, -1.574427223629518e+01
s137        , -1.871948299194560e+01, -1.896879215224997e+01,  2.051753554502370e+00,  2.890995260663507e-01, -1.038168223199325e+01
s138        , -2.098569970792443e+01, -2.102454768994004e+01,  2.586465517241380e+00,  4.310344827586207e-01, -1.391016492675411e+01
s139        , -1.946420871832499e+01, -1.951920452947789e+01,  1.985808080808081e+00,  0.000000000000000e+00, -1.215194312090362e+01
s140        , -1.890485827097119e+01, -1.916490705535694e+01,  2.507859649122807e+00,  0.000000000000000e+00, -1.248760850110621e+01
s141        , -2.048387804329865e+01, -2.101076434216385e+01,  2.963230240549828e+00,  3.573883161512028e-01, -1.478697810845533e+01
s142        , -1.712146112463541e+01, -1.709861081449141e+01,  2.362406779661017e+00,  0.000000000000000e+00, -9.086284563678774e+00
s143        , -2.146398341435241e+01, -2.156328184944799e+01,  2.723623188405797e+00,  5.169082125603864e-01, -1.465472597575141e+01
s144        , -2.296743054539722e+01, -2.221830965060284e+01,  2.735022026431718e+00,  7.797356828193833e-01, -1.472908005796056e+01
s145        , -2.169591974109321e+01, -2.169201898699869e+01,  2.143819095477387e+00,  2.060301507537688e-01, -1.499587053048975e+01
s146        , -2.268369172314783e+01, -2.237874889565104e+01,  2.722407407407407e+00,  4.953703703703703e-01, -1.597607851000013e+01
s147        , -2.121406114253308e+01, -2.167627572374457e+01,  2.365226130653266e+00,  3.417085427135679e-01, -1.485562067748938e+01
s148        , -2.139826235530006e+01, -2.090280637899543e+01,  2.500040160642571e+00,  3.574297188755020e-01, -1.384378814770815e+01
s149        , -1.818204101397333e+01, -1.816027712571383e+01,  2.187761194029850e+00,  0.000000000000000e+00, -1.041496576983784e+01
s150        , -2.236615053154114e+01, -2.197733001388285e+01,  2.575418502202643e+00,  5.638766519823789e-01, -1.486938494610078e+01
s151        , -2.007280490017163e+01, -1.989076033378302e+01,  1.830947368421053e+00,  5.263157894736842e-02, -1.227012475582133e+01
s152        , -2.043501428229088e+01, -2.025689967703620e+01,  2.043225806451613e+00,  0.000000000000000e+00, -1.337548185099389e+01
s153        , -2.294208833005412e+01, -2.267640258939963e+01,  2.723125000000000e+00,  6.093750000000000e-01, -1.602189779552259e+01
s154        , -1.941555486932839e+01, -1.956994709005359e+01,  2.106333333333334e+00,  0.000000000000000e+00, -1.243193636799951e+01
s155        , -2.030625886040805e+01, -2.050607978966102e+01,  2.317944250871080e+00,  0.000000000000000e+00, -1.421768121533334e+01
s156        , -1.755225478861601e+01, -1.765951511681973e+01,  2.139619047619048e+00,  7.619047619047620e-02, -9.294895169437519e+00
s157        , -1.981494689568535e+01, -1.955487244645481e+01,  1.898622448979592e+00,  1.479591836734694e-01, -1.152766422358132e+01
s158        , -2.120666701656112e+01, -2.127515670919981e+01,  2.124949494949495e+00,  2.575757575757576e-01, -1.414182479216290e+01
s159        , -2.199339551508707e+01, -2.186495041233619e+01,  2.436284403669725e+00,  4.587155963302753e-01, -1.484229799589550e+01
s160        , -1.822712376873660e+01, -1.791636556298369e+01,  2.207620967741936e+00,  0.000000000000000e+00, -1.007566825182323e+01
s161        , -1.850131544535105e+01, -1.869645501723333e+01,  3.011910112359551e+00,  0.000000000000000e+00, -1.261862382116518e+01
s162        , -2.165239460618542e+01, -2.177100474833007e+01,  2.715306859205776e+00,  6.425992779783394e-01, -1.450592470362375e+01
s163        , -2.054863013411503e+01, -2.031812238218485e+01,  1.974057971014493e+00,  0.000000000000000e+00, -1.335282793097317e+01
s164        , -2.244259094688993e+01, -2.295318016757217e+01,  2.207808988764045e+00,  3.314606741573033e-01, -1.657896292137675e+01
s165        , -2.169401378729562e+01, -2.131332048178610e+01,  2.743798449612403e+00,  6.124031007751938e-01, -1.396315270199978e+01
s166        , -1.893544650248816e+01, -1.860566915954698e+01,  2.441009174311926e+00,  0.000000000000000e+00, -1.152087920014968e+01
s167        , -1.990371422830687e+01, -1.987564535141832e+01,  2.378560000000000e+00,  0.000000000000000e+00, -1.335630090313757e+01
s168        , -2.358382467591309e+01, -2.350236864735790e+01,  2.730892018779343e+00,  2.769953051643192e-01, -1.849269881146546e+01
s169        , -2.234616115486217e+01, -2.288198695480362e+01,  2.334891304347826e+00,  3.043478260869565e-01, -1.678121614706460e+01
s170        , -1.980105726485419e+01, -1.979831652302060e+01,  2.392954545454546e+00,  1.477272727272727e-01, -1.273085594664029e+01
s171        , -2.225344967355102e+01, -2.195384264120629e+01,  2.698080000000000e+00,  5.160000000000000e-01, -1.521180102944776e+01
s172        , -2.076076397080535e+01, -2.071851198562306e+01,  2.020151515151515e+00,  7.575757575757576e-02, -1.376943910802964e+01
s173        , -2.167162181633835e+01, -2.159574608397875e+01,  2.087395833333333e+00,  2.760416666666666e-01, -1.450211589624718e+01
s174        , -2.217746151284670e+01, -2.226783890793920e+01,  2.562419354838709e+00,  4.637096774193548e-01, -1.565177230883617e+01
