# c0 + a0 * (B + WE) + a1 * (Al + O) + a2 * (face-area-avg - E_T)
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.318916644534414; Max AE: 1.42414004165311
# Coefficients
# Task   a0                      a1                      a2                      c0
# all ,  6.635894536293171e-01, -2.418620576981958e+00,  6.360795811745422e-01, -1.294941831879200e+01, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         9|8|add; (B + WE); $\left(B + WE\right)$; (B + WE); (newdata$B + newdata$WE); B,WE
# 1;  1; Unitless;                                         15|12|add; (Al + O); $\left(Al + O\right)$; (Al + O); (newdata$Al + newdata$O); Al,O
# 2;  1; Unitless;                                         33|0|sub; (face-area-avg - E_T); $\left(face-area-avg - E_{T}\right)$; (face_sub_area_sub_avg - E_T); (newdata$face_sub_area_sub_avg - newdata$E_T); face-area-avg,E_T
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
s1          , -2.244947812336508e+01, -2.199945781015031e+01,  2.805802919708029e+00,  6.313868613138686e-01, -1.475421588867808e+01
s2          , -2.298888400764099e+01, -2.283181440514042e+01,  2.650867924528302e+00,  4.679245283018868e-01, -1.652270015018798e+01
s3          , -1.755271246623431e+01, -1.786907949082611e+01,  2.336043478260870e+00,  1.086956521739130e-01, -9.758120886367621e+00
s4          , -1.917258847351942e+01, -1.883901353402389e+01,  2.234456928838951e+00,  0.000000000000000e+00, -1.159030644276470e+01
s5          , -2.000094091703784e+01, -2.039903929717751e+01,  2.586269230769231e+00,  4.076923076923077e-01, -1.285969429266044e+01
s6          , -2.179532463031582e+01, -2.150167206120228e+01,  2.751297709923664e+00,  6.183206106870229e-01, -1.396445224342619e+01
s7          , -2.156980503382011e+01, -2.154396490944268e+01,  2.538502202643172e+00,  6.607929515418502e-01, -1.364744712381148e+01
s8          , -2.070680399014268e+01, -2.060633496369364e+01,  2.276250000000000e+00,  0.000000000000000e+00, -1.441236664411934e+01
s9          , -2.311678210871720e+01, -2.293364066566332e+01,  2.378390243902439e+00,  4.682926829268293e-01, -1.639712233979246e+01
s10         , -1.955558688693647e+01, -1.941901380428626e+01,  1.905364583333333e+00,  0.000000000000000e+00, -1.215881716251923e+01
s11         , -1.929232032084748e+01, -1.902925977588523e+01,  2.544612794612795e+00,  0.000000000000000e+00, -1.221296815851855e+01
s12         , -1.972420304545977e+01, -1.945075328311386e+01,  2.134210526315789e+00,  3.947368421052632e-01, -1.094651694327913e+01
s13         , -1.649771434553038e+01, -1.674648793244407e+01,  2.642231075697211e+00,  0.000000000000000e+00, -8.725993497994907e+00
s14         , -1.814284237715737e+01, -1.811654404708908e+01,  2.324398496240601e+00,  0.000000000000000e+00, -1.054832171163982e+01
s15         , -2.140988745272463e+01, -2.118759124550182e+01,  1.996649484536082e+00,  0.000000000000000e+00, -1.503448428510114e+01
s16         , -2.271802967642396e+01, -2.249729132407379e+01,  2.541238938053097e+00,  5.575221238938053e-01, -1.554173121624078e+01
s17         , -1.845283706311921e+01, -1.835407406898984e+01,  2.331578947368421e+00,  0.000000000000000e+00, -1.092924086187268e+01
s18         , -2.106370881996578e+01, -2.155112118433293e+01,  2.447407407407408e+00,  4.897119341563786e-01, -1.421417935219890e+01
s19         , -2.166440903696862e+01, -2.177704310325110e+01,  2.836392694063927e+00,  3.059360730593607e-01, -1.567395350537589e+01
s20         , -1.957524373940041e+01, -1.918187910195835e+01,  2.277035573122530e+00,  3.952569169960474e-02, -1.202346396600733e+01
s21         , -2.230012329283520e+01, -2.294557889109839e+01,  2.114255319148937e+00,  5.212765957446809e-01, -1.593886693373374e+01
s22         , -1.709175230426198e+01, -1.658177689982328e+01,  2.178760000000000e+00,  0.000000000000000e+00, -7.983530503594674e+00
s23         , -2.271630669020732e+01, -2.276109593536875e+01,  2.752083333333333e+00,  3.166666666666667e-01, -1.709225527404275e+01
s24         , -1.997593461761007e+01, -2.024473724372142e+01,  2.495606694560669e+00,  3.472803347280335e-01, -1.275223743122545e+01
s25         , -2.228124530569044e+01, -2.290438793325020e+01,  2.230677966101695e+00,  5.141242937853108e-01, -1.602276302017382e+01
s26         , -1.806502239865187e+01, -1.796370975300796e+01,  2.230938775510204e+00,  1.673469387755102e-01, -9.574226728791565e+00
s27         , -2.017409009594002e+01, -2.017557905055557e+01,  2.162368421052632e+00,  1.052631578947368e-01, -1.321610411645347e+01
s28         , -1.658938425028538e+01, -1.711648284173272e+01,  2.390413793103448e+00,  5.862068965517241e-02, -8.822067026983406e+00
s29         , -2.262132344831001e+01, -2.330103326800745e+01,  2.285932203389831e+00,  4.293785310734464e-01, -1.702622127962357e+01
s30         , -1.697997334312175e+01, -1.719401479553886e+01,  2.548649789029536e+00,  0.000000000000000e+00, -9.331935458108376e+00
s31         , -1.964904728113367e+01, -1.979482123069050e+01,  1.935210526315789e+00,  2.842105263157895e-01, -1.170009382604234e+01
s32         , -2.151059652715050e+01, -2.117294273814999e+01,  2.222352941176470e+00,  0.000000000000000e+00, -1.524691985153279e+01
s33         , -2.289264810431292e+01, -2.344504236843485e+01,  2.497301587301588e+00,  4.126984126984127e-01, -1.753655753556864e+01
s34         , -2.302504917991390e+01, -2.240890023742607e+01,  1.745681818181818e+00,  7.954545454545454e-02, -1.639025681370232e+01
s35         , -2.244061385591441e+01, -2.249155705632108e+01,  2.396310679611650e+00,  5.145631067961165e-01, -1.554486672190878e+01
s36         , -2.239655424600443e+01, -2.152976389267975e+01,  2.910287539936102e+00,  6.102236421725240e-01, -1.420527006733045e+01
s37         , -2.226102540809307e+01, -2.179099031281748e+01,  2.916169491525423e+00,  5.389830508474577e-01, -1.489297266653445e+01
s38         , -2.102436377352775e+01, -2.133710049998162e+01,  1.859532163742690e+00,  3.099415204678362e-01, -1.394796726266030e+01
s39         , -2.141661104833067e+01, -2.112382990848540e+01,  2.483049327354260e+00,  8.161434977578476e-01, -1.233838612493730e+01
s40         , -1.990275935468409e+01, -1.971827379780306e+01,  1.826542553191489e+00,  1.702127659574468e-01, -1.189984709417575e+01
s41         , -1.952311408648237e+01, -1.942102930457295e+01,  1.948308457711443e+00,  2.189054726368159e-01, -1.137442367956846e+01
s42         , -1.862175379272403e+01, -1.924132955726532e+01,  2.273043478260869e+00,  6.521739130434782e-02, -1.201507330197605e+01
s43         , -2.257821044890805e+01, -2.263178601731549e+01,  2.509861751152074e+00,  7.235023041474655e-01, -1.508931934055744e+01
s44         , -1.984867902879579e+01, -1.965054075615014e+01,  1.869052631578948e+00,  0.000000000000000e+00, -1.248492529391996e+01
