# c0 + a0 * (face-area-avg / E_T)
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.614819635159513; Max AE: 2.80060572695297
# Coefficients
# Task   a0                      c0
# all ,  2.475949300426469e+01, -2.592901273323554e+01, 
# Feature Rung, Units, and Expressions
# 0;  1; A^2;                                              33|0|div; (face-area-avg / E_T); $\left(\frac{ face-area-avg }{ E_{T} } \right)$; (face_sub_area_sub_avg ./ E_T); (newdata$face_sub_area_sub_avg / newdata$E_T); face-area-avg,E_T
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
s1          , -2.244947812336508e+01, -2.150876723896255e+01,  1.785273023769763e-01
s2          , -2.298888400764099e+01, -2.165555484294120e+01,  1.725987640198555e-01
s3          , -1.755271246623431e+01, -1.804346547356925e+01,  3.184858130296954e-01
s4          , -1.917258847351942e+01, -1.913995412444808e+01,  2.742002272670965e-01
s5          , -2.000094091703784e+01, -2.005627350780866e+01,  2.371914168200186e-01
s6          , -2.179532463031582e+01, -2.132568359923604e+01,  1.859217849576567e-01
s7          , -2.156980503382011e+01, -2.145707317112867e+01,  1.806151507761732e-01
s8          , -2.070680399014268e+01, -2.050998438845861e+01,  2.188666926194139e-01
s9          , -2.311678210871720e+01, -2.244106090916671e+01,  1.408733136606655e-01
s10         , -1.955558688693647e+01, -2.000687246690027e+01,  2.391866531885453e-01
s11         , -1.929232032084748e+01, -1.940714143165838e+01,  2.634089195789996e-01
s12         , -1.972420304545977e+01, -1.917185084561383e+01,  2.729119649767394e-01
s13         , -1.649771434553038e+01, -1.726763363506624e+01,  3.498205353670782e-01
s14         , -1.814284237715737e+01, -1.824368476310095e+01,  3.103992464147319e-01
s15         , -2.140988745272463e+01, -2.140559480302083e+01,  1.826942873763845e-01
s16         , -2.271802967642396e+01, -2.224728815885147e+01,  1.486995139096716e-01
s17         , -1.845283706311921e+01, -1.905616883979037e+01,  2.775841933540951e-01
s18         , -2.106370881996578e+01, -2.100345065222948e+01,  1.989363061738647e-01
s19         , -2.166440903696862e+01, -2.243661745548128e+01,  1.410527783082114e-01
s20         , -1.957524373940041e+01, -1.927491906343375e+01,  2.687491891960654e-01
s21         , -2.230012329283520e+01, -2.202669432275799e+01,  1.576089788997455e-01
s22         , -1.709175230426198e+01, -1.595412811935816e+01,  4.028711174400567e-01
s23         , -2.271630669020732e+01, -2.248733287207425e+01,  1.390044562127534e-01
s24         , -1.997593461761007e+01, -2.028829869418048e+01,  2.278202561774379e-01
s25         , -2.228124530569044e+01, -2.267017696167678e+01,  1.316196487140282e-01
s26         , -1.806502239865187e+01, -1.731671059689186e+01,  3.478383880825129e-01
s27         , -2.017409009594002e+01, -2.057339869758718e+01,  2.163054806786991e-01
s28         , -1.658938425028538e+01, -1.704706630475167e+01,  3.587289298271981e-01
s29         , -2.262132344831001e+01, -2.289262052012529e+01,  1.226354761217143e-01
s30         , -1.697997334312175e+01, -1.781565265149857e+01,  3.276868423896840e-01
s31         , -1.964904728113367e+01, -1.980654358218492e+01,  2.472776461939692e-01
s32         , -2.151059652715050e+01, -2.145284868394191e+01,  1.807857716845267e-01
s33         , -2.289264810431292e+01, -2.282140581428186e+01,  1.255117347684950e-01
s34         , -2.302504917991390e+01, -2.170822882342618e+01,  1.704713383703924e-01
s35         , -2.244061385591441e+01, -2.242225392139160e+01,  1.416329006106836e-01
s36         , -2.239655424600443e+01, -2.062090705560334e+01,  2.143866870261807e-01
s37         , -2.226102540809307e+01, -2.109096294592567e+01,  1.954018115991528e-01
s38         , -2.102436377352775e+01, -2.122940088144788e+01,  1.898105042368268e-01
s39         , -2.141661104833067e+01, -2.106137494500442e+01,  1.965968280284532e-01
s40         , -1.990275935468409e+01, -1.999813591508226e+01,  2.395395098410020e-01
s41         , -1.952311408648237e+01, -1.940803905080782e+01,  2.633726660438693e-01
s42         , -1.862175379272403e+01, -1.953350577424236e+01,  2.583052471184119e-01
s43         , -2.257821044890805e+01, -2.222131819088390e+01,  1.497484032372155e-01
s44         , -1.984867902879579e+01, -1.994322281085412e+01,  2.417573704498071e-01
s45         , -1.928264199244582e+01, -2.001390388328431e+01,  2.389026644823618e-01
s46         , -2.007096062658339e+01, -2.025168734964317e+01,  2.292989352655356e-01
s47         , -1.842882744186564e+01, -1.945459613009242e+01,  2.614922931591507e-01
s48         , -1.712958329507449e+01, -1.598743149805449e+01,  4.015260422928962e-01
s49         , -2.142142340445580e+01, -2.122931543833261e+01,  1.898139551602869e-01
s50         , -2.022197746600499e+01, -2.022806916042697e+01,  2.302528396614023e-01
s51         , -2.208446385448407e+01, -2.237896028576402e+01,  1.433814677408801e-01
s52         , -2.030062191637932e+01, -1.952385272253219e+01,  2.586951198718043e-01
s53         , -1.881589086732163e+01, -1.910968250441167e+01,  2.754228540806260e-01
s54         , -2.389190768082197e+01, -2.322590026582930e+01,  1.091747907334227e-01
s55         , -1.989931101552115e+01, -1.989238205522421e+01,  2.438107548071180e-01
s56         , -2.293632659980805e+01, -2.277586709642215e+01,  1.273509775127575e-01
s57         , -2.165250835772914e+01, -2.208602841410464e+01,  1.552125610354366e-01
s58         , -2.493828100106786e+01, -2.313105382381056e+01,  1.130055009180943e-01
s59         , -2.019609135900962e+01, -2.033505456465803e+01,  2.259318544048532e-01
s60         , -1.686951544328429e+01, -1.712321754268744e+01,  3.556532918114013e-01
s61         , -1.698686520707895e+01, -1.799969194840850e+01,  3.202537622018857e-01
s62         , -1.961666852236879e+01, -2.019650783484427e+01,  2.315275558107703e-01
s63         , -2.363642228074260e+01, -2.242932388503842e+01,  1.413473550364832e-01
s64         , -2.123215125329894e+01, -2.213748648020410e+01,  1.531342444038888e-01
s65         , -2.229595939650926e+01, -2.196124288834764e+01,  1.602524673750176e-01
s66         , -2.209517036440609e+01, -2.148147596045232e+01,  1.796295575203078e-01
s67         , -2.100952424313996e+01, -2.087821069205729e+01,  2.039945664601565e-01
s68         , -2.306714632630091e+01, -2.233865845979903e+01,  1.450092000194870e-01
s69         , -2.116954741071400e+01, -2.170181746555944e+01,  1.707302838126772e-01
s70         , -2.268552320802911e+01, -2.148331199798398e+01,  1.795554026282287e-01
s71         , -1.844586653395837e+01, -1.940570797994535e+01,  2.634668146139577e-01
s72         , -2.185924535832699e+01, -2.190388078601522e+01,  1.625692394641123e-01
s73         , -1.814705961150877e+01, -1.940534059570025e+01,  2.634816527305959e-01
s74         , -2.269683109870329e+01, -2.300591713320386e+01,  1.180595902964650e-01
s75         , -2.162544692540680e+01, -2.135790193858859e+01,  1.846205329753561e-01
s76         , -1.799713371423827e+01, -1.901139817968597e+01,  2.793924153599610e-01
s77         , -1.808839931225978e+01, -1.816221556795729e+01,  3.136896690065690e-01
s78         , -1.710463489071706e+01, -1.756785445898097e+01,  3.376950518661431e-01
s79         , -2.130172009097587e+01, -2.118359195369524e+01,  1.916606603666290e-01
s80         , -2.075517304342145e+01, -2.112592816400472e+01,  1.939896171704129e-01
s81         , -1.679587307458704e+01, -1.796602460037572e+01,  3.216135375424789e-01
s82         , -1.961963418382102e+01, -1.974085138980265e+01,  2.499308585344222e-01
s83         , -1.732943596118787e+01, -1.778888990516513e+01,  3.287677508852189e-01
s84         , -2.091958911511147e+01, -2.091877922934359e+01,  2.023560620982410e-01
s85         , -1.931803893900067e+01, -1.962794565665180e+01,  2.544909572865008e-01
s86         , -2.124992178205270e+01, -2.070107373065448e+01,  2.111488713311125e-01
s87         , -2.000999990609716e+01, -2.013474662534958e+01,  2.340220014556813e-01
s88         , -1.933594922663024e+01, -1.989858485309697e+01,  2.435602328003997e-01
s89         , -2.128477820873118e+01, -2.112201061232171e+01,  1.941478413990889e-01
s90         , -2.009844325702736e+01, -2.046566887232187e+01,  2.206565320207743e-01
s91         , -2.185233402642529e+01, -2.250407699004823e+01,  1.383281855810773e-01
s92         , -1.852873985612102e+01, -1.823751927852521e+01,  3.106482613915202e-01
s93         , -2.244477787769646e+01, -2.165650300190325e+01,  1.725604692550196e-01
s94         , -2.069748145715988e+01, -2.108206197138596e+01,  1.957613090467853e-01
s95         , -1.839144268754908e+01, -1.791419528773798e+01,  3.237068482830829e-01
s96         , -2.061908691885885e+01, -2.074223660564981e+01,  2.094863625314273e-01
s97         , -2.336181657728519e+01, -2.275769709710543e+01,  1.280848374231196e-01
s98         , -1.913590175727989e+01, -1.912363901879372e+01,  2.748591707136182e-01
s99         , -1.764848235022367e+01, -1.731540255054296e+01,  3.478912181767591e-01
s100        , -2.003395952271198e+01, -2.000604028998213e+01,  2.392202636069007e-01
s101        , -2.047737186068138e+01, -2.045550530829969e+01,  2.210670236257692e-01
s102        , -1.813404261594337e+01, -1.743645611964951e+01,  3.430020401517604e-01
s103        , -2.094885731266024e+01, -2.107344442912486e+01,  1.961093590759042e-01
s104        , -1.695125455205811e+01, -1.604717897636601e+01,  3.991129283288412e-01
s105        , -2.089913046364001e+01, -2.130569526519114e+01,  1.867290847695492e-01
s106        , -2.193421435204462e+01, -2.246987882409193e+01,  1.397093998874610e-01
s107        , -1.938858975045087e+01, -1.937598642114036e+01,  2.646672252524096e-01
s108        , -2.184761912256448e+01, -2.221869386981224e+01,  1.498543957577894e-01
s109        , -1.765266017099491e+01, -1.890356431728008e+01,  2.837476686112017e-01
s110        , -2.222643790681205e+01, -2.050467658742961e+01,  2.190810670021240e-01
s111        , -2.198367498730207e+01, -2.194200584684244e+01,  1.610294235712484e-01
s112        , -2.341727175416096e+01, -2.267609773229852e+01,  1.313805173787979e-01
s113        , -2.064750776227555e+01, -2.067560970436912e+01,  2.121773264081602e-01
s114        , -2.335281852671257e+01, -2.258186952284792e+01,  1.351862580470083e-01
s115        , -2.467653405274963e+01, -2.293496806046879e+01,  1.209251204073947e-01
s116        , -2.119630992652875e+01, -2.108727044772468e+01,  1.955509462442099e-01
s117        , -1.681518237222159e+01, -1.725176386280488e+01,  3.504614924439711e-01
s118        , -1.725426000439147e+01, -1.754657789023281e+01,  3.385543816086582e-01
s119        , -2.026224064054247e+01, -2.008905959593880e+01,  2.358672342883129e-01
s120        , -2.061376236446881e+01, -2.084556161976326e+01,  2.053132151210319e-01
s121        , -2.090204853596659e+01, -2.152763913762816e+01,  1.777650937702672e-01
s122        , -1.679179791839329e+01, -1.781305294400716e+01,  3.277918408034626e-01
s123        , -1.729435756680531e+01, -1.714840686036689e+01,  3.546359318163841e-01
s124        , -1.927065840811719e+01, -1.983512442460084e+01,  2.461233074354576e-01
s125        , -2.074667074869674e+01, -2.034295378602409e+01,  2.256128163145052e-01
s126        , -1.981090987888966e+01, -1.970035529089257e+01,  2.515664372154195e-01
s127        , -1.791042209268825e+01, -1.718689295559290e+01,  3.530815342679616e-01
s128        , -2.199486439730610e+01, -2.224420270955376e+01,  1.488241307302656e-01
s129        , -1.847106084369403e+01, -1.843635667767203e+01,  3.026175073242792e-01
s130        , -2.183307419908922e+01, -2.168613976814834e+01,  1.713634832650405e-01
s131        , -1.937195493711046e+01, -1.999528334936466e+01,  2.396547208316760e-01
s132        , -1.756898825137140e+01, -1.830201812873621e+01,  3.080432464099978e-01
s133        , -1.952720456066259e+01, -1.999647333268295e+01,  2.396066591319435e-01
s134        , -1.792604080418195e+01, -1.881479054123503e+01,  2.873331126277556e-01
s135        , -2.163690184151209e+01, -2.118111417818849e+01,  1.917607341244528e-01
s136        , -2.266590946104735e+01, -2.202688746799893e+01,  1.576011780436899e-01
