# c0 + a0 * (Na-Na / E_T)
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.754540857992959; Max AE: 3.69827929207091
# Coefficients
# Task   a0                      c0
# all ,  3.340701070513496e+01, -2.809891438064408e+01, 
# Feature Rung, Units, and Expressions
# 0;  1; A;                                                23|0|div; (Na-Na / E_T); $\left(\frac{ Na-Na }{ E_{T} } \right)$; (Na_sub_Na ./ E_T); (newdata$Na_sub_Na / newdata$E_T); Na-Na,E_T
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
s1          , -2.244947812336508e+01, -2.171915103054701e+01,  1.909707937177522e-01
s2          , -2.298888400764099e+01, -2.235617552032426e+01,  1.719022067256412e-01
s3          , -1.755271246623431e+01, -1.872571770106957e+01,  2.805757378984454e-01
s4          , -1.917258847351942e+01, -1.811672201782147e+01,  2.988053151756033e-01
s5          , -2.000094091703784e+01, -2.076870999190646e+01,  2.194211404736942e-01
s6          , -2.179532463031582e+01, -2.081762577510526e+01,  2.179569034118822e-01
s7          , -2.156980503382011e+01, -2.076466942387450e+01,  2.195420901769650e-01
s8          , -2.070680399014268e+01, -2.018509189754125e+01,  2.368910691517334e-01
s9          , -2.311678210871720e+01, -2.235460396695711e+01,  1.719492493473536e-01
s10         , -1.955558688693647e+01, -2.036743564046434e+01,  2.314328213446330e-01
s11         , -1.929232032084748e+01, -1.912934575789102e+01,  2.684936015952591e-01
s12         , -1.972420304545977e+01, -1.759833847436119e+01,  3.143225234656766e-01
s13         , -1.649771434553038e+01, -1.586189151505743e+01,  3.663010430234545e-01
s14         , -1.814284237715737e+01, -1.930507705434087e+01,  2.632332896804656e-01
s15         , -2.140988745272463e+01, -2.229085424910858e+01,  1.738575229852200e-01
s16         , -2.271802967642396e+01, -2.196724474611130e+01,  1.835443969726474e-01
s17         , -1.845283706311921e+01, -1.872302284374430e+01,  2.806564053173012e-01
s18         , -2.106370881996578e+01, -2.098943466822555e+01,  2.128140040774655e-01
s19         , -2.166440903696862e+01, -2.192628519867637e+01,  1.847704733730908e-01
s20         , -1.957524373940041e+01, -1.932033836323075e+01,  2.627764601537358e-01
s21         , -2.230012329283520e+01, -2.223916001976640e+01,  1.754049295999111e-01
s22         , -1.709175230426198e+01, -1.611900324186146e+01,  3.586047026033730e-01
s23         , -2.271630669020732e+01, -2.251965314201949e+01,  1.670086943087969e-01
s24         , -1.997593461761007e+01, -2.051881284258689e+01,  2.269015209101619e-01
s25         , -2.228124530569044e+01, -2.259141615229840e+01,  1.648605520846295e-01
s26         , -1.806502239865187e+01, -1.890606589399881e+01,  2.751772245588032e-01
s27         , -2.017409009594002e+01, -2.061808493766720e+01,  2.239299262363216e-01
s28         , -1.658938425028538e+01, -1.722651789211097e+01,  3.254525400221434e-01
s29         , -2.262132344831001e+01, -2.276594806104707e+01,  1.596361424453126e-01
s30         , -1.697997334312175e+01, -1.722739149499163e+01,  3.254263897362538e-01
s31         , -1.964904728113367e+01, -2.024633882754796e+01,  2.350577135561879e-01
s32         , -2.151059652715050e+01, -2.216798117951544e+01,  1.775355853739105e-01
s33         , -2.289264810431292e+01, -2.272280130907999e+01,  1.609276902688490e-01
s34         , -2.302504917991390e+01, -2.233751766371369e+01,  1.724607079568722e-01
s35         , -2.244061385591441e+01, -2.209687869778880e+01,  1.796639554443197e-01
s36         , -2.239655424600443e+01, -2.044076463873045e+01,  2.292378030919272e-01
s37         , -2.226102540809307e+01, -2.130662935141364e+01,  2.033191502580745e-01
