# c0 + a0 * (PF / NBI) + a1 * (Al + O) + a2 * (O + E_T)
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.384155254271906; Max AE: 1.90646261221165
# Coefficients
# Task   a0                      a1                      a2                      c0
# all , -1.371397419747213e+00, -3.010742097633031e+00, -7.314011261242336e-01, -8.757971622017051e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         3|5|div; (PF / NBI); $\left(\frac{ PF }{ NBI } \right)$; (PF ./ NBI); (newdata$PF / newdata$NBI); PF,NBI
# 1;  1; Unitless;                                         15|12|add; (Al + O); $\left(Al + O\right)$; (Al + O); (newdata$Al + newdata$O); Al,O
# 2;  1; Unitless;                                         12|0|add; (O + E_T); $\left(O + E_{T}\right)$; (O + E_T); (newdata$O + newdata$E_T); O,E_T
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
s1          , -2.244947812336508e+01, -2.215878096455732e+01,  5.165081433357119e-01,  6.313868613138686e-01,  1.475459637507883e+01
s2          , -2.298888400764099e+01, -2.331290999560269e+01,  5.681630383731537e-01,  4.679245283018868e-01,  1.690858891402743e+01
s3          , -1.755271246623431e+01, -1.782156071686656e+01,  7.046190773197187e-01,  1.086956521739130e-01,  1.062347521346189e+01
s4          , -1.917258847351942e+01, -1.877707091825722e+01,  6.064510126509773e-01,  0.000000000000000e+00,  1.256138883866988e+01
s5          , -2.000094091703784e+01, -2.079929497764873e+01,  5.493112987054934e-01,  4.076923076923077e-01,  1.375516458063223e+01
s6          , -2.179532463031582e+01, -2.153768598961557e+01,  5.784278636291468e-01,  6.183206106870229e-01,  1.384309598910606e+01
s7          , -2.156980503382011e+01, -2.144133770922303e+01,  8.154276614488759e-01,  6.607929515418502e-01,  1.309215039088110e+01
s8          , -2.070680399014268e+01, -2.075380788008488e+01,  6.583487515437011e-01,  0.000000000000000e+00,  1.516675061424882e+01
s9          , -2.311678210871720e+01, -2.290391806596135e+01,  9.967377234843064e-01,  4.682926829268293e-01,  1.554429437036547e+01
s10         , -1.955558688693647e+01, -1.926211705351077e+01,  1.137912260768169e+00,  0.000000000000000e+00,  1.222805813900046e+01
s11         , -1.929232032084748e+01, -1.906681003157016e+01,  4.370992251447368e-01,  0.000000000000000e+00,  1.327507070089868e+01
s12         , -1.972420304545977e+01, -1.945864835939182e+01,  8.896597755200102e-01,  3.947368421052632e-01,  1.133734758203288e+01
s13         , -1.649771434553038e+01, -1.637837409562875e+01,  5.077693086052749e-01,  0.000000000000000e+00,  9.466828401885049e+00
s14         , -1.814284237715737e+01, -1.835829389296576e+01,  5.932910316447554e-01,  0.000000000000000e+00,  1.201349596978806e+01
s15         , -2.140988745272463e+01, -2.103884047344426e+01,  1.124064064911505e+00,  0.000000000000000e+00,  1.468322909220248e+01
s16         , -2.271802967642396e+01, -2.240024712598413e+01,  8.536807828944921e-01,  5.575221238938053e-01,  1.475658727713754e+01
s17         , -1.845283706311921e+01, -1.803714271580657e+01,  6.713726943614471e-01,  0.000000000000000e+00,  1.142800033320397e+01
s18         , -2.106370881996578e+01, -2.169470232387410e+01,  6.738585009138754e-01,  4.897119341563786e-01,  1.440824491533685e+01
s19         , -2.166440903696862e+01, -2.140346545039204e+01,  8.530733714530758e-01,  3.059360730593607e-01,  1.443051728603995e+01
s20         , -1.957524373940041e+01, -1.938061105202167e+01,  6.455695321164151e-01,  3.952569169960474e-02,  1.315052032586146e+01
s21         , -2.230012329283520e+01, -2.321771189333202e+01,  1.203673876794372e+00,  5.212765957446809e-01,  1.536721127393174e+01
s22         , -1.709175230426198e+01, -1.696409482628319e+01,  7.055250488689214e-01,  0.000000000000000e+00,  9.896851008472128e+00
s23         , -2.271630669020732e+01, -2.261720143020863e+01,  7.471572549410471e-01,  3.166666666666667e-01,  1.624440842103852e+01
s24         , -1.997593461761007e+01, -2.040344435153793e+01,  7.118488392719141e-01,  3.472803347280335e-01,  1.315785989508156e+01
s25         , -2.228124530569044e+01, -2.294688849926947e+01,  1.371367113476184e+00,  5.141242937853108e-01,  1.471194330614414e+01
s26         , -1.806502239865187e+01, -1.870455404148066e+01,  7.386681433347492e-01,  1.673469387755102e-01,  1.152546264842853e+01
s27         , -2.017409009594002e+01, -1.996031937854627e+01,  8.716589586265744e-01,  1.052631578947368e-01,  1.324859416106476e+01
s28         , -1.658938425028538e+01, -1.700478742963315e+01,  4.931255786548856e-01,  5.862068965517241e-02,  1.010943601151142e+01
s29         , -2.262132344831001e+01, -2.332872609669012e+01,  1.324878781895523e+00,  4.293785310734464e-01,  1.567002114573491e+01
s30         , -1.697997334312175e+01, -1.692470173398522e+01,  6.065444886669565e-01,  0.000000000000000e+00,  1.002858254282004e+01
s31         , -1.964904728113367e+01, -1.988826648762759e+01,  1.188172242085945e+00,  2.842105263157895e-01,  1.181998989834859e+01
s32         , -2.151059652715050e+01, -2.089317958637143e+01,  8.905464125598285e-01,  0.000000000000000e+00,  1.492192795742413e+01
s33         , -2.289264810431292e+01, -2.351286112826690e+01,  1.089624002350999e+00,  4.126984126984127e-01,  1.643154904597763e+01
s34         , -2.302504917991390e+01, -2.284858405996651e+01,  1.478090003144594e+00,  7.954545454545454e-02,  1.616633110132655e+01
s35         , -2.244061385591441e+01, -2.232454360933653e+01,  1.036655803575196e+00,  5.145631067961165e-01,  1.448683589230736e+01
s36         , -2.239655424600443e+01, -2.220377677236470e+01,  3.266187212906813e-01,  6.102236421725240e-01,  1.525928067599527e+01
s37         , -2.226102540809307e+01, -2.220041260425610e+01,  3.531495909957666e-01,  5.389830508474577e-01,  1.549818995129651e+01
s38         , -2.102436377352775e+01, -2.152693235774297e+01,  1.419667749389314e+00,  3.099415204678362e-01,  1.352045780437927e+01
s39         , -2.141661104833067e+01, -2.091313046499029e+01,  8.758796084894347e-01,  8.161434977578476e-01,  1.161713035157313e+01
s40         , -1.990275935468409e+01, -1.977636868878533e+01,  1.368793378547939e+00,  1.702127659574468e-01,  1.179759001050850e+01
s41         , -1.952311408648237e+01, -1.953604548014733e+01,  1.123356305609270e+00,  2.189054726368159e-01,  1.172877329673941e+01
s42         , -1.862175379272403e+01, -1.905611704644997e+01,  5.911563542438496e-01,  6.521739130434782e-02,  1.270312834940833e+01
s43         , -2.257821044890805e+01, -2.250815124581839e+01,  9.293985973693624e-01,  7.235023041474655e-01,  1.407890359041090e+01
s44         , -1.984867902879579e+01, -1.979213885885438e+01,  1.174568436442579e+00,  0.000000000000000e+00,  1.288399317036714e+01
s45         , -1.928264199244582e+01, -1.932757586874164e+01,  9.760875891627540e-01,  3.030303030303030e-02,  1.249624222608577e+01
s46         , -2.007096062658339e+01, -2.009485350900405e+01,  6.699102141004497e-01,  1.098039215686274e-01,  1.379212732718986e+01
s47         , -1.842882744186564e+01, -1.818846241065715e+01,  5.542553454313331e-01,  0.000000000000000e+00,  1.185448877277465e+01
s48         , -1.712958329507449e+01, -1.738983229546328e+01,  7.054977995873041e-01,  0.000000000000000e+00,  1.047898688927233e+01
s49         , -2.142142340445580e+01, -2.213565748279455e+01,  6.135359833781386e-01,  3.359683794466403e-01,  1.575711280873738e+01
s50         , -2.022197746600499e+01, -2.009204080655492e+01,  7.740164354920850e-01,  0.000000000000000e+00,  1.404507687388660e+01
s51         , -2.208446385448407e+01, -2.235469228089163e+01,  9.948458408447785e-01,  4.070351758793970e-01,  1.504907950960228e+01
s52         , -2.030062191637932e+01, -2.038164809381298e+01,  2.515395917343078e-01,  4.397759103641457e-01,  1.361040272199163e+01
s53         , -1.881589086732163e+01, -1.881875923259728e+01,  6.687496114257532e-01,  6.188524590163935e-01,  9.954128737823392e+00
s54         , -2.389190768082197e+01, -2.421225785626150e+01,  1.117580237155085e+00,  3.333333333333333e-01,  1.766207135869826e+01
s55         , -1.989931101552115e+01, -1.983142101414347e+01,  7.875229153275906e-01,  9.016393442622951e-02,  1.329227122811093e+01
s56         , -2.293632659980805e+01, -2.346912154764362e+01,  1.280628866217657e+00,  5.108695652173912e-01,  1.560949510283250e+01
s57         , -2.165250835772914e+01, -2.095690093650446e+01,  5.925559493349998e-01,  3.983050847457627e-01,  1.392820623909980e+01
s58         , -2.493828100106786e+01, -2.497110636975224e+01,  9.446088604714257e-01,  5.333333333333333e-01,  1.820064394160582e+01
