# c0 + a0 * (poly_dist_std - Si) + a1 * (PF / NBI) + a2 * (Al + O) + a3 * (face-area-avg / E_T) + a4 * (O + E_T)
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.287413147333563; Max AE: 1.58806969271692
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# all ,  1.806984054897211e+00, -9.948932166188942e-01, -2.502739536109868e+00,  6.964466086908311e+00, -5.597086952734719e-01, -1.317002452014638e+01, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         29|16|sub; (poly_dist_std - Si); $\left(poly_{dist, std} - Si\right)$; (poly_dist_std - Si); (newdata$poly_dist_std - newdata$Si); poly_dist_std,Si
# 1;  1; Unitless;                                         3|5|div; (PF / NBI); $\left(\frac{ PF }{ NBI } \right)$; (PF ./ NBI); (newdata$PF / newdata$NBI); PF,NBI
# 2;  1; Unitless;                                         15|12|add; (Al + O); $\left(Al + O\right)$; (Al + O); (newdata$Al + newdata$O); Al,O
# 3;  1; A^2;                                              33|0|div; (face-area-avg / E_T); $\left(\frac{ face-area-avg }{ E_{T} } \right)$; (face_sub_area_sub_avg ./ E_T); (newdata$face_sub_area_sub_avg / newdata$E_T); face-area-avg,E_T
# 4;  1; Unitless;                                         12|0|add; (O + E_T); $\left(O + E_{T}\right)$; (O + E_T); (newdata$O + newdata$E_T); O,E_T
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
s1          , -2.244947812336508e+01, -2.214343459851164e+01,  7.503429439863338e-02,  5.165081433357119e-01,  6.313868613138686e-01,  1.785273023769763e-01,  1.475459637507883e+01
s2          , -2.298888400764099e+01, -2.293773759577527e+01,  1.275427388423458e-01,  5.681630383731537e-01,  4.679245283018868e-01,  1.725987640198555e-01,  1.690858891402743e+01
s3          , -1.755271246623431e+01, -1.772311343771952e+01,  8.186930894081618e-02,  7.046190773197187e-01,  1.086956521739130e-01,  3.184858130296954e-01,  1.062347521346189e+01
s4          , -1.917258847351942e+01, -1.922989022196017e+01, -1.856415546756579e-01,  6.064510126509773e-01,  0.000000000000000e+00,  2.742002272670965e-01,  1.256138883866988e+01
s5          , -2.000094091703784e+01, -2.043933836372058e+01,  1.906566577411240e-01,  5.493112987054934e-01,  4.076923076923077e-01,  2.371914168200186e-01,  1.375516458063223e+01
s6          , -2.179532463031582e+01, -2.159383352561926e+01,  8.434807089358930e-02,  5.784278636291468e-01,  6.183206106870229e-01,  1.859217849576567e-01,  1.384309598910606e+01
s7          , -2.156980503382011e+01, -2.150756177956467e+01,  1.092545090886243e-01,  8.154276614488759e-01,  6.607929515418502e-01,  1.806151507761732e-01,  1.309215039088110e+01
s8          , -2.070680399014268e+01, -2.069825928848666e+01,  5.059506642016903e-02,  6.583487515437011e-01,  0.000000000000000e+00,  2.188666926194139e-01,  1.516675061424882e+01
s9          , -2.311678210871720e+01, -2.287909445866993e+01,  9.616110243147595e-02,  9.967377234843064e-01,  4.682926829268293e-01,  1.408733136606655e-01,  1.554429437036547e+01
s10         , -1.955558688693647e+01, -1.935047549667782e+01,  7.193939791409239e-02,  1.137912260768169e+00,  0.000000000000000e+00,  2.391866531885453e-01,  1.222805813900046e+01
s11         , -1.929232032084748e+01, -1.951306705245732e+01, -1.729431220558523e-01,  4.370992251447368e-01,  0.000000000000000e+00,  2.634089195789996e-01,  1.327507070089868e+01
s12         , -1.972420304545977e+01, -1.940698829219378e+01,  4.482723729746356e-02,  8.896597755200102e-01,  3.947368421052632e-01,  2.729119649767394e-01,  1.133734758203288e+01
s13         , -1.649771434553038e+01, -1.642137085766937e+01,  6.429653932451315e-02,  5.077693086052749e-01,  0.000000000000000e+00,  3.498205353670782e-01,  9.466828401885049e+00
s14         , -1.814284237715737e+01, -1.818206675804034e+01,  7.776057262670263e-02,  5.932910316447554e-01,  0.000000000000000e+00,  3.103992464147319e-01,  1.201349596978806e+01
s15         , -2.140988745272463e+01, -2.109771390398948e+01,  7.559400311566079e-02,  1.124064064911505e+00,  0.000000000000000e+00,  1.826942873763845e-01,  1.468322909220248e+01
