# c0 + a0 * (face-area-avg * E_T) + a1 * (O + E_T)
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.451406034848596; Max AE: 2.40365407779495
# Coefficients
# Task   a0                      a1                      c0
# all ,  1.083495601418682e-01, -9.460102781283597e-01, -1.175043203728576e+01, 
# Feature Rung, Units, and Expressions
# 0;  1; A^2;                                              33|0|mult; (face-area-avg * E_T); $\left(face-area-avg E_{T}\right)$; (face_sub_area_sub_avg .* E_T); (newdata$face_sub_area_sub_avg * newdata$E_T); face-area-avg,E_T
# 1;  1; Unitless;                                         12|0|add; (O + E_T); $\left(O + E_{T}\right)$; (O + E_T); (newdata$O + newdata$E_T); O,E_T
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
s1          , -2.244947812336508e+01, -2.185010870677919e+01,  3.560995675399762e+01,  1.475459637507883e+01
s2          , -2.298888400764099e+01, -2.269133576940848e+01,  4.665265980384177e+01,  1.690858891402743e+01
s3          , -1.755271246623431e+01, -1.790585995449264e+01,  3.594374374082060e+01,  1.062347521346189e+01
s4          , -1.917258847351942e+01, -1.894582195586650e+01,  4.326563969645847e+01,  1.256138883866988e+01
s5          , -2.000094091703784e+01, -2.018444900758681e+01,  4.225684067687310e+01,  1.375516458063223e+01
s6          , -2.179532463031582e+01, -2.132296953702150e+01,  3.251673179349294e+01,  1.384309598910606e+01
s7          , -2.156980503382011e+01, -2.103600128792928e+01,  2.860869557636923e+01,  1.309215039088110e+01
s8          , -2.070680399014268e+01, -2.064336962163263e+01,  5.034597625869112e+01,  1.516675061424882e+01
s9          , -2.311678210871720e+01, -2.298630306514276e+01,  3.201850758064101e+01,  1.554429437036547e+01
s10         , -1.955558688693647e+01, -1.944323489079463e+01,  3.576448139210588e+01,  1.222805813900046e+01
s11         , -1.929232032084748e+01, -1.927921005716202e+01,  4.641989593191737e+01,  1.327507070089868e+01
s12         , -1.972420304545977e+01, -1.871010702345908e+01,  3.475392376501588e+01,  1.133734758203288e+01
s13         , -1.649771434553038e+01, -1.730925916888673e+01,  3.135121022560702e+01,  9.466828401885049e+00
s14         , -1.814284237715737e+01, -1.826146964110150e+01,  4.479808735265717e+01,  1.201349596978806e+01
s15         , -2.140988745272463e+01, -2.137320404400456e+01,  3.938837984233749e+01,  1.468322909220248e+01
s16         , -2.271802967642396e+01, -2.246201472360002e+01,  2.997982219496648e+01,  1.475658727713754e+01
s17         , -1.845283706311921e+01, -1.863352016607415e+01,  3.625227125734377e+01,  1.142800033320397e+01
s18         , -2.106370881996578e+01, -2.111822140078574e+01,  3.934080037443756e+01,  1.440824491533685e+01
s19         , -2.166440903696862e+01, -2.235283192405214e+01,  2.814056448908629e+01,  1.443051728603995e+01
s20         , -1.957524373940041e+01, -1.915525548899035e+01,  4.647645945865150e+01,  1.315052032586146e+01
s21         , -2.230012329283520e+01, -2.242101548564743e+01,  3.568963600668561e+01,  1.536721127393174e+01
s22         , -1.709175230426198e+01, -1.683745048590516e+01,  3.946028318806370e+01,  9.896851008472128e+00
s23         , -2.271630669020732e+01, -2.329692154754754e+01,  3.526445158755273e+01,  1.624440842103852e+01
s24         , -1.997593461761007e+01, -2.014695122835901e+01,  3.738779836801103e+01,  1.315785989508156e+01
s25         , -2.228124530569044e+01, -2.276127171234415e+01,  2.682807295193117e+01,  1.471194330614414e+01
s26         , -1.806502239865187e+01, -1.764728598111933e+01,  4.620556073517253e+01,  1.152546264842853e+01
s27         , -2.017409009594002e+01, -2.023513179496244e+01,  3.736615528610256e+01,  1.324859416106476e+01
s28         , -1.658938425028538e+01, -1.734171329618371e+01,  3.666234647258013e+01,  1.010943601151142e+01
s29         , -2.262132344831001e+01, -2.347659814931029e+01,  2.859111699459839e+01,  1.567002114573491e+01
s30         , -1.697997334312175e+01, -1.766677636154144e+01,  3.295627441066929e+01,  1.002858254282004e+01
s31         , -1.964904728113367e+01, -1.924879971412088e+01,  3.399611636219903e+01,  1.181998989834859e+01
s32         , -2.151059652715050e+01, -2.150517501398814e+01,  4.025447112845632e+01,  1.492192795742413e+01
s33         , -2.289264810431292e+01, -2.380525804912351e+01,  3.220675992277420e+01,  1.643154904597763e+01
s34         , -2.302504917991390e+01, -2.221667884762455e+01,  4.455272882346433e+01,  1.616633110132655e+01
s35         , -2.244061385591441e+01, -2.245924078904281e+01,  2.765019900405555e+01,  1.448683589230736e+01
s36         , -2.239655424600443e+01, -2.120110779566372e+01,  4.600628365664067e+01,  1.525928067599527e+01
s37         , -2.226102540809307e+01, -2.167412099466431e+01,  4.372660140687414e+01,  1.549818995129651e+01
s38         , -2.102436377352775e+01, -2.088477231683627e+01,  3.374403886463284e+01,  1.352045780437927e+01
s39         , -2.141661104833067e+01, -2.010241915292477e+01,  2.434654645438425e+01,  1.161713035157313e+01
s40         , -1.990275935468409e+01, -1.929871441342577e+01,  3.333985875176263e+01,  1.179759001050850e+01
s41         , -1.952311408648237e+01, -1.892039931915347e+01,  3.623062983869288e+01,  1.172877329673941e+01
