# c0 + a0 * (SBI / AAV) + a1 * (O + E_T)
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.481134558246586; Max AE: 1.87899258903171
# Coefficients
# Task   a0                      a1                      c0
# all , -7.054468202547584e+01, -7.849470284616151e-01, -9.049129153215384e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; A^-3;                                             6|2|div; (SBI / AAV); $\left(\frac{ SBI }{ AAV } \right)$; (SBI ./ AAV); (newdata$SBI / newdata$AAV); SBI,AAV
# 1;  1; Unitless;                                         12|0|add; (O + E_T); $\left(O + E_{T}\right)$; (O + E_T); (newdata$O + newdata$E_T); O,E_T
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
s1          , -2.244947812336508e+01, -2.217823310755439e+01,  2.193683959070791e-02,  1.475459637507883e+01
s2          , -2.298888400764099e+01, -2.306879565588454e+01,  1.059356790146755e-02,  1.690858891402743e+01
s3          , -1.755271246623431e+01, -1.786018538821125e+01,  6.693501490059953e-03,  1.062347521346189e+01
s4          , -1.917258847351942e+01, -1.916782786709736e+01,  3.666808952710775e-03,  1.256138883866988e+01
s5          , -2.000094091703784e+01, -2.038927207624765e+01,  7.698204086715069e-03,  1.375516458063223e+01
s6          , -2.179532463031582e+01, -2.151420790436819e+01,  2.266622577188260e-02,  1.384309598910606e+01
s7          , -2.156980503382011e+01, -2.112345371806273e+01,  2.548285664826522e-02,  1.309215039088110e+01
s8          , -2.070680399014268e+01, -2.116888666151245e+01,  3.042917992692377e-03,  1.516675061424882e+01
s9          , -2.311678210871720e+01, -2.246943540930132e+01,  1.727782372163481e-02,  1.554429437036547e+01
s10         , -1.955558688693647e+01, -1.892503359754400e+01,  3.934053372926422e-03,  1.222805813900046e+01
s11         , -1.929232032084748e+01, -2.021205948360043e+01,  1.052812217409339e-02,  1.327507070089868e+01
s12         , -1.972420304545977e+01, -1.868032539453964e+01,  1.037610384162950e-02,  1.133734758203288e+01
s13         , -1.649771434553038e+01, -1.671055577038130e+01,  3.266976156572669e-03,  9.466828401885049e+00
