# c0 + a0 * (F - SBI) + a1 * (E_T / cub_root_V)
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.483339641956806; Max AE: 1.80620382321019
# Coefficients
# Task   a0                      a1                      c0
# all ,  2.569323842078288e+00, -1.778994890271741e+01, -1.148554254768703e+01, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         13|6|sub; (F - SBI); $\left(F - SBI\right)$; (F - SBI); (newdata$F - newdata$SBI); F,SBI
# 1;  1; A^-1;                                             0|22|div; (E_T / cub_root_V); $\left(\frac{ E_{T} }{ cub_{root, V} } \right)$; (E_T ./ cub_root_V); (newdata$E_T / newdata$cub_root_V); E_T,cub_root_V
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
s1          , -2.244947812336508e+01, -2.227323184357773e+01, -3.210203698704857e-01,  5.600288151624674e-01
s2          , -2.298888400764099e+01, -2.277592691467816e+01, -1.997599651142347e-01,  6.057991726038179e-01
s3          , -1.755271246623431e+01, -1.804948999121518e+01, -1.710259048075695e-01,  3.442689207363340e-01
s4          , -1.917258847351942e+01, -1.907623647465980e+01, -9.680956800127805e-02,  4.127026353990429e-01
s5          , -2.000094091703784e+01, -2.033921798632814e+01, -1.655160589349337e-01,  4.737737656393893e-01
s6          , -2.179532463031582e+01, -2.186639153204134e+01, -3.233661538382711e-01,  5.368209131909156e-01
s7          , -2.156980503382011e+01, -2.116841645360745e+01, -3.827490713872201e-01,  4.890102629773755e-01
s8          , -2.070680399014268e+01, -2.081211652671645e+01, -7.801377879468985e-02,  5.129936778945775e-01
s9          , -2.311678210871720e+01, -2.305559850814943e+01, -2.490367869964645e-01,  6.144031028896449e-01
s10         , -1.955558688693647e+01, -1.895507919706465e+01, -9.299531316994382e-02,  4.064430771323952e-01
s11         , -1.929232032084748e+01, -1.930871692171378e+01, -1.062100635279546e-01,  4.244130417025775e-01
s12         , -1.972420304545977e+01, -1.913168240402489e+01, -2.340284304589662e-01,  3.960014201704300e-01
s13         , -1.649771434553038e+01, -1.738665552378773e+01, -8.466054159187654e-02,  3.194833587879088e-01
s14         , -1.814284237715737e+01, -1.855813316238936e+01, -9.628686559777500e-02,  3.836547542978292e-01
