# c0 + a0 * (PF / NBI) + a1 * (NBI * VPA) + a2 * (Al + O) + a3 * (O + E_T)
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.326878127245486; Max AE: 1.60770269351552
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# all , -1.564387534227166e+00,  8.219011096083938e-02, -2.487891425905854e+00, -7.106045715533309e-01, -1.059289883390709e+01, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         3|5|div; (PF / NBI); $\left(\frac{ PF }{ NBI } \right)$; (PF ./ NBI); (newdata$PF / newdata$NBI); PF,NBI
# 1;  1; A^3;                                              5|4|mult; (NBI * VPA); $\left(NBI VPA\right)$; (NBI .* VPA); (newdata$NBI * newdata$VPA); NBI,VPA
# 2;  1; Unitless;                                         15|12|add; (Al + O); $\left(Al + O\right)$; (Al + O); (newdata$Al + newdata$O); Al,O
# 3;  1; Unitless;                                         12|0|add; (O + E_T); $\left(O + E_{T}\right)$; (O + E_T); (newdata$O + newdata$E_T); O,E_T
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
s1          , -2.244947812336508e+01, -2.220193739876754e+01,  5.165081433357119e-01,  1.526322224757767e+01,  6.313868613138686e-01,  1.475459637507883e+01
s2          , -2.298888400764099e+01, -2.304457933879700e+01,  5.681630383731537e-01,  1.966918712735534e+01,  4.679245283018868e-01,  1.690858891402743e+01
s3          , -1.755271246623431e+01, -1.774033879447491e+01,  7.046190773197187e-01,  2.158861149076027e+01,  1.086956521739130e-01,  1.062347521346189e+01
s4          , -1.917258847351942e+01, -1.903496713092301e+01,  6.064510126509773e-01,  1.743319755092206e+01,  0.000000000000000e+00,  1.256138883866988e+01
s5          , -2.000094091703784e+01, -2.036869166796427e+01,  5.493112987054934e-01,  2.278035547513869e+01,  4.076923076923077e-01,  1.375516458063223e+01
s6          , -2.179532463031582e+01, -2.159596948595820e+01,  5.784278636291468e-01,  1.553832343611182e+01,  6.183206106870229e-01,  1.384309598910606e+01
s7          , -2.156980503382011e+01, -2.151538956198277e+01,  8.154276614488759e-01,  1.582279380109872e+01,  6.607929515418502e-01,  1.309215039088110e+01
s8          , -2.070680399014268e+01, -2.099415660897483e+01,  6.583487515437011e-01,  1.710932265057722e+01,  0.000000000000000e+00,  1.516675061424882e+01
s9          , -2.311678210871720e+01, -2.279448087858040e+01,  9.967377234843064e-01,  1.908514294873511e+01,  4.682926829268293e-01,  1.554429437036547e+01
s10         , -1.955558688693647e+01, -1.917755485141992e+01,  1.137912260768169e+00,  2.293212323279169e+01,  0.000000000000000e+00,  1.222805813900046e+01
s11         , -1.929232032084748e+01, -1.907575488393521e+01,  4.370992251447368e-01,  1.988393053197866e+01,  0.000000000000000e+00,  1.327507070089868e+01
s12         , -1.972420304545977e+01, -1.981610282089297e+01,  8.896597755200102e-01,  1.468549059582809e+01,  3.947368421052632e-01,  1.133734758203288e+01
s13         , -1.649771434553038e+01, -1.654062034849736e+01,  5.077693086052749e-01,  1.914826472609657e+01,  0.000000000000000e+00,  9.466828401885049e+00
s14         , -1.814284237715737e+01, -1.830012441516242e+01,  5.932910316447554e-01,  2.138647397768962e+01,  0.000000000000000e+00,  1.201349596978806e+01
s15         , -2.140988745272463e+01, -2.087084803360659e+01,  1.124064064911505e+00,  2.329346325030405e+01,  0.000000000000000e+00,  1.468322909220248e+01
s16         , -2.271802967642396e+01, -2.243548948624385e+01,  8.536807828944921e-01,  1.662061041299030e+01,  5.575221238938053e-01,  1.475658727713754e+01
s17         , -1.845283706311921e+01, -1.814919849748188e+01,  6.713726943614471e-01,  1.964684889599283e+01,  0.000000000000000e+00,  1.142800033320397e+01
s18         , -2.106370881996578e+01, -2.175549049097370e+01,  6.738585009138754e-01,  1.640707127513671e+01,  4.897119341563786e-01,  1.440824491533685e+01
s19         , -2.166440903696862e+01, -2.165491072014589e+01,  8.530733714530758e-01,  1.567162683155754e+01,  3.059360730593607e-01,  1.443051728603995e+01
s20         , -1.957524373940041e+01, -1.953896363401646e+01,  6.455695321164151e-01,  1.833568055983092e+01,  3.952569169960474e-02,  1.315052032586146e+01
s21         , -2.230012329283520e+01, -2.314320362068563e+01,  1.203673876794372e+00,  1.885382267523838e+01,  5.212765957446809e-01,  1.536721127393174e+01
s22         , -1.709175230426198e+01, -1.692752132496918e+01,  7.055250488689214e-01,  2.192282806303132e+01,  0.000000000000000e+00,  9.896851008472128e+00
s23         , -2.271630669020732e+01, -2.264649818405972e+01,  7.471572549410471e-01,  1.759855656251993e+01,  3.166666666666667e-01,  1.624440842103852e+01
s24         , -1.997593461761007e+01, -2.014437697853784e+01,  7.118488392719141e-01,  2.161039138985185e+01,  3.472803347280335e-01,  1.315785989508156e+01
