# c0 + a0 * (paths-per-volume + face-area-count)
# Property Label: $E$; Unit of the Property: Unitless
# RMSE: 0.742576441960363; Max AE: 2.67391194919483
# Coefficients
# Task   a0                      c0
# all , -6.689571528348555e-02,  2.059025620967112e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         38|34|add; (paths-per-volume + face-area-count); $\left(paths-per-volume + face-area-count\right)$; (paths_sub_per_sub_volume + face_sub_area_sub_count); (newdata$paths_sub_per_sub_volume + newdata$face_sub_area_sub_count); paths-per-volume,face-area-count
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
s1          ,  6.774572406644882e-01,  2.752133636566299e-01,  2.666556818700837e+01
s2          ,  1.967875961713064e+00,  1.452428258420089e-01,  2.860845103479379e+01
s3          , -1.271285198486554e+00, -5.839619943160059e-01,  3.950907175568520e+01
s4          , -1.922048452937919e-01, -6.935011342668220e-01,  4.114653298151438e+01
s5          ,  2.455067115358116e-01, -2.969066856975395e-01,  3.521798513822390e+01
s6          ,  1.771859120156342e-01,  4.027482998681267e-01,  2.475909427203431e+01
s7          , -1.787554844087500e-01,  3.990428329247218e-01,  2.481448596532441e+01
s8          ,  1.258527874893824e+00, -5.205923505804626e-01,  3.856178173169786e+01
s9          ,  1.207996528852184e+00,  9.380411088145562e-01,  1.675719449896205e+01
s10         , -3.778119871449526e-01,  2.804053446210419e-02,  3.036046595657516e+01
s11         ,  2.051916464504999e-01, -5.320362583820644e-01,  3.873285259555073e+01
s12         , -9.030892502610830e-01, -5.000337521513503e-01,  3.825445863421709e+01
s13         , -1.915336013610817e+00, -5.138463713509109e-01,  3.846093851325010e+01
s14         , -4.972857440368104e-01, -7.988007461444013e-01,  4.272061902620870e+01
s15         ,  9.892906044607527e-01,  3.547857093760920e-01,  2.547606979563522e+01
s16         ,  7.196956197004112e-01,  7.547125677526887e-01,  1.949770695607491e+01
s17         , -8.233048349290433e-01, -4.604974814790515e-01,  3.766344513649523e+01
s18         ,  6.436893120625885e-01, -2.145160536614630e-01,  3.398635719782551e+01
