# c0 + a0 * (face-area-max + Na-Na)
# Property Label: $E$; Unit of the Property: Unitless
# RMSE: 0.747659102079557; Max AE: 2.84956120266838
# Coefficients
# Task   a0                      c0
# all , -3.689219437179806e-01,  2.752801219746386e-17, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         31|22|add; (face-area-max + Na-Na); $\left(face-area-max + Na-Na\right)$; (face_sub_area_sub_max + Na_sub_Na); (newdata$face_sub_area_sub_max + newdata$Na_sub_Na); face-area-max,Na-Na
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
s1          ,  6.774572406644882e-01,  5.897052418199862e-01, -1.598455315173070e+00
s2          ,  1.967875961713064e+00,  3.099538754789873e-01, -8.401611255629973e-01
s3          , -1.271285198486554e+00, -3.945681480618196e-01,  1.069516613962774e+00
s4          , -1.922048452937919e-01, -9.457391211137762e-01,  2.563520921479094e+00
s5          ,  2.455067115358116e-01, -3.434061230181302e-01,  9.308368040060101e-01
s6          ,  1.771859120156342e-01,  4.735804040579430e-01, -1.283687273479096e+00
s7          , -1.787554844087500e-01,  6.882307014782870e-01, -1.865518474022785e+00
s8          ,  1.258527874893824e+00, -4.241288191650567e-01,  1.149643783426661e+00
s9          ,  1.207996528852184e+00,  8.698949256560177e-01, -2.357937608398274e+00
s10         , -3.778119871449526e-01,  3.241801882180507e-01, -8.787229757898806e-01
s11         ,  2.051916464504999e-01, -7.142590500404691e-01,  1.936070928289586e+00
s12         , -9.030892502610830e-01, -6.937043909446567e-01,  1.880355459351460e+00
s13         , -1.915336013610817e+00, -9.238471219904089e-01,  2.504180458012105e+00
s14         , -4.972857440368104e-01, -3.102732230810022e-01,  8.410267493282754e-01
s15         ,  9.892906044607527e-01,  8.348252795646605e-01, -2.262877808653301e+00
s16         ,  7.196956197004112e-01,  8.913620588338959e-01, -2.416126430026863e+00
s17         , -8.233048349290433e-01, -5.139693737743698e-01,  1.393165634428267e+00
s18         ,  6.436893120625885e-01, -1.779394604864433e-01,  4.823227881030240e-01
s19         ,  6.782210382119218e-01,  4.821935708601823e-01, -1.307034127600692e+00
s20         ,  1.358387811126361e-01, -6.763993410063085e-01,  1.833448382575412e+00
s21         ,  1.192439177417436e+00,  7.579665758414450e-01, -2.054544568974912e+00
s22         , -1.675888320916539e+00, -1.389086394244763e+00,  3.765258255569202e+00
s23         ,  1.682267394333138e+00,  8.794074234758992e-01, -2.383722189613517e+00
s24         , -5.344901610254715e-02,  2.205623228214038e-01, -5.978563394700394e-01
s25         ,  7.630444568978922e-01,  1.428429776849720e+00, -3.871902447585692e+00
s26         , -7.690353008448225e-01, -1.302535082138904e+00,  3.530652226896582e+00
s27         ,  1.318355805735755e-01,  1.838656232256131e-01, -4.983862477049282e-01
s28         , -1.557515501210242e+00, -6.791445089562977e-01,  1.840889436155265e+00
s29         ,  1.315402392066626e+00,  1.322601724865595e+00, -3.585044878427312e+00
s30         , -1.602536800620832e+00, -6.045498910769521e-01,  1.638693228665995e+00
s31         , -6.577868421803238e-01, -5.674411605735447e-02,  1.538106285722383e-01
s32         ,  1.122204297021453e+00,  6.392350989315138e-01, -1.732710969939408e+00
s33         ,  1.732999170998263e+00,  9.694431808169016e-01, -2.627773157234541e+00
s34         ,  1.815120104294484e+00,  6.548821808436475e-01, -1.775123957777548e+00
s35         ,  5.934117724273275e-01,  1.105819731069343e+00, -2.997435500650723e+00
s36         ,  9.702627198604924e-01, -4.115155094172853e-01,  1.115454139892164e+00
s37         ,  1.142962175227537e+00, -8.995819449816492e-02,  2.438407257415210e-01
s38         ,  2.376281988155590e-01,  1.037147841986478e+00, -2.811293444716635e+00
s39         , -9.901628269429662e-01,  1.801289946295196e-01, -4.882577404157278e-01
s40         , -6.175077579414836e-01,  4.181557427059363e-01, -1.133453159472650e+00
s41         , -6.558266813617915e-01, -2.555512716712620e-02,  6.926974012329729e-02
s42         , -1.132806252875512e-01, -8.212103836754007e-01,  2.225973265236747e+00
s43         ,  3.987508132795206e-01,  6.222349900957086e-01, -1.686630466664165e+00
s44         , -1.257042213831158e-02, -3.619716999568021e-01,  9.811606658819635e-01
s45         , -2.453536714432208e-01, -6.572027092972205e-02,  1.781413983331970e-01
s46         ,  4.319604697532172e-01, -5.467112040580979e-01,  1.481915655513370e+00
s47         , -5.858250576994644e-01, -1.877527031349336e-01,  5.089225683969065e-01
s48         , -1.351740028810569e+00, -1.118111827643055e+00,  3.030754463599452e+00
s49         ,  1.400180920836999e+00,  2.994922002613763e-02, -8.118037036320085e-02
s50         ,  6.339509690024701e-01, -2.773840459860075e-01,  7.518773299049174e-01
s51         ,  9.663578673416964e-01,  7.655366185271421e-01, -2.075063930359074e+00
s52         ,  1.470345916377529e-01,  7.190378225872451e-02, -1.949024271478162e-01
s53         , -1.879048126514940e+00, -2.137640121462713e-02,  5.794288352489049e-02
s54         ,  2.462378298792408e+00,  1.202410756884676e+00, -3.259255182185230e+00
s55         ,  2.147693442064033e-01, -2.576915163327633e-01,  6.984987494529562e-01
s56         ,  1.250856345991485e+00,  1.414560918044206e+00, -3.834309512164870e+00
s57         ,  3.470878239384724e-01,  3.102310968026870e-01, -8.409125618177937e-01
s58         ,  2.650904256602346e+00,  9.013774144812464e-01, -2.443274057913717e+00
s59         ,  2.436955679659398e-02, -1.804610838476483e-01,  4.891579016118389e-01
s60         , -1.350996154759193e+00, -9.972263527309613e-01,  2.703082236532080e+00
s61         , -1.175408395594881e+00, -1.053325299201607e+00,  2.855144068108924e+00
s62         ,  5.137509822735412e-02,  1.323268094159777e-01, -3.586851139360088e-01
