# c0 + a0 * (face-area-count + Na-Na-avg)
# Property Label: $E$; Unit of the Property: Unitless
# RMSE: 0.750571566397315; Max AE: 2.69094684558707
# Coefficients
# Task   a0                      c0
# all , -6.100180424111402e-02,  1.877613197278747e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         34|24|add; (face-area-count + Na-Na-avg); $\left(face-area-count + Na-Na-avg\right)$; (face_sub_area_sub_count + Na_sub_Na_sub_avg); (newdata$face_sub_area_sub_count + newdata$Na_sub_Na_sub_avg); face-area-count,Na-Na-avg
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
s1          ,  6.774572406644882e-01,  3.946574203684361e-01,  2.431003140577321e+01
s2          ,  1.967875961713064e+00,  1.437317456277878e-01,  2.842344539183904e+01
s3          , -1.271285198486554e+00, -5.663022708419294e-01,  4.006300302956491e+01
s4          , -1.922048452937919e-01, -7.130729146953618e-01,  4.246900799416089e+01
s5          ,  2.455067115358116e-01, -2.375002873245735e-01,  3.467296600348381e+01
s6          ,  1.771859120156342e-01,  4.511489837602090e-01,  2.338396759348848e+01
s7          , -1.787554844087500e-01,  4.022703974987702e-01,  2.418523219327380e+01
s8          ,  1.258527874893824e+00, -6.136046554053187e-01,  4.083842902149825e+01
s9          ,  1.207996528852184e+00,  8.928843659880220e-01,  1.614261813303937e+01
s10         , -3.778119871449526e-01,  1.444281670996483e-02,  3.054287334198293e+01
s11         ,  2.051916464504999e-01, -5.856556479866011e-01,  4.038026212354475e+01
s12         , -9.030892502610830e-01, -5.629767387059468e-01,  4.000848772174159e+01
s13         , -1.915336013610817e+00, -5.240260964150958e-01,  3.936997148807584e+01
s14         , -4.972857440368104e-01, -7.946244548727950e-01,  4.380587894727393e+01
s15         ,  9.892906044607527e-01,  3.355297673942141e-01,  2.527930852322560e+01
s16         ,  7.196956197004112e-01,  7.505593619449407e-01,  1.847574591202327e+01
s17         , -8.233048349290433e-01, -4.592532178645008e-01,  3.830815242622358e+01
s18         ,  6.436893120625885e-01, -2.023373551681884e-01,  3.409654154204655e+01
s19         ,  6.782210382119218e-01,  1.101314064616715e+00,  1.272583888820163e+01
s20         ,  1.358387811126361e-01, -8.262460480192690e-01,  4.432425038791997e+01
s21         ,  1.192439177417436e+00,  7.567132171847484e-01,  1.837486602303697e+01
s22         , -1.675888320916539e+00, -1.121334046966890e+00,  4.916161548914327e+01
s23         ,  1.682267394333138e+00,  8.943571474662980e-01,  1.611847488848131e+01
s24         , -5.344901610254715e-02, -9.729906969221935e-02,  3.237465336541496e+01
s25         ,  7.630444568978922e-01,  1.582117038910134e+00,  4.844056041369587e+00
s26         , -7.690353008448225e-01, -1.176675939601334e+00,  5.006883279726913e+01
s27         ,  1.318355805735755e-01, -6.190506050208011e-02,  3.179444086792486e+01
s28         , -1.557515501210242e+00, -7.251256686562366e-01,  4.266658828069201e+01
s29         ,  1.315402392066626e+00,  1.540140605569655e+00,  5.532173939892131e+00
s30         , -1.602536800620832e+00, -4.697441026148443e-01,  3.848012905676516e+01
s31         , -6.577868421803238e-01,  1.147192845237432e-02,  3.059157498768914e+01
s32         ,  1.122204297021453e+00,  2.719804486857371e-01,  2.632106982027337e+01
s33         ,  1.732999170998263e+00,  1.091363783398009e+00,  1.288895342788601e+01
s34         ,  1.815120104294484e+00,  5.641864778064967e-01,  2.153094872867755e+01
s35         ,  5.934117724273275e-01,  1.057172898760155e+00,  1.344944315541461e+01
s36         ,  9.702627198604924e-01, -1.216137314589700e-01,  3.277324258862294e+01
s37         ,  1.142962175227537e+00,  4.311290934240186e-02,  3.007288572458203e+01
s38         ,  2.376281988155590e-01,  1.079349985360430e+00,  1.308589511161218e+01
s39         , -9.901628269429662e-01,  5.433261646659704e-01,  2.187291096077931e+01
s40         , -6.175077579414836e-01,  2.507961798476879e-01,  2.666834264443963e+01
s41         , -6.558266813617915e-01, -2.765366298041274e-01,  3.531288711672268e+01
s42         , -1.132806252875512e-01, -6.137035140694433e-01,  4.084004960740312e+01
s43         ,  3.987508132795206e-01,  7.157369092547174e-01,  1.904658890795476e+01
s44         , -1.257042213831158e-02, -1.037230522590857e-01,  3.247996144026263e+01
s45         , -2.453536714432208e-01, -1.613705625382587e-01,  3.342497464104137e+01
s46         ,  4.319604697532172e-01, -4.563342866251292e-01,  3.826030250972219e+01
s47         , -5.858250576994644e-01, -2.941864459850208e-02,  3.126189242435467e+01
s48         , -1.351740028810569e+00, -1.168601764899202e+00,  4.993647319245781e+01
s49         ,  1.400180920836999e+00, -1.554823413695461e-02,  3.103451537159204e+01
s50         ,  6.339509690024701e-01, -4.768209853656804e-01,  3.859614009674791e+01
s51         ,  9.663578673416964e-01,  8.879714074583483e-01,  1.622315605467616e+01
s52         ,  1.470345916377529e-01, -9.519624249481629e-02,  3.234018180799853e+01
s53         , -1.879048126514940e+00,  4.826696663129515e-02,  2.998839548117019e+01
s54         ,  2.462378298792408e+00,  1.290779228267728e+00,  9.619944464126270e+00
s55         ,  2.147693442064033e-01, -4.592326947618151e-01,  3.830781599186822e+01
s56         ,  1.250856345991485e+00,  1.475885658083322e+00,  6.585502579687123e+00
s57         ,  3.470878239384724e-01,  8.848992327795188e-01,  1.627351808440706e+01
s58         ,  2.650904256602346e+00,  9.425187703448937e-01,  1.532896343914395e+01
s59         ,  2.436955679659398e-02, -1.397289129320198e-01,  3.307020399326350e+01
s60         , -1.350996154759193e+00, -7.828736472290603e-01,  4.361324845396444e+01
s61         , -1.175408395594881e+00, -6.574474458637731e-01,  4.155714203341446e+01
s62         ,  5.137509822735412e-02, -1.339411098525105e-01,  3.297532478187767e+01
s63         ,  1.630781368412474e+00,  6.988992298106775e-01,  1.932260827579981e+01
s64         , -7.346563779561162e-02,  1.224550415048588e+00,  1.070563060149634e+01
s65         ,  6.477994742971301e-01,  5.903304819408182e-01,  2.110237117331565e+01
s66         ,  1.102507059534665e+00,  3.071633802008000e-01,  2.574431751019414e+01
s67         , -2.689254974131806e-01,  2.622357617279025e-01,  2.648081406192428e+01
s68         ,  1.634793292022643e+00,  9.263432929454302e-01,  1.559412735684594e+01
s69         ,  3.008420412735001e-01,  7.576653660613293e-01,  1.835925748672521e+01
s70         ,  4.428344099007711e-01,  3.514799606271848e-01,  2.501783767934815e+01
s71         , -2.587880550234566e-02, -5.739364023989351e-01,  4.018814902568711e+01
s72         ,  3.320850724266521e-01,  7.342751630450577e-01,  1.874269209668887e+01
s73         , -1.001377721869569e+00, -6.038801759874191e-02,  3.176957204769550e+01
s74         ,  1.535377236435878e+00,  1.505516889195727e+00,  6.099759059785878e+00
s75         ,  2.223324131252060e-01,  3.812118130106961e-01,  2.453044467920026e+01
s76         , -5.720277382811452e-01, -4.822047057308370e-01,  3.868439519726719e+01
s77         , -1.197863875151751e+00, -5.713650429493462e-01,  4.014599683885301e+01
s78         , -1.436625202734528e+00, -6.822545317437718e-01,  4.196380354430924e+01
s79         ,  4.409066269069510e-01,  5.927052869695220e-01,  2.106344109479999e+01
s80         ,  6.309139277294878e-01,  1.616090581417413e-01,  2.813038336299654e+01
s81         , -1.685326208098238e+00, -3.566169488798681e-01,  3.662564040446509e+01
s82         , -1.663665661245249e-01, -3.117740332372463e-01,  3.589053238265352e+01
s83         , -1.321966357459877e+00, -6.592720627016095e-01,  4.158705290015907e+01
s84         ,  1.425519064192979e+00, -2.369405471871653e-01,  3.466379020705661e+01
s85         , -6.984731689207798e-01, -3.576776364345255e-01,  3.664302821074152e+01
s86         , -2.932580333118892e-01,  2.991862822563363e-03,  3.073058834533169e+01
s87         ,  3.346071912195332e-02, -2.460214128473732e-01,  3.481265245421761e+01
s88         , -7.344698336486584e-02, -1.912074886722201e-01,  3.391409011074172e+01
s89         ,  2.903456543575506e-01,  2.354799710891766e-01,  2.691942060760893e+01
s90         ,  3.160753830639385e-01, -1.103052580774830e-01,  3.258786326218876e+01
s91         ,  4.911838748491691e-01,  1.253572066101889e+00,  1.022987990175325e+01
s92         , -8.899315452749768e-01, -7.869328043486090e-01,  4.367979004515254e+01
