# c0 + a0 * (face-area-count + bottleneck_min)
# Property Label: $E$; Unit of the Property: Unitless
# RMSE: 0.750708504319535; Max AE: 2.73011137279833
# Coefficients
# Task   a0                      c0
# all , -6.383402497935756e-02,  1.964787914516836e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         34|25|add; (face-area-count + bottleneck_min); $\left(face-area-count + bottleneck_{min}\right)$; (face_sub_area_sub_count + bottleneck_min); (newdata$face_sub_area_sub_count + newdata$bottleneck_min); face-area-count,bottleneck_min
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
s1          ,  6.774572406644882e-01,  4.038865056788772e-01,  2.445249863756387e+01
s2          ,  1.967875961713064e+00,  1.329306422432179e-01,  2.869719202049374e+01
s3          , -1.271285198486554e+00, -5.997823832089479e-01,  4.017560068560781e+01
s4          , -1.922048452937919e-01, -7.256252809124777e-01,  4.214700853188140e+01
s5          ,  2.455067115358116e-01, -2.279348978419904e-01,  3.435037682596236e+01
s6          ,  1.771859120156342e-01,  4.437867634868617e-01,  2.382743609731379e+01
s7          , -1.787554844087500e-01,  3.873854170318913e-01,  2.471099853087816e+01
s8          ,  1.258527874893824e+00, -6.137053237966930e-01,  4.039371227409448e+01
s9          ,  1.207996528852184e+00,  8.740547902104192e-01,  1.708701785073297e+01
s10         , -3.778119871449526e-01,  7.205335755363507e-02,  2.965087283114714e+01
s11         ,  2.051916464504999e-01, -5.543346906184632e-01,  3.946363410344131e+01
s12         , -9.030892502610830e-01, -4.726250998478356e-01,  3.818360216440800e+01
s13         , -1.915336013610817e+00, -5.000129762236596e-01,  3.861265040920661e+01
s14         , -4.972857440368104e-01, -6.838732694405745e-01,  4.149293711016853e+01
s15         ,  9.892906044607527e-01,  3.689802402132996e-01,  2.499932715851121e+01
s16         ,  7.196956197004112e-01,  7.363140188052999e-01,  1.924481334380522e+01
s17         , -8.233048349290433e-01, -5.286603900299163e-01,  3.906143009708499e+01
s18         ,  6.436893120625885e-01, -1.463569716337472e-01,  3.307240749480044e+01
s19         ,  6.782210382119218e-01,  1.120101474809414e+00,  1.323254236248732e+01
s20         ,  1.358387811126361e-01, -8.678458354243421e-01,  4.437498263437385e+01
s21         ,  1.192439177417436e+00,  7.221002226508635e-01,  1.946748136699556e+01
s22         , -1.675888320916539e+00, -1.181162023264135e+00,  4.928327704227170e+01
s23         ,  1.682267394333138e+00,  9.092927869899829e-01,  1.653499255088764e+01
s24         , -5.344901610254715e-02, -1.245920349899090e-01,  3.273144612426370e+01
s25         ,  7.630444568978922e-01,  1.581931255929785e+00,  5.997689456537604e+00
s26         , -7.690353008448225e-01, -1.216964919237797e+00,  4.984415184196105e+01
s27         ,  1.318355805735755e-01, -4.749597872757416e-02,  3.152368809416508e+01
s28         , -1.557515501210242e+00, -7.169408628300844e-01,  4.201096168092376e+01
