# c0 + a0 * (Ge - SBI) + a1 * (face-area-count + face-area-max)
# Property Label: $E$; Unit of the Property: Unitless
# RMSE: 0.688653585157157; Max AE: 2.52959826125028
# Coefficients
# Task   a0                      a1                      c0
# all ,  2.679152824610952e+00, -8.377092184643906e-02,  3.035683879178257e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         18|5|sub; (Ge - SBI); $\left(Ge - SBI\right)$; (Ge - SBI); (newdata$Ge - newdata$SBI); Ge,SBI
# 1;  1; Unitless;                                         34|31|add; (face-area-count + face-area-max); $\left(face-area-count + face-area-max\right)$; (face_sub_area_sub_count + face_sub_area_sub_max); (newdata$face_sub_area_sub_count + newdata$face_sub_area_sub_max); face-area-count,face-area-max
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
s1          ,  6.774572406644882e-01,  3.462039253392133e-01, -2.516773041770550e-01,  2.405605607583844e+01
s2          ,  1.967875961713064e+00,  2.536434224673361e-01, -1.431561915293291e-01,  2.863169091312237e+01
s3          , -1.271285198486554e+00, -8.169230251842858e-01, -1.710259048075695e-01,  4.052005509307869e+01
s4          , -1.922048452937919e-01, -6.324722052264997e-01, -9.680956800127805e-02,  4.069178638255212e+01
s5          ,  2.455067115358116e-01, -4.351648392121326e-01, -1.655160589349337e-01,  3.613910214723367e+01
s6          ,  1.771859120156342e-01,  2.416503606125071e-01, -3.233661538382711e-01,  2.301139979884690e+01
s7          , -1.787554844087500e-01,  3.227912028358135e-01, -2.770221991405241e-01,  2.352496338344810e+01
s8          ,  1.258527874893824e+00,  4.451712274104405e-01,  2.136528878719768e-01,  3.775679340850850e+01
s9          ,  1.207996528852184e+00,  1.119308442016062e+00, -2.051343479720743e-01,  1.631579477988264e+01
s10         , -3.778119871449526e-01,  5.541942406469524e-01,  3.200468683005618e-02,  3.064589751511690e+01
s11         ,  2.051916464504999e-01, -9.064195822628540e-01, -2.711932285111195e-01,  3.838486298568611e+01
s12         , -9.030892502610830e-01, -8.242664926438517e-01, -2.340284304589662e-01,  3.859277622902426e+01
s13         , -1.915336013610817e+00, -4.478437216857665e-01, -8.466054159187654e-02,  3.887636664300945e+01
s14         , -4.972857440368104e-01, -2.178735341952995e-01,  1.367958411691423e-01,  4.321373452560111e+01
s15         ,  9.892906044607527e-01,  4.396748326518436e-01, -1.786086666829044e-01,  2.527713777060369e+01
s16         ,  7.196956197004112e-01,  6.304002967709847e-01, -3.233661538382711e-01,  1.837076880673370e+01
s17         , -8.233048349290433e-01, -9.746658866479314e-01, -2.994485549334896e-01,  3.829588183273444e+01
s18         ,  6.436893120625885e-01, -5.071702306952677e-01, -2.578545817902791e-01,  3.404549234827905e+01
s19         ,  6.782210382119218e-01,  1.032348415358311e+00, -3.167436441549860e-01,  1.378438734411080e+01
s20         ,  1.358387811126361e-01, -8.174435575929389e-01, -8.850733749321589e-02,  4.316536900663415e+01
s21         ,  1.192439177417436e+00,  5.277142086846491e-01, -3.581990065132454e-01,  1.848254449508157e+01
s22         , -1.675888320916539e+00, -1.351921264335560e+00, -7.056713486347356e-02,  5.011936018223623e+01
s23         ,  1.682267394333138e+00,  1.038687720849536e+00, -2.498276820302972e-01,  1.584881232159534e+01
s24         , -5.344901610254715e-02,  2.286773861622433e-01, -3.459475886219759e-02,  3.240171872609044e+01
s25         ,  7.630444568978922e-01,  1.446007769982448e+00, -4.455131661377713e-01,  4.728111413916210e+00
s26         , -7.690353008448225e-01, -1.568575289980181e+00, -1.071322881154807e-01,  5.153620494663724e+01
s27         ,  1.318355805735755e-01,  8.493231505719034e-02, -1.169018300097772e-01,  3.148531301688547e+01
s28         , -1.557515501210242e+00, -8.500218487308149e-01, -1.333668470045617e-01,  4.211957425412204e+01
s29         ,  1.315402392066626e+00,  1.623496043336019e+00, -3.589141056063042e-01,  5.378979794926889e+00
