# c0 + a0 * (Ge - SBI) + a1 * (pockets-per-volume + face-area-count)
# Property Label: $E$; Unit of the Property: Unitless
# RMSE: 0.689464668292645; Max AE: 2.53425838151844
# Coefficients
# Task   a0                      a1                      c0
# all ,  2.423686527925871e+00, -8.765321894180016e-02,  3.111579647388587e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         18|5|sub; (Ge - SBI); $\left(Ge - SBI\right)$; (Ge - SBI); (newdata$Ge - newdata$SBI); Ge,SBI
# 1;  1; Unitless;                                         36|34|add; (pockets-per-volume + face-area-count); $\left(pockets-per-volume + face-area-count\right)$; (pockets_sub_per_sub_volume + face_sub_area_sub_count); (newdata$pockets_sub_per_sub_volume + newdata$face_sub_area_sub_count); pockets-per-volume,face-area-count
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
s1          ,  6.774572406644882e-01,  1.666965322324789e-01, -2.516773041770550e-01,  2.663788337525630e+01
s2          ,  1.967875961713064e+00,  2.534771463507774e-01, -1.431561915293291e-01,  2.864854021968480e+01
s3          , -1.271285198486554e+00, -7.840367993183621e-01, -1.710259048075695e-01,  3.971449431434900e+01
s4          , -1.922048452937919e-01, -7.630488888921563e-01, -9.680956800127805e-02,  4.152719699841941e+01
s5          ,  2.455067115358116e-01, -3.864809919644800e-01, -1.655160589349337e-01,  3.533129341448784e+01
s6          ,  1.771859120156342e-01,  1.206905817182435e-01, -3.233661538382711e-01,  2.518048853962593e+01
s7          , -1.787554844087500e-01,  2.392878667442058e-01, -2.770221991405241e-01,  2.510891026275293e+01
s8          ,  1.258527874893824e+00,  2.432953338559161e-01,  2.136528878719768e-01,  3.863077683169563e+01
s9          ,  1.207996528852184e+00,  1.160034861862929e+00, -2.051343479720743e-01,  1.659224210461170e+01
s10         , -3.778119871449526e-01,  5.476521980974804e-01,  3.200468683005618e-02,  3.013576465851754e+01
s11         ,  2.051916464504999e-01, -9.809204395101832e-01, -2.711932285111195e-01,  3.919094762250037e+01
s12         , -9.030892502610830e-01, -8.195063969544534e-01, -2.340284304589662e-01,  3.837707879868677e+01
s13         , -1.915336013610817e+00, -4.930033136832055e-01, -8.466054159187654e-02,  3.878228761029047e+01
s14         , -4.972857440368104e-01, -3.105772395762010e-01,  1.367958411691423e-01,  4.282452110258616e+01
s15         ,  9.892906044607527e-01,  4.668407117186719e-01, -1.786086666829044e-01,  2.523407061557405e+01
s16         ,  7.196956197004112e-01,  6.205328359267457e-01, -3.233661538382711e-01,  1.947799112717624e+01
s17         , -8.233048349290433e-01, -9.256276974510991e-01, -2.994485549334896e-01,  3.777885120955160e+01
s18         ,  6.436893120625885e-01, -4.886649571870616e-01, -2.578545817902791e-01,  3.394382960997833e+01
s19         ,  6.782210382119218e-01,  1.132387762793313e+00, -3.167436441549860e-01,  1.382156406891458e+01
s20         ,  1.358387811126361e-01, -8.652680796957171e-01, -8.850733749321589e-02,  4.292293803924665e+01
s21         ,  1.192439177417436e+00,  5.638457296868176e-01, -3.581990065132454e-01,  1.916155312464206e+01
s22         , -1.675888320916539e+00, -1.273894609616363e+00, -7.056713486347356e-02,  4.808085423217966e+01
s23         ,  1.682267394333138e+00,  1.001418055809790e+00, -2.498276820302972e-01,  1.716602792805679e+01
s24         , -5.344901610254715e-02,  1.868835557951245e-01, -3.459475886219759e-02,  3.241009599988077e+01
s25         ,  7.630444568978922e-01,  1.518745611929363e+00, -4.455131661377713e-01,  5.853176675897799e+00
s26         , -7.690353008448225e-01, -1.404040666645864e+00, -1.071322881154807e-01,  4.855457999151128e+01
s27         ,  1.318355805735755e-01,  1.062892374215338e-01, -1.169018300097772e-01,  3.105370290268286e+01
s28         , -1.557515501210242e+00, -9.104768512515955e-01, -1.333668470045617e-01,  4.219830273134875e+01
s29         ,  1.315402392066626e+00,  1.681810782218378e+00, -3.589141056063042e-01,  6.387370475251926e+00
s30         , -1.602536800620832e+00, -5.050756079980814e-01, -1.054367765467256e-01,  3.834553483716489e+01
s31         , -6.577868421803238e-01, -6.095539590776999e-02, -2.177801474649559e-01,  3.017235722503085e+01
s32         ,  1.122204297021453e+00,  9.057318020022276e-02, -2.931446904414636e-01,  2.635973508019736e+01
s33         ,  1.732999170998263e+00,  1.157595132341926e+00, -3.126341148260656e-01,  1.364761542376425e+01
s34         ,  1.815120104294484e+00,  9.700462925758784e-01, -1.086070115455023e-01,  2.142880805482727e+01
s35         ,  5.934117724273275e-01,  9.707015332668976e-01, -3.564068729122373e-01,  1.456945441595308e+01
s36         ,  9.702627198604924e-01, -4.692103908263241e-01, -2.530416474644647e-01,  3.385496211179049e+01
s37         ,  1.142962175227537e+00, -1.886709335933046e-01, -2.191185732903392e-01,  3.159240334024050e+01
s38         ,  2.376281988155590e-01,  1.248685001026309e+00, -2.787260399366495e-01,  1.354599537495671e+01
s39         , -9.901628269429662e-01, -3.847359281485740e-02, -4.744559790352056e-01,  2.281856502098313e+01
s40         , -6.175077579414836e-01,  3.537307842629192e-01, -1.775069666309192e-01,  2.655495882056330e+01
s41         , -6.558266813617915e-01, -3.771731899565842e-01, -1.869027143303417e-01,  3.463374515208191e+01
s42         , -1.132806252875512e-01, -5.380772328511445e-01, -8.040472989721238e-02,  3.941419449638512e+01
s43         ,  3.987508132795206e-01,  8.929967403541417e-02, -4.865958883604019e-01,  2.102517279386634e+01
s44         , -1.257042213831158e-02,  3.760943171523463e-01,  2.862411967017411e-02,  3.199952331832727e+01
s45         , -2.453536714432208e-01,  1.101430312963902e-02, -9.709047366113982e-02,  3.268845691975061e+01
s46         ,  4.319604697532172e-01,  2.092149261871667e-01,  1.302428542254254e-01,  3.671322754824214e+01
s47         , -5.858250576994644e-01, -7.070619150855162e-03, -1.681953149659421e-01,  3.092867073594050e+01
s48         , -1.351740028810569e+00, -7.676857636941339e-01,  1.472575436568500e-01,  4.832876176050090e+01
s49         ,  1.400180920836999e+00, -1.156048099505202e-03, -1.401590874479529e-01,  3.163641948295521e+01
