# c0 + a0 * (Ge - SBI) + a1 * (paths-per-volume + face-area-count)
# Property Label: $E$; Unit of the Property: Unitless
# RMSE: 0.691241463267834; Max AE: 2.62157552790986
# Coefficients
# Task   a0                      a1                      c0
# all ,  2.432652317221106e+00, -8.827396903621677e-02,  3.132216281069398e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         18|5|sub; (Ge - SBI); $\left(Ge - SBI\right)$; (Ge - SBI); (newdata$Ge - newdata$SBI); Ge,SBI
# 1;  1; Unitless;                                         38|34|add; (paths-per-volume + face-area-count); $\left(paths-per-volume + face-area-count\right)$; (paths_sub_per_sub_volume + face_sub_area_sub_count); (newdata$paths_sub_per_sub_volume + newdata$face_sub_area_sub_count); paths-per-volume,face-area-count
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
s1          ,  6.774572406644882e-01,  1.660973633980198e-01, -2.516773041770550e-01,  2.666556818700837e+01
s2          ,  1.967875961713064e+00,  2.585855192015165e-01, -1.431561915293291e-01,  2.860845103479379e+01
s3          , -1.271285198486554e+00, -7.714528593765948e-01, -1.710259048075695e-01,  3.950907175568520e+01
s4          , -1.922048452937919e-01, -7.354555172159580e-01, -9.680956800127805e-02,  4.114653298151438e+01
s5          ,  2.455067115358116e-01, -3.792580728454924e-01, -1.655160589349337e-01,  3.521798513822390e+01
s6          ,  1.771859120156342e-01,  1.599953364895224e-01, -3.233661538382711e-01,  2.475909427203431e+01
s7          , -1.787554844087500e-01,  2.678444206558317e-01, -2.770221991405241e-01,  2.481448596532441e+01
s8          ,  1.258527874893824e+00,  2.479579472668969e-01,  2.136528878719768e-01,  3.856178173169786e+01
s9          ,  1.207996528852184e+00,  1.153971665798252e+00, -2.051343479720743e-01,  1.675719449896205e+01
s10         , -3.778119871449526e-01,  5.300337248726410e-01,  3.200468683005618e-02,  3.036046595657516e+01
s11         ,  2.051916464504999e-01, -9.466051853868440e-01, -2.711932285111195e-01,  3.873285259555073e+01
s12         , -9.030892502610830e-01, -8.139664195563396e-01, -2.340284304589662e-01,  3.825445863421709e+01
s13         , -1.915336013610817e+00, -4.688330770337514e-01, -8.466054159187654e-02,  3.846093851325010e+01
s14         , -4.972857440368104e-01, -3.061256000518382e-01,  1.367958411691423e-01,  4.272061902620870e+01
s15         ,  9.892906044607527e-01,  4.488496978830567e-01, -1.786086666829044e-01,  2.547606979563522e+01
s16         ,  7.196956197004112e-01,  6.244388775060656e-01, -3.233661538382711e-01,  1.949770695607491e+01
s17         , -8.233048349290433e-01, -9.209397297542967e-01, -2.994485549334896e-01,  3.766344513649523e+01
s18         ,  6.436893120625885e-01, -4.951649077634559e-01, -2.578545817902791e-01,  3.398635719782551e+01
s19         ,  6.782210382119218e-01,  1.134876498111532e+00, -3.167436441549860e-01,  1.389778477657268e+01
s20         ,  1.358387811126361e-01, -8.456390220486818e-01, -8.850733749321589e-02,  4.262352497065642e+01
s21         ,  1.192439177417436e+00,  5.635063548527048e-01, -3.581990065132454e-01,  1.922804991695310e+01
s22         , -1.675888320916539e+00, -1.280630784231336e+00, -7.056713486347356e-02,  4.804566745396247e+01
s23         ,  1.682267394333138e+00,  1.026285529202203e+00, -2.498276820302972e-01,  1.697201200566322e+01
s24         , -5.344901610254715e-02,  1.948166041585608e-01, -3.459475886219759e-02,  3.232258261130625e+01
s25         ,  7.630444568978922e-01,  1.519421138942823e+00, -4.455131661377713e-01,  5.992893623622729e+00
s26         , -7.690353008448225e-01, -1.403373830451474e+00, -1.071322881154807e-01,  4.842848406231314e+01
s27         ,  1.318355805735755e-01,  9.147869642119311e-02, -1.169018300097772e-01,  3.122501578983792e+01
s28         , -1.557515501210242e+00, -8.730578214249003e-01, -1.333668470045617e-01,  4.169789772994137e+01
s29         ,  1.315402392066626e+00,  1.678490340991274e+00, -3.589141056063042e-01,  6.577394397587300e+00
s30         , -1.602536800620832e+00, -4.926489146517139e-01, -1.054367765467256e-01,  3.815818200666189e+01
s31         , -6.577868421803238e-01, -7.830264247183694e-02, -2.177801474649559e-01,  3.036835855954332e+01
s32         ,  1.122204297021453e+00,  7.798173167277422e-02, -2.931446904414636e-01,  2.652101706169604e+01
s33         ,  1.732999170998263e+00,  1.163821957000144e+00, -3.126341148260656e-01,  1.368313029744586e+01
s34         ,  1.815120104294484e+00,  9.495810351073992e-01, -1.086070115455023e-01,  2.173270521995317e+01
s35         ,  5.934117724273275e-01,  9.736818660042992e-01, -3.564068729122373e-01,  1.463081839303878e+01
s36         ,  9.702627198604924e-01, -4.301480143669183e-01, -2.530416474644647e-01,  3.338245665796941e+01
s37         ,  1.142962175227537e+00, -1.676233009867785e-01, -2.191185732903392e-01,  3.134333153027361e+01
s38         ,  2.376281988155590e-01,  1.244110407256220e+00, -2.787260399366495e-01,  1.370803125885236e+01
s39         , -9.901628269429662e-01, -2.839860724401344e-02, -4.744559790352056e-01,  2.272955972638795e+01
s40         , -6.175077579414836e-01,  3.443358233851503e-01, -1.775069666309192e-01,  2.669040204842281e+01
s41         , -6.558266813617915e-01, -3.932429533589232e-01, -1.869027143303417e-01,  3.478703797784176e+01
s42         , -1.132806252875512e-01, -5.260449530952571e-01, -8.040472989721238e-02,  3.922633727100242e+01
s43         ,  3.987508132795206e-01,  9.879718907023771e-02, -4.865958883604019e-01,  2.095408756198643e+01
s44         , -1.257042213831158e-02,  3.551362127776794e-01,  2.862411967017411e-02,  3.224860771999321e+01
s45         , -2.453536714432208e-01, -9.649945623346756e-03, -9.709047366113982e-02,  3.291659922721663e+01
s46         ,  4.319604697532172e-01,  2.166426473285785e-01,  1.302428542254254e-01,  3.661792089067173e+01
s47         , -5.858250576994644e-01,  6.468081320974317e-03, -1.681953149659421e-01,  3.077450245764113e+01
s48         , -1.351740028810569e+00, -7.778557284302772e-01,  1.472575436568500e-01,  4.835285487790421e+01
s49         ,  1.400180920836999e+00,  3.126700729614296e-03, -1.401590874479529e-01,  3.158497665756956e+01
s50         ,  6.339509690024701e-01,  9.309674754843389e-02,  9.987610926789819e-02,  3.718064813444586e+01
s51         ,  9.663578673416964e-01,  9.896645683428820e-01, -2.748435772528992e-01,  1.669748017158018e+01
s52         ,  1.470345916377529e-01, -1.963111973295093e-01, -2.132549818795506e-01,  3.182990731296897e+01
s53         , -1.879048126514940e+00, -4.211022807007483e-01, -3.546452651205051e-01,  3.047999274485288e+01
s54         ,  2.462378298792408e+00,  1.481761822443852e+00, -2.972036404536775e-01,  1.050662323350208e+01
s55         ,  2.147693442064033e-01, -3.882303514596019e-01, -1.061499044069088e-01,  3.695563774029827e+01
s56         ,  1.250856345991485e+00,  1.447243482209498e+00, -4.125954321610042e-01,  7.717694946503193e+00
s57         ,  3.470878239384724e-01,  8.172343231283943e-01, -3.376520198786915e-01,  1.691995959483742e+01
s58         ,  2.650904256602346e+00,  4.994002845698331e-01, -4.472779356966061e-01,  1.749943167449025e+01
s59         ,  2.436955679659398e-02, -2.584592858073442e-02, -1.091685153656913e-01,  3.276722684341374e+01
s60         , -1.350996154759193e+00, -8.579123953425225e-01, -8.670889727560709e-02,  4.281212363953195e+01
s61         , -1.175408395594881e+00, -6.192830046683944e-01, -8.647244871692022e-02,  4.011535814751848e+01
s62         ,  5.137509822735412e-02,  1.029141537696896e-01, -6.600767004920979e-02,  3.249801098920972e+01
s63         ,  1.630781368412474e+00,  8.613653109927928e-01, -2.157132531154462e-01,  1.978041368360392e+01
s64         , -7.346563779561162e-02,  1.085301146731930e+00, -4.102930526849969e-01,  1.188135982141331e+01
s65         ,  6.477994742971301e-01,  5.956956627808021e-01, -2.560749708076304e-01,  2.167772977768779e+01
s66         ,  1.102507059534665e+00,  4.108652537502651e-01, -1.770983699446607e-01,  2.594799228249747e+01
s67         , -2.689254974131806e-01, -8.583059703362084e-01, -3.762540031066304e-01,  3.483730382195514e+01
s68         ,  1.634793292022643e+00,  1.149621363388543e+00, -2.243979350099490e-01,  1.627561076935173e+01
s69         ,  3.008420412735001e-01,  4.677682719147365e-01, -3.349657840453259e-01,  2.095286683720055e+01
s70         ,  4.428344099007711e-01,  6.591474670367825e-01, -9.438552670361922e-02,  2.541475894059415e+01
s71         , -2.587880550234566e-02, -3.887683840391007e-01, -5.003686046409431e-02,  3.850809494200279e+01
s72         ,  3.320850724266521e-01,  7.281772639054898e-01, -2.792192530785392e-01,  1.953911977654488e+01
s73         , -1.001377721869569e+00, -2.979039465815903e-01, -2.842221476633384e-01,  3.102507558495053e+01
s74         ,  1.535377236435878e+00,  1.560216367582312e+00, -3.873736058155839e-01,  7.132959133299844e+00
s75         ,  2.223324131252060e-01,  1.413084577895560e-01, -3.395432434283051e-01,  2.452497818999154e+01
s76         , -5.720277382811452e-01, -4.457583889292245e-01, -7.561702016098139e-02,  3.844876114373157e+01
s77         , -1.197863875151751e+00, -6.078650269341526e-01, -1.021826166271081e-01,  3.955307059381702e+01
s78         , -1.436625202734528e+00, -7.025048423522935e-01, -7.009693379121262e-02,  4.150940186569686e+01
s79         ,  4.409066269069510e-01,  5.453093942417018e-01, -2.549076449402708e-01,  2.228069310987292e+01
s80         ,  6.309139277294878e-01,  3.402101897012013e-01, -1.480746601209223e-01,  2.754823367357141e+01
s81         , -1.685326208098238e+00, -4.262560486221467e-01, -1.297290907891958e-01,  3.673661207010799e+01
s82         , -1.663665661245249e-01, -1.576815306655632e-01, -6.880852873821222e-02,  3.537294877467535e+01
s83         , -1.321966357459877e+00, -6.065201242247089e-01, -5.617344959862618e-02,  4.080575476881359e+01
s84         ,  1.425519064192979e+00, -1.069006440239679e-01, -7.499639141137879e-02,  3.462715920804660e+01
s85         , -6.984731689207798e-01, -5.378977003852250e-01, -1.975968168101563e-01,  3.613103230758019e+01
s86         , -2.932580333118892e-01, -3.554987346963085e-01, -3.283882660809846e-01,  3.046040150559448e+01
s87         ,  3.346071912195332e-02, -1.903478591681056e-01, -1.336754080530477e-01,  3.395540476776370e+01
s88         , -7.344698336486584e-02,  2.337719334807087e-02, -6.171378566864487e-02,  3.351736572302669e+01
s89         ,  2.903456543575506e-01,  1.453694077472600e-01, -2.329336964751568e-01,  2.741691807060377e+01
