# c0 + a0 * (SBI / RBI) + a1 * (face-area-count - rho)
# Property Label: $E$; Unit of the Property: Unitless
# RMSE: 0.694483251740532; Max AE: 2.38320647224608
# Coefficients
# Task   a0                      a1                      c0
# all , -3.808575439011724e+00, -8.715039835061415e-02,  3.068682317383163e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         5|6|div; (SBI / RBI); $\left(\frac{ SBI }{ RBI } \right)$; (SBI ./ RBI); (newdata$SBI / newdata$RBI); SBI,RBI
# 1;  1; Unitless;                                         34|0|sub; (face-area-count - rho); $\left(face-area-count - rho\right)$; (face_sub_area_sub_count - rho); (newdata$face_sub_area_sub_count - newdata$rho); face-area-count,rho
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
s1          ,  6.774572406644882e-01,  3.845328252417510e-01,  1.564883258840960e-01,  2.396032533651024e+01
s2          ,  1.967875961713064e+00,  4.278345601306128e-01,  6.144104922158480e-02,  2.761714153683097e+01
s3          , -1.271285198486554e+00, -7.346799520637846e-01,  6.078048417183867e-02,  4.098518512662278e+01
s4          , -1.922048452937919e-01, -6.703023050037902e-01,  2.282930473001996e-02,  4.190500057624520e+01
s5          ,  2.455067115358116e-01, -9.173842902755558e-02,  4.175591120953398e-02,  3.443920240581875e+01
s6          ,  1.771859120156342e-01,  3.872044540961639e-01,  1.552696566258131e-01,  2.398292724066951e+01
s7          , -1.787554844087500e-01,  9.226951618014834e-02,  2.485611752559967e-01,  2.329018400885867e+01
s8          ,  1.258527874893824e+00, -2.411137594756498e-01,  1.459186697390555e-02,  3.734029806267359e+01
s9          ,  1.207996528852184e+00,  1.278583058843932e+00,  9.058453379737527e-02,  1.658169389140878e+01
s10         , -3.778119871449526e-01,  3.105294569990433e-01,  1.840420022469098e-02,  3.084391036997210e+01
s11         ,  2.051916464504999e-01, -9.480370537765306e-01,  1.436394038059001e-01,  3.981230070563188e+01
s12         , -9.030892502610830e-01, -9.221878819263520e-01,  1.498331701538028e-01,  3.924502162058533e+01
s13         , -1.915336013610817e+00, -3.693346910508657e-01,  1.623118402970565e-02,  3.873991838809099e+01
s14         , -4.972857440368104e-01, -6.709096750009347e-01,  1.968949979583515e-02,  4.204918298034870e+01
s15         ,  9.892906044607527e-01,  2.131373683107114e-01,  1.557876064322299e-01,  2.595761052532577e+01
s16         ,  7.196956197004112e-01,  8.128231834263300e-01,  1.526146764854170e-01,  1.921522628874997e+01
s17         , -8.233048349290433e-01, -1.002220230527504e+00,  1.802457811196824e-01,  3.883427909688849e+01
s18         ,  6.436893120625885e-01, -3.948950685469983e-01,  1.277545828012626e-01,  3.415950444282856e+01
s19         ,  6.782210382119218e-01,  1.294693734894652e+00,  1.458329922364571e-01,  1.398241032882859e+01
s20         ,  1.358387811126361e-01, -7.871616131638119e-01,  1.932018865015732e-02,  4.339924551303280e+01
s21         ,  1.192439177417436e+00,  4.020141371921824e-01,  2.466234440762989e-01,  1.982072625127977e+01
s22         , -1.675888320916539e+00, -1.159288202393637e+00,  1.168523417218950e-02,  4.800283765863036e+01
s23         ,  1.682267394333138e+00,  1.250755177776327e+00,  8.449597681069053e-02,  1.716707973739046e+01
s24         , -5.344901610254715e-02,  6.138427253441758e-02,  6.309264325936483e-02,  3.174976828237643e+01
s25         ,  7.630444568978922e-01,  1.327226636604903e+00,  3.125912742285646e-01,  6.321580184700185e+00
s26         , -7.690353008448225e-01, -1.213539944669853e+00,  2.854967680698260e-02,  4.788834868412060e+01
s27         ,  1.318355805735755e-01,  1.354618291815286e-01,  2.744611801605310e-02,  3.245756681282620e+01
s28         , -1.557515501210242e+00, -8.048596138162201e-01,  3.557993652964780e-02,  4.289174954510840e+01
s29         ,  1.315402392066626e+00,  1.714918819233493e+00,  1.933267254901162e-01,  7.085040245706457e+00
s30         , -1.602536800620832e+00, -4.271106401143911e-01,  2.372887825461163e-02,  3.907520561043703e+01
s31         , -6.577868421803238e-01, -7.201316872631924e-02,  1.103018948408573e-01,  3.121732602525696e+01
s32         ,  1.122204297021453e+00,  7.642864909550973e-02,  1.507769404095947e-01,  2.774523538660677e+01
s33         ,  1.732999170998263e+00,  1.172170880515537e+00,  1.611718985579538e-01,  1.471796029434758e+01
s34         ,  1.815120104294484e+00,  8.583792927257841e-01,  5.663153876471738e-02,  2.288707309196802e+01
s35         ,  5.934117724273275e-01,  1.056325934223270e+00,  2.012158756547847e-01,  1.429724435898763e+01
s36         ,  9.702627198604924e-01, -1.126424235888273e-01,  9.713358196578610e-02,  3.225899387267749e+01
s37         ,  1.142962175227537e+00,  8.679059799801170e-02,  7.352795709525552e-02,  3.100220996169908e+01
s38         ,  2.376281988155590e-01,  1.185622500744123e+00,  1.523209031312679e-01,  1.495040976041650e+01
s39         , -9.901628269429662e-01, -4.992328704800062e-01,  4.354737823824014e-01,  2.190902706223331e+01
s40         , -6.175077579414836e-01,  2.530718797045761e-01,  9.673480092968441e-02,  2.808006270854706e+01
s41         , -6.558266813617915e-01, -3.799740037837291e-01,  8.839085479997742e-02,  3.570853537608088e+01
s42         , -1.132806252875512e-01, -4.827385887143101e-01,  1.504789489447888e-02,  4.009287311730237e+01
s43         ,  3.987508132795206e-01, -1.973945670513617e-01,  4.099318644592708e-01,  1.956182055448572e+01
s44         , -1.257042213831158e-02,  2.459661479575437e-01,  4.464135718911251e-03,  3.219393399078349e+01
s45         , -2.453536714432208e-01,  4.890026212069376e-02,  1.947514774951199e-02,  3.379915114125001e+01
s46         ,  4.319604697532172e-01, -2.068200873152213e-01,  4.563840830721419e-02,  3.559002761255975e+01
s47         , -5.858250576994644e-01, -2.040832131863350e-01,  1.505992797553116e-01,  3.097170940861845e+01
s48         , -1.351740028810569e+00, -1.047536723629523e+00,  7.307029727215503e-03,  4.691188731706668e+01
s49         ,  1.400180920836999e+00,  1.246090545120073e-01,  2.894930637868923e-02,  3.251640496489922e+01
s50         ,  6.339509690024701e-01, -2.411610631744803e-01,  2.146677852774903e-02,  3.704039908246048e+01
s51         ,  9.663578673416964e-01,  1.060627241686459e+00,  1.194076914730058e-01,  1.782300372827359e+01
s52         ,  1.470345916377529e-01,  1.110882417466064e-02,  6.586818307194747e-02,  3.220535536345688e+01
s53         , -1.879048126514940e+00, -3.848078697386033e-01,  2.145555780968318e-01,  3.025045360633893e+01
s54         ,  2.462378298792408e+00,  1.613662009565695e+00,  1.270348760022682e-01,  1.114393528380797e+01
s55         ,  2.147693442064033e-01, -3.506075851878183e-01,  2.722175946167758e-02,  3.804473462920420e+01
s56         ,  1.250856345991485e+00,  1.430369804105916e+00,  2.519018924045563e-01,  7.790270218769401e+00
s57         ,  3.470878239384724e-01,  9.213841390697213e-01,  1.768910123314602e-01,  1.690864805273191e+01
s58         ,  2.650904256602346e+00,  4.438568191043679e-01,  3.156024030931676e-01,  1.632614381911259e+01
s59         ,  2.436955679659398e-02, -2.647350201765608e-02,  2.836259138597821e-02,  3.427562933727435e+01
s60         , -1.350996154759193e+00, -7.371940090329270e-01,  1.573414684273981e-02,  4.298261066032900e+01
s61         , -1.175408395594881e+00, -5.465571194059144e-01,  1.647871097416823e-02,  4.076262518748720e+01
s62         ,  5.137509822735412e-02,  1.308561194797493e-01,  8.876891731342200e-03,  3.332191178745418e+01
s63         ,  1.630781368412474e+00,  1.115323446455055e+00,  6.789663548711644e-02,  1.944649071828828e+01
s64         , -7.346563779561162e-02,  1.045494751375043e+00,  2.596157113473102e-01,  1.186938400473653e+01
s65         ,  6.477994742971301e-01,  7.528297789221050e-01,  1.065469180647050e-01,  2.191683112603888e+01
s66         ,  1.102507059534665e+00,  6.614904980366973e-01,  5.435203154023017e-02,  2.524587435745725e+01
s67         , -2.689254974131806e-01, -1.718012819642643e-01,  2.229631962974289e-01,  2.743890436971982e+01
s68         ,  1.634793292022643e+00,  1.384027497636111e+00,  7.658562450513204e-02,  1.598354933125347e+01
s69         ,  3.008420412735001e-01,  7.415208642709512e-01,  1.647065340826228e-01,  1.950495034941407e+01
s70         ,  4.428344099007711e-01,  4.949356537653105e-01,  1.657782047756617e-01,  2.228753856949092e+01
s71         , -2.587880550234566e-02, -3.929696809529526e-01,  5.684554023199795e-03,  3.947201631439680e+01
s72         ,  3.320850724266521e-01,  8.210605049536264e-01,  1.631627107692504e-01,  1.865974625943561e+01
s73         , -1.001377721869569e+00, -3.397082121821304e-01,  1.492537126346377e-01,  3.258673005736966e+01
s74         ,  1.535377236435878e+00,  1.514600345905063e+00,  2.296036169830307e-01,  7.798234867431152e+00
s75         ,  2.223324131252060e-01, -5.928715487436120e-02,  2.412778063074605e-01,  2.534750026372926e+01
s76         , -5.720277382811452e-01, -4.323183138252529e-01,  1.169061037761077e-02,  3.966104716758112e+01
s77         , -1.197863875151751e+00, -5.181647777883880e-01,  2.255117451175510e-02,  4.017146578860751e+01
s78         , -1.436625202734528e+00, -6.155157512380565e-01,  1.067770886926103e-02,  4.180739592512899e+01
s79         ,  4.409066269069510e-01,  8.011284517938460e-01,  1.082748855482707e-01,  2.128711779795662e+01
s80         ,  6.309139277294878e-01,  3.232827004886620e-01,  5.039713408297228e-02,  2.929944530553620e+01
s81         , -1.685326208098238e+00, -3.814285931281258e-01,  3.399698688348783e-02,  3.810230227413565e+01
s82         , -1.663665661245249e-01, -9.964357120708955e-02,  1.079702974385312e-02,  3.588284902281800e+01
s83         , -1.321966357459877e+00, -5.278307511314946e-01,  6.078952104615737e-03,  4.100223278909324e+01
s84         ,  1.425519064192979e+00, -9.981109820148948e-02,  2.944579227402180e-02,  3.506979832784704e+01
s85         , -6.984731689207798e-01, -4.871281057666259e-01,  8.211453188180910e-02,  3.721234894178693e+01
s86         , -2.932580333118892e-01, -5.461094768734647e-01,  2.381156626772616e-01,  3.107169193703319e+01
s87         ,  3.346071912195332e-02, -1.672485359760660e-01,  4.225495344330943e-02,  3.528382811432998e+01
s88         , -7.344698336486584e-02,  4.475309431101770e-02,  1.210691989721417e-02,  3.416873774150165e+01
s89         ,  2.903456543575506e-01,  4.115850883963739e-01,  8.080045348301436e-02,  2.695756589589719e+01
s90         ,  3.160753830639385e-01,  1.242582614626730e-02,  3.465098021458435e-02,  3.355447220435271e+01
s91         ,  4.911838748491691e-01,  1.468335505831383e+00,  1.583624751077688e-01,  1.144241905106793e+01
s92         , -8.899315452749768e-01, -9.770238626698355e-01,  8.003775444723639e-02,  4.292437470247364e+01
s93         ,  8.806558878772817e-01, -1.559493576175592e-01,  1.865637581118737e-01,  2.884771126268063e+01
s94         ,  2.174850994919374e-01,  4.033579433680909e-01,  6.078607181601763e-02,  2.792661972778502e+01
s95         , -7.665153489308597e-01, -9.380173477318015e-01,  2.720385238003489e-02,  4.478570167162474e+01
s96         ,  5.275622810365228e-01,  5.607826892568823e-02,  2.261714347824278e-02,  3.357947877108025e+01
s97         ,  2.030602111680013e+00,  1.536839031961870e+00,  6.629886319138709e-02,  1.467966971635950e+01
s98         , -9.469867286116609e-01, -4.922951541519964e-01,  9.612591359622738e-02,  3.665932386340596e+01
s99         , -9.198822372946849e-01, -1.103823381353401e+00,  6.889177344867291e-02,  4.486641778387732e+01
s100        , -4.843791818667553e-01, -3.290280367461436e-01,  1.207479578111631e-01,  3.370991645820956e+01
s101        , -2.042448773263304e-01,  1.399334200332909e-01,  1.830312526245842e-01,  2.560700359686427e+01
s102        , -5.164158759195604e-01, -1.144559158206380e+00,  2.816870328468602e-02,  4.711348337837797e+01
