# c0 + a0 * (SBI / RBI) + a1 * (pockets-per-volume + face-area-count)
# Property Label: $E$; Unit of the Property: Unitless
# RMSE: 0.697502332685053; Max AE: 2.47669106054934
# Coefficients
# Task   a0                      a1                      c0
# all , -3.229710868319299e+00, -8.452883523417032e-02,  2.929289313838354e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         5|6|div; (SBI / RBI); $\left(\frac{ SBI }{ RBI } \right)$; (SBI ./ RBI); (newdata$SBI / newdata$RBI); SBI,RBI
# 1;  1; Unitless;                                         36|34|add; (pockets-per-volume + face-area-count); $\left(pockets-per-volume + face-area-count\right)$; (pockets_sub_per_sub_volume + face_sub_area_sub_count); (newdata$pockets_sub_per_sub_volume + newdata$face_sub_area_sub_count); pockets-per-volume,face-area-count
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
s1          ,  6.774572406644882e-01,  1.722080121513123e-01,  1.564883258840960e-01,  2.663788337525630e+01
s2          ,  1.967875961713064e+00,  3.092247534772223e-01,  6.144104922158480e-02,  2.864854021968480e+01
s3          , -1.271285198486554e+00, -6.240340227791434e-01,  6.078048417183867e-02,  3.971449431434900e+01
s4          , -1.922048452937919e-01, -6.546883325806911e-01,  2.282930473001996e-02,  4.152719699841941e+01
s5          ,  2.455067115358116e-01, -1.920832860550230e-01,  4.175591120953398e-02,  3.533129341448784e+01
s6          ,  1.771859120156342e-01,  2.993358494318050e-01,  1.552696566258131e-01,  2.518048853962593e+01
s7          , -1.787554844087500e-01,  4.081646162032548e-03,  2.485611752559967e-01,  2.510891026275293e+01
s8          ,  1.258527874893824e+00, -3.832527672907426e-01,  1.459186697390555e-02,  3.863077683169563e+01
s9          ,  1.207996528852184e+00,  1.234204561505149e+00,  9.058453379737527e-02,  1.659224210461170e+01
s10         , -3.778119871449526e-01,  3.225079828743826e-01,  1.840420022469098e-02,  3.013576465851754e+01
s11         ,  2.051916464504999e-01, -8.473895840057994e-01,  1.436394038059001e-01,  3.919094762250037e+01
s12         , -9.030892502610830e-01, -7.985982747850828e-01,  1.498331701538028e-01,  3.837707879868677e+01
s13         , -1.915336013610817e+00, -4.013543170425247e-01,  1.623118402970565e-02,  3.878228761029047e+01
s14         , -4.972857440368104e-01, -7.542089659067810e-01,  1.968949979583515e-02,  4.282452110258616e+01
s15         ,  9.892906044607527e-01,  2.931337908434539e-01,  1.557876064322299e-01,  2.523407061557405e+01
s16         ,  7.196956197004112e-01,  7.899361318466576e-01,  1.526146764854170e-01,  1.947799112717624e+01
s17         , -8.233048349290433e-01, -8.462547336410089e-01,  1.802457811196824e-01,  3.777885120955160e+01
s18         ,  6.436893120625885e-01, -3.525534310310920e-01,  1.277545828012626e-01,  3.394382960997833e+01
s19         ,  6.782210382119218e-01,  1.289970201992935e+00,  1.458329922364571e-01,  1.382156406891458e+01
s20         ,  1.358387811126361e-01, -7.613352667090196e-01,  1.932018865015732e-02,  4.292293803924665e+01
s21         ,  1.192439177417436e+00,  5.130631292191241e-01,  2.466234440762989e-01,  1.916155312464206e+01
s22         , -1.675888320916539e+00, -1.172669219276498e+00,  1.168523417218950e-02,  4.808085423217966e+01
s23         ,  1.682267394333138e+00,  1.205367392847733e+00,  8.449597681069053e-02,  1.716602792805679e+01
s24         , -5.344901610254715e-02, -1.406934650497282e-02,  6.309264325936483e-02,  3.241009599988077e+01
s25         ,  7.630444568978922e-01,  1.424947671287127e+00,  3.125912742285646e-01,  5.853176675897799e+00
s26         , -7.690353008448225e-01, -1.267179979598961e+00,  2.854967680698260e-02,  4.855457999151128e+01
s27         ,  1.318355805735755e-01,  2.157129521169763e-01,  2.744611801605310e-02,  3.105370290268286e+01
s28         , -1.557515501210242e+00, -7.525969726053785e-01,  3.557993652964780e-02,  4.219830273134875e+01
s29         ,  1.315402392066626e+00,  1.764982900904170e+00,  1.933267254901162e-01,  6.387370475251926e+00
s30         , -1.602536800620832e+00, -3.886514983704399e-01,  2.372887825461163e-02,  3.834553483716489e+01
s31         , -6.577868421803238e-01,  2.261187277346366e-02,  1.103018948408573e-01,  3.017235722503085e+01
s32         ,  1.122204297021453e+00,  2.141656872951723e-01,  1.507769404095947e-01,  2.635973508019736e+01
s33         ,  1.732999170998263e+00,  1.255133645903385e+00,  1.611718985579538e-01,  1.364761542376425e+01
s34         ,  1.815120104294484e+00,  9.350336322691442e-01,  5.663153876471738e-02,  2.142880805482727e+01
s35         ,  5.934117724273275e-01,  1.047881201579858e+00,  2.012158756547847e-01,  1.456945441595308e+01
s36         ,  9.702627198604924e-01, -2.461445857219462e-01,  9.713358196578610e-02,  3.385496211179049e+01
s37         ,  1.142962175227537e+00,  2.134621508385059e-02,  7.352795709525552e-02,  3.159240334024050e+01
s38         ,  2.376281988155590e-01,  1.292309626390538e+00,  1.523209031312679e-01,  1.354599537495671e+01
s39         , -9.901628269429662e-01, -4.059918169290866e-01,  4.354737823824014e-01,  2.281856502098313e+01
s40         , -6.175077579414836e-01,  3.722041371374751e-01,  9.673480092968441e-02,  2.655495882056330e+01
s41         , -6.558266813617915e-01, -2.837377280717428e-01,  8.839085479997742e-02,  3.463374515208191e+01
s42         , -1.132806252875512e-01, -4.509469883201516e-01,  1.504789489447888e-02,  3.941419449638512e+01
s43         ,  3.987508132795206e-01, -1.719054509388345e-01,  4.099318644592708e-01,  2.102517279386634e+01
s44         , -1.257042213831158e-02,  2.099890120424566e-01,  4.464135718911251e-03,  3.199952331832727e+01
s45         , -2.453536714432208e-01,  1.032730284607570e-01,  1.947514774951199e-02,  3.268845691975061e+01
s46         ,  4.319604697532172e-01, -3.214359118242127e-01,  4.563840830721419e-02,  3.671322754824214e+01
s47         , -5.858250576994644e-01, -1.714673293986548e-01,  1.505992797553116e-01,  3.092867073594050e+01
s48         , -1.351740028810569e+00, -1.179484219411618e+00,  7.307029727215503e-03,  4.832876176050090e+01
s49         ,  1.400180920836999e+00,  1.616017345229794e-01,  2.894930637868923e-02,  3.163641948295521e+01
s50         ,  6.339509690024701e-01, -2.875733691424025e-01,  2.146677852774903e-02,  3.723618320709463e+01
s51         ,  9.663578673416964e-01,  1.147269189992709e+00,  1.194076914730058e-01,  1.651942560270706e+01
s52         ,  1.470345916377529e-01, -3.432351526166766e-02,  6.586818307194747e-02,  3.254365962497115e+01
s53         , -1.879048126514940e+00, -3.652332537938601e-01,  2.145555780968318e-01,  3.077730904474448e+01
s54         ,  2.462378298792408e+00,  1.639705218234282e+00,  1.270348760022682e-01,  1.040234582066618e+01
s55         ,  2.147693442064033e-01, -2.875924850435823e-01,  2.722175946167758e-02,  3.701652078637559e+01
s56         ,  1.250856345991485e+00,  1.481338594539035e+00,  2.519018924045563e-01,  7.504899811912695e+00
s57         ,  3.470878239384724e-01,  8.932257334367770e-01,  1.768910123314602e-01,  1.732848620602472e+01
s58         ,  2.650904256602346e+00,  4.433420024213703e-01,  3.156024030931676e-01,  1.735079864777800e+01
s59         ,  2.436955679659398e-02,  7.846820547051925e-02,  2.836259138597821e-02,  3.264233005306387e+01
s60         , -1.350996154759193e+00, -7.724391139170468e-01,  1.573414684273981e-02,  4.319131657947904e+01
s61         , -1.175408395594881e+00, -5.424457077091089e-01,  1.647871097416823e-02,  4.044198101331916e+01
s62         ,  5.137509822735412e-02,  1.752400084884140e-01,  8.876891731342200e-03,  3.224200953554143e+01
s63         ,  1.630781368412474e+00,  1.057906150781462e+00,  6.789663548711644e-02,  1.954477021864827e+01
s64         , -7.346563779561162e-02,  1.079895043529876e+00,  2.596157113473102e-01,  1.195935780947528e+01
s65         ,  6.477994742971301e-01,  7.557724657471638e-01,  1.065469180647050e-01,  2.164233191861327e+01
s66         ,  1.102507059534665e+00,  5.830028072285272e-01,  5.435203154023017e-02,  2.568052846836815e+01
s67         , -2.689254974131806e-01, -5.419766740734739e-01,  2.229631962974289e-01,  3.254699206458096e+01
s68         ,  1.634793292022643e+00,  1.328967639299852e+00,  7.658562450513204e-02,  1.600604393718564e+01
s69         ,  3.008420412735001e-01,  5.957146790280203e-01,  1.647065340826228e-01,  2.131367534651878e+01
s70         ,  4.428344099007711e-01,  2.320573768339744e-01,  1.657782047756617e-01,  2.557489714984337e+01
s71         , -2.587880550234566e-02, -3.712922518357407e-01,  5.684554023199795e-03,  3.882961465955464e+01
s72         ,  3.320850724266521e-01,  7.247086974564119e-01,  1.631627107692504e-01,  1.984662667430073e+01
s73         , -1.001377721869569e+00, -1.785948418895802e-01,  1.492537126346377e-01,  3.106440317816374e+01
s74         ,  1.535377236435878e+00,  1.594446976646496e+00,  2.296036169830307e-01,  7.018776946029758e+00
s75         ,  2.223324131252060e-01,  8.312095028110900e-02,  2.412778063074605e-01,  2.445213878217813e+01
s76         , -5.720277382811452e-01, -3.818008068764187e-01,  1.169061037761077e-02,  3.872445207901895e+01
s77         , -1.197863875151751e+00, -4.803271629122583e-01,  2.255117451175510e-02,  3.947508201305198e+01
s78         , -1.436625202734528e+00, -6.365473968517779e-01,  1.067770886926103e-02,  4.177687754153273e+01
s79         ,  4.409066269069510e-01,  6.594029406309196e-01,  1.082748855482707e-01,  2.271638776598131e+01
s80         ,  6.309139277294878e-01,  4.537453580261617e-01,  5.039713408297228e-02,  2.736079087952870e+01
s81         , -1.685326208098238e+00, -3.099345401775748e-01,  3.399698688348783e-02,  3.702196306525193e+01
s82         , -1.663665661245249e-01, -7.481938328294158e-02,  1.079702974385312e-02,  3.512691739554111e+01
s83         , -1.321966357459877e+00, -5.315523236639086e-01,  6.078952104615737e-03,  4.071046726586034e+01
s84         ,  1.425519064192979e+00, -1.090828493833871e-01,  2.944579227402180e-02,  3.481972465058006e+01
s85         , -6.984731689207798e-01, -3.948988632274260e-01,  8.211453188180910e-02,  3.618862098981784e+01
s86         , -2.932580333118892e-01, -4.219816614848755e-01,  2.381156626772616e-01,  3.054846579281356e+01
s87         ,  3.346071912195332e-02, -6.543672891936003e-02,  4.225495344330943e-02,  3.381396126497314e+01
s88         , -7.344698336486584e-02,  7.983573294791046e-02,  1.210691989721417e-02,  3.324725488445475e+01
s89         ,  2.903456543575506e-01,  3.261859118106227e-01,  8.080045348301436e-02,  2.770819321903674e+01
s90         ,  3.160753830639385e-01,  9.174856109527774e-02,  3.465098021458435e-02,  3.224495046921333e+01
s91         ,  4.911838748491691e-01,  1.492483522424078e+00,  1.583624751077688e-01,  1.094704288615001e+01
s92         , -8.899315452749768e-01, -9.450765696377141e-01,  8.003775444723639e-02,  4.277672900667467e+01
s93         ,  8.806558878772817e-01, -1.101922716479451e-01,  1.865637581118737e-01,  2.882962460711596e+01
s94         ,  2.174850994919374e-01,  4.053682922735451e-01,  6.078607181601763e-02,  2.753616062885555e+01
s95         , -7.665153489308597e-01, -9.611339962102075e-01,  2.720385238003489e-02,  4.498539133802525e+01
s96         ,  5.275622810365228e-01,  1.791710648343110e-01,  2.261714347824278e-02,  3.167051110411887e+01
s97         ,  2.030602111680013e+00,  1.497037124503144e+00,  6.629886319138709e-02,  1.441077505627750e+01
s98         , -9.469867286116609e-01, -4.046045786302872e-01,  9.612591359622738e-02,  3.576808998046594e+01
s99         , -9.198822372946849e-01, -1.171456624885396e+00,  6.889177344867291e-02,  4.588073902278285e+01
s100        , -4.843791818667553e-01, -1.835899740803315e-01,  1.207479578111631e-01,  3.221265605642576e+01
s101        , -2.042448773263304e-01, -1.936157528864801e-01,  1.830312526245842e-01,  2.995151931133752e+01
s102        , -5.164158759195604e-01, -1.200799791081194e+00,  2.816870328468602e-02,  4.778383999477786e+01
s103        ,  1.172650799800637e-01,  1.030847025069059e+00,  6.350950365888672e-02,  2.003251257242104e+01
s104        , -1.768695959917696e+00, -1.174904606640053e+00,  3.600186719315020e-02,  4.717820005063560e+01
s105        ,  5.247327840013729e-01, -5.078692276778707e-03,  1.207212645764399e-01,  3.010183706928408e+01
s106        ,  5.297962102782025e-01,  1.231612824399925e+00,  1.726369120492337e-01,  1.348781365745181e+01
s107        ,  1.497385912477808e-01, -4.894123419345999e-01,  3.486209001791099e-03,  4.031100392228280e+01
s108        ,  4.406641357796892e-01,  5.213764498458855e-01,  2.347260502470492e-01,  1.951778447983373e+01
s109        , -6.596772585897818e-01, -2.885973356958309e-01,  3.491408378108594e-02,  3.673449711080097e+01
s110        ,  1.094420195469493e+00, -7.577459186457158e-02,  5.794826175481183e-02,  3.333664502896254e+01
s111        ,  3.915962330096326e-01,  8.887112189366950e-01,  1.427354395882396e-01,  1.868692369879776e+01
s112        ,  8.365523515867515e-01,  3.683623006995098e-01,  3.808204300082780e-01,  1.574595376566878e+01
s113        , -1.291655352083360e-01,  3.108679319687955e-01,  1.144155129555760e-01,  2.660503187986086e+01
s114        ,  1.376602311009741e+00,  6.761593011154472e-01,  1.759348989960826e-01,  1.993297497417171e+01
s115        ,  2.854337653329592e+00,  8.362493615381736e-01,  1.115520530744715e-01,  2.049902934663614e+01
s116        , -4.031277243707178e-01, -6.686171058493287e-01,  4.282514030049490e-01,  2.620145188199989e+01
s117        , -1.548008576871541e+00, -6.866345999695640e-01,  2.059057369889735e-02,  4.199066867909266e+01
s118        , -1.376296935489929e+00, -8.415270771915773e-01,  4.392774818150331e-02,  4.293141453155096e+01
s119        ,  1.159776550977451e-01, -5.414191821708871e-01,  1.095744976994322e-01,  3.687279661744117e+01
s120        , -1.608916416404319e-01,  6.754583421474807e-01,  1.273700742216929e-01,  2.179685137709824e+01
s121        ,  3.197271174130288e-01,  8.020807214716843e-01,  8.280412732307448e-02,  2.200166602624423e+01
s122        , -1.530552753436365e+00, -4.043944413928187e-01,  4.272217444649596e-02,  3.780607499500059e+01
s123        , -1.233881263109963e+00, -1.067708852785449e+00,  6.992386011553192e-02,  4.461393919845897e+01
s124        , -5.427146006639550e-01, -1.742409210005329e-01,  8.201460323068153e-02,  3.358199331103940e+01
s125        ,  9.732454451545894e-01, -3.583306193004479e-01,  6.144935004093206e-03,  3.865868446806643e+01
s126        , -1.840471966312827e-01, -4.293187255684101e-01,  5.654082298553209e-02,  3.757294797814502e+01
s127        , -1.081994746251625e+00, -1.159455755135041e+00,  5.548936066562700e-02,  4.625084998420898e+01
s128        ,  4.539347974729817e-01,  1.063999354017986e+00,  1.972267669903250e-01,  1.453118954668504e+01
s129        , -9.281932508350824e-01, -6.182345407470735e-01,  3.625603378556939e-02,  4.058292461646615e+01
s130        , -7.213314288938638e-01, -4.091191771714628e-01,  5.281327026075386e-01,  1.931521423382157e+01
s131        , -2.205996399193568e-01,  1.317264076707816e-01,  1.338560113680673e-02,  3.258451718950951e+01
s132        , -1.239159936584262e+00, -4.449356244004639e-01,  3.192451042869641e-02,  3.869825002177662e+01
s133        , -3.218370754810609e-01, -4.420760026485850e-01,  2.022157474758008e-01,  3.215786555663066e+01
s134        , -1.004593496203065e+00, -8.181525963315495e-01,  2.180495322044044e-01,  3.600197444749836e+01
s135        ,  9.616883013837800e-01, -5.781809665008186e-03,  9.852220085527724e-02,  3.095834567435846e+01
s136        ,  1.177397001560173e+00,  1.065942885957148e+00,  9.948110515808896e-02,  1.824290157421150e+01
s137        , -1.190015539084228e+00, -4.953870045530291e-01,  1.244459677959036e-01,  3.576000799382255e+01
s138        ,  2.514478411301381e-01, -8.472365839017426e-02,  9.141174388023464e-02,  3.216392917274533e+01
s139        , -1.987650229798378e-01,  2.517336078066132e-01,  2.101841435838466e-02,  3.087316059086877e+01
