# c0 + a0 * (Ge * S) + a1 * (poly_dist_avg_fixed - SBI) + a2 * (pockets-per-volume + face-area-count)
# Property Label: $E$; Unit of the Property: Unitless
# RMSE: 0.657470690342534; Max AE: 2.28661813390137
# Coefficients
# Task   a0                      a1                      a2                      c0
# all ,  9.091395973310664e+00,  2.650536927579653e+00, -7.452965003271553e-02,  2.252351806591994e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         18|10|mult; (Ge * S); $\left(Ge S\right)$; (Ge .* S); (newdata$Ge * newdata$S); Ge,S
# 1;  1; Unitless;                                         30|5|sub; (poly_dist_avg_fixed - SBI); $\left(poly_{dist, avg, fixed} - SBI\right)$; (poly_dist_avg_fixed - SBI); (newdata$poly_dist_avg_fixed - newdata$SBI); poly_dist_avg_fixed,SBI
# 2;  1; Unitless;                                         36|34|add; (pockets-per-volume + face-area-count); $\left(pockets-per-volume + face-area-count\right)$; (pockets_sub_per_sub_volume + face_sub_area_sub_count); (newdata$pockets_sub_per_sub_volume + newdata$face_sub_area_sub_count); pockets-per-volume,face-area-count
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
s1          ,  6.774572406644882e-01,  4.371424790031646e-01,  0.000000000000000e+00,  6.417673197130047e-02,  2.663788337525630e+01
s2          ,  1.967875961713064e+00,  5.842476089239748e-01,  0.000000000000000e+00,  1.762139112243052e-01,  2.864854021968480e+01
s3          , -1.271285198486554e+00, -9.468306427205415e-01,  0.000000000000000e+00, -9.027419476714434e-02,  3.971449431434900e+01
s4          , -1.922048452937919e-01, -7.917645487896010e-01,  0.000000000000000e+00,  1.920029984140204e-02,  4.152719699841941e+01
s5          ,  2.455067115358116e-01,  1.447965351302565e-01,  0.000000000000000e+00,  1.983272356832427e-01,  3.533129341448784e+01
s6          ,  1.771859120156342e-01,  5.202336320370675e-01,  0.000000000000000e+00,  5.454548565305867e-02,  2.518048853962593e+01
s7          , -1.787554844087500e-01,  2.807077673631255e-01,  0.000000000000000e+00, -3.783601111138252e-02,  2.510891026275293e+01
s8          ,  1.258527874893824e+00,  1.069389069080619e+00,  1.822916666666667e-01,  1.467242940128557e-02,  3.863077683169563e+01
s9          ,  1.207996528852184e+00,  1.358199792907288e+00,  0.000000000000000e+00,  1.292047585025767e-01,  1.659224210461170e+01
s10         , -3.778119871449526e-01,  4.636522177302802e-01,  5.078125000000000e-02, -1.646476650975018e-03,  3.013576465851754e+01
s11         ,  2.051916464504999e-01, -1.125611073414198e+00,  0.000000000000000e+00, -1.724462936149827e-01,  3.919094762250037e+01
s12         , -9.030892502610830e-01, -9.815278680351105e-01,  0.000000000000000e+00, -1.409712193009257e-01,  3.837707879868677e+01
s13         , -1.915336013610817e+00, -6.238301031743156e-01,  0.000000000000000e+00,  5.375670547540484e-03,  3.878228761029047e+01
s14         , -4.972857440368104e-01, -6.609001682208682e-02,  9.989258861439311e-02, -1.317028649891022e-02,  4.282452110258616e+01
s15         ,  9.892906044607527e-01,  2.224587076406856e-01,  3.961632479540865e-02, -1.921777951832675e-01,  2.523407061557405e+01
s16         ,  7.196956197004112e-01,  9.405575679231644e-01,  0.000000000000000e+00,  5.277935271314915e-02,  1.947799112717624e+01
s17         , -8.233048349290433e-01, -1.055499296279345e+00,  0.000000000000000e+00, -1.857006927403524e-01,  3.777885120955160e+01
s18         ,  6.436893120625885e-01, -5.008978846915224e-01,  0.000000000000000e+00, -8.429535440795718e-02,  3.394382960997833e+01
s19         ,  6.782210382119218e-01,  1.186660010229670e+00,  0.000000000000000e+00, -1.342198368609421e-02,  1.382156406891458e+01
s20         ,  1.358387811126361e-01, -9.058087003661055e-01,  0.000000000000000e+00,  1.541991098392556e-02,  4.292293803924665e+01
s21         ,  1.192439177417436e+00,  3.155425400050471e-01,  0.000000000000000e+00, -1.919254219138963e-01,  1.916155312464206e+01
