# c0 + a0 * (Ge * S) + a1 * (poly_dist_avg_fixed - SBI) + a2 * (paths-per-volume + face-area-count)
# Property Label: $E$; Unit of the Property: Unitless
# RMSE: 0.659726531460864; Max AE: 2.36067399617985
# Coefficients
# Task   a0                      a1                      a2                      c0
# all ,  9.119057824452275e+00,  2.636184771456681e+00, -7.491899369631662e-02,  2.263669394271222e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         18|10|mult; (Ge * S); $\left(Ge S\right)$; (Ge .* S); (newdata$Ge * newdata$S); Ge,S
# 1;  1; Unitless;                                         30|5|sub; (poly_dist_avg_fixed - SBI); $\left(poly_{dist, avg, fixed} - SBI\right)$; (poly_dist_avg_fixed - SBI); (newdata$poly_dist_avg_fixed - newdata$SBI); poly_dist_avg_fixed,SBI
# 2;  1; Unitless;                                         38|34|add; (paths-per-volume + face-area-count); $\left(paths-per-volume + face-area-count\right)$; (paths_sub_per_sub_volume + face_sub_area_sub_count); (newdata$paths_sub_per_sub_volume + newdata$face_sub_area_sub_count); paths-per-volume,face-area-count
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
s1          ,  6.774572406644882e-01,  4.350935828646409e-01,  0.000000000000000e+00,  6.417673197130047e-02,  2.666556818700837e+01
s2          ,  1.967875961713064e+00,  5.848854608224570e-01,  0.000000000000000e+00,  1.762139112243052e-01,  2.860845103479379e+01
s3          , -1.271285198486554e+00, -9.342899610409381e-01,  0.000000000000000e+00, -9.027419476714434e-02,  3.950907175568520e+01
s4          , -1.922048452937919e-01, -7.683719127468307e-01,  0.000000000000000e+00,  1.920029984140204e-02,  4.114653298151438e+01
s5          ,  2.455067115358116e-01,  1.480006261769184e-01,  0.000000000000000e+00,  1.983272356832427e-01,  3.521798513822390e+01
s6          ,  1.771859120156342e-01,  5.525349452084773e-01,  0.000000000000000e+00,  5.454548565305867e-02,  2.475909427203431e+01
s7          , -1.787554844087500e-01,  3.048503603532535e-01,  0.000000000000000e+00, -3.783601111138252e-02,  2.481448596532441e+01
s8          ,  1.258527874893824e+00,  1.075666995992469e+00,  1.822916666666667e-01,  1.467242940128557e-02,  3.856178173169786e+01
s9          ,  1.207996528852184e+00,  1.348844861999764e+00,  0.000000000000000e+00,  1.292047585025767e-01,  1.675719449896205e+01
s10         , -3.778119871449526e-01,  4.478305751274405e-01,  5.078125000000000e-02, -1.646476650975018e-03,  3.036046595657516e+01
s11         ,  2.051916464504999e-01, -1.092757238297168e+00,  0.000000000000000e+00, -1.724462936149827e-01,  3.873285259555073e+01
s12         , -9.030892502610830e-01, -9.739423325364727e-01,  0.000000000000000e+00, -1.409712193009257e-01,  3.825445863421709e+01
s13         , -1.915336013610817e+00, -6.036141549235885e-01,  0.000000000000000e+00,  5.375670547540484e-03,  3.846093851325010e+01
s14         , -4.972857440368104e-01, -6.070941015132592e-02,  9.989258861439311e-02, -1.317028649891022e-02,  4.272061902620870e+01
s15         ,  9.892906044607527e-01,  2.096752613724679e-01,  3.961632479540865e-02, -1.921777951832675e-01,  2.547606979563522e+01
s16         ,  7.196956197004112e-01,  9.420569356061621e-01,  0.000000000000000e+00,  5.277935271314915e-02,  1.949770695607491e+01
s17         , -8.233048349290433e-01, -1.047579352742503e+00,  0.000000000000000e+00, -1.857006927403524e-01,  3.766344513649523e+01
s18         ,  6.436893120625885e-01, -5.047724159882319e-01,  0.000000000000000e+00, -8.429535440795718e-02,  3.398635719782551e+01
s19         ,  6.782210382119218e-01,  1.187078515206388e+00,  0.000000000000000e+00, -1.342198368609421e-02,  1.389778477657268e+01
s20         ,  1.358387811126361e-01, -8.889924698071376e-01,  0.000000000000000e+00,  1.541991098392556e-02,  4.262352497065642e+01
s21         ,  1.192439177417436e+00,  3.171723692457400e-01,  0.000000000000000e+00, -1.919254219138963e-01,  1.922804991695310e+01
s22         , -1.675888320916539e+00, -1.293366854305986e+00,  0.000000000000000e+00,  1.612057280721170e-02,  4.804566745396247e+01
s23         ,  1.682267394333138e+00,  1.238689703587259e+00,  0.000000000000000e+00,  9.352393369827960e-02,  1.697201200566322e+01
s24         , -5.344901610254715e-02,  1.840000734141123e-02,  0.000000000000000e+00,  6.687921798360624e-02,  3.232258261130625e+01
s25         ,  7.630444568978922e-01,  1.579917942246105e+00,  0.000000000000000e+00, -8.905669092553886e-02,  5.992893623622729e+00
s26         , -7.690353008448225e-01, -1.457433375403511e+00,  0.000000000000000e+00, -3.523633035661504e-02,  4.842848406231314e+01
s27         ,  1.318355805735755e-01, -3.109497842258602e-02,  0.000000000000000e+00,  1.691170850964692e-02,  3.122501578983792e+01
s28         , -1.557515501210242e+00, -9.727466731005592e-01,  0.000000000000000e+00, -4.265692276589221e-02,  4.169789772994137e+01
s29         ,  1.315402392066626e+00,  1.750216244980189e+00,  0.000000000000000e+00, -7.845193593381650e-03,  6.577394397587300e+00
s30         , -1.602536800620832e+00, -6.378048336730360e-01,  0.000000000000000e+00, -1.619826925130835e-02,  3.815818200666189e+01
s31         , -6.577868421803238e-01, -3.296987229271597e-01,  0.000000000000000e+00, -1.207052165515109e-01,  3.036835855954332e+01
s32         ,  1.122204297021453e+00, -1.958944507743090e-01,  0.000000000000000e+00, -1.792878633159145e-01,  2.652101706169604e+01
s33         ,  1.732999170998263e+00,  9.863055733741024e-01,  0.000000000000000e+00, -9.568277274339740e-02,  1.368313029744586e+01
s34         ,  1.815120104294484e+00,  6.624842280175847e-01,  1.962809917355372e-02, -5.765245815444058e-02,  2.173270521995317e+01
s35         ,  5.934117724273275e-01,  1.169039998862128e+00,  0.000000000000000e+00,  5.677885583507125e-04,  1.463081839303878e+01
s36         ,  9.702627198604924e-01,  1.922234716264279e-01,  0.000000000000000e+00,  1.629377962925679e-01,  3.338245665796941e+01
s37         ,  1.142962175227537e+00,  3.329367203514413e-01,  0.000000000000000e+00,  1.583645380015084e-01,  3.134333153027361e+01
s38         ,  2.376281988155590e-01,  8.623686345414234e-01,  0.000000000000000e+00, -1.419888531000411e-01,  1.370803125885236e+01
s39         , -9.901628269429662e-01, -1.570429981590595e-01,  0.000000000000000e+00, -2.723013418260190e-01,  2.272955972638795e+01
s40         , -6.175077579414836e-01,  8.728005743936107e-02,  7.384563150746943e-03, -9.260031202555204e-02,  2.669040204842281e+01
s41         , -6.558266813617915e-01, -5.804639312185933e-01,  0.000000000000000e+00, -9.025294777910879e-02,  3.478703797784176e+01
s42         , -1.132806252875512e-01, -5.637720189374624e-01,  0.000000000000000e+00,  4.224146301611585e-02,  3.922633727100242e+01
s43         ,  3.987508132795206e-01,  2.943409770166669e-01,  0.000000000000000e+00, -1.515331048154459e-01,  2.095408756198643e+01
s44         , -1.257042213831158e-02,  1.823106173740285e-01,  2.637119113573407e-02,  3.573119977985214e-02,  3.224860771999321e+01
s45         , -2.453536714432208e-01, -2.407436194639119e-01,  0.000000000000000e+00, -1.454166799769833e-02,  3.291659922721663e+01
s46         ,  4.319604697532172e-01,  7.074568415489826e-01,  1.367166474432911e-01, -2.259393293949527e-02,  3.661792089067173e+01
s47         , -5.858250576994644e-01, -6.846646478664331e-02,  4.966974241156713e-02, -1.818849580632207e-01,  3.077450245764113e+01
s48         , -1.351740028810569e+00, -6.513372502955468e-01,  7.742878013148284e-02,  5.549921803268201e-04,  4.835285487790421e+01
s49         ,  1.400180920836999e+00,  3.230802310773337e-01,  0.000000000000000e+00,  1.614930442366636e-01,  3.158497665756956e+01
s50         ,  6.339509690024701e-01,  5.860300749417418e-01,  1.140992751502213e-01,  2.557466259082548e-02,  3.718064813444586e+01
s51         ,  9.663578673416964e-01,  1.178585532714782e+00,  0.000000000000000e+00,  6.292220179653368e-02,  1.669748017158018e+01
s52         ,  1.470345916377529e-01,  2.202196211360117e-01,  0.000000000000000e+00,  1.294351048128195e-01,  3.182990731296897e+01
