# c0 + a0 * (Ge * S) + a1 * (poly_dist_avg - SBI) + a2 * (paths-per-volume + face-area-count)
# Property Label: $E$; Unit of the Property: Unitless
# RMSE: 0.660297441607682; Max AE: 2.38070595965708
# Coefficients
# Task   a0                      a1                      a2                      c0
# all ,  8.825776286884683e+00,  2.642369757532989e+00, -7.188506973721831e-02,  2.172373436384253e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         18|10|mult; (Ge * S); $\left(Ge S\right)$; (Ge .* S); (newdata$Ge * newdata$S); Ge,S
# 1;  1; Unitless;                                         29|5|sub; (poly_dist_avg - SBI); $\left(poly_{dist, avg} - SBI\right)$; (poly_dist_avg - SBI); (newdata$poly_dist_avg - newdata$SBI); poly_dist_avg,SBI
# 2;  1; Unitless;                                         38|34|add; (paths-per-volume + face-area-count); $\left(paths-per-volume + face-area-count\right)$; (paths_sub_per_sub_volume + face_sub_area_sub_count); (newdata$paths_sub_per_sub_volume + newdata$face_sub_area_sub_count); paths-per-volume,face-area-count
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
s1          ,  6.774572406644882e-01,  4.250958633768716e-01,  0.000000000000000e+00,  6.417673197130047e-02,  2.666556818700837e+01
s2          ,  1.967875961713064e+00,  5.814752485500132e-01,  0.000000000000000e+00,  1.762139112243052e-01,  2.860845103479379e+01
s3          , -1.271285198486554e+00, -9.151674056842805e-01,  0.000000000000000e+00, -9.363884935216206e-02,  3.950907175568520e+01
s4          , -1.922048452937919e-01, -7.347136648001746e-01,  0.000000000000000e+00,  1.920029984140204e-02,  4.114653298151438e+01
s5          ,  2.455067115358116e-01,  6.357911173267716e-02,  0.000000000000000e+00,  1.600279415129083e-01,  3.521798513822390e+01
s6          ,  1.771859120156342e-01,  5.366935597082962e-01,  0.000000000000000e+00,  5.454548565305867e-02,  2.475909427203431e+01
s7          , -1.787554844087500e-01,  2.886056507672834e-01,  0.000000000000000e+00, -3.783601111138252e-02,  2.481448596532441e+01
s8          ,  1.258527874893824e+00,  1.047992520092611e+00,  1.822916666666667e-01,  1.467242940128557e-02,  3.856178173169786e+01
s9          ,  1.207996528852184e+00,  1.309188087622797e+00,  0.000000000000000e+00,  1.292047585025767e-01,  1.675719449896205e+01
s10         , -3.778119871449526e-01,  4.337425758007472e-01,  5.078125000000000e-02, -1.646476650975018e-03,  3.036046595657516e+01
s11         ,  2.051916464504999e-01, -1.070023225304254e+00,  0.000000000000000e+00, -1.733606170862432e-01,  3.873285259555073e+01
s12         , -9.030892502610830e-01, -1.178949600472261e+00,  0.000000000000000e+00, -2.275982036434495e-01,  3.825445863421709e+01
s13         , -1.915336013610817e+00, -5.781893015183139e-01,  0.000000000000000e+00,  5.375670547540484e-03,  3.846093851325010e+01
s14         , -4.972857440368104e-01, -5.490986465994308e-02,  9.989258861439311e-02, -1.435766620032257e-02,  4.272061902620870e+01
s15         ,  9.892906044607527e-01,  1.828644083859787e-01,  3.961632479540865e-02, -1.921777951832675e-01,  2.547606979563522e+01
s16         ,  7.196956197004112e-01,  9.102419775623534e-01,  0.000000000000000e+00,  5.277935271314915e-02,  1.949770695607491e+01
s17         , -8.233048349290433e-01, -1.025755838246635e+00,  0.000000000000000e+00, -1.857006927403524e-01,  3.766344513649523e+01
s18         ,  6.436893120625885e-01, -3.844434848617491e-01,  0.000000000000000e+00, -4.303154910176671e-02,  3.398635719782551e+01
s19         ,  6.782210382119218e-01,  1.135052126214405e+00,  0.000000000000000e+00, -1.448627021405524e-02,  1.389778477657268e+01
s20         ,  1.358387811126361e-01, -8.508765221296737e-01,  0.000000000000000e+00,  1.541991098392556e-02,  4.262352497065642e+01
s21         ,  1.192439177417436e+00,  4.971191896020606e-01,  0.000000000000000e+00, -1.109021690684581e-01,  1.922804991695310e+01
s22         , -1.675888320916539e+00, -1.248976692926215e+00,  0.000000000000000e+00,  1.226778579962567e-02,  4.804566745396247e+01
s23         ,  1.682267394333138e+00,  1.199463983786101e+00,  0.000000000000000e+00,  9.352393369827960e-02,  1.697201200566322e+01
s24         , -5.344901610254715e-02, -1.048465227563002e-01,  0.000000000000000e+00,  1.751879948982424e-02,  3.232258261130625e+01
s25         ,  7.630444568978922e-01,  1.506253153514796e+00,  0.000000000000000e+00, -8.905669092553886e-02,  5.992893623622729e+00
s26         , -7.690353008448225e-01, -1.416395471201451e+00,  0.000000000000000e+00, -4.067710553836704e-02,  4.842848406231314e+01
s27         ,  1.318355805735755e-01, -1.153939636990353e-01,  0.000000000000000e+00, -1.633191659192222e-02,  3.122501578983792e+01
s28         , -1.557515501210242e+00, -9.472596267249029e-01,  0.000000000000000e+00, -4.623757767005020e-02,  4.169789772994137e+01
s29         ,  1.315402392066626e+00,  1.678827079131358e+00,  0.000000000000000e+00, -7.845193593381650e-03,  6.577394397587300e+00
s30         , -1.602536800620832e+00, -6.159811564407316e-01,  0.000000000000000e+00, -1.716300987071830e-02,  3.815818200666189e+01
s31         , -6.577868421803238e-01, -4.446260115038578e-01,  0.000000000000000e+00, -1.642343482751850e-01,  3.036835855954332e+01
s32         ,  1.122204297021453e+00, -2.078365525164039e-01,  0.000000000000000e+00, -1.792878633159145e-01,  2.652101706169604e+01
s33         ,  1.732999170998263e+00,  1.264664228736099e+00,  0.000000000000000e+00,  2.872556643172186e-02,  1.368313029744586e+01
s34         ,  1.815120104294484e+00,  6.310105064373526e-01,  1.962809917355372e-02, -5.765245815444058e-02,  2.173270521995317e+01
s35         ,  5.934117724273275e-01,  1.122136343203343e+00,  0.000000000000000e+00,  5.677885583507125e-04,  1.463081839303878e+01
s36         ,  9.702627198604924e-01,  2.032151168090071e-01,  0.000000000000000e+00,  1.629377962925679e-01,  3.338245665796941e+01
s37         ,  1.142962175227537e+00,  3.377135294146507e-01,  0.000000000000000e+00,  1.583645380015084e-01,  3.134333153027361e+01
s38         ,  2.376281988155590e-01,  7.870862876209618e-01,  0.000000000000000e+00, -1.513355065545662e-01,  1.370803125885236e+01
s39         , -9.901628269429662e-01,  1.180338971388770e-01,  0.000000000000000e+00, -1.591085244671556e-01,  2.272955972638795e+01
s40         , -6.175077579414836e-01,  7.422226212941219e-02,  7.384563150746943e-03, -9.260031202555204e-02,  2.669040204842281e+01
s41         , -6.558266813617915e-01, -5.677055449628219e-01,  0.000000000000000e+00, -9.060440147565874e-02,  3.478703797784176e+01
s42         , -1.132806252875512e-01, -5.357969894896688e-01,  0.000000000000000e+00,  4.224146301611585e-02,  3.922633727100242e+01
s43         ,  3.987508132795206e-01,  2.656808972816689e-01,  0.000000000000000e+00, -1.515331048154459e-01,  2.095408756198643e+01
s44         , -1.257042213831158e-02,  1.804517946562911e-01,  2.637119113573407e-02,  3.539456940220217e-02,  3.224860771999321e+01
s45         , -2.453536714432208e-01, -4.273801211571737e-01,  0.000000000000000e+00, -8.838336342410151e-02,  3.291659922721663e+01
s46         ,  4.319604697532172e-01,  5.913632502110810e-01,  1.367166474432911e-01, -5.879530444206718e-02,  3.661792089067173e+01
s47         , -5.858250576994644e-01, -8.862860255240879e-02,  4.966974241156713e-02, -1.843605789855209e-01,  3.077450245764113e+01
s48         , -1.351740028810569e+00, -6.336139729283072e-01,  7.742878013148284e-02, -5.112136932826805e-03,  4.835285487790421e+01
s49         ,  1.400180920836999e+00,  2.572295404560254e-01,  0.000000000000000e+00,  1.344794205037129e-01,  3.158497665756956e+01
s50         ,  6.339509690024701e-01,  5.742323443252979e-01,  1.140992751502213e-01,  2.557466259082548e-02,  3.718064813444586e+01
s51         ,  9.663578673416964e-01,  1.138337632918941e+00,  0.000000000000000e+00,  6.292220179653368e-02,  1.669748017158018e+01
s52         ,  1.470345916377529e-01,  2.262937359827903e-01,  0.000000000000000e+00,  1.294351048128195e-01,  3.182990731296897e+01
s53         , -1.879048126514940e+00, -1.557010770608382e-01,  0.000000000000000e+00, -5.185425279744299e-02,  3.047999274485288e+01
s54         ,  2.462378298792408e+00,  1.502734085041785e+00,  0.000000000000000e+00,  3.240651398480088e-02,  1.050662323350208e+01
s55         ,  2.147693442064033e-01, -4.567778535635925e-01,  0.000000000000000e+00,  1.037224488311621e-02,  3.695563774029827e+01
s56         ,  1.250856345991485e+00,  1.470334743169039e+00,  0.000000000000000e+00, -5.572711894520566e-02,  7.717694946503193e+00
s57         ,  3.470878239384724e-01,  9.270977835253769e-01,  0.000000000000000e+00, -1.096863046908764e-02,  1.691995959483742e+01
s58         ,  2.650904256602346e+00,  6.995336745989662e-01,  0.000000000000000e+00, -8.132544466581365e-02,  1.749943167449025e+01
s59         ,  2.436955679659398e-02, -1.891846701088973e-01,  0.000000000000000e+00, -2.302372611462891e-03,  3.276722684341374e+01
s60         , -1.350996154759193e+00, -9.263041755579047e-01,  0.000000000000000e+00, -7.994762449791984e-03,  4.281212363953195e+01
s61         , -1.175408395594881e+00, -6.740307225188786e-01,  0.000000000000000e+00,  1.411277091648948e-02,  4.011535814751848e+01
s62         ,  5.137509822735412e-02, -1.120413893304191e-01,  0.000000000000000e+00,  1.956840461791814e-02,  3.249801098920972e+01
s63         ,  1.630781368412474e+00,  1.177864897845219e+00,  0.000000000000000e+00,  1.617517296053618e-01,  1.978041368360392e+01
s64         , -7.346563779561162e-02,  1.057273818650396e+00,  0.000000000000000e+00, -9.877771180754930e-02,  1.188135982141331e+01
s65         ,  6.477994742971301e-01,  8.233789380894523e-01,  0.000000000000000e+00,  7.921322060326630e-02,  2.167772977768779e+01
s66         ,  1.102507059534665e+00,  4.868797775517757e-01,  0.000000000000000e+00,  6.803725157053883e-02,  2.594799228249747e+01
s67         , -2.689254974131806e-01, -3.844486425570239e-01,  0.000000000000000e+00, -1.988369118045880e-02,  3.483730382195514e+01
s68         ,  1.634793292022643e+00,  1.222835571508962e+00,  0.000000000000000e+00,  8.342343067882602e-02,  1.627561076935173e+01
s69         ,  3.008420412735001e-01,  6.428675998458118e-01,  0.000000000000000e+00, -8.820696908593106e-03,  2.095286683720055e+01
s70         ,  4.428344099007711e-01,  3.830611572704232e-01,  0.000000000000000e+00,  1.424079259842320e-02,  2.541475894059415e+01
s71         , -2.587880550234566e-02, -4.172932026339629e-01,  0.000000000000000e+00,  6.754938472415900e-02,  3.850809494200279e+01
s72         ,  3.320850724266521e-01,  8.279331002104160e-01,  0.000000000000000e+00,  2.275633506458724e-02,  1.953911977654488e+01
s73         , -1.001377721869569e+00, -5.288529272939804e-01,  0.000000000000000e+00, -1.782440327697836e-01,  3.102507558495053e+01
s74         ,  1.535377236435878e+00,  1.593772093505886e+00,  0.000000000000000e+00, -2.492008469316470e-02,  7.132959133299844e+00
s75         ,  2.223324131252060e-01,  1.923471254370313e-02,  0.000000000000000e+00, -1.476549431573559e-01,  2.452497818999154e+01
s76         , -5.720277382811452e-01, -5.455325972588572e-01,  0.000000000000000e+00,  1.740325794775135e-02,  3.844876114373157e+01
s77         , -1.197863875151751e+00, -6.830222965047823e-01,  0.000000000000000e+00, -4.586979129936886e-03,  3.955307059381702e+01
s78         , -1.436625202734528e+00, -7.408171743355911e-01,  0.000000000000000e+00,  2.676220348964975e-02,  4.150940186569686e+01
s79         ,  4.409066269069510e-01,  7.776914239375583e-01,  0.000000000000000e+00,  7.832634511504244e-02,  2.228069310987292e+01
s80         ,  6.309139277294878e-01,  1.163535926321064e-01,  0.000000000000000e+00, -2.865350118939010e-02,  2.754823367357141e+01
s81         , -1.685326208098238e+00, -5.781015171819841e-01,  0.000000000000000e+00, -4.150101729130136e-02,  3.673661207010799e+01
s82         , -1.663665661245249e-01, -3.238889990104794e-01,  0.000000000000000e+00,  1.760709452234012e-02,  3.537294877467535e+01
s83         , -1.321966357459877e+00, -7.318816090728304e-01,  0.000000000000000e+00,  1.100129219085911e-02,  4.080575476881359e+01
s84         ,  1.425519064192979e+00,  1.634358071840900e-01,  2.319177212916512e-02,  1.042824275361353e-01,  3.462715920804660e+01
s85         , -6.984731689207798e-01, -7.381688095495076e-01,  0.000000000000000e+00, -1.185528512550574e-01,  3.613103230758019e+01
s86         , -2.932580333118892e-01, -5.017313233153899e-01,  0.000000000000000e+00, -1.833417415807168e-01,  3.046040150559448e+01
s87         ,  3.346071912195332e-02, -3.086561180073710e-01,  0.000000000000000e+00, -1.519201262087351e-02,  3.395540476776370e+01
s88         , -7.344698336486584e-02, -2.026576244905316e-01,  4.349110043222637e-03, -1.520287137799115e-03,  3.351736572302669e+01
s89         ,  2.903456543575506e-01,  5.428028556785962e-01,  0.000000000000000e+00,  1.291630309521642e-01,  2.741691807060377e+01
s90         ,  3.160753830639385e-01, -9.014175200990016e-02,  0.000000000000000e+00,  2.204977825767912e-02,  3.228457403055110e+01
s91         ,  4.911838748491691e-01,  1.492786468697432e+00,  0.000000000000000e+00,  4.800421880404987e-02,  1.121834988317624e+01
s92         , -8.899315452749768e-01, -1.186258496258671e+00,  0.000000000000000e+00, -1.079011629842426e-01,  4.275598777334729e+01
s93         ,  8.806558878772817e-01, -7.082333247171935e-02,  0.000000000000000e+00, -6.506245175782238e-02,  2.881374006524410e+01
s94         ,  2.174850994919374e-01,  5.543957337185021e-01,  4.095000000000000e-02,  4.320965951230660e-03,  2.769435765513076e+01
s95         , -7.665153489308597e-01, -1.019443392618442e+00,  0.000000000000000e+00,  4.971330122950937e-03,  4.458440303515400e+01
s96         ,  5.275622810365228e-01, -1.018313972606215e-01,  0.000000000000000e+00,  7.120710367779670e-03,  3.189842329923541e+01
s97         ,  2.030602111680013e+00,  1.395461597831599e+00,  0.000000000000000e+00,  9.911978157802448e-02,  1.445116427604790e+01
