# c0 + a0 * (face-area-avg * AAV) + a1 * (Ge * S) + a2 * (poly_dist_avg - SBI) + a3 * (pockets-per-volume + face-area-count)
# Property Label: $E$; Unit of the Property: Unitless
# RMSE: 0.637162294218312; Max AE: 2.49936110043866
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# all , -1.482171338397339e-01,  8.351914239030037e+00,  2.779498325003211e+00, -7.044804843404945e-02,  2.279781979509433e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         32|1|mult; (face-area-avg * AAV); $\left(face-area-avg AAV\right)$; (face_sub_area_sub_avg .* AAV); (newdata$face_sub_area_sub_avg * newdata$AAV); face-area-avg,AAV
# 1;  1; Unitless;                                         18|10|mult; (Ge * S); $\left(Ge S\right)$; (Ge .* S); (newdata$Ge * newdata$S); Ge,S
# 2;  1; Unitless;                                         29|5|sub; (poly_dist_avg - SBI); $\left(poly_{dist, avg} - SBI\right)$; (poly_dist_avg - SBI); (newdata$poly_dist_avg - newdata$SBI); poly_dist_avg,SBI
# 3;  1; Unitless;                                         36|34|add; (pockets-per-volume + face-area-count); $\left(pockets-per-volume + face-area-count\right)$; (pockets_sub_per_sub_volume + face_sub_area_sub_count); (newdata$pockets_sub_per_sub_volume + newdata$face_sub_area_sub_count); pockets-per-volume,face-area-count
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
s1          ,  6.774572406644882e-01,  4.708608198192517e-01,  7.469674904636121e-01,  0.000000000000000e+00,  6.417673197130047e-02,  2.663788337525630e+01
s2          ,  1.967875961713064e+00,  7.461315630676260e-01,  3.510348929352353e-02,  0.000000000000000e+00,  1.762139112243052e-01,  2.864854021968480e+01
s3          , -1.271285198486554e+00, -8.770989766433273e-01,  6.666119474351297e-01,  0.000000000000000e+00, -9.363884935216206e-02,  3.971449431434900e+01
s4          , -1.922048452937919e-01, -7.251482267803921e-01,  8.958979210000165e-01,  0.000000000000000e+00,  1.920029984140204e-02,  4.152719699841941e+01
s5          ,  2.455067115358116e-01,  2.322812301485855e-01,  2.211265974000669e-02,  0.000000000000000e+00,  1.600279415129083e-01,  3.533129341448784e+01
s6          ,  1.771859120156342e-01,  5.204845857777118e-01,  9.242534918831780e-01,  0.000000000000000e+00,  5.454548565305867e-02,  2.518048853962593e+01
s7          , -1.787554844087500e-01,  2.303013485308141e-01,  1.183680797274172e+00,  0.000000000000000e+00, -3.783601111138252e-02,  2.510891026275293e+01
s8          ,  1.258527874893824e+00,  1.033715602669961e+00,  5.928457575268409e-01,  1.822916666666667e-01,  1.467242940128557e-02,  3.863077683169563e+01
s9          ,  1.207996528852184e+00,  1.230500581568291e+00,  1.615971960605617e+00,  0.000000000000000e+00,  1.292047585025767e-01,  1.659224210461170e+01
s10         , -3.778119871449526e-01,  5.719278872014675e-01,  2.963591179383089e-02,  5.078125000000000e-02, -1.646476650975018e-03,  3.013576465851754e+01
s11         ,  2.051916464504999e-01, -1.090124793555698e+00,  8.576974110405740e-01,  0.000000000000000e+00, -1.733606170862432e-01,  3.919094762250037e+01
s12         , -9.030892502610830e-01, -1.068146031903284e+00,  7.913308900895798e-02,  0.000000000000000e+00, -2.275982036434495e-01,  3.837707879868677e+01
s13         , -1.915336013610817e+00, -5.291334275055837e-01,  6.188258804402000e-01,  0.000000000000000e+00,  5.375670547540484e-03,  3.878228761029047e+01
s14         , -4.972857440368104e-01, -2.385129896199563e-01,  1.995573984831050e+00,  9.989258861439311e-02, -1.435766620032257e-02,  4.282452110258616e+01
s15         ,  9.892906044607527e-01,  2.978118099622586e-01,  6.702517781613342e-03,  3.961632479540865e-02, -1.921777951832675e-01,  2.523407061557405e+01
s16         ,  7.196956197004112e-01,  7.791964731069405e-01,  1.856055095732794e+00,  0.000000000000000e+00,  5.277935271314915e-02,  1.947799112717624e+01
s17         , -8.233048349290433e-01, -9.276737604246481e-01,  2.014249968521125e-01,  0.000000000000000e+00, -1.857006927403524e-01,  3.777885120955160e+01
s18         ,  6.436893120625885e-01, -2.419426594329175e-01,  7.314922107821295e-02,  0.000000000000000e+00, -4.303154910176671e-02,  3.394382960997833e+01
s19         ,  6.782210382119218e-01,  9.012512882440933e-01,  2.459661059853024e+00,  0.000000000000000e+00, -1.448627021405524e-02,  1.382156406891458e+01
s20         ,  1.358387811126361e-01, -8.889451234858790e-01,  1.266719285162355e+00,  0.000000000000000e+00,  1.541991098392556e-02,  4.292293803924665e+01
s21         ,  1.192439177417436e+00,  5.203906116253341e-01,  6.830853458020369e-01,  0.000000000000000e+00, -1.109021690684581e-01,  1.916155312464206e+01
s22         , -1.675888320916539e+00, -1.561567066582900e+00,  3.294119754081623e+00,  0.000000000000000e+00,  1.226778579962567e-02,  4.808085423217966e+01
s23         ,  1.682267394333138e+00,  1.103361314470772e+00,  1.531922182831207e+00,  0.000000000000000e+00,  9.352393369827960e-02,  1.716602792805679e+01
s24         , -5.344901610254715e-02,  4.825881584093894e-02, -2.031732207505959e-02,  0.000000000000000e+00,  1.751879948982424e-02,  3.241009599988077e+01
s25         ,  7.630444568978922e-01,  1.237114192482102e+00,  2.582629820832178e+00,  0.000000000000000e+00, -8.905669092553886e-02,  5.853176675897799e+00
s26         , -7.690353008448225e-01, -1.813714738300791e+00,  3.777291826252768e+00,  0.000000000000000e+00, -4.067710553836704e-02,  4.855457999151128e+01
s27         ,  1.318355805735755e-01,  4.687711576369269e-02, -1.095940841493511e-03,  0.000000000000000e+00, -1.633191659192222e-02,  3.105370290268286e+01
s28         , -1.557515501210242e+00, -1.084000185308827e+00,  1.770893915431030e+00,  0.000000000000000e+00, -4.623757767005020e-02,  4.219830273134875e+01
s29         ,  1.315402392066626e+00,  1.418251247332700e+00,  2.629569436548874e+00,  0.000000000000000e+00, -7.845193593381650e-03,  6.387370475251926e+00
s30         , -1.602536800620832e+00, -5.361876222245412e-01,  4.513442364936829e-01,  0.000000000000000e+00, -1.716300987071830e-02,  3.834553483716489e+01
s31         , -6.577868421803238e-01, -3.034837575355358e-01,  8.048718233707189e-03,  0.000000000000000e+00, -1.642343482751850e-01,  3.017235722503085e+01
s32         ,  1.122204297021453e+00, -8.315743111610363e-02,  5.139217720488728e-02,  0.000000000000000e+00, -1.792878633159145e-01,  2.635973508019736e+01
s33         ,  1.732999170998263e+00,  1.093052884699760e+00,  2.058627624918973e+00,  0.000000000000000e+00,  2.872556643172186e-02,  1.364761542376425e+01
s34         ,  1.815120104294484e+00,  7.786036146857871e-01, -3.206142693192686e-02,  1.962809917355372e-02, -5.765245815444058e-02,  2.142880805482727e+01
s35         ,  5.934117724273275e-01,  9.268605107532375e-01,  2.213711716387207e+00,  0.000000000000000e+00,  5.677885583507125e-04,  1.456945441595308e+01
s36         ,  9.702627198604924e-01,  3.850843612400587e-01, -2.525555546130063e-01,  0.000000000000000e+00,  1.629377962925679e-01,  3.385496211179049e+01
s37         ,  1.142962175227537e+00,  4.997894707454877e-01, -3.681547227962610e-02,  0.000000000000000e+00,  1.583645380015084e-01,  3.159240334024050e+01
s38         ,  2.376281988155590e-01,  8.605060147331207e-01,  2.992247817987016e-01,  0.000000000000000e+00, -1.513355065545662e-01,  1.354599537495671e+01
s39         , -9.901628269429662e-01, -2.468166882133138e-03,  1.568542646351758e+00,  0.000000000000000e+00, -1.591085244671556e-01,  2.281856502098313e+01
s40         , -6.175077579414836e-01,  2.173500547186005e-01, -2.712422175699965e-02,  7.384563150746943e-03, -9.260031202555204e-02,  2.655495882056330e+01
s41         , -6.558266813617915e-01, -4.405771787037103e-01,  1.932611932586248e-01,  0.000000000000000e+00, -9.060440147565874e-02,  3.463374515208191e+01
s42         , -1.132806252875512e-01, -4.589708132325772e-01,  5.364412568966466e-01,  0.000000000000000e+00,  4.224146301611585e-02,  3.941419449638512e+01
s43         ,  3.987508132795206e-01,  8.495832978998408e-02,  1.973154113896553e+00,  0.000000000000000e+00, -1.515331048154459e-01,  2.102517279386634e+01
s44         , -1.257042213831158e-02,  2.965012474618680e-01,  3.211898336758949e-01,  2.637119113573407e-02,  3.539456940220217e-02,  3.199952331832727e+01
s45         , -2.453536714432208e-01, -2.774519651631495e-01,  5.893068860485294e-02,  0.000000000000000e+00, -8.838336342410151e-02,  3.268845691975061e+01
s46         ,  4.319604697532172e-01,  6.408496644319239e-01,  2.090267573346895e-01,  1.367166474432911e-01, -5.879530444206718e-02,  3.671322754824214e+01
s47         , -5.858250576994644e-01, -1.048071679393869e-02,  9.314517389899232e-02,  4.966974241156713e-02, -1.843605789855209e-01,  3.092867073594050e+01
s48         , -1.351740028810569e+00, -1.132279757879746e+00,  4.317072708129235e+00,  7.742878013148284e-02, -5.112136932826805e-03,  4.832876176050090e+01
s49         ,  1.400180920836999e+00,  4.267149841658502e-01, -1.262804498771203e-02,  0.000000000000000e+00,  1.344794205037129e-01,  3.163641948295521e+01
s50         ,  6.339509690024701e-01,  6.258619599765938e-01,  3.692938371304909e-01,  1.140992751502213e-01,  2.557466259082548e-02,  3.723618320709463e+01
s51         ,  9.663578673416964e-01,  1.030498312684281e+00,  1.756979909242698e+00,  0.000000000000000e+00,  6.292220179653368e-02,  1.651942560270706e+01
s52         ,  1.470345916377529e-01,  3.726182451790043e-01, -1.734544277094837e-01,  0.000000000000000e+00,  1.294351048128195e-01,  3.254365962497115e+01
s53         , -1.879048126514940e+00, -9.252400273888162e-02,  4.046483267212077e-01,  0.000000000000000e+00, -5.185425279744299e-02,  3.077730904474448e+01
s54         ,  2.462378298792408e+00,  1.248810980781845e+00,  2.619264573590338e+00,  0.000000000000000e+00,  3.240651398480088e-02,  1.040234582066618e+01
s55         ,  2.147693442064033e-01, -3.456848990859651e-01,  3.140990886134467e-01,  0.000000000000000e+00,  1.037224488311621e-02,  3.701652078637559e+01
s56         ,  1.250856345991485e+00,  1.245402335192469e+00,  2.366667442702633e+00,  0.000000000000000e+00, -5.572711894520566e-02,  7.504899811912695e+00
s57         ,  3.470878239384724e-01,  6.950656326766227e-01,  2.249881728560442e+00,  0.000000000000000e+00, -1.096863046908764e-02,  1.732848620602472e+01
s58         ,  2.650904256602346e+00,  5.163984882021309e-01,  2.125325476277564e+00,  0.000000000000000e+00, -8.132544466581365e-02,  1.735079864777800e+01
s59         ,  2.436955679659398e-02, -3.029891170558230e-02,  2.761490330717060e-02,  0.000000000000000e+00, -2.302372611462891e-03,  3.264233005306387e+01
s60         , -1.350996154759193e+00, -1.137370075384386e+00,  2.376153516199675e+00,  0.000000000000000e+00, -7.994762449791984e-03,  4.319131657947904e+01
s61         , -1.175408395594881e+00, -7.001768432482431e-01,  1.147820122267063e+00,  0.000000000000000e+00,  1.411277091648948e-02,  4.044198101331916e+01
s62         ,  5.137509822735412e-02,  4.565612313563250e-02,  1.155706794324085e-01,  0.000000000000000e+00,  1.956840461791814e-02,  3.224200953554143e+01
s63         ,  1.630781368412474e+00,  1.172575641110047e+00,  1.213787341905360e+00,  0.000000000000000e+00,  1.617517296053618e-01,  1.954477021864827e+01
s64         , -7.346563779561162e-02,  8.365664222246415e-01,  2.200485504723629e+00,  0.000000000000000e+00, -9.877771180754930e-02,  1.195935780947528e+01
s65         ,  6.477994742971301e-01,  8.025671095493905e-01,  1.165370239202295e+00,  0.000000000000000e+00,  7.921322060326630e-02,  2.164233191861327e+01
s66         ,  1.102507059534665e+00,  6.425775873248094e-01,  1.158483177102872e-01,  0.000000000000000e+00,  6.803725157053883e-02,  2.568052846836815e+01
s67         , -2.689254974131806e-01, -1.585887981000460e-01,  6.087826393125254e-01,  0.000000000000000e+00, -1.988369118045880e-02,  3.254699206458096e+01
s68         ,  1.634793292022643e+00,  1.258394382482434e+00,  8.478663774211448e-01,  0.000000000000000e+00,  8.342343067882602e-02,  1.600604393718564e+01
s69         ,  3.008420412735001e-01,  5.734084706796445e-01,  1.216792949341766e+00,  0.000000000000000e+00, -8.820696908593106e-03,  2.131367534651878e+01
s70         ,  4.428344099007711e-01,  4.122810481457142e-01,  7.109947055358945e-01,  0.000000000000000e+00,  1.424079259842320e-02,  2.557489714984337e+01
s71         , -2.587880550234566e-02, -3.897851505923908e-01,  8.221043979813785e-01,  0.000000000000000e+00,  6.754938472415900e-02,  3.882961465955464e+01
s72         ,  3.320850724266521e-01,  7.138070524530864e-01,  1.558996581986250e+00,  0.000000000000000e+00,  2.275633506458724e-02,  1.984662667430073e+01
