# c0 + a0 * (cub_root_V * AAV) + a1 * (Ge * S) + a2 * (poly_dist_avg - SBI) + a3 * (pockets-per-volume + face-area-count)
# Property Label: $E$; Unit of the Property: Unitless
# RMSE: 0.638868105647833; Max AE: 2.49249750679684
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# all , -1.491556196960437e-01,  8.211602538665680e+00,  2.806103897089020e+00, -7.083029330731815e-02,  2.295836511821292e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         21|1|mult; (cub_root_V * AAV); $\left(cub_{root, V} AAV\right)$; (cub_root_V .* AAV); (newdata$cub_root_V * newdata$AAV); cub_root_V,AAV
# 1;  1; Unitless;                                         18|10|mult; (Ge * S); $\left(Ge S\right)$; (Ge .* S); (newdata$Ge * newdata$S); Ge,S
# 2;  1; Unitless;                                         29|5|sub; (poly_dist_avg - SBI); $\left(poly_{dist, avg} - SBI\right)$; (poly_dist_avg - SBI); (newdata$poly_dist_avg - newdata$SBI); poly_dist_avg,SBI
# 3;  1; Unitless;                                         36|34|add; (pockets-per-volume + face-area-count); $\left(pockets-per-volume + face-area-count\right)$; (pockets_sub_per_sub_volume + face_sub_area_sub_count); (newdata$pockets_sub_per_sub_volume + newdata$face_sub_area_sub_count); pockets-per-volume,face-area-count
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
s1          ,  6.774572406644882e-01,  3.823766162248974e-01,  1.386319745439977e+00,  0.000000000000000e+00,  6.417673197130047e-02,  2.663788337525630e+01
s2          ,  1.967875961713064e+00,  7.317731933340821e-01,  1.967968419029364e-01,  0.000000000000000e+00,  1.762139112243052e-01,  2.864854021968480e+01
s3          , -1.271285198486554e+00, -8.853568938488228e-01,  7.069380621514707e-01,  0.000000000000000e+00, -9.363884935216206e-02,  3.971449431434900e+01
s4          , -1.922048452937919e-01, -6.964848513512103e-01,  7.027281705342974e-01,  0.000000000000000e+00,  1.920029984140204e-02,  4.152719699841941e+01
s5          ,  2.455067115358116e-01,  2.428860851844599e-01, -3.489097607005396e-03,  0.000000000000000e+00,  1.600279415129083e-01,  3.533129341448784e+01
s6          ,  1.771859120156342e-01,  4.068191244594705e-01,  1.733332601648346e+00,  0.000000000000000e+00,  5.454548565305867e-02,  2.518048853962593e+01
s7          , -1.787554844087500e-01,  2.483877067740121e-01,  1.091514678502750e+00,  0.000000000000000e+00, -3.783601111138252e-02,  2.510891026275293e+01
s8          ,  1.258527874893824e+00,  1.046249588601870e+00,  3.448528707533742e-01,  1.822916666666667e-01,  1.467242940128557e-02,  3.863077683169563e+01
s9          ,  1.207996528852184e+00,  1.223478073539680e+00,  1.741047640522435e+00,  0.000000000000000e+00,  1.292047585025767e-01,  1.659224210461170e+01
s10         , -3.778119871449526e-01,  5.333679279835724e-01,  2.703135891669608e-01,  5.078125000000000e-02, -1.646476650975018e-03,  3.013576465851754e+01
