# c0 + a0 * (face-area-avg * AAV) + a1 * (Ge * S) + a2 * (poly_dist_avg - SBI) + a3 * (paths-per-volume + face-area-count)
# Property Label: $E$; Unit of the Property: Unitless
# RMSE: 0.638949206402206; Max AE: 2.56879207881409
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# all , -1.503992130420898e-01,  8.376008765523386e+00,  2.764356252296839e+00, -7.084578318394454e-02,  2.293492667046306e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         32|1|mult; (face-area-avg * AAV); $\left(face-area-avg AAV\right)$; (face_sub_area_sub_avg .* AAV); (newdata$face_sub_area_sub_avg * newdata$AAV); face-area-avg,AAV
# 1;  1; Unitless;                                         18|10|mult; (Ge * S); $\left(Ge S\right)$; (Ge .* S); (newdata$Ge * newdata$S); Ge,S
# 2;  1; Unitless;                                         29|5|sub; (poly_dist_avg - SBI); $\left(poly_{dist, avg} - SBI\right)$; (poly_dist_avg - SBI); (newdata$poly_dist_avg - newdata$SBI); poly_dist_avg,SBI
# 3;  1; Unitless;                                         38|34|add; (paths-per-volume + face-area-count); $\left(paths-per-volume + face-area-count\right)$; (paths_sub_per_sub_volume + face_sub_area_sub_count); (newdata$paths_sub_per_sub_volume + newdata$face_sub_area_sub_count); paths-per-volume,face-area-count
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
s1          ,  6.774572406644882e-01,  4.694136323359133e-01,  7.469674904636121e-01,  0.000000000000000e+00,  6.417673197130047e-02,  2.666556818700837e+01
s2          ,  1.967875961713064e+00,  7.485430378766229e-01,  3.510348929352353e-02,  0.000000000000000e+00,  1.762139112243052e-01,  2.860845103479379e+01
s3          , -1.271285198486554e+00, -8.646675153191037e-01,  6.666119474351297e-01,  0.000000000000000e+00, -9.363884935216206e-02,  3.950907175568520e+01
s4          , -1.922048452937919e-01, -7.032315607049773e-01,  8.958979210000165e-01,  0.000000000000000e+00,  1.920029984140204e-02,  4.114653298151438e+01
s5          ,  2.455067115358116e-01,  2.374954418085520e-01,  2.211265974000669e-02,  0.000000000000000e+00,  1.600279415129083e-01,  3.521798513822390e+01
s6          ,  1.771859120156342e-01,  5.511913988878876e-01,  9.242534918831780e-01,  0.000000000000000e+00,  5.454548565305867e-02,  2.475909427203431e+01
s7          , -1.787554844087500e-01,  2.528741002451067e-01,  1.183680797274172e+00,  0.000000000000000e+00, -3.783601111138252e-02,  2.481448596532441e+01
s8          ,  1.258527874893824e+00,  1.039825923742163e+00,  5.928457575268409e-01,  1.822916666666667e-01,  1.467242940128557e-02,  3.856178173169786e+01
s9          ,  1.207996528852184e+00,  1.220443169621586e+00,  1.615971960605617e+00,  0.000000000000000e+00,  1.292047585025767e-01,  1.675719449896205e+01
s10         , -3.778119871449526e-01,  5.589172078115272e-01,  2.963591179383089e-02,  5.078125000000000e-02, -1.646476650975018e-03,  3.036046595657516e+01
s11         ,  2.051916464504999e-01, -1.058794131426899e+00,  8.576974110405740e-01,  0.000000000000000e+00, -1.733606170862432e-01,  3.873285259555073e+01
s12         , -9.030892502610830e-01, -1.057738486738448e+00,  7.913308900895798e-02,  0.000000000000000e+00, -2.275982036434495e-01,  3.825445863421709e+01
s13         , -1.915336013610817e+00, -5.095133008543353e-01,  6.188258804402000e-01,  0.000000000000000e+00,  5.375670547540484e-03,  3.846093851325010e+01
s14         , -4.972857440368104e-01, -2.362043093385027e-01,  1.995573984831050e+00,  9.989258861439311e-02, -1.435766620032257e-02,  4.272061902620870e+01
s15         ,  9.892906044607527e-01,  2.881912906026172e-01,  6.702517781613342e-03,  3.961632479540865e-02, -1.921777951832675e-01,  2.547606979563522e+01
s16         ,  7.196956197004112e-01,  7.789140553559371e-01,  1.856055095732794e+00,  0.000000000000000e+00,  5.277935271314915e-02,  1.949770695607491e+01
s17         , -8.233048349290433e-01, -9.184406331004356e-01,  2.014249968521125e-01,  0.000000000000000e+00, -1.857006927403524e-01,  3.766344513649523e+01
s18         ,  6.436893120625885e-01, -2.442535432932242e-01,  7.314922107821295e-02,  0.000000000000000e+00, -4.303154910176671e-02,  3.398635719782551e+01
s19         ,  6.782210382119218e-01,  8.989169206372609e-01,  2.459661059853024e+00,  0.000000000000000e+00, -1.448627021405524e-02,  1.389778477657268e+01
s20         ,  1.358387811126361e-01, -8.740917978556455e-01,  1.266719285162355e+00,  0.000000000000000e+00,  1.541991098392556e-02,  4.262352497065642e+01
s21         ,  1.192439177417436e+00,  5.219578086729009e-01,  6.830853458020369e-01,  0.000000000000000e+00, -1.109021690684581e-01,  1.922804991695310e+01
s22         , -1.675888320916539e+00, -1.571860760628264e+00,  3.294119754081623e+00,  0.000000000000000e+00,  1.226778579962567e-02,  4.804566745396247e+01
s23         ,  1.682267394333138e+00,  1.119230764416487e+00,  1.531922182831207e+00,  0.000000000000000e+00,  9.352393369827960e-02,  1.697201200566322e+01
s24         , -5.344901610254715e-02,  5.505789957421037e-02, -2.031732207505959e-02,  0.000000000000000e+00,  1.751879948982424e-02,  3.232258261130625e+01
s25         ,  7.630444568978922e-01,  1.234311511741613e+00,  2.582629820832178e+00,  0.000000000000000e+00, -8.905669092553886e-02,  5.992893623622729e+00
s26         , -7.690353008448225e-01, -1.818008943878502e+00,  3.777291826252768e+00,  0.000000000000000e+00, -4.067710553836704e-02,  4.842848406231314e+01
s27         ,  1.318355805735755e-01,  3.634956138143508e-02, -1.095940841493511e-03,  0.000000000000000e+00, -1.633191659192222e-02,  3.122501578983792e+01
s28         , -1.557515501210242e+00, -1.054785742940529e+00,  1.770893915431030e+00,  0.000000000000000e+00, -4.623757767005020e-02,  4.169789772994137e+01
s29         ,  1.315402392066626e+00,  1.410339925782719e+00,  2.629569436548874e+00,  0.000000000000000e+00, -7.845193593381650e-03,  6.577394397587300e+00
s30         , -1.602536800620832e+00, -5.251801137152405e-01,  4.513442364936829e-01,  0.000000000000000e+00, -1.716300987071830e-02,  3.815818200666189e+01
s31         , -6.577868421803238e-01, -3.131902475001369e-01,  8.048718233707189e-03,  0.000000000000000e+00, -1.642343482751850e-01,  3.036835855954332e+01
s32         ,  1.122204297021453e+00, -8.875442645072895e-02,  5.139217720488728e-02,  0.000000000000000e+00, -1.792878633159145e-01,  2.652101706169604e+01
s33         ,  1.732999170998263e+00,  1.093892309147573e+00,  2.058627624918973e+00,  0.000000000000000e+00,  2.872556643172186e-02,  1.368313029744586e+01
s34         ,  1.815120104294484e+00,  7.636773559812313e-01, -3.206142693192686e-02,  1.962809917355372e-02, -5.765245815444058e-02,  2.173270521995317e+01
s35         ,  5.934117724273275e-01,  9.255899491739827e-01,  2.213711716387207e+00,  0.000000000000000e+00,  5.677885583507125e-04,  1.463081839303878e+01
s36         ,  9.702627198604924e-01,  4.168886530884133e-01, -2.525555546130063e-01,  0.000000000000000e+00,  1.629377962925679e-01,  3.338245665796941e+01
s37         ,  1.142962175227537e+00,  5.162628160152485e-01, -3.681547227962610e-02,  0.000000000000000e+00,  1.583645380015084e-01,  3.134333153027361e+01
s38         ,  2.376281988155590e-01,  8.589880311590777e-01,  2.992247817987016e-01,  0.000000000000000e+00, -1.513355065545662e-01,  1.370803125885236e+01
s39         , -9.901628269429662e-01,  7.458982765340405e-03,  1.568542646351758e+00,  0.000000000000000e+00, -1.591085244671556e-01,  2.272955972638795e+01
s40         , -6.175077579414836e-01,  2.125426062058109e-01, -2.712422175699965e-02,  7.384563150746943e-03, -9.260031202555204e-02,  2.669040204842281e+01
s41         , -6.558266813617915e-01, -4.505514582260379e-01,  1.932611932586248e-01,  0.000000000000000e+00, -9.060440147565874e-02,  3.478703797784176e+01
s42         , -1.132806252875512e-01, -4.494378088412136e-01,  5.364412568966466e-01,  0.000000000000000e+00,  4.224146301611585e-02,  3.922633727100242e+01
s43         ,  3.987508132795206e-01,  9.333161114509259e-02,  1.973154113896553e+00,  0.000000000000000e+00, -1.515331048154459e-01,  2.095408756198643e+01
s44         , -1.257042213831158e-02,  2.792366256441463e-01,  3.211898336758949e-01,  2.637119113573407e-02,  3.539456940220217e-02,  3.224860771999321e+01
s45         , -2.453536714432208e-01, -2.916958174285167e-01,  5.893068860485294e-02,  0.000000000000000e+00, -8.838336342410151e-02,  3.291659922721663e+01
s46         ,  4.319604697532172e-01,  6.504385931089187e-01,  2.090267573346895e-01,  1.367166474432911e-01, -5.879530444206718e-02,  3.661792089067173e+01
s47         , -5.858250576994644e-01,  5.635856110301596e-03,  9.314517389899232e-02,  4.966974241156713e-02, -1.843605789855209e-01,  3.077450245764113e+01
s48         , -1.351740028810569e+00, -1.146975170514324e+00,  4.317072708129235e+00,  7.742878013148284e-02, -5.112136932826805e-03,  4.835285487790421e+01
s49         ,  1.400180920836999e+00,  4.294785337972900e-01, -1.262804498771203e-02,  0.000000000000000e+00,  1.344794205037129e-01,  3.158497665756956e+01
s50         ,  6.339509690024701e-01,  6.302530354205516e-01,  3.692938371304909e-01,  1.140992751502213e-01,  2.557466259082548e-02,  3.718064813444586e+01
s51         ,  9.663578673416964e-01,  1.020237593355992e+00,  1.756979909242698e+00,  0.000000000000000e+00,  6.292220179653368e-02,  1.669748017158018e+01
s52         ,  1.470345916377529e-01,  4.223701054688425e-01, -1.734544277094837e-01,  0.000000000000000e+00,  1.294351048128195e-01,  3.182990731296897e+01
s53         , -1.879048126514940e+00, -7.008870823020397e-02,  4.046483267212077e-01,  0.000000000000000e+00, -5.185425279744299e-02,  3.047999274485288e+01
s54         ,  2.462378298792408e+00,  1.244790534382241e+00,  2.619264573590338e+00,  0.000000000000000e+00,  3.240651398480088e-02,  1.050662323350208e+01
s55         ,  2.147693442064033e-01, -3.432261074789671e-01,  3.140990886134467e-01,  0.000000000000000e+00,  1.037224488311621e-02,  3.695563774029827e+01
s56         ,  1.250856345991485e+00,  1.236731993593037e+00,  2.366667442702633e+00,  0.000000000000000e+00, -5.572711894520566e-02,  7.717694946503193e+00
s57         ,  3.470878239384724e-01,  7.260832344797294e-01,  2.249881728560442e+00,  0.000000000000000e+00, -1.096863046908764e-02,  1.691995959483742e+01
s58         ,  2.650904256602346e+00,  5.092719442699061e-01,  2.125325476277564e+00,  0.000000000000000e+00, -8.132544466581365e-02,  1.749943167449025e+01
s59         ,  2.436955679659398e-02, -3.844501929055699e-02,  2.761490330717060e-02,  0.000000000000000e+00, -2.302372611462891e-03,  3.276722684341374e+01
s60         , -1.350996154759193e+00, -1.119037752431537e+00,  2.376153516199675e+00,  0.000000000000000e+00, -7.994762449791984e-03,  4.281212363953195e+01
s61         , -1.175408395594881e+00, -6.821298152016815e-01,  1.147820122267063e+00,  0.000000000000000e+00,  1.411277091648948e-02,  4.011535814751848e+01
s62         ,  5.137509822735412e-02,  2.785792901094952e-02,  1.155706794324085e-01,  0.000000000000000e+00,  1.956840461791814e-02,  3.249801098920972e+01
s63         ,  1.630781368412474e+00,  1.156720511960366e+00,  1.213787341905360e+00,  0.000000000000000e+00,  1.617517296053618e-01,  1.978041368360392e+01
