# c0 + a0 * ((O - NBI) * (face-area-avg + face-area-max))
# Property Label: $E$; Unit of the Property: Unitless
# RMSE: 0.706585972675893; Max AE: 2.75999293776741
# Coefficients
# Task   a0                      c0
# all ,  1.106299984523299e+00,  1.553915811295840e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         11|4|sub|32|31|add|mult; ((O - NBI) * (face-area-avg + face-area-max)); $\left(\left(O - NBI\right) \left(face-area-avg + face-area-max\right)\right)$; ((O - NBI) .* (face_sub_area_sub_avg + face_sub_area_sub_max)); ((newdata$O - newdata$NBI) * (newdata$face_sub_area_sub_avg + newdata$face_sub_area_sub_max)); O,NBI,face-area-avg,face-area-max
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
s1          ,  6.774572406644882e-01,  1.962178965118221e-01,  3.690347641090312e-02
s2          ,  1.967875961713064e+00,  2.474999135127888e-01,  8.325800747696287e-02
s3          , -1.271285198486554e+00, -8.622250863315435e-01, -9.198379116850618e-01
s4          , -1.922048452937919e-01, -3.329285747624052e-01, -4.413994058785102e-01
s5          ,  2.455067115358116e-01, -2.730171876855687e-01, -3.872446667345409e-01
s6          ,  1.771859120156342e-01,  2.613272639618900e-01,  9.575674257823777e-02
s7          , -1.787554844087500e-01,  3.627818044122477e-01,  1.874629180005163e-01
s8          ,  1.258527874893824e+00,  1.781325692034291e-01,  2.055589658499729e-02
s9          ,  1.207996528852184e+00,  7.485793743095424e-01,  5.361907271792659e-01
s10         , -3.778119871449526e-01,  3.414120575762997e-01,  1.681465055130333e-01
s11         ,  2.051916464504999e-01, -4.875275157038051e-01, -5.811435468024714e-01
s12         , -9.030892502610830e-01,  1.356424479264928e-02, -1.281997092299045e-01
s13         , -1.915336013610817e+00, -6.683827902886887e-01, -7.446211542461826e-01
s14         , -4.972857440368104e-01, -7.354124461457650e-01, -8.052101959119103e-01
s15         ,  9.892906044607527e-01,  9.084267785654279e-01,  6.806790273619358e-01
s16         ,  7.196956197004112e-01,  5.227544153827963e-01,  3.320643942804607e-01
s17         , -8.233048349290433e-01, -4.797057431792299e-01, -5.740733374252692e-01
s18         ,  6.436893120625885e-01,  1.033166426072055e-01, -4.707126389847815e-02
s19         ,  6.782210382119218e-01,  8.783791243186362e-01,  6.535185332218775e-01
s20         ,  1.358387811126361e-01, -4.904307822622497e-01, -5.837678499743597e-01
s21         ,  1.192439177417436e+00,  5.766067831004900e-01,  3.807423012415626e-01
s22         , -1.675888320916539e+00, -1.666017205424782e+00, -1.646396829101652e+00
s23         ,  1.682267394333138e+00,  1.350992859724326e+00,  1.080720686360601e+00
s24         , -5.344901610254715e-02,  2.645740173514289e-01,  9.869152829184140e-02
s25         ,  7.630444568978922e-01,  9.659514856425844e-01,  7.326764131360518e-01
s26         , -7.690353008448225e-01, -2.004635909854025e+00, -1.952479003165093e+00
s27         ,  1.318355805735755e-01,  3.623396331645231e-01,  1.870632332369708e-01
