# c0 + a0 * ((B + SBI) + (face-area-avg / WE))
# Property Label: $E$; Unit of the Property: Unitless
# RMSE: 0.708085869310188; Max AE: 2.81596040424115
# Coefficients
# Task   a0                      c0
# all , -2.036750214907123e+00,  5.398415763599964e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         8|5|add|32|7|div|add; ((B + SBI) + (face-area-avg / WE)); $\left(\left(B + SBI\right) + \left(\frac{ face-area-avg }{ WE } \right)\right)$; ((B + SBI) + (face_sub_area_sub_avg ./ WE)); ((newdata$B + newdata$SBI) + (newdata$face_sub_area_sub_avg / newdata$WE)); B,SBI,face-area-avg,WE
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
s1          ,  6.774572406644882e-01,  3.440548166649458e-01,  9.612703524569338e-02
s2          ,  1.967875961713064e+00,  1.960112376573824e-01,  1.688132085054390e-01
s3          , -1.271285198486554e+00, -8.315890776122734e-01,  6.733425846403103e-01
s4          , -1.922048452937919e-01, -5.424955036665309e-01,  5.314039355954516e-01
s5          ,  2.455067115358116e-01, -1.814103706067520e-01,  3.541189988285519e-01
s6          ,  1.771859120156342e-01,  4.287987375932108e-01,  5.451961558862495e-02
s7          , -1.787554844087500e-01,  6.122894059854326e-01, -3.557030660666449e-02
s8          ,  1.258527874893824e+00, -2.940630925739087e-01,  4.094290320091762e-01
s9          ,  1.207996528852184e+00,  1.163966254831675e+00, -3.064316251956989e-01
s10         , -3.778119871449526e-01,  2.764178200452873e-01,  1.293353276148894e-01
s11         ,  2.051916464504999e-01, -8.626357514734575e-01,  6.885858253842911e-01
s12         , -9.030892502610830e-01, -2.595708278122102e-01,  3.924940811697227e-01
s13         , -1.915336013610817e+00, -9.219327364932604e-01,  7.176993536833451e-01
s14         , -4.972857440368104e-01, -9.401271606935069e-01,  7.266324197348817e-01
s15         ,  9.892906044607527e-01,  3.138971807867170e-01,  1.109337777011515e-01
