# c0 + a0 * ((WE / RBI) + (B + AAV))
# Property Label: $E$; Unit of the Property: Unitless
# RMSE: 0.709443243599156; Max AE: 2.73181590060909
# Coefficients
# Task   a0                      c0
# all , -9.574340056364279e-01,  9.069001753833602e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         7|6|div|8|1|add|add; ((WE / RBI) + (B + AAV)); $\left(\left(\frac{ WE }{ RBI } \right) + \left(B + AAV\right)\right)$; ((WE ./ RBI) + (B + AAV)); ((newdata$WE / newdata$RBI) + (newdata$B + newdata$AAV)); WE,RBI,B,AAV
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
s1          ,  6.774572406644882e-01,  7.307537206760359e-01,  1.839776461566516e-01
s2          ,  1.967875961713064e+00,  5.359573241502935e-01,  3.874343809070085e-01
s3          , -1.271285198486554e+00, -6.952739032900251e-01,  1.673404192081505e+00
s4          , -1.922048452937919e-01, -4.808991695586787e-01,  1.449498698366722e+00
s5          ,  2.455067115358116e-01,  2.388123472060584e-01,  6.977899513117970e-01
s6          ,  1.771859120156342e-01,  8.384008630299387e-01,  7.154468292348626e-02
s7          , -1.787554844087500e-01,  3.957718335755130e-01,  5.338522956139298e-01
s8          ,  1.258527874893824e+00, -2.531480620143985e-01,  1.211622138516637e+00
s9          ,  1.207996528852184e+00,  1.249726732784066e+00, -3.580680813324789e-01
s10         , -3.778119871449526e-01,  1.360781080958742e-01,  8.050915914304749e-01
s11         ,  2.051916464504999e-01, -1.156675335491505e+00,  2.155318798712565e+00
s12         , -9.030892502610830e-01, -6.253579049248338e-01,  1.600379839537523e+00
s13         , -1.915336013610817e+00, -6.214306327606273e-01,  1.596277967094005e+00
s14         , -4.972857440368104e-01, -8.522085686686868e-01,  1.837315923286773e+00
s15         ,  9.892906044607527e-01, -1.130268132606141e-01,  1.065271321719982e+00
s16         ,  7.196956197004112e-01,  1.082121893375364e+00, -1.830117971165330e-01
s17         , -8.233048349290433e-01, -8.234600241918461e-01,  1.807289264208865e+00
s18         ,  6.436893120625885e-01,  2.078764738056817e-01,  7.301011844811400e-01
s19         ,  6.782210382119218e-01,  1.075084746776920e+00, -1.756617901635562e-01
s20         ,  1.358387811126361e-01, -6.924039677639430e-01,  1.670406663782753e+00
s21         ,  1.192439177417436e+00,  2.473558368161968e-01,  6.888666317306638e-01
s22         , -1.675888320916539e+00, -1.109285367940642e+00,  2.105821948515186e+00
s23         ,  1.682267394333138e+00,  1.248826903819183e+00, -3.571282474017997e-01
s24         , -5.344901610254715e-02,  4.938707948628165e-01,  4.313920104038855e-01
s25         ,  7.630444568978922e-01,  8.037319208557776e-01,  1.077549511718088e-01
s26         , -7.690353008448225e-01, -1.581689719497648e+00,  2.599228646810792e+00
s27         ,  1.318355805735755e-01,  4.064122528049201e-01,  5.227388202550363e-01
s28         , -1.557515501210242e+00, -1.020713249609707e+00,  2.013312054559561e+00
s29         ,  1.315402392066626e+00,  1.113243461756293e+00, -2.155169809701634e-01
s30         , -1.602536800620832e+00, -4.597994652512635e-01,  1.427460934736852e+00
s31         , -6.577868421803238e-01, -3.378233534260026e-01,  1.300061958820824e+00
s32         ,  1.122204297021453e+00, -3.609392275408174e-02,  9.849181171611014e-01
s33         ,  1.732999170998263e+00,  8.772248693246774e-01,  3.099462300689537e-02
s34         ,  1.815120104294484e+00,  1.554345317201663e-01,  7.848746119725274e-01
s35         ,  5.934117724273275e-01,  9.937180224432177e-01, -9.067763057167344e-02
s36         ,  9.702627198604924e-01,  3.821662317827412e-01,  5.480627808407709e-01
s37         ,  1.142962175227537e+00,  4.676709645475525e-01,  4.587566435389374e-01
s38         ,  2.376281988155590e-01,  4.000452093048431e-01,  5.293889323908014e-01
s39         , -9.901628269429662e-01, -3.403657446772612e-02,  9.827693024394142e-01
s40         , -6.175077579414836e-01, -2.214845865234875e-01,  1.178550955224099e+00
s41         , -6.558266813617915e-01, -4.974635895144529e-01,  1.466799546110023e+00
s42         , -1.132806252875512e-01, -2.468586102322560e-01,  1.205053067703279e+00
s43         ,  3.987508132795206e-01,  1.705672854501237e-01,  7.690690800602800e-01
s44         , -1.257042213831158e-02, -7.275650345041029e-02,  1.023210657932053e+00
s45         , -2.453536714432208e-01,  1.170457346437026e-02,  9.349945757607945e-01
s46         ,  4.319604697532172e-01, -2.536598206276589e-01,  1.212156649104571e+00
s47         , -5.858250576994644e-01, -6.040364458690811e-01,  1.578110462295610e+00
s48         , -1.351740028810569e+00, -1.162166923189588e+00,  2.161054533672629e+00
s49         ,  1.400180920836999e+00,  5.708175708340489e-01,  3.510243030546106e-01
s50         ,  6.339509690024701e-01, -1.501532161491727e-01,  1.104048305480737e+00
s51         ,  9.663578673416964e-01,  9.714537614431319e-01, -6.742353590925720e-02
s52         ,  1.470345916377529e-01,  1.883438544994310e-01,  7.505021930010608e-01
s53         , -1.879048126514940e+00,  2.514706812951307e-01,  6.845688478053908e-01
s54         ,  2.462378298792408e+00,  1.250860060227500e+00, -3.592517947129967e-01
s55         ,  2.147693442064033e-01, -1.083249559870748e-01,  1.060360427344120e+00
s56         ,  1.250856345991485e+00,  9.905142713768653e-01, -8.733144582422159e-02
s57         ,  3.470878239384724e-01,  8.178512066528106e-01,  9.300794436620907e-02
s58         ,  2.650904256602346e+00,  5.627324197365686e-01,  3.594689071211916e-01
s59         ,  2.436955679659398e-02,  5.070638228616320e-02,  8.942588084993552e-01
s60         , -1.350996154759193e+00, -1.051872847798782e+00,  2.045856958966171e+00
s61         , -1.175408395594881e+00, -6.324083125070507e-01,  1.607743697036537e+00
s62         ,  5.137509822735412e-02,  6.877825100423374e-02,  8.753834932173816e-01
s63         ,  1.630781368412474e+00,  1.224954370329114e+00, -3.321943790103173e-01
s64         , -7.346563779561162e-02,  8.156298089145534e-01,  9.532810191772678e-02
s65         ,  6.477994742971301e-01,  9.481369860078651e-01, -4.307013369249812e-02
s66         ,  1.102507059534665e+00,  5.853960307857835e-01,  3.357977079410980e-01
s67         , -2.689254974131806e-01,  2.339343824501923e-01,  7.028847826287854e-01
s68         ,  1.634793292022643e+00,  9.713377115456995e-01, -6.730232661780822e-02
s69         ,  3.008420412735001e-01,  7.536831614748984e-01,  1.600287988586899e-01
s70         ,  4.428344099007711e-01,  5.497318970158409e-01,  3.730474124220202e-01
s71         , -2.587880550234566e-02, -2.466464716474842e-01,  1.204831497774153e+00
s72         ,  3.320850724266521e-01,  8.994734145072387e-01,  7.756942862275684e-03
s73         , -1.001377721869569e+00, -3.189421033751040e-01,  1.280341278398211e+00
s74         ,  1.535377236435878e+00,  9.795182342276648e-01, -7.584654233795862e-02
s75         ,  2.223324131252060e-01,  6.204552154800691e-02,  8.824155491257691e-01
s76         , -5.720277382811452e-01, -3.444169980779203e-01,  1.306948746435533e+00
s77         , -1.197863875151751e+00, -4.210270997007483e-01,  1.386964811429907e+00
s78         , -1.436625202734528e+00, -6.039641798348004e-01,  1.578034983428289e+00
s79         ,  4.409066269069510e-01,  9.373390359801346e-01, -3.179212396633124e-02
s80         ,  6.309139277294878e-01,  1.679455921870301e-01,  7.718073296395300e-01
s81         , -1.685326208098238e+00, -5.302312056585806e-01,  1.501023958394550e+00
s82         , -1.663665661245249e-01, -1.755015600489406e-01,  1.130523596467418e+00
s83         , -1.321966357459877e+00, -3.769790207642573e-01,  1.340958424903860e+00
s84         ,  1.425519064192979e+00, -1.350296889727266e-01,  1.088252410319908e+00
s85         , -6.984731689207798e-01, -6.003453613612020e-02,  1.009923092168360e+00
s86         , -2.932580333118892e-01, -1.431254442250941e-01,  1.096708089985250e+00
s87         ,  3.346071912195332e-02, -4.022933702539411e-02,  9.892373853790331e-01
s88         , -7.344698336486584e-02, -1.857702924648469e-01,  1.141248860407757e+00
s89         ,  2.903456543575506e-01,  9.131540467658330e-01, -6.531908565662103e-03
