# c0 + a0 * ((Ge * S) + (P * PF)) + a1 * ((O - NBI) * (face-area-avg - poly_dist_avg))
# Property Label: $E$; Unit of the Property: Unitless
# RMSE: 0.638567488977239; Max AE: 2.89393458993016
# Coefficients
# Task   a0                      a1                      c0
# all ,  9.417229442286335e+00,  2.187274433009702e+00, -1.433945472461911e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         18|10|mult|16|2|mult|add; ((Ge * S) + (P * PF)); $\left(\left(Ge S\right) + \left(P PF\right)\right)$; ((Ge .* S) + (P .* PF)); ((newdata$Ge * newdata$S) + (newdata$P * newdata$PF)); Ge,S,P,PF
# 1;  2; Unitless;                                         11|4|sub|32|29|sub|mult; ((O - NBI) * (face-area-avg - poly_dist_avg)); $\left(\left(O - NBI\right) \left(face-area-avg - poly_{dist, avg}\right)\right)$; ((O - NBI) .* (face_sub_area_sub_avg - poly_dist_avg)); ((newdata$O - newdata$NBI) * (newdata$face_sub_area_sub_avg - newdata$poly_dist_avg)); O,NBI,face-area-avg,poly_dist_avg
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
s1          ,  6.774572406644882e-01,  4.664161876402984e-01,  5.834554558689270e-02,  2.759477468782551e-02
s2          ,  1.967875961713064e+00,  5.105502201261360e-01,  5.012886687094335e-02,  8.314902036164412e-02
s3          , -1.271285198486554e+00, -9.728080360340683e-01,  0.000000000000000e+00, -3.791995536868227e-01
s4          , -1.922048452937919e-01, -8.321677175669836e-01,  8.392103913200694e-03, -3.510321004019648e-01
s5          ,  2.455067115358116e-01,  3.167137018375906e-01,  5.821793311910056e-02, -4.029827415537564e-02
s6          ,  1.771859120156342e-01,  7.754392750782811e-01,  8.326039571946924e-02,  6.160707149731388e-02
s7          , -1.787554844087500e-01,  1.113014392100277e-01,  0.000000000000000e+00,  1.164444582775814e-01
s8          ,  1.258527874893824e+00,  9.696246920041705e-01,  1.822916666666667e-01, -2.759887840575059e-01
s9          ,  1.207996528852184e+00,  1.256455126111664e+00,  6.324898941406552e-02,  3.676810810366626e-01
s10         , -3.778119871449526e-01,  3.575465853529123e-01,  5.078125000000000e-02,  1.038847692821709e-02
s11         ,  2.051916464504999e-01, -1.223300635406982e+00,  0.000000000000000e+00, -4.937222654199975e-01
s12         , -9.030892502610830e-01, -3.704591980222223e-01,  0.000000000000000e+00, -1.038116878930409e-01
s13         , -1.915336013610817e+00, -7.719763885210769e-01,  0.000000000000000e+00, -2.873813325792656e-01
s14         , -4.972857440368104e-01, -6.273122488392769e-01,  9.989258861439311e-02, -6.513261923875037e-01
s15         ,  9.892906044607527e-01,  7.448728737222959e-01,  3.961632479540865e-02,  2.355403569551536e-01
s16         ,  7.196956197004112e-01,  1.262627840239585e+00,  9.834753620669123e-02,  2.193876848290640e-01
s17         , -8.233048349290433e-01, -5.623389923173593e-01,  0.000000000000000e+00, -1.915372112198551e-01
s18         ,  6.436893120625885e-01,  3.092766569206572e-01,  3.319429821414626e-02,  6.403992091464092e-02
s19         ,  6.782210382119218e-01,  1.403790596894887e+00,  0.000000000000000e+00,  7.073575774449766e-01
s20         ,  1.358387811126361e-01, -1.050757218414921e+00,  0.000000000000000e+00, -4.148371404498124e-01
s21         ,  1.192439177417436e+00,  3.572212873803026e-01,  0.000000000000000e+00,  2.288765538842985e-01
s22         , -1.675888320916539e+00, -1.849622839130275e+00,  0.000000000000000e+00, -7.800705143050127e-01
s23         ,  1.682267394333138e+00,  1.768123720267794e+00,  5.518958188196993e-02,  6.363103280974765e-01
s24         , -5.344901610254715e-02, -3.794677582083113e-02,  0.000000000000000e+00,  4.820966671304395e-02
s25         ,  7.630444568978922e-01,  7.759406415859528e-01,  0.000000000000000e+00,  4.203108558111445e-01
s26         , -7.690353008448225e-01, -1.800704261791483e+00,  0.000000000000000e+00, -7.577054298873803e-01
s27         ,  1.318355805735755e-01,  7.046169895250662e-01,  7.424001503700002e-02,  6.806474721335537e-02
s28         , -1.557515501210242e+00, -1.191609125640417e+00,  2.805201554908890e-02, -6.000101429123038e-01
s29         ,  1.315402392066626e+00,  1.079613077816148e+00,  0.000000000000000e+00,  5.591468572050530e-01
s30         , -1.602536800620832e+00, -7.668141686264845e-01,  0.000000000000000e+00, -2.850212172610021e-01
s31         , -6.577868421803238e-01, -1.225792335343253e-01,  0.000000000000000e+00,  9.516553294697323e-03
s32         ,  1.122204297021453e+00,  9.660092131226449e-01,  5.971270859591297e-02,  2.501174405206945e-01
s33         ,  1.732999170998263e+00,  6.443895618361939e-01,  0.000000000000000e+00,  3.601670175417309e-01
s34         ,  1.815120104294484e+00,  3.351029124988629e-01,  1.962809917355372e-02,  1.342561966070607e-01
s35         ,  5.934117724273275e-01,  9.100115500866985e-01,  4.357977328529177e-02,  2.939756271816780e-01
s36         ,  9.702627198604924e-01,  3.459475102296655e-01,  5.227871900979020e-02, -1.361801858606032e-03
s37         ,  1.142962175227537e+00,  3.464626466047458e-01,  4.377544826207132e-02,  3.548423209120569e-02
s38         ,  2.376281988155590e-01,  3.806752602201932e-01,  0.000000000000000e+00,  2.395994757481169e-01
s39         , -9.901628269429662e-01, -4.951180273983762e-02,  0.000000000000000e+00,  4.292225204551504e-02
s40         , -6.175077579414836e-01,  9.804839413578934e-02,  7.384563150746943e-03,  7.859133415819569e-02
s41         , -6.558266813617915e-01, -3.664604644038867e-01,  0.000000000000000e+00, -1.019835068664683e-01
s42         , -1.132806252875512e-01, -2.067630321603413e-01,  4.969062799655882e-02, -2.429126047790660e-01
s43         ,  3.987508132795206e-01,  3.349260190315899e-01,  0.000000000000000e+00,  2.186833801278467e-01
s44         , -1.257042213831158e-02, -2.120178073571580e-01,  2.637119113573407e-02, -1.449140596712476e-01
s45         , -2.453536714432208e-01, -2.953879986257495e-01,  0.000000000000000e+00, -6.948988617327485e-02
s46         ,  4.319604697532172e-01,  8.769739992727297e-01,  1.367166474432911e-01, -1.221261891070327e-01
s47         , -5.858250576994644e-01,  2.437215890242102e-01,  7.561819842957265e-02, -1.485857391502637e-01
s48         , -1.351740028810569e+00, -1.625184178442338e+00,  7.742878013148284e-02, -1.010826161437994e+00
s49         ,  1.400180920836999e+00,  5.343569159302739e-01,  5.595034831802011e-02,  6.896902986346073e-02
