# c0 + a0 * ((O - NBI) * (face-area-avg + B))
# Property Label: $E$; Unit of the Property: Unitless
# RMSE: 0.705241145349934; Max AE: 2.68270086139499
# Coefficients
# Task   a0                      c0
# all ,  2.117704129849021e+00,  2.253922037570038e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         11|4|sub|32|8|add|mult; ((O - NBI) * (face-area-avg + B)); $\left(\left(O - NBI\right) \left(face-area-avg + B\right)\right)$; ((O - NBI) .* (face_sub_area_sub_avg + B)); ((newdata$O - newdata$NBI) * (newdata$face_sub_area_sub_avg + newdata$B)); O,NBI,face-area-avg,B
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
s1          ,  6.774572406644882e-01,  2.616787142708719e-01,  1.713483484421173e-02
s2          ,  1.967875961713064e+00,  2.569314296859690e-01,  1.489312198263211e-02
s3          , -1.271285198486554e+00, -7.717116425985866e-01, -4.708419048258066e-01
s4          , -1.922048452937919e-01, -6.188464718518676e-01, -3.986575195794987e-01
s5          ,  2.455067115358116e-01, -3.119329000277912e-02, -1.211621067094372e-01
s6          ,  1.771859120156342e-01,  3.117409344687345e-01,  4.077469061643036e-02
s7          , -1.787554844087500e-01,  4.115288159416915e-01,  8.789547584154642e-02
s8          ,  1.258527874893824e+00, -4.409380042842974e-01, -3.146474517612648e-01
s9          ,  1.207996528852184e+00,  8.307234554167433e-01,  2.858431653069949e-01
s10         , -3.778119871449526e-01,  1.564899162131776e-01, -3.253631447974674e-02
s11         ,  2.051916464504999e-01, -9.262453564239030e-01, -5.438141919584447e-01
s12         , -9.030892502610830e-01,  1.288854737227757e-03, -1.058237295101999e-01
s13         , -1.915336013610817e+00, -7.617202909179995e-01, -4.661238936835705e-01
s14         , -4.972857440368104e-01, -1.235620456060959e+00, -6.899040518573876e-01
s15         ,  9.892906044607527e-01,  6.182933350632409e-01,  1.855316452229087e-01
s16         ,  7.196956197004112e-01,  5.883175269549509e-01,  1.713767839815382e-01
s17         , -8.233048349290433e-01, -3.000630932589644e-01, -2.481249810158465e-01
s18         ,  6.436893120625885e-01,  2.815041191436889e-01,  2.649657928876284e-02
s19         ,  6.782210382119218e-01,  1.319993777498652e+00,  5.168812575436053e-01
s20         ,  1.358387811126361e-01, -7.966480068555066e-01, -4.826170928256042e-01
s21         ,  1.192439177417436e+00,  6.047666444085913e-01,  1.791442134452628e-01
s22         , -1.675888320916539e+00, -1.526591550406246e+00, -8.273033656916722e-01
s23         ,  1.682267394333138e+00,  1.228834221325324e+00,  4.738348494602308e-01
s24         , -5.344901610254715e-02,  1.884272130436422e-01, -1.745521963731400e-02
s25         ,  7.630444568978922e-01,  9.334698222405647e-01,  3.343609754087992e-01
s26         , -7.690353008448225e-01, -1.515701952452092e+00, -8.221611941292406e-01
s27         ,  1.318355805735755e-01,  2.859056795513444e-01,  2.857503791082226e-02
s28         , -1.557515501210242e+00, -1.137491894045228e+00, -6.435668130370018e-01
s29         ,  1.315402392066626e+00,  1.152048082949278e+00,  4.375757057518410e-01
s30         , -1.602536800620832e+00, -7.295112368754355e-01, -4.509144725049565e-01
s31         , -6.577868421803238e-01,  2.075302314038110e-01, -8.434592963874591e-03
s32         ,  1.122204297021453e+00,  6.176458155935517e-01,  1.852258803804255e-01
s33         ,  1.732999170998263e+00,  7.634085216671449e-01,  2.540564143625192e-01
s34         ,  1.815120104294484e+00,  4.241386863184000e-01,  9.384997637775096e-02
s35         ,  5.934117724273275e-01,  7.302316527122620e-01,  2.383899817918616e-01
s36         ,  9.702627198604924e-01,  1.793674526586817e-01, -2.173332452329087e-02
s37         ,  1.142962175227537e+00,  1.963066525689329e-01, -1.373447346969309e-02
s38         ,  2.376281988155590e-01,  6.456837663140392e-01,  1.984656669612292e-01
s39         , -9.901628269429662e-01,  2.974975908221754e-01,  3.404884849061150e-02
s40         , -6.175077579414836e-01,  3.091794902792811e-01,  3.956515234649461e-02
s41         , -6.558266813617915e-01, -7.117364268952328e-02, -1.400412089046973e-01
s42         , -1.132806252875512e-01, -4.006100751685184e-01, -2.956042206756013e-01
s43         ,  3.987508132795206e-01,  6.023747725792333e-01,  1.780147488540366e-01
s44         , -1.257042213831158e-02, -1.944719847996038e-01, -1.982638568998499e-01
s45         , -2.453536714432208e-01, -9.027645302861279e-02, -1.490617373486077e-01
s46         ,  4.319604697532172e-01, -9.590497911879689e-02, -1.517195808173199e-01
s47         , -5.858250576994644e-01, -2.108241898164774e-01, -2.059855233906450e-01
s48         , -1.351740028810569e+00, -1.965101544213737e+00, -1.034371948893025e+00
s49         ,  1.400180920836999e+00,  1.721812187146276e-01, -2.512673243271703e-02
s50         ,  6.339509690024701e-01, -3.156390697317359e-01, -2.554801050169892e-01
s51         ,  9.663578673416964e-01,  7.831225734198535e-01,  2.633655768063372e-01
s52         ,  1.470345916377529e-01, -2.558406010732109e-01, -2.272427002654632e-01
s53         , -1.879048126514940e+00,  3.819442368694918e-01,  7.392535666615958e-02
s54         ,  2.462378298792408e+00,  1.434984618200753e+00,  5.711810244852219e-01
s55         ,  2.147693442064033e-01, -3.161360537163749e-01, -2.557147855739348e-01
s56         ,  1.250856345991485e+00,  9.952957990333273e-01,  3.635557887546892e-01
s57         ,  3.470878239384724e-01,  7.899451528446149e-01,  2.665872635984613e-01
s58         ,  2.650904256602346e+00,  5.537839760684242e-01,  1.550697133195999e-01
s59         ,  2.436955679659398e-02,  1.620723931402836e-01, -2.990021586312649e-02
s60         , -1.350996154759193e+00, -1.254414516903807e+00, -6.987787858572631e-01
s61         , -1.175408395594881e+00, -7.294717989951613e-01, -4.508958495633858e-01
