# c0 + a0 * ((O - NBI) * (face-area-avg - poly_dist_avg))
# Property Label: $E$; Unit of the Property: Unitless
# RMSE: 0.705521864492184; Max AE: 2.71202266373438
# Coefficients
# Task   a0                      c0
# all ,  2.041563594627267e+00,  8.843581547599048e-02, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         11|4|sub|32|29|sub|mult; ((O - NBI) * (face-area-avg - poly_dist_avg)); $\left(\left(O - NBI\right) \left(face-area-avg - poly_{dist, avg}\right)\right)$; ((O - NBI) .* (face_sub_area_sub_avg - poly_dist_avg)); ((newdata$O - newdata$NBI) * (newdata$face_sub_area_sub_avg - newdata$poly_dist_avg)); O,NBI,face-area-avg,poly_dist_avg
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
s1          ,  6.774572406644882e-01,  1.447723028805971e-01,  2.759477468782551e-02
s2          ,  1.967875961713064e+00,  2.581898283752445e-01,  8.314902036164412e-02
s3          , -1.271285198486554e+00, -6.857241884299344e-01, -3.791995536868227e-01
s4          , -1.922048452937919e-01, -6.282185412502044e-01, -3.510321004019648e-01
s5          ,  2.455067115358116e-01,  6.164326034066719e-03, -4.029827415537564e-02
s6          ,  1.771859120156342e-01,  2.142105698165056e-01,  6.160707149731388e-02
s7          , -1.787554844087500e-01,  3.261645822915943e-01,  1.164444582775814e-01
s8          ,  1.258527874893824e+00, -4.750128385812597e-01, -2.759887840575059e-01
s9          ,  1.207996528852184e+00,  8.390801249536386e-01,  3.676810810366626e-01
s10         , -3.778119871449526e-01,  1.096445517762638e-01,  1.038847692821709e-02
s11         ,  2.051916464504999e-01, -9.195295874623771e-01, -4.937222654199975e-01
s12         , -9.030892502610830e-01, -1.235023472232500e-01, -1.038116878930409e-01
s13         , -1.915336013610817e+00, -4.982714508933089e-01, -2.873813325792656e-01
s14         , -4.972857440368104e-01, -1.241288027129532e+00, -6.513261923875037e-01
s15         ,  9.892906044607527e-01,  5.693064333011434e-01,  2.355403569551536e-01
s16         ,  7.196956197004112e-01,  5.363297259325682e-01,  2.193876848290640e-01
s17         , -8.233048349290433e-01, -3.025995819668990e-01, -1.915372112198551e-01
s18         ,  6.436893120625885e-01,  2.191773866181307e-01,  6.403992091464092e-02
s19         ,  6.782210382119218e-01,  1.532551293971392e+00,  7.073575774449766e-01
s20         ,  1.358387811126361e-01, -7.584805881656248e-01, -4.148371404498124e-01
s21         ,  1.192439177417436e+00,  5.557018555499202e-01,  2.288765538842985e-01
s22         , -1.675888320916539e+00, -1.504127747771292e+00, -7.800705143050127e-01
s23         ,  1.682267394333138e+00,  1.387503816205130e+00,  6.363103280974765e-01
s24         , -5.344901610254715e-02,  1.868589159464550e-01,  4.820966671304395e-02
s25         ,  7.630444568978922e-01,  9.465271571266534e-01,  4.203108558111445e-01
s26         , -7.690353008448225e-01, -1.458468005633488e+00, -7.577054298873803e-01
s27         ,  1.318355805735755e-01,  2.273943254642845e-01,  6.806474721335537e-02
s28         , -1.557515501210242e+00, -1.136523048700872e+00, -6.000101429123038e-01
s29         ,  1.315402392066626e+00,  1.229969683196077e+00,  5.591468572050530e-01
s30         , -1.602536800620832e+00, -4.934531253804200e-01, -2.850212172610021e-01
s31         , -6.577868421803238e-01,  1.078644642287747e-01,  9.516553294697323e-03
s32         ,  1.122204297021453e+00,  5.990664764243909e-01,  2.501174405206945e-01
s33         ,  1.732999170998263e+00,  8.237396864746683e-01,  3.601670175417309e-01
s34         ,  1.815120104294484e+00,  3.625283788220863e-01,  1.342561966070607e-01
s35         ,  5.934117724273275e-01,  6.886057536378222e-01,  2.939756271816780e-01
s36         ,  9.702627198604924e-01,  8.565561037836467e-02, -1.361801858606032e-03
s37         ,  1.142962175227537e+00,  1.608791318967006e-01,  3.548423209120569e-02
s38         ,  2.376281988155590e-01,  5.775933824551245e-01,  2.395994757481169e-01
s39         , -9.901628269429662e-01,  1.760643226515297e-01,  4.292225204551504e-02
s40         , -6.175077579414836e-01,  2.488850221465492e-01,  7.859133415819569e-02
s41         , -6.558266813617915e-01, -1.197699993950111e-01, -1.019835068664683e-01
s42         , -1.132806252875512e-01, -4.074857151170321e-01, -2.429126047790660e-01
s43         ,  3.987508132795206e-01,  5.348918430950380e-01,  2.186833801278467e-01
s44         , -1.257042213831158e-02, -2.074154530984719e-01, -1.449140596712476e-01
s45         , -2.453536714432208e-01, -5.343220633016012e-02, -6.948988617327485e-02
s46         ,  4.319604697532172e-01, -1.608925661554925e-01, -1.221261891070327e-01
s47         , -5.858250576994644e-01, -2.149114202539713e-01, -1.485857391502637e-01
s48         , -1.351740028810569e+00, -1.975230076212642e+00, -1.010826161437994e+00
s49         ,  1.400180920836999e+00,  2.292404760019927e-01,  6.896902986346073e-02
s50         ,  6.339509690024701e-01, -3.292129579899959e-01, -2.045729922717580e-01
s51         ,  9.663578673416964e-01,  8.719212960931052e-01,  3.837673647193722e-01
s52         ,  1.470345916377529e-01, -2.001277166459071e-01, -1.413443758897853e-01
s53         , -1.879048126514940e+00,  3.407833597032864e-01,  1.236050372819112e-01
s54         ,  2.462378298792408e+00,  1.605900747418648e+00,  7.432856541604352e-01
s55         ,  2.147693442064033e-01, -3.351543389039052e-01, -2.074832033127195e-01
s56         ,  1.250856345991485e+00,  9.904166082595980e-01,  4.418088151441026e-01
s57         ,  3.470878239384724e-01,  9.374714536124186e-01,  4.158751852603635e-01
s58         ,  2.650904256602346e+00,  4.801487347370532e-01,  1.918690753949199e-01
s59         ,  2.436955679659398e-02,  1.190678403798845e-01,  1.500419824516244e-02
s60         , -1.350996154759193e+00, -1.261376381056919e+00, -6.611658828973916e-01
s61         , -1.175408395594881e+00, -7.389153084070396e-01, -4.052536624675077e-01
s62         ,  5.137509822735412e-02, -4.269477173448293e-02, -6.423046901677058e-02
s63         ,  1.630781368412474e+00,  8.004051797258380e-01,  3.487372943578736e-01
s64         , -7.346563779561162e-02,  1.258304380327117e+00,  5.730257768750585e-01
s65         ,  6.477994742971301e-01,  6.044347734454707e-01,  2.527469432387128e-01
s66         ,  1.102507059534665e+00,  5.351812000138656e-01,  2.188251131209256e-01
s67         , -2.689254974131806e-01,  3.086688334616047e-01,  1.078746792728848e-01
s68         ,  1.634793292022643e+00,  9.241188853395421e-01,  4.093348216351421e-01
s69         ,  3.008420412735001e-01,  9.193935997263291e-01,  4.070202791806976e-01
s70         ,  4.428344099007711e-01,  3.180853606888371e-01,  1.124870887280758e-01
s71         , -2.587880550234566e-02, -5.914053399159089e-01, -3.330002343209004e-01
s72         ,  3.320850724266521e-01,  9.519576484566422e-01,  4.229708225857677e-01
s73         , -1.001377721869569e+00,  1.251576115044034e-01,  1.798709387503419e-02
