# c0 + a0 * ((WE / RBI) + (face-area-avg + B))
# Property Label: $E$; Unit of the Property: Unitless
# RMSE: 0.708965136716539; Max AE: 2.53576689996927
# Coefficients
# Task   a0                      c0
# all , -8.970526497198653e-01,  8.497057766590174e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         7|6|div|32|8|add|add; ((WE / RBI) + (face-area-avg + B)); $\left(\left(\frac{ WE }{ RBI } \right) + \left(face-area-avg + B\right)\right)$; ((WE ./ RBI) + (face_sub_area_sub_avg + B)); ((newdata$WE / newdata$RBI) + (newdata$face_sub_area_sub_avg + newdata$B)); WE,RBI,face-area-avg,B
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
s1          ,  6.774572406644882e-01,  1.888085402633123e-01,  7.367429733384014e-01
s2          ,  1.967875961713064e+00,  1.918940923698672e-01,  7.333033178092433e-01
s3          , -1.271285198486554e+00, -7.366640336747213e-01,  1.768424418376263e+00
s4          , -1.922048452937919e-01, -4.940831003257763e-01,  1.498004467635692e+00
s5          ,  2.455067115358116e-01, -1.731445844051681e-01,  1.140234479418354e+00
s6          ,  1.771859120156342e-01,  3.281551884906212e-01,  5.814046570524793e-01
s7          , -1.787554844087500e-01,  3.234725158014455e-01,  5.866247215499623e-01
s8          ,  1.258527874893824e+00, -2.089407928584516e-01,  1.180138724129589e+00
s9          ,  1.207996528852184e+00,  1.258767174356368e+00, -4.560060079250569e-01
s10         , -3.778119871449526e-01,  4.493319897122584e-01,  4.463213915836368e-01
s11         ,  2.051916464504999e-01, -1.312078648970537e+00,  2.409874633673557e+00
s12         , -9.030892502610830e-01, -6.794058061631548e-01,  1.704595135301912e+00
s13         , -1.915336013610817e+00, -4.974915858999168e-01,  1.501804117048918e+00
s14         , -4.972857440368104e-01, -8.910120138099628e-01,  1.940485645979171e+00
s15         ,  9.892906044607527e-01,  1.920784994238387e-01,  7.330977478752722e-01
s16         ,  7.196956197004112e-01,  9.782646077670084e-01, -1.433124701745632e-01
s17         , -8.233048349290433e-01, -8.566648689220474e-01,  1.902196761933579e+00
