# c0 + a0 * ((S + NBI) * (poly_dist_avg + PF))
# Property Label: $E$; Unit of the Property: Unitless
# RMSE: 0.709532026980164; Max AE: 3.14209064134113
# Coefficients
# Task   a0                      c0
# all ,  5.401255718153187e+00, -2.532692443106495e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         10|4|add|29|2|add|mult; ((S + NBI) * (poly_dist_avg + PF)); $\left(\left(S + NBI\right) \left(poly_{dist, avg} + PF\right)\right)$; ((S + NBI) .* (poly_dist_avg + PF)); ((newdata$S + newdata$NBI) * (newdata$poly_dist_avg + newdata$PF)); S,NBI,poly_dist_avg,PF
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
s1          ,  6.774572406644882e-01,  4.730417294339873e-02,  4.776660744609318e-01
s2          ,  1.967875961713064e+00,  8.065101726357238e-02,  4.838399803191746e-01
s3          , -1.271285198486554e+00, -7.655216746195863e-01,  3.271777639684027e-01
s4          , -1.922048452937919e-01, -4.977868088978981e-01,  3.767467678616738e-01
s5          ,  2.455067115358116e-01, -1.019237273344520e-01,  4.500377028257382e-01
s6          ,  1.771859120156342e-01,  2.588749828642776e-01,  5.168367453124907e-01
s7          , -1.787554844087500e-01,  9.522517947440923e-02,  4.865382717853340e-01
s8          ,  1.258527874893824e+00, -4.654288670593618e-01,  3.827375862059680e-01
s9          ,  1.207996528852184e+00,  1.389653296499455e+00,  7.261914532991395e-01
s10         , -3.778119871449526e-01,  4.299857971185652e-01,  5.485165662991546e-01
s11         ,  2.051916464504999e-01, -9.295909783672587e-01,  2.968016232505603e-01
s12         , -9.030892502610830e-01, -9.666067119248964e-01,  2.899484514162346e-01
s13         , -1.915336013610817e+00, -1.046041729953915e+00,  2.752416828101781e-01
s14         , -4.972857440368104e-01, -7.775027233316427e-01,  3.249595670643404e-01
s15         ,  9.892906044607527e-01,  7.920752334592396e-01,  6.155545765758613e-01
s16         ,  7.196956197004112e-01,  1.023912227947426e+00,  6.584773720489585e-01
s17         , -8.233048349290433e-01, -2.623602120626471e-01,  4.203341499669130e-01
s18         ,  6.436893120625885e-01, -2.013247007448595e-01,  4.316343946697609e-01
s19         ,  6.782210382119218e-01,  7.711682464772047e-01,  6.116838124289671e-01
s20         ,  1.358387811126361e-01, -6.779366952877079e-01,  3.433934337870918e-01
s21         ,  1.192439177417436e+00,  6.245804091347993e-01,  5.845442276746783e-01
s22         , -1.675888320916539e+00, -7.551357093702584e-01,  3.291006437192024e-01
s23         ,  1.682267394333138e+00,  1.039072828255765e+00,  6.612842379148692e-01
s24         , -5.344901610254715e-02, -1.594821406859355e-01,  4.393812154541009e-01
s25         ,  7.630444568978922e-01,  1.676122139086705e+00,  7.792289056131358e-01
s26         , -7.690353008448225e-01, -1.062602168220229e+00,  2.721756479600494e-01
s27         ,  1.318355805735755e-01,  2.221151804877621e-01,  5.100309571227243e-01
s28         , -1.557515501210242e+00, -9.358125006895748e-01,  2.956497573425259e-01
s29         ,  1.315402392066626e+00,  1.908044535440923e+00,  8.221675125698006e-01
s30         , -1.602536800620832e+00, -8.348238541883157e-01,  3.143470106797164e-01
s31         , -6.577868421803238e-01, -2.269590832043611e-01,  4.268883904446052e-01
s32         ,  1.122204297021453e+00,  6.408219868854728e-01,  5.875512280090796e-01
s33         ,  1.732999170998263e+00,  1.064869031393632e+00,  6.660602019654451e-01
s34         ,  1.815120104294484e+00,  7.576246349430589e-01,  6.091763193123892e-01
s35         ,  5.934117724273275e-01,  1.271380331431868e+00,  7.042941443696472e-01
s36         ,  9.702627198604924e-01, -2.850099153324468e-01,  4.161407356107521e-01
s37         ,  1.142962175227537e+00, -3.879972945058143e-01,  3.970734326450296e-01
s38         ,  2.376281988155590e-01,  8.618086934567342e-01,  6.284651780426880e-01
s39         , -9.901628269429662e-01, -1.276116517138148e-01,  4.452817857353794e-01
s40         , -6.175077579414836e-01,  3.607884068882794e-01,  5.357052139320154e-01
s41         , -6.558266813617915e-01, -1.454513142385951e-01,  4.419789125785277e-01
s42         , -1.132806252875512e-01, -3.615571796035368e-01,  4.019686118925914e-01
s43         ,  3.987508132795206e-01,  1.873590144311064e-01,  5.035961264332898e-01
s44         , -1.257042213831158e-02,  1.655842320233032e-01,  4.995646967909901e-01
s45         , -2.453536714432208e-01, -4.609617539421578e-01,  3.835646370530869e-01
s46         ,  4.319604697532172e-01, -5.178955079833041e-01,  3.730238004380389e-01
