# c0 + a0 * ((Ge * S) + (P / WE)) + a1 * ((O - NBI) * (face-area-avg * NBI))
# Property Label: $E$; Unit of the Property: Unitless
# RMSE: 0.635924349476726; Max AE: 2.82415458060883
# Coefficients
# Task   a0                      a1                      c0
# all ,  9.359045440497793e+00,  4.620452143754304e+00, -1.148874294442606e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         18|10|mult|16|7|div|add; ((Ge * S) + (P / WE)); $\left(\left(Ge S\right) + \left(\frac{ P }{ WE } \right)\right)$; ((Ge .* S) + (P ./ WE)); ((newdata$Ge * newdata$S) + (newdata$P / newdata$WE)); Ge,S,P,WE
# 1;  2; Unitless;                                         11|4|sub|32|4|mult|mult; ((O - NBI) * (face-area-avg * NBI)); $\left(\left(O - NBI\right) \left(face-area-avg NBI\right)\right)$; ((O - NBI) .* (face_sub_area_sub_avg .* NBI)); ((newdata$O - newdata$NBI) * (newdata$face_sub_area_sub_avg * newdata$NBI)); O,NBI,face-area-avg,NBI
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
s1          ,  6.774572406644882e-01,  5.094152897009060e-01,  6.113503037240339e-02,  1.128400214124218e-02
s2          ,  1.967875961713064e+00,  4.094275392809927e-01,  5.124701059104886e-02,  9.672617857186906e-03
s3          , -1.271285198486554e+00, -1.040859147736291e+00,  0.000000000000000e+00, -2.004071656804653e-01
s4          , -1.922048452937919e-01, -7.298871437612430e-01,  1.508548441166611e-02, -1.636604870888794e-01
s5          ,  2.455067115358116e-01,  1.023850548922555e-01,  6.246003301458888e-02, -7.949304341535122e-02
s6          ,  1.771859120156342e-01,  7.390655447616621e-01,  7.768714277787027e-02,  2.745953661199560e-02
s7          , -1.787554844087500e-01,  1.244694949322168e-01,  0.000000000000000e+00,  5.180378822882695e-02
s8          ,  1.258527874893824e+00,  9.848147142109901e-01,  1.822916666666667e-01, -1.312369069598147e-01
s9          ,  1.207996528852184e+00,  1.154066183779009e+00,  3.896876345960580e-02,  1.957044802351474e-01
s10         , -3.778119871449526e-01,  2.897354068288023e-01,  5.078125000000000e-02, -1.528880460274972e-02
s11         ,  2.051916464504999e-01, -1.401415014056762e+00,  0.000000000000000e+00, -2.784419239903968e-01
s12         , -9.030892502610830e-01, -2.936171643265604e-01,  0.000000000000000e+00, -3.868230409525997e-02
s13         , -1.915336013610817e+00, -7.823542439481455e-01,  0.000000000000000e+00, -1.444591987401348e-01
s14         , -4.972857440368104e-01, -6.809601430116117e-01,  9.989258861439311e-02, -3.248539196769623e-01
s15         ,  9.892906044607527e-01,  7.086744799464832e-01,  3.961632479540865e-02,  9.799710317464386e-02
s16         ,  7.196956197004112e-01,  1.046892628742120e+00,  6.616520406741887e-02,  1.174207393259060e-01
s17         , -8.233048349290433e-01, -6.852280479169335e-01,  0.000000000000000e+00, -1.234382698333172e-01
s18         ,  6.436893120625885e-01,  3.107769797366889e-01,  3.867366155501748e-02,  1.378996066937653e-02
s19         ,  6.782210382119218e-01,  1.766530041512957e+00,  0.000000000000000e+00,  4.071933681859304e-01
s20         ,  1.358387811126361e-01, -9.709874163317471e-01,  0.000000000000000e+00, -1.852848942596927e-01
s21         ,  1.192439177417436e+00,  3.157399674315538e-01,  0.000000000000000e+00,  9.320027206816003e-02
s22         , -1.675888320916539e+00, -1.720376306489554e+00,  0.000000000000000e+00, -3.474744088012064e-01
s23         ,  1.682267394333138e+00,  1.907595167856820e+00,  3.689469638739432e-02,  3.629911976396553e-01
s24         , -5.344901610254715e-02, -1.670256890179945e-01,  0.000000000000000e+00, -1.128423322038122e-02
s25         ,  7.630444568978922e-01,  9.091365636914441e-01,  0.000000000000000e+00,  2.216285249312514e-01
s26         , -7.690353008448225e-01, -1.571933850670703e+00,  0.000000000000000e+00, -3.153471512947073e-01
s27         ,  1.318355805735755e-01,  6.911937683538421e-01,  7.910429597176585e-02,  1.422815240032824e-02
s28         , -1.557515501210242e+00, -1.155873050769508e+00,  4.760393525864805e-02, -3.217245776621329e-01
s29         ,  1.315402392066626e+00,  1.319941306704482e+00,  0.000000000000000e+00,  3.105385991473307e-01
s30         , -1.602536800620832e+00, -8.213861250646626e-01,  0.000000000000000e+00, -1.529068311150915e-01
s31         , -6.577868421803238e-01, -1.316446585599357e-01,  0.000000000000000e+00, -3.626750931362141e-03
s32         ,  1.122204297021453e+00,  8.683325239075400e-01,  5.293806246691372e-02,  1.055676384077233e-01
s33         ,  1.732999170998263e+00,  7.089941489881737e-01,  0.000000000000000e+00,  1.783118951997190e-01
s34         ,  1.815120104294484e+00,  2.505521410514410e-01,  1.962809917355372e-02,  3.933366102827864e-02
s35         ,  5.934117724273275e-01,  8.653305121678461e-01,  2.633498095778300e-02,  1.588042977883485e-01
s36         ,  9.702627198604924e-01,  5.997626992999373e-01,  8.343213454529487e-02, -1.432652208126892e-02
s37         ,  1.142962175227537e+00,  4.831108442765458e-01,  6.632949175026948e-02, -4.930784457076409e-03
s38         ,  2.376281988155590e-01,  3.528105001251444e-01,  0.000000000000000e+00,  1.012234116961076e-01
s39         , -9.901628269429662e-01, -3.356380245340822e-02,  0.000000000000000e+00,  1.760079413457006e-02
s40         , -6.175077579414836e-01,  2.495716621680759e-02,  7.384563150746943e-03,  1.530848743247220e-02
s41         , -6.558266813617915e-01, -3.706071438989652e-01,  0.000000000000000e+00, -5.534517109984002e-02
s42         , -1.132806252875512e-01,  1.039024323523465e-01,  8.607498087222648e-02, -1.269983493433066e-01
s43         ,  3.987508132795206e-01,  3.601913743729064e-01,  0.000000000000000e+00,  1.028208471890256e-01
s44         , -1.257042213831158e-02, -2.495169233990772e-01,  2.637119113573407e-02, -8.255440338881423e-02
s45         , -2.453536714432208e-01, -2.791326760506194e-01,  0.000000000000000e+00, -3.554744027126810e-02
s46         ,  4.319604697532172e-01,  8.449596890030764e-01,  1.367166474432911e-01, -6.919024101982788e-02
