# c0 + a0 * ((O - NBI) * (face-area-avg - poly_dist_avg_fixed))
# Property Label: $E$; Unit of the Property: Unitless
# RMSE: 0.707709012731312; Max AE: 2.71198467711169
# Coefficients
# Task   a0                      c0
# all ,  2.047002059288316e+00,  8.661066236249423e-02, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         11|4|sub|32|30|sub|mult; ((O - NBI) * (face-area-avg - poly_dist_avg_fixed)); $\left(\left(O - NBI\right) \left(face-area-avg - poly_{dist, avg, fixed}\right)\right)$; ((O - NBI) .* (face_sub_area_sub_avg - poly_dist_avg_fixed)); ((newdata$O - newdata$NBI) * (newdata$face_sub_area_sub_avg - newdata$poly_dist_avg_fixed)); O,NBI,face-area-avg,poly_dist_avg_fixed
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
s1          ,  6.774572406644882e-01,  1.430972229740702e-01,  2.759477468782551e-02
s2          ,  1.967875961713064e+00,  2.568168782705859e-01,  8.314902036164412e-02
s3          , -1.271285198486554e+00, -6.862971020110248e-01, -3.775803550692260e-01
s4          , -1.922048452937919e-01, -6.319527700366304e-01, -3.510321004019648e-01
s5          ,  2.455067115358116e-01,  2.359394532892337e-02, -3.078488209019193e-02
s6          ,  1.771859120156342e-01,  2.127204645842182e-01,  6.160707149731388e-02
s7          , -1.787554844087500e-01,  3.249727082494157e-01,  1.164444582775814e-01
s8          ,  1.258527874893824e+00, -4.783389469436986e-01, -2.759887840575059e-01
s9          ,  1.207996528852184e+00,  8.392545924058966e-01,  3.676810810366626e-01
s10         , -3.778119871449526e-01,  1.078758960274238e-01,  1.038847692821709e-02
s11         ,  2.051916464504999e-01, -9.230815300166029e-01, -4.932541165738438e-01
s12         , -9.030892502610830e-01, -7.040623939407203e-02, -7.670578592928069e-02
s13         , -1.915336013610817e+00, -5.016595172282826e-01, -2.873813325792656e-01
s14         , -4.972857440368104e-01, -1.245510917074190e+00, -6.507670929748965e-01
s15         ,  9.892906044607527e-01,  5.687622580951986e-01,  2.355403569551536e-01
s16         ,  7.196956197004112e-01,  5.356977049900842e-01,  2.193876848290640e-01
s17         , -8.233048349290433e-01, -3.054664034348903e-01, -1.915372112198551e-01
s18         ,  6.436893120625885e-01,  2.029387014652138e-01,  5.682849148826138e-02
s19         ,  6.782210382119218e-01,  1.535405345223712e+00,  7.077641550418972e-01
s20         ,  1.358387811126361e-01, -7.625618184075479e-01, -4.148371404498124e-01
s21         ,  1.192439177417436e+00,  5.217674114173181e-01,  2.125824676532644e-01
s22         , -1.675888320916539e+00, -1.506834346266282e+00, -7.784286300047846e-01
s23         ,  1.682267394333138e+00,  1.389139214324452e+00,  6.363103280974765e-01
s24         , -5.344901610254715e-02,  2.155260892595238e-01,  6.297767328179915e-02
s25         ,  7.630444568978922e-01,  9.469878497491414e-01,  4.203108558111445e-01
s26         , -7.690353008448225e-01, -1.459936587896743e+00, -7.555181702147031e-01
s27         ,  1.318355805735755e-01,  2.526597130576158e-01,  8.111816494842811e-02
s28         , -1.557515501210242e+00, -1.137947201795841e+00, -5.982201427701929e-01
s29         ,  1.315402392066626e+00,  1.231185430505827e+00,  5.591468572050530e-01
s30         , -1.602536800620832e+00, -4.959031557750987e-01, -2.845692389484534e-01
s31         , -6.577868421803238e-01,  1.359631190878041e-01,  2.410962729684223e-02
s32         ,  1.122204297021453e+00,  5.986015781722785e-01,  2.501174405206945e-01
s33         ,  1.732999170998263e+00,  7.745358312670734e-01,  3.360647175624978e-01
s34         ,  1.815120104294484e+00,  3.614333732893644e-01,  1.342561966070607e-01
s35         ,  5.934117724273275e-01,  6.883793765839633e-01,  2.939756271816780e-01
s36         ,  9.702627198604924e-01,  8.382305115358503e-02, -1.361801858606032e-03
s37         ,  1.142962175227537e+00,  1.592469585254568e-01,  3.548423209120569e-02
s38         ,  2.376281988155590e-01,  5.832491159775469e-01,  2.426174665343130e-01
s39         , -9.901628269429662e-01,  1.679527439556470e-01,  3.973717623978996e-02
s40         , -6.175077579414836e-01,  2.474872852265370e-01,  7.859133415819569e-02
s41         , -6.558266813617915e-01, -1.218654643290776e-01, -1.018446101437011e-01
s42         , -1.132806252875512e-01, -4.106319398473427e-01, -2.429126047790660e-01
s43         ,  3.987508132795206e-01,  5.342559918163259e-01,  2.186833801278467e-01
s44         , -1.257042213831158e-02, -2.097153022561845e-01, -1.447609509106712e-01
s45         , -2.453536714432208e-01,  1.294744865150470e-02, -3.598590112635262e-02
s46         ,  4.319604697532172e-01, -1.377243010428854e-01, -1.095919578524384e-01
s47         , -5.858250576994644e-01, -2.147470926936682e-01, -1.472190776207309e-01
s48         , -1.351740028810569e+00, -1.977326252663437e+00, -1.008273003762147e+00
s49         ,  1.400180920836999e+00,  2.467360694241071e-01,  7.822435074505195e-02
s50         ,  6.339509690024701e-01, -3.321506740925672e-01, -2.045729922717580e-01
s51         ,  9.663578673416964e-01,  8.721832482306993e-01,  3.837673647193722e-01
s52         ,  1.470345916377529e-01, -2.027215661527180e-01, -1.413443758897853e-01
s53         , -1.879048126514940e+00,  3.451439804864156e-01,  1.262985139418013e-01
s54         ,  2.462378298792408e+00,  1.608117927068368e+00,  7.432856541604352e-01
s55         ,  2.147693442064033e-01, -3.381078820863790e-01, -2.074832033127195e-01
s56         ,  1.250856345991485e+00,  9.909942167742030e-01,  4.418088151441026e-01
s57         ,  3.470878239384724e-01,  9.379080229973681e-01,  4.158751852603635e-01
s58         ,  2.650904256602346e+00,  4.793670548096403e-01,  1.918690753949199e-01
s59         ,  2.436955679659398e-02,  1.173242870683119e-01,  1.500419824516244e-02
s60         , -1.350996154759193e+00, -1.265111268252023e+00, -6.603422426865915e-01
s61         , -1.175408395594881e+00, -7.429444192426260e-01, -4.052536624675077e-01
s62         ,  5.137509822735412e-02, -4.411832107905594e-02, -6.386363064383088e-02
s63         ,  1.630781368412474e+00,  8.004766220636970e-01,  3.487372943578736e-01
s64         , -7.346563779561162e-02,  1.260042587536015e+00,  5.732441351727267e-01
s65         ,  6.477994742971301e-01,  5.618426121619382e-01,  2.321599764118794e-01
s66         ,  1.102507059534665e+00,  5.632533059355441e-01,  2.328491275376464e-01
s67         , -2.689254974131806e-01,  3.074303529791561e-01,  1.078746792728848e-01
s68         ,  1.634793292022643e+00,  9.295007608872751e-01,  4.117680755132360e-01
s69         ,  3.008420412735001e-01,  9.197820120174874e-01,  4.070202791806976e-01
s70         ,  4.428344099007711e-01,  3.168719646322128e-01,  1.124870887280758e-01
s71         , -2.587880550234566e-02, -5.950415030358804e-01, -3.330002343209004e-01
s72         ,  3.320850724266521e-01,  9.524328072144336e-01,  4.229708225857677e-01
s73         , -1.001377721869569e+00,  1.262940714583762e-01,  1.938611097913536e-02
s74         ,  1.535377236435878e+00,  1.038839058013472e+00,  4.651819431886846e-01
s75         ,  2.223324131252060e-01,  4.173334011731860e-01,  1.615644387410507e-01
s76         , -5.720277382811452e-01, -5.736196774258792e-01, -3.225352592062935e-01
s77         , -1.197863875151751e+00, -6.238037102616784e-01, -3.470511274772061e-01
s78         , -1.436625202734528e+00, -8.063313683081113e-01, -4.362194100483983e-01
s79         ,  4.409066269069510e-01,  5.619832011116591e-01,  2.322286568262850e-01
s80         ,  6.309139277294878e-01,  4.424066410503245e-01,  1.738132001740781e-01
s81         , -1.685326208098238e+00, -3.355953771556239e-01, -2.062557961787821e-01
s82         , -1.663665661245249e-01, -2.500236897229366e-01, -1.644523758820590e-01
s83         , -1.321966357459877e+00, -8.997208209664557e-01, -4.818419594906853e-01
s84         ,  1.425519064192979e+00, -9.566140969766646e-02, -8.904342388572463e-02
s85         , -6.984731689207798e-01,  7.101687410841685e-02, -7.617866422420158e-03
s86         , -2.932580333118892e-01,  2.976356868808239e-01,  1.030897959094858e-01
s87         ,  3.346071912195332e-02, -3.559294438242494e-02, -5.969881964232410e-02
s88         , -7.344698336486584e-02, -2.308517828253143e-01, -1.550865294674795e-01
s89         ,  2.903456543575506e-01,  3.526410812112961e-01,  1.299609922919634e-01
s90         ,  3.160753830639385e-01,  7.805410393369741e-02, -4.180043879277628e-03
s91         ,  4.911838748491691e-01,  9.436097115040493e-01,  4.186605701019711e-01
s92         , -8.899315452749768e-01, -7.903811544285885e-01, -4.284274228312149e-01
s93         ,  8.806558878772817e-01,  3.199788122797064e-01,  1.140048437461502e-01
s94         ,  2.174850994919374e-01,  5.183569331736042e-01,  2.109163832308092e-01
