# c0 + a0 * ((O - NBI) * (face-area-avg * NBI))
# Property Label: $E$; Unit of the Property: Unitless
# RMSE: 0.708005709157566; Max AE: 2.63818540679264
# Coefficients
# Task   a0                      c0
# all ,  4.078924391939822e+00,  1.227774142420036e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         11|4|sub|32|4|mult|mult; ((O - NBI) * (face-area-avg * NBI)); $\left(\left(O - NBI\right) \left(face-area-avg NBI\right)\right)$; ((O - NBI) .* (face_sub_area_sub_avg .* NBI)); ((newdata$O - newdata$NBI) * (newdata$face_sub_area_sub_avg * newdata$NBI)); O,NBI,face-area-avg,NBI
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
s1          ,  6.774572406644882e-01,  1.688040058146175e-01,  1.128400214124218e-02
s2          ,  1.967875961713064e+00,  1.622312911535959e-01,  9.672617857186906e-03
s3          , -1.271285198486554e+00, -6.946682621715716e-01, -2.004071656804653e-01
s4          , -1.922048452937919e-01, -5.447813385415790e-01, -1.636604870888794e-01
s5          ,  2.455067115358116e-01, -2.014686995344038e-01, -7.949304341535122e-02
s6          ,  1.771859120156342e-01,  2.347827879200370e-01,  2.745953661199560e-02
s7          , -1.787554844087500e-01,  3.340811496434508e-01,  5.180378822882695e-02
s8          ,  1.258527874893824e+00, -4.125280066791214e-01, -1.312369069598147e-01
s9          ,  1.207996528852184e+00,  9.210411922850511e-01,  1.957044802351474e-01
s10         , -3.778119871449526e-01,  6.041553622424592e-02, -1.528880460274972e-02
s11         ,  2.051916464504999e-01, -1.012966141261080e+00, -2.784419239903968e-01
s12         , -9.030892502610830e-01, -3.500477946858598e-02, -3.868230409525997e-02
s13         , -1.915336013610817e+00, -4.664607351392147e-01, -1.444591987401348e-01
s14         , -4.972857440368104e-01, -1.202277162545617e+00, -3.248539196769623e-01
s15         ,  9.892906044607527e-01,  5.225001887205017e-01,  9.799710317464386e-02
s16         ,  7.196956197004112e-01,  6.017277319980492e-01,  1.174207393259060e-01
s17         , -8.233048349290433e-01, -3.807179554799635e-01, -1.234382698333172e-01
s18         ,  6.436893120625885e-01,  1.790256211802143e-01,  1.378996066937653e-02
s19         ,  6.782210382119218e-01,  1.783688375971727e+00,  4.071933681859304e-01
s20         ,  1.358387811126361e-01, -6.329856604118475e-01, -1.852848942596927e-01
s21         ,  1.192439177417436e+00,  5.029342773162492e-01,  9.320027206816003e-02
s22         , -1.675888320916539e+00, -1.294544427392107e+00, -3.474744088012064e-01
s23         ,  1.682267394333138e+00,  1.603391064353842e+00,  3.629911976396553e-01
s24         , -5.344901610254715e-02,  7.674988011505297e-02, -1.128423322038122e-02
s25         ,  7.630444568978922e-01,  1.026783410533728e+00,  2.216285249312514e-01
s26         , -7.690353008448225e-01, -1.163499773102715e+00, -3.153471512947073e-01
s27         ,  1.318355805735755e-01,  1.808129721199395e-01,  1.422815240032824e-02
s28         , -1.557515501210242e+00, -1.189512813070608e+00, -3.217245776621329e-01
s29         ,  1.315402392066626e+00,  1.389440880942873e+00,  3.105385991473307e-01
s30         , -1.602536800620832e+00, -5.009179888875660e-01, -1.529068311150915e-01
s31         , -6.577868421803238e-01,  1.079841714045801e-01, -3.626750931362141e-03
s32         ,  1.122204297021453e+00,  5.533798295427494e-01,  1.055676384077233e-01
s33         ,  1.732999170998263e+00,  8.500981529451546e-01,  1.783118951997190e-01
s34         ,  1.815120104294484e+00,  2.832164436345421e-01,  3.933366102827864e-02
s35         ,  5.934117724273275e-01,  7.705281380357732e-01,  1.588042977883485e-01
s36         ,  9.702627198604924e-01,  6.434061387305133e-02, -1.432652208126892e-02
s37         ,  1.142962175227537e+00,  1.026651172486369e-01, -4.930784457076409e-03
s38         ,  2.376281988155590e-01,  5.356600572446237e-01,  1.012234116961076e-01
s39         , -9.901628269429662e-01,  1.945697227550127e-01,  1.760079413457006e-02
s40         , -6.175077579414836e-01,  1.852195770340186e-01,  1.530848743247220e-02
s41         , -6.558266813617915e-01, -1.029713541332168e-01, -5.534517109984002e-02
s42         , -1.132806252875512e-01, -3.952392506305043e-01, -1.269983493433066e-01
s43         ,  3.987508132795206e-01,  5.421758758412372e-01,  1.028208471890256e-01
s44         , -1.257042213831158e-02, -2.139557554026703e-01, -8.255440338881423e-02
