# c0 + a0 * ((Ge * S) + (poly_dist_avg_fixed * P)) + a1 * ((O - NBI) * (face-area-avg * NBI))
# Property Label: $E$; Unit of the Property: Unitless
# RMSE: 0.635039019075586; Max AE: 2.78840877724585
# Coefficients
# Task   a0                      a1                      c0
# all ,  1.081267645205828e+01,  4.414543172926215e+00, -7.553615997693372e-02, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         18|10|mult|30|16|mult|add; ((Ge * S) + (poly_dist_avg_fixed * P)); $\left(\left(Ge S\right) + \left(poly_{dist, avg, fixed} P\right)\right)$; ((Ge .* S) + (poly_dist_avg_fixed .* P)); ((newdata$Ge * newdata$S) + (newdata$poly_dist_avg_fixed * newdata$P)); Ge,S,poly_dist_avg_fixed,P
# 1;  2; Unitless;                                         11|4|sub|32|4|mult|mult; ((O - NBI) * (face-area-avg * NBI)); $\left(\left(O - NBI\right) \left(face-area-avg NBI\right)\right)$; ((O - NBI) .* (face_sub_area_sub_avg .* NBI)); ((newdata$O - newdata$NBI) * (newdata$face_sub_area_sub_avg * newdata$NBI)); O,NBI,face-area-avg,NBI
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
s1          ,  6.774572406644882e-01,  6.887138565617145e-01,  6.607395542541587e-02,  1.128400214124218e-02
s2          ,  1.967875961713064e+00,  5.194290089748459e-01,  5.107569640825448e-02,  9.672617857186906e-03
s3          , -1.271285198486554e+00, -9.602422450371249e-01,  0.000000000000000e+00, -2.004071656804653e-01
s4          , -1.922048452937919e-01, -7.557400695431857e-01,  3.910444983461126e-03, -1.636604870888794e-01
s5          ,  2.455067115358116e-01,  2.090500317887191e-01,  5.877468605370541e-02, -7.949304341535122e-02
s6          ,  1.771859120156342e-01,  9.190791650810392e-01,  8.077500691417734e-02,  2.745953661199560e-02
s7          , -1.787554844087500e-01,  1.531538996803497e-01,  0.000000000000000e+00,  5.180378822882695e-02
s8          ,  1.258527874893824e+00,  1.316173659940788e+00,  1.822916666666667e-01, -1.312369069598147e-01
s9          ,  1.207996528852184e+00,  1.167464671263257e+00,  3.505653348527699e-02,  1.957044802351474e-01
s10         , -3.778119871449526e-01,  4.060519781228792e-01,  5.078125000000000e-02, -1.528880460274972e-02
s11         ,  2.051916464504999e-01, -1.304730054585180e+00,  0.000000000000000e+00, -2.784419239903968e-01
s12         , -9.030892502610830e-01, -2.463008614337194e-01,  0.000000000000000e+00, -3.868230409525997e-02
