# c0 + a0 * ((B + SBI) * (face-area-count / WE)) + a1 * ((O - NBI) * (face-area-avg - Ge))
# Property Label: $E$; Unit of the Property: Unitless
# RMSE: 0.635768895372449; Max AE: 2.842992053647
# Coefficients
# Task   a0                      a1                      c0
# all , -2.395375775320893e-01,  2.218632232938256e+00,  8.804398829031732e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         8|5|add|34|7|div|mult; ((B + SBI) * (face-area-count / WE)); $\left(\left(B + SBI\right) \left(\frac{ face-area-count }{ WE } \right)\right)$; ((B + SBI) .* (face_sub_area_sub_count ./ WE)); ((newdata$B + newdata$SBI) * (newdata$face_sub_area_sub_count / newdata$WE)); B,SBI,face-area-count,WE
# 1;  2; Unitless;                                         11|4|sub|32|18|sub|mult; ((O - NBI) * (face-area-avg - Ge)); $\left(\left(O - NBI\right) \left(face-area-avg - Ge\right)\right)$; ((O - NBI) .* (face_sub_area_sub_avg - Ge)); ((newdata$O - newdata$NBI) * (newdata$face_sub_area_sub_avg - newdata$Ge)); O,NBI,face-area-avg,Ge
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
s1          ,  6.774572406644882e-01,  2.433962852800173e-01,  2.835618425170697e+00,  1.901783004915219e-02
s2          ,  1.967875961713064e+00,  4.126616552395614e-01,  2.185959540038333e+00,  2.516921205385040e-02
s3          , -1.271285198486554e+00, -1.251776123060477e+00,  5.044245342475472e+00, -4.164411218915453e-01
s4          , -1.922048452937919e-01, -4.252594944862760e-01,  1.758492170151177e+00, -3.986575195794987e-01
s5          ,  2.455067115358116e-01,  7.403743051620804e-02,  2.244275418368068e+00, -1.211621067094372e-01
s6          ,  1.771859120156342e-01,  2.949747386899328e-01,  2.821808561591502e+00,  4.077469061643036e-02
s7          , -1.787554844087500e-01,  2.017692424567193e-01,  3.728408815231510e+00,  9.664665104022961e-02
s8          ,  1.258527874893824e+00,  1.356853677066170e-01,  1.321580359264124e+00, -1.929956443738172e-01
s9          ,  1.207996528852184e+00,  1.097449247782857e+00,  1.829550493341027e+00,  2.953420798179975e-01
s10         , -3.778119871449526e-01,  5.752923107516207e-01,  1.516581611320630e+00,  2.620114874871266e-02
s11         ,  2.051916464504999e-01, -1.304142957803672e+00,  4.083113621567555e+00, -5.438141919584447e-01
s12         , -9.030892502610830e-01, -3.661694170545420e-01,  4.224077796399602e+00, -1.058237295101999e-01
s13         , -1.915336013610817e+00, -1.404517826766609e+00,  6.509020128389200e+00, -3.271397508935511e-01
s14         , -4.972857440368104e-01, -8.330731324165388e-01,  1.779959995095835e+00, -5.801528035522088e-01
s15         ,  9.892906044607527e-01,  5.167689008281122e-01,  3.766213699084404e+00,  2.427075185681628e-01
s16         ,  7.196956197004112e-01,  6.623383224294652e-01,  2.497827787843816e+00,  1.713767839815382e-01
s17         , -8.233048349290433e-01, -8.280441965389251e-01,  4.834256114191605e+00, -2.481249810158465e-01
s18         ,  6.436893120625885e-01,  9.063479683395716e-02,  3.542622663570142e+00,  2.649657928876284e-02
s19         ,  6.782210382119218e-01,  1.544397421468488e+00,  2.710337474929926e+00,  5.918895399195325e-01
s20         ,  1.358387811126361e-01, -8.370407501928988e-01,  2.937410834538475e+00, -4.569754024674483e-01
s21         ,  1.192439177417436e+00,  4.871416269312968e-01,  3.301166315585601e+00,  1.791442134452628e-01
s22         , -1.675888320916539e+00, -1.457359751365140e+00,  2.207550055163953e+00, -8.153710267599155e-01
s23         ,  1.682267394333138e+00,  1.526454685822837e+00,  1.854660487355743e+00,  4.914179407559726e-01
s24         , -5.344901610254715e-02,  3.171825547226215e-01,  2.653548487060901e+00,  3.261795587370381e-02
s25         ,  7.630444568978922e-01,  1.271812226146293e+00,  1.599039896634555e+00,  3.490449994204491e-01
s26         , -7.690353008448225e-01, -1.955583898409539e+00,  4.574152980250751e+00, -7.844212444607960e-01
s27         ,  1.318355805735755e-01,  5.308798745953676e-01,  1.723977977605068e+00,  2.857503791082226e-02
s28         , -1.557515501210242e+00, -1.099048298449953e+00,  2.302979397151103e+00, -6.435668130370018e-01
s29         ,  1.315402392066626e+00,  1.541460455218278e+00,  1.556993709097350e+00,  4.660434741163169e-01
